mu Delta Omega mu0 Delta0 Omega0
0.0 -1000.0 -30.67228230455963 0.0 300.0000000802134 -5.998052858431995 
10.204081632653061 -1000.0 -30.67228230455963 10.204081632653061 300.0000000802134 -5.998052858431995 
20.408163265306122 -1000.0 -30.67228230455963 20.408163265306122 300.0000000802134 -5.998052858431995 
30.612244897959183 -1000.0 -30.67228230455963 30.612244897959183 300.0000000802134 -5.998052858431995 
40.816326530612244 -1000.0 -30.67228230455963 40.816326530612244 300.0000000802134 -5.998052858431995 
51.0204081632653 -1000.0 -30.67228230455963 51.0204081632653 300.0000000802134 -5.998052858431995 
61.224489795918366 -1000.0 -30.67228230455963 61.224489795918366 300.0000000802134 -5.998052858431995 
71.42857142857143 -1000.0 -30.67228230455963 71.42857142857143 300.0000000802134 -5.998052858431995 
81.63265306122449 -1000.0 -30.67228230455963 81.63265306122449 300.0000000802134 -5.998052858431995 
91.83673469387755 -1000.0 -30.67228230455963 91.83673469387755 300.0000000802134 -5.998052858431995 
102.0408163265306 -1000.0 -30.67228230455963 102.0408163265306 300.0000000802134 -5.998052858431995 
112.24489795918367 -1000.0 -30.67228230455963 112.24489795918367 300.0000000802134 -5.998052858431995 
122.44897959183673 -1000.0 -30.67228230455963 122.44897959183673 300.0000000802134 -5.998052858431995 
132.6530612244898 -1000.0 -30.67228230455963 132.6530612244898 300.0000000802134 -5.998052858431995 
142.85714285714286 -1000.0 -30.67228230455963 142.85714285714286 300.0000000802134 -5.998052858431995 
153.0612244897959 -1000.0 -30.67228230455963 153.0612244897959 300.0000000802134 -5.998052858431995 
163.26530612244898 -1000.0 -30.67228230455963 163.26530612244898 300.0000000802134 -5.998052858431995 
173.46938775510205 -1000.0 -30.67228230455963 173.46938775510205 300.0000000802134 -5.998052858431995 
183.6734693877551 -1000.0 -30.67228230455963 183.6734693877551 300.0000000802134 -5.998052858431995 
193.87755102040816 -1000.0 -30.67228230455963 193.87755102040816 300.0000000802134 -5.998052858431995 
204.0816326530612 -1000.0 -30.67228230455963 204.0816326530612 300.0000000802134 -5.998052858431995 
214.28571428571428 -1000.0 -30.67228230455963 214.28571428571428 300.0000000802134 -5.998052858431995 
224.48979591836735 -1000.0 -30.67228230455963 224.48979591836735 300.0000000837537 -5.998052858431999 
234.6938775510204 -1000.0 -30.67228230455963 234.6938775510204 300.00000010711585 -5.998052858431997 
244.89795918367346 -1000.0 -30.67228230455963 244.89795918367346 300.0000001868403 -5.998052858431997 
255.10204081632654 -1000.0 -30.67228230455963 255.10204081632654 300.0000004069073 -5.998052858431996 
265.3061224489796 -1000.0 -30.67228230455963 265.3061224489796 300.0000010777689 -5.998052858431997 
275.51020408163265 -1000.0 -30.67228230455963 275.51020408163265 300.00000379405316 -5.998052858431995 
285.7142857142857 -1000.0 -30.67228230455963 285.7142857142857 299.9999999791018 -5.998052858431999 
295.9183673469388 -1000.0 -30.67228230455963 295.9183673469388 299.9999999102739 -5.998052858431997 
306.1224489795918 -1000.0 -30.67228230455963 306.1224489795918 297.9757508906603 -5.999621897112139 
316.3265306122449 -1000.0 -30.67228230455963 316.3265306122449 285.39236546952156 -6.024658630471139 
326.53061224489795 -1000.0 -30.67228230455963 326.53061224489795 196.63647029878885 -6.163435250499583 
336.734693877551 -1000.0 -30.67228230455963 336.734693877551 92.83765184939188 -6.756891828438623 
346.9387755102041 -1000.0 -30.67228230455963 346.9387755102041 66.5255459794166 -7.518784653745723 
357.1428571428571 -1000.0 -30.67228230455963 357.1428571428571 52.10166001720793 -8.3836036737726 
367.3469387755102 -1000.0 -30.67228230455963 367.3469387755102 42.75108326963571 -9.34179508950573 
377.55102040816325 -1000.0 -30.67228230455963 377.55102040816325 36.144587479808216 -10.392526600349107 
387.7551020408163 -1000.0 -30.67228230455963 387.7551020408163 31.21447114881949 -11.537932593176608 
397.9591836734694 -1000.0 -30.67228230455963 397.9591836734694 27.39072671451911 -12.78148292548492 
408.1632653061224 -1000.0 -30.67228230455963 408.1632653061224 24.33802536559358 -14.127370260953448 
418.3673469387755 -1000.0 -30.67228230455963 418.3673469387755 21.84510648045804 -15.580239246443739 
428.57142857142856 -1000.0 -30.67228230455963 428.57142857142856 19.77184276450484 -17.14505280376012 
438.7755102040816 -1000.0 -30.67228230455963 438.7755102040816 18.021456093391325 -18.8270205124866 
448.9795918367347 -1000.0 -30.67228230455963 448.9795918367347 16.524852591538508 -20.631557746765584 
459.18367346938777 -1000.0 -30.67228230455963 459.18367346938777 15.231369030233111 -22.564261144292818 
469.3877551020408 -1000.0 -30.67228230455963 469.3877551020408 14.102985664404022 -24.630893249646608 
479.59183673469386 -1000.0 -30.67228230455963 479.59183673469386 13.110591622440264 -26.83737255593475 
489.7959183673469 -1000.0 -30.67228230455963 489.7959183673469 12.231544507888515 -29.18976684961668 
500.0 -1000.0 -30.67228230455963 500.0 11.44792636882748 -31.694288645353538 

0.0 -979.7979797979798 -19.0320027943452 0.0 nan nan 
10.204081632653061 -979.7979797979798 -19.0320027943452 10.204081632653061 nan nan 
20.408163265306122 -979.7979797979798 -19.0320027943452 20.408163265306122 nan nan 
30.612244897959183 -979.7979797979798 -19.0320027943452 30.612244897959183 nan nan 
40.816326530612244 -979.7979797979798 -19.0320027943452 40.816326530612244 nan nan 
51.0204081632653 -979.7979797979798 -19.0320027943452 51.0204081632653 nan nan 
61.224489795918366 -979.7979797979798 -19.0320027943452 61.224489795918366 nan nan 
71.42857142857143 -979.7979797979798 -19.0320027943452 71.42857142857143 nan nan 
81.63265306122449 -979.7979797979798 -19.0320027943452 81.63265306122449 nan nan 
91.83673469387755 -979.7979797979798 -19.0320027943452 91.83673469387755 nan nan 
102.0408163265306 -979.7979797979798 -19.0320027943452 102.0408163265306 nan nan 
112.24489795918367 -979.7979797979798 -19.0320027943452 112.24489795918367 nan nan 
122.44897959183673 -979.7979797979798 -19.0320027943452 122.44897959183673 nan nan 
132.6530612244898 -979.7979797979798 -19.0320027943452 132.6530612244898 nan nan 
142.85714285714286 -979.7979797979798 -19.0320027943452 142.85714285714286 nan nan 
153.0612244897959 -979.7979797979798 -19.0320027943452 153.0612244897959 nan nan 
163.26530612244898 -979.7979797979798 -19.0320027943452 163.26530612244898 nan nan 
