P M R nu
1e-07 4.5906418594431135e-05 0.35322948668546733 0 
7.10345458984375e-07 0.0008634905190548794 0.9391349207194523 0 
1.32069091796875e-06 0.0021749463314610557 1.2774240610545635 0 
1.931036376953125e-06 0.0038206619316925234 1.540904263213367 0 
2.5413818359375e-06 0.005731610815698512 1.7634615285077715 0 
3.7620727539062504e-06 0.010192678543842083 2.135304107953841 0 
4.982763671875e-06 0.015341860534969894 2.4457636443852073 0 
6.20345458984375e-06 0.02104729824135788 2.716108135002675 0 
7.4241455078125e-06 0.02721675962570628 2.9574798282070702 0 
8.64483642578125e-06 0.03378072871045947 3.176598008621425 0 
9.86552734375e-06 0.040684300574217735 3.377893872563064 0 
1.23069091796875e-05 0.055338542118664645 3.738634485137753 0 
1.4748291015625001e-05 0.07089994983803097 4.056251762278613 0 
1.71896728515625e-05 0.08716232468533212 4.3407415765429755 0 
1.96310546875e-05 0.10396703445106997 4.5987133848721875 0 
2.2072436523437502e-05 0.12118855084370882 4.834820192683663 0 
2.4513818359375e-05 0.1387255365185901 5.052492224365088 0 
2.939658203125e-05 0.17442808695284726 5.44244819185818 0 
3.4279345703124996e-05 0.21056469432820032 5.783682538599811 0 
3.9162109375e-05 0.24677591883378308 6.086225549423697 0 
4.4044873046875e-05 0.28280365200588725 6.357160168426366 0 
4.892763671875e-05 0.31846085063550333 6.601716635431325 0 
5.3810400390624994e-05 0.3536116911039637 6.823890304894178 0 
5.86931640625e-05 0.38815807792980755 7.026815814415824 0 
6.845869140624999e-05 0.45517925933420417 7.384512047681606 0 
7.822421875e-05 0.5191923074805752 7.689987547703027 0 
8.798974609375e-05 0.5800724736834898 7.953867092437506 0 
9.77552734375e-05 0.637817802031787 8.18390507079568 0 
0.00011728632812499999 0.7442284754238881 8.564506791848352 0 
0.00013681738281249998 0.839385065876504 8.864740690532003 0 
0.0001563484375 0.9244573637759034 9.10565178559926 0 
0.00019541054687499998 1.068896143250537 9.462170196263866 0 
0.00023447265624999998 1.1855872924197506 9.705586314022792 0 
0.000312596875 1.3591232591022753 9.994102024699252 0 
0.00062509375 1.6692827979653933 10.203495417027375 0 
0.0012500875 1.782866824735741 9.854822376234596 0 
0.00187508125 1.7700870529920885 9.49653650450142 0 
0.002500075 1.7358974702081105 9.210473058294834 0 
0.00312506875 1.6991885515294127 8.982394666625881 0 
0.0037500625 1.6644744143081083 8.797009286932852 0 
0.00500005 1.6041214581731897 8.513888457528003 0 
0.0075000250000000004 1.5142232008802001 8.150389837265626 0 
0.01 1.4513690689202754 7.927479878037933 0 
