mu Delta Omega mu0 Delta0 Omega0
387.7551020408163 -1000.0 -194.84311563789268 387.7551020408163 22.129524516087454 -11.51313756682259 
397.9591836734694 -1000.0 -194.84311563789268 397.9591836734694 20.140858873679292 -12.761663957609077 
408.1632653061224 -1000.0 -194.84311563789268 408.1632653061224 18.44233746859617 -14.11123552028315 
418.3673469387755 -1000.0 -194.84311563789268 418.3673469387755 16.975684968248586 -15.566902899307701 
428.57142857142856 -1000.0 -194.84311563789268 428.57142857142856 15.697296249083495 -17.133887342027542 
438.7755102040816 -1000.0 -194.84311563789268 438.7755102040816 14.57387395886252 -18.81756933074772 
448.9795918367347 -1000.0 -194.84311563789268 448.9795918367347 13.579520825149642 -20.623481005830318 
459.18367346938777 -1000.0 -194.84311563789268 459.18367346938777 12.693792564474036 -22.55730097726964 
469.3877551020408 -1000.0 -194.84311563789268 469.3877551020408 11.90033601622545 -24.624850687499332 
479.59183673469386 -1000.0 -194.84311563789268 479.59183673469386 11.185904947556722 -26.832091808608855 
489.7959183673469 -1000.0 -194.84311563789268 489.7959183673469 10.539653346944135 -29.185124345510474 
500.0 -1000.0 -194.84311563789268 500.0 9.952631049885943 -31.69018523089677 

0.0 -979.7979797979798 -168.9494245403591 0.0 nan nan 
10.204081632653061 -979.7979797979798 -168.9494245403591 10.204081632653061 nan nan 
20.408163265306122 -979.7979797979798 -168.9494245403591 20.408163265306122 nan nan 
30.612244897959183 -979.7979797979798 -168.9494245403591 30.612244897959183 nan nan 
40.816326530612244 -979.7979797979798 -168.9494245403591 40.816326530612244 nan nan 
51.0204081632653 -979.7979797979798 -168.9494245403591 51.0204081632653 nan nan 
61.224489795918366 -979.7979797979798 -168.9494245403591 61.224489795918366 nan nan 
71.42857142857143 -979.7979797979798 -168.9494245403591 71.42857142857143 nan nan 
81.63265306122449 -979.7979797979798 -168.9494245403591 81.63265306122449 nan nan 
91.83673469387755 -979.7979797979798 -168.9494245403591 91.83673469387755 nan nan 
102.0408163265306 -979.7979797979798 -168.9494245403591 102.0408163265306 nan nan 
112.24489795918367 -979.7979797979798 -168.9494245403591 112.24489795918367 nan nan 
122.44897959183673 -979.7979797979798 -168.9494245403591 122.44897959183673 nan nan 
132.6530612244898 -979.7979797979798 -168.9494245403591 132.6530612244898 nan nan 
142.85714285714286 -979.7979797979798 -168.9494245403591 142.85714285714286 nan nan 
153.0612244897959 -979.7979797979798 -168.9494245403591 153.0612244897959 nan nan 
163.26530612244898 -979.7979797979798 -168.9494245403591 163.26530612244898 nan nan 
173.46938775510205 -979.7979797979798 -168.9494245403591 173.46938775510205 nan nan 
183.6734693877551 -979.7979797979798 -168.9494245403591 183.6734693877551 nan nan 
193.87755102040816 -979.7979797979798 -168.9494245403591 193.87755102040816 nan nan 
204.0816326530612 -979.7979797979798 -168.9494245403591 204.0816326530612 nan nan 
214.28571428571428 -979.7979797979798 -168.9494245403591 214.28571428571428 nan nan 
224.48979591836735 -979.7979797979798 -168.9494245403591 224.48979591836735 nan nan 
234.6938775510204 -979.7979797979798 -168.9494245403591 234.6938775510204 nan nan 
244.89795918367346 -979.7979797979798 -168.9494245403591 244.89795918367346 nan nan 
255.10204081632654 -979.7979797979798 -168.9494245403591 255.10204081632654 nan nan 
265.3061224489796 -979.7979797979798 -168.9494245403591 265.3061224489796 nan nan 
275.51020408163265 -979.7979797979798 -168.9494245403591 275.51020408163265 nan nan 
285.7142857142857 -979.7979797979798 -168.9494245403591 285.7142857142857 nan nan 
295.9183673469388 -979.7979797979798 -168.9494245403591 295.9183673469388 nan nan 
306.1224489795918 -979.7979797979798 -168.9494245403591 306.1224489795918 nan nan 
316.3265306122449 -979.7979797979798 -168.9494245403591 316.3265306122449 nan nan 
326.53061224489795 -979.7979797979798 -168.9494245403591 326.53061224489795 nan nan 
