Deltax Deltay Omega
-600.0 429 4.917379113840331 
-595.9866220735786 429 5.0760944365691305 
-591.9732441471572 429 5.216899757801198 
-587.9598662207358 429 5.340440271784668 
-583.9464882943143 429 5.447350509536091 
-579.9331103678929 429 5.538254381870438 
-575.9197324414715 429 5.6137652227261166 
-571.9063545150502 429 5.674485832788373 
-567.8929765886288 429 5.721008523416013 
-563.8795986622074 429 5.753915160875219 
-559.866220735786 429 5.7737772108847 
-555.8528428093646 429 5.781155783476993 
-551.8394648829432 429 5.776601678180243 
-547.8260869565217 429 5.760655429524758 
-543.8127090301003 429 5.733847352879656 
-539.7993311036789 429 5.696697590623957 
-535.7859531772575 429 5.649716158657139 
-531.7725752508361 429 5.5934029932543545 
-527.7591973244147 429 5.528247998271264 
-523.7458193979933 429 5.45473109270371 
-519.7324414715719 429 5.373322258607933 
-515.7190635451504 429 5.284481589386451 
-511.7056856187291 429 5.188659338445374 
-507.6923076923077 429 5.0862959682290505 
-503.6789297658863 429 4.97782219963762 
-499.6655518394649 429 4.863659061833939 
-495.6521739130435 429 4.744217942445682 
-491.6387959866221 429 4.619900638168977 
-487.6254180602007 429 4.491099405780494 
-483.61204013377926 429 4.358197013563827 
-479.59866220735785 429 4.221566793157911 
-475.58528428093643 429 4.081572691833531 
-471.571906354515 429 3.9385693252058287 
-467.5585284280936 429 3.792902030389546 
-463.54515050167225 429 3.6449069196049773 
-459.53177257525084 429 3.4949109342419344 
-455.5183946488294 429 3.343231899389931 
-451.505016722408 429 3.190178578842547 
-447.49163879598666 429 3.0360507305842543 
-443.47826086956525 429 2.8811391627684086 
-439.46488294314383 429 2.725725790194991 
-435.4515050167224 429 2.5700836912972793 
-431.438127090301 429 2.4144771656464727 
-427.4247491638796 429 2.2591617919841065 
-423.4113712374582 429 2.104384486791719 
-419.39799331103677 429 1.9503835634079267 
-415.38461538461536 429 1.7973887917033298 
-411.37123745819395 429 1.6456214583237363 
-407.3578595317726 429 1.4952944275127107 
-403.3444816053512 429 1.3466122025246654 
-399.33110367892976 429 1.1997709876401192 
-395.31772575250835 429 1.0549587507949663 
-391.304347826087 429 0.9123552868361681 
-387.2909698996656 429 0.7721322814163588 
-383.27759197324417 429 0.6344533755405376 
-379.26421404682276 429 0.49947423077827124 
-375.25083612040135 429 0.3673425951552075 
-371.23745819397993 429 0.23819836973825184 
-367.2240802675585 429 0.1121736759292159 
-363.2107023411371 429 -0.010607076517955633 
-359.1973244147157 429 -0.13002712074051304 
-355.1839464882943 429 -0.2459772632546025 
-351.17056856187287 429 -0.3583558136705105 
-347.1571906354515 429 -0.4670685136181637 
-343.1438127090301 429 -0.5720284648648122 
-339.1304347826087 429 -0.6731560566064252 
-335.1170568561873 429 -0.7703788919135325 
-331.10367892976586 429 -0.8636317133116416 
-327.0903010033445 429 -0.9528563274755603 
-323.0769230769231 429 -1.0380015290163696 
-319.0635451505017 429 -1.1190230233388057 
-315.05016722408027 429 -1.1958833485461768 
-311.03678929765886 429 -1.2685517963689443 
-307.02341137123744 429 -1.3370043320922795 
-303.01003344481603 429 -1.4012235134569024 
-298.9966555183947 429 -1.4611984085065441 
-294.98327759197326 429 -1.5169245123542998 
-290.96989966555185 429 -1.5684036628390305 
-286.95652173913044 429 -1.615643955041817 
-282.943143812709 429 -1.658659654631222 
-278.9297658862876 429 -1.6974711100048334 
-274.9163879598662 429 -1.7321046631931458 
-270.90301003344484 429 -1.762592559490431 
-266.88963210702343 429 -1.7889728557756923 
-262.876254180602 429 -1.8112893274851363 
-258.8628762541806 429 -1.8295913741959475 
-254.8494983277592 429 -1.843933923779205 
-250.83612040133778 429 -1.8543773350779709 
-246.82274247491637 429 -1.860987299064412 
-242.809364548495 429 -1.8638347384276357 
-238.7959866220736 429 -1.8629957055416633 
-234.7826086956522 429 -1.8585512787603418 
-230.76923076923077 429 -1.8505874569834637 
-226.75585284280936 429 -1.839195052435437 
-222.74247491638795 429 -1.8244695815948555 
-218.72909698996654 429 -1.8065111542100738 
-214.71571906354518 429 -1.7854243603323912 
-210.70234113712377 429 -1.761318155294728 
-206.68896321070235 429 -1.7343057425596795 
-202.67558528428094 429 -1.7045044543565095 
-198.66220735785953 429 -1.672035630021987 
-194.64882943143812 429 -1.6370244919550037 
-190.6354515050167 429 -1.5996000190894575 
-186.6220735785953 429 -1.5598948177840695 
-182.60869565217394 429 -1.518044990021433 
-178.59531772575252 429 -1.4741899988017417 
-174.5819397993311 429 -1.4284725306091597 
-170.5685618729097 429 -1.3810383548206349 
-166.55518394648828 429 -1.3320361799181022 
-162.54180602006687 429 -1.2816175063552906 
-158.52842809364546 429 -1.2299364759197229 
-154.5150501672241 429 -1.1771497174188141 
-150.5016722408027 429 -1.1234161885061371 
-146.48829431438128 429 -1.0688970134497555 
-142.47491638795987 429 -1.0137553166288649 
-138.46153846153845 429 -0.9581560515276349 
-134.44816053511704 429 -0.9022658249758687 
-130.43478260869563 429 -0.8462527163645855 
-126.42140468227427 429 -0.7902860915406363 
-122.40802675585286 429 -0.7345364110574982 
-118.39464882943145 429 -0.6791750324291018 
-114.38127090301003 429 -0.6243740059992868 
-110.36789297658862 429 -0.5703058640006988 
-106.35451505016721 429 -0.5171434023327514 
-102.3411371237458 429 -0.46505945453778297 
-98.32775919732444 429 -0.41422665739653974 
-94.31438127090303 429 -0.3648172074971581 
-90.30100334448161 429 -0.31700260805414393 
-86.2876254180602 429 -0.270953405163129 
-82.27424749163879 429 -0.22683891257070063 
-78.26086956521738 429 -0.1848269239126128 
-74.24749163879596 429 -0.1450834112236478 
-70.23411371237455 429 -0.10777220834217277 
-66.22073578595314 429 -0.07305467761408474 
-62.207357859531726 429 -0.04108935803367695 
-58.19397993311031 429 -0.012031592628519515 
-54.180602006689014 429 0.013966867518204739 
-50.1672240802676 429 0.036758285739361074 
-46.15384615384619 429 0.05619939255723255 
-42.140468227424776 429 0.07215187345299669 
-38.12709030100336 429 0.08448289751267105 
-34.11371237458195 429 0.09306569445369599 
-30.100334448160538 429 0.0977801898214317 
-26.086956521739125 429 0.0985137114681404 
-22.073578595317713 429 0.09516178545829022 
-18.0602006688963 429 0.08762904755391689 
-14.046822742474887 429 0.07583031004319529 
-10.033444816053475 429 0.0596918489301982 
-6.020066889632062 429 0.03915302978226472 
-2.0066889632106495 429 0.014168529592989736 
2.0066889632106495 429 -0.015287966044566519 
6.020066889632062 429 -0.04921645713040572 
10.033444816053475 429 -0.08759062925758643 
14.046822742474887 429 -0.1303651594197035 
18.0602006688963 429 -0.1774794131840961 
22.073578595317713 429 -0.22885966655483694 
26.086956521739125 429 -0.28442073182010097 
30.100334448160538 429 -0.34406724474192385 
34.11371237458195 429 -0.4076947313847737 
38.12709030100336 429 -0.47519051960091285 
42.140468227424776 429 -0.5464345349357014 
46.15384615384619 429 -0.6213000071065797 
50.1672240802676 429 -0.6996541051995654 
54.180602006689014 429 -0.7813585146958358 
58.19397993311031 429 -0.8662699661176727 
62.207357859531726 429 -0.9542407227979443 
66.22073578595314 429 -1.0451190336534661 
70.23411371237455 429 -1.1387495556566685 
74.24749163879596 429 -1.2349737498132578 
78.26086956521738 429 -1.3336302537773368 
82.27424749163879 429 -1.434555233710539 
86.2876254180602 429 -1.5375827175780814 
90.30100334448161 429 -1.6425449117442108 
94.31438127090303 429 -1.749272502462339 
98.32775919732444 429 -1.8575949436368346 
102.34113712374585 429 -1.967340732053193 
106.35451505016727 429 -2.0783376711232755 
110.36789297658868 429 -2.190413124066337 
114.38127090300998 429 -2.3033942573400363 
118.39464882943139 429 -2.417108275044965 
122.4080267558528 429 -2.5313826449484758 
126.42140468227421 429 -2.646045316706728 
130.43478260869563 429 -2.7609249328057923 
134.44816053511704 429 -2.87585103269219 
138.46153846153845 429 -2.99065425051907 
142.47491638795987 429 -3.1051665068954137 
146.48829431438128 429 -3.219221194991419 
150.5016722408027 429 -3.332653361322915 
154.5150501672241 429 -3.4452998815107057 
158.52842809364552 429 -3.55699963128673 
162.54180602006693 429 -3.6675936529974122 
166.55518394648834 429 -3.776925317835338 
170.56856187290964 429 -3.8848404840129813 
174.58193979933105 429 -3.9911876510766193 
178.59531772575247 429 -4.095818110544316 
182.60869565217388 429 -4.198586093039122 
186.6220735785953 429 -4.299348912076874 
190.6354515050167 429 -4.397967104657376 
194.64882943143812 429 -4.494304568798036 
198.66220735785953 429 -4.588228698140133 
202.67558528428094 429 -4.67961051374977 
206.68896321070235 429 -4.768324793228054 
210.70234113712377 429 -4.854250197238217 
214.71571906354518 429 -4.937269393550994 
218.7290969899666 429 -5.017269178703791 
222.742474916388 429 -5.094140597363687 
226.75585284280942 429 -5.167779059479382 
230.76923076923072 429 -5.2380844553025225 
234.78260869565213 429 -5.304961268354514 
238.79598662207354 429 -5.368318686410949 
242.80936454849495 429 -5.428070710572037 
246.82274247491637 429 -5.4841362624839265 
250.83612040133778 429 -5.5364392897726 
254.8494983277592 429 -5.584908869748949 
258.8628762541806 429 -5.629479311440805 
262.876254180602 429 -5.670090256005108 
266.88963210702343 429 -5.706686775570778 
270.90301003344484 429 -5.739219470560631 
274.91638795986626 429 -5.7676445655384585 
278.92976588628767 429 -5.791924003625261 
282.9431438127091 429 -5.812025539526766 
286.9565217391304 429 -5.827922831212472 
290.9698996655518 429 -5.839595530284801 
294.9832775919732 429 -5.847029371075184 
298.9966555183946 429 -5.850216258502542 
303.01003344481603 429 -5.849154354728014 
307.02341137123744 429 -5.843848164638506 
311.03678929765886 429 -5.834308620190284 
315.05016722408027 429 -5.820553163642631 
319.0635451505017 429 -5.802605829710374 
323.0769230769231 429 -5.780497326663052 
327.0903010033445 429 -5.754265116397357 
331.1036789297659 429 -5.723953493508552 
335.11705685618733 429 -5.689613663385558 
339.13043478260875 429 -5.651303819353562 
343.14381270903004 429 -5.6090892188870685 
347.15719063545146 429 -5.563042258915532 
351.17056856187287 429 -5.513242550242991 
355.1839464882943 429 -5.4597769911021965 
359.1973244147157 429 -5.402739839863222 
363.2107023411371 429 -5.342232786915778 
367.2240802675585 429 -5.278365025743721 
371.23745819397993 429 -5.211253323209799 
375.25083612040135 429 -5.141022089067958 
379.26421404682276 429 -5.067803444720008 
383.27759197324417 429 -4.991737291232856 
387.2909698996656 429 -4.91297137663215 
391.304347826087 429 -4.831661362487454 
395.3177257525084 429 -4.747970889803766 
399.3311036789297 429 -4.662071644233733 
403.3444816053511 429 -4.574143420624298 
407.35785953177253 429 -4.484374186911367 
411.37123745819395 429 -4.3929601473754545 
415.38461538461536 429 -4.3001058052709755 
419.39799331103677 429 -4.2060240248414935 
423.4113712374582 429 -4.110936092732814 
427.4247491638796 429 -4.015071778815542 
431.4381270903009 429 -3.918669396428292 
435.4515050167224 429 -3.821975862052597 
439.4648829431437 429 -3.7252467544299988 
443.47826086956525 429 -3.628746373131696 
447.49163879598655 429 -3.53274779659097 
451.5050167224081 429 -3.437532939607782 
455.51839464882937 429 -3.3433926103355094 
459.5317725752509 429 -3.2506265667586263 
463.5451505016722 429 -3.159543572670704 
467.5585284280937 429 -3.0704614531612298 
471.571906354515 429 -2.983707149620074 
475.58528428093655 429 -2.8996167742674785 
479.59866220735785 429 -2.8185356642182193 
483.6120401337794 429 -2.740818435087406 
487.6254180602007 429 -2.666829034145865 
491.638795986622 429 -2.5969407930324957 
495.6521739130435 429 -2.531536480030905 
499.6655518394648 429 -2.4710083519177544 
503.6789297658863 429 -2.415758205389196 
507.6923076923076 429 -2.3661974280728844 
511.70568561872915 429 -2.322747049131656 
515.7190635451504 429 -2.285837789465705 
519.732441471572 429 -2.255910111519338 
523.7458193979933 429 -2.233414268698674 
527.7591973244148 429 -2.2188103544062434 
531.7725752508361 429 -2.2125683506982594 
535.7859531772576 429 -2.2151681765705766 
539.7993311036789 429 -2.227099735878885 
543.8127090301002 429 -2.248862964898286 
547.8260869565217 429 -2.2809678795283115 
551.839464882943 429 -2.323934622147953 
555.8528428093646 429 -2.3782935081263066 
559.8662207357859 429 -2.4445850719937128 
563.8795986622074 429 -2.523360113278308 
567.8929765886287 429 -2.6151797420126206 
571.9063545150502 429 -2.720615423915382 
575.9197324414715 429 -2.840249025252751 
579.933110367893 429 -2.9746728573835375 
583.9464882943143 429 -3.1244897209930063 
587.9598662207359 429 -3.2903129500195307 
591.9732441471572 429 -3.4727664552781263 
595.9866220735787 429 -3.672484767785322 
600.0 429 -3.8901130817892215 

