nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0 7.92405959867008e-15 2.1840606336738968e-07 0.0 891.979088912515 0.0009348193576620375 -2666.563051159566 1.8864781909828667e-22 0.0 7.068095280606396e-15 0.0 
7.92405959867008e-15 2.50580766467172e-14 0.2101415797056002 891.979088912515 891.9791501399843 899.4458007698621 1.8864781909828667e-22 1.202875101238043e-21 7.068095280606396e-15 2.235128075925966e-14 0.19548200533886215 
2.50580766467172e-14 7.92405959867008e-14 0.2101415797056002 891.9791501399843 891.9792735967919 899.4458007698621 1.202875101238043e-21 7.669892586590564e-21 2.235128075925966e-14 7.068096190068274e-14 0.19548200533886215 
7.92405959867008e-14 2.50580766467172e-13 0.2101415797056002 891.9792735967919 891.9795225305563 899.4458007698621 7.669892586590564e-21 4.89055366008406e-20 7.068096190068274e-14 2.2351286558261665e-13 0.19548200533886215 
2.50580766467172e-13 7.92405959867008e-13 0.2101415797056002 891.9795225305563 891.9800244714106 899.4458007698621 4.89055366008406e-20 3.1183637622223165e-19 2.2351286558261665e-13 7.068099887685966e-13 0.19548200533886215 
7.92405959867008e-13 2.50580766467172e-12 0.2101415797056002 891.9800244714106 891.9810365664441 899.4458007698621 3.1183637622223165e-19 1.9883623060735802e-18 7.068099887685966e-13 2.235131013538147e-12 0.19548200533886215 
2.50580766467172e-12 7.92405959867008e-12 0.21014157970560024 891.9810365664441 891.9830773175474 899.4458007698621 1.9883623060735802e-18 1.2678394702087938e-17 2.235131013538147e-12 7.068114921165044e-12 0.19548200533886215 
7.92405959867008e-12 2.50580766467172e-11 0.21014157970560032 891.9830773175474 891.9871922128202 899.4458007698621 1.2678394702087938e-17 8.084124896701922e-17 7.068114921165044e-12 2.2351405993355074e-11 0.19548200533886223 
2.50580766467172e-11 7.92405959867008e-11 0.2101415797056008 891.9871922128202 891.9954893359115 899.4458007698624 8.084124896701922e-17 5.154680610685972e-16 2.2351405993355074e-11 7.068176043085378e-11 0.19548200533886267 
7.92405959867008e-11 2.50580766467172e-10 0.21014157970560401 891.9954893359115 892.0122193489516 899.4458007698643 5.154680610685972e-16 3.286779031459769e-15 7.068176043085378e-11 2.235179572505954e-10 0.19548200533886567 
2.50580766467172e-10 6.29410234040288e-10 0.21014157970562453 892.0122193489516 892.0371937918279 899.4458007698759 3.286779031459769e-15 1.446781958777772e-14 2.235179572505954e-10 5.614434803410538e-10 0.19548200533888474 
6.29410234040288e-10 1.58104849886544e-09 0.21014157970570724 892.0371937918279 892.0786055088946 899.4458007699227 1.446781958777772e-14 6.088592755770992e-14 5.614434803410538e-10 1.4103612181038253e-09 0.19548200533896168 
1.58104849886544e-09 3.97146890586824e-09 0.21014157970605063 892.0786055088946 892.1439095007744 899.4458007701169 6.088592755770992e-14 2.441054461078457e-13 1.4103612181038253e-09 3.5428879700370645e-09 0.19548200533928115 
3.97146890586824e-09 4.99938025672213e-09 0.210141579707406 892.1439095007744 892.1619336289149 899.4458007708834 2.441054461078457e-13 3.282409974638611e-13 3.5428879700370645e-09 4.459942338096108e-09 0.195482005340542 
4.99938025672213e-09 9.97366035816307e-09 0.21014157970802835 892.1619336289149 892.2360683739453 899.4458007712356 3.282409974638611e-13 8.956566483374039e-13 4.459942338096108e-09 8.898001564940638e-09 0.195482005341121 
9.97366035816307e-09 1.99038194110668e-08 0.21014157971222577 892.2360683739453 892.3341904655585 899.4458007736096 8.956566483374039e-13 2.3923706850712675e-12 8.898001564940638e-09 1.7758566953987143e-08 0.1954820053450258 
1.99038194110668e-08 3.97209640718649e-08 0.21014157972329758 892.3341904655585 892.4619942545893 899.4458007798719 2.3923706850712675e-12 6.278958802978594e-12 1.7758566953987143e-08 3.544343625900713e-08 0.19548200535532576 
3.97209640718649e-08 7.92418564452663e-08 0.2101415797520483 892.4619942545893 892.626497749921 899.4458007961337 6.278958802978594e-12 1.6252891374708013e-11 3.544343625900713e-08 7.071781231586815e-08 0.19548200538207222 
