omega2 r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11
-13.833694025874138 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.41678183525800705 9.999999999999999e-05 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 
2.783960707485676 0.0011 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 
6.3230719566345215 0.0021000000000000003 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 
11.07995369285345 0.0031000000000000003 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 
17.031874664127827 0.0041 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 
24.160220257937908 0.0051 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 
32.45102412998676 0.0061 2.303665245199127e-07 2.302557304588597e-07 2.3023732620604396e-07 2.3020981045768355e-07 2.3017282683337235e-07 2.301265520631893e-07 2.3007113087132007e-07 2.3000667184277047e-07 2.2993325600413328e-07 2.2985094478975557e-07 2.2975978603180114e-07 2.2965981820568343e-07 
41.893864534795284 0.0071 3.6846570503459325e-07 3.680145368600558e-07 3.679396093825188e-07 3.678275962250861e-07 3.6767705767938055e-07 3.6748872804601534e-07 3.672632147041462e-07 3.67000981212592e-07 3.667023822070039e-07 3.663676958091791e-07 3.6599714799638793e-07 3.655909298690172e-07 
52.48083970695734 0.0081 5.531886052635057e-07 5.519967309394034e-07 5.517988534918577e-07 5.515030688724847e-07 5.511056157320147e-07 5.506084872420727e-07 5.500133536842677e-07 5.493215175444085e-07 5.485340055189871e-07 5.476516540007373e-07 5.466751733470965e-07 5.456051933947291e-07 
64.20579741150141 0.0091 7.90596141075376e-07 7.88032421524631e-07 7.876069547655961e-07 7.869710614963662e-07 7.861167636727793e-07 7.850484915227793e-07 7.837700138848349e-07 7.822843408499016e-07 7.80593921105441e-07 7.787008253803891e-07 7.766068843024549e-07 7.743137859242823e-07 
77.06378889083862 0.010100000000000001 1.0865483408599524e-06 1.0816830658474046e-06 1.0808760158156995e-06 1.0796700160883456e-06 1.0780501790134394e-06 1.0760252324271638e-06 1.07360272306168e-06 1.0707888298993898e-06 1.0675887372243442e-06 1.0640069815544958e-06 1.0600477121452707e-06 1.0557148749469423e-06 
nan 0.011100000000000002 1.4466831298042495e-06 1.4382129513557961e-06 1.4368086706988819e-06 1.434710608927288e-06 1.4318933509966457e-06 1.428372729872582e-06 1.4241626691419458e-06 1.4192748539194181e-06 1.4137193769449069e-06 1.4075053396569878e-06 1.400641302903744e-06 1.3931356043120224e-06 
nan 0.012100000000000003 1.87639610170565e-06 1.8625621036116874e-06 1.860269923201886e-06 1.8568460269489008e-06 1.8522498276454103e-06 1.8465083526197738e-06 1.8396457780882708e-06 1.8316828832253464e-06 1.8226380982792467e-06 1.812528479837539e-06 1.801370440572566e-06 1.7891802609344164e-06 
nan 0.013100000000000004 2.3808215144249345e-06 2.3593208891519495e-06 2.355760773949413e-06 2.3504441813783197e-06 2.3433096147552133e-06 2.334401083445703e-06 2.3237586218214295e-06 2.311417424702872e-06 2.2974094622274305e-06 2.2817649824180537e-06 2.2645136320274256e-06 2.2456852377882053e-06 
nan 0.014100000000000005 2.9648146593350865e-06 2.9327064952495717e-06 2.9273938246897734e-06 2.9194620571437966e-06 2.9088219400196274e-06 2.895542462088937e-06 2.8796874150652545e-06 2.861314073390628e-06 2.840475579461883e-06 2.8172231622135928e-06 2.7916077849943226e-06 2.7636812847639655e-06 
nan 0.015100000000000006 3.63293571592248e-06 3.5865414270393793e-06 3.5788710061505235e-06 3.567422353820637e-06 3.552070551481718e-06 3.532920393236118e-06 3.5100703116086678e-06 3.483610419413607e-06 3.453625909300866e-06 3.4202002134317824e-06 3.3834173367956022e-06 3.343363452453168e-06 
nan 0.016100000000000007 4.389435180052613e-06 4.324234136896672e-06 4.313463549670841e-06 4.2973925466814266e-06 4.275851690846532e-06 4.248995976027797e-06 4.2169731766867656e-06 4.179921011550767e-06 4.1379718409104464e-06 4.091257027026688e-06 4.03991012950248e-06 3.9840690577662315e-06 
nan 0.017100000000000008 5.23824093872066e-06 5.148761881858372e-06 5.133994303022607e-06 5.111966475511564e-06 5.0824548595986286e-06 5.045683486582552e-06 5.001868983871042e-06 4.951216545815741e-06 4.893926247501905e-06 4.830198894737521e-06 4.760240268143421e-06 4.684263926321611e-06 
nan 0.01810000000000001 6.18294705035112e-06 6.062655887371971e-06 6.042822472567755e-06 6.013248549362352e-06 5.973646474564344e-06 5.924333621152645e-06 5.86562095738731e-06 5.797807415041214e-06 5.721188165228523e-06 5.636062266007655e-06 5.5427381386528205e-06 5.441537090903398e-06 
nan 0.01910000000000001 7.226804276948553e-06 7.06798887887399e-06 7.041830856303977e-06 7.002840636514771e-06 6.9506564887252185e-06 6.885720083951595e-06 6.8084695534142754e-06 6.7193317229114564e-06 6.618732708938119e-06 6.507107675067661e-06 6.38490770095077e-06 6.252604047824908e-06 
nan 0.02010000000000001 8.372712401950718e-06 8.16636502600871e-06 8.132415614806047e-06 8.081831690012791e-06 8.01416803214624e-06 7.930029579884288e-06 7.830023346147462e-06 7.714747832730734e-06 7.584806296527936e-06 7.440818905402668e-06 7.283431109789145e-06 7.1133185938182e-06 
nan 0.02110000000000001 9.623214354994333e-06 9.358912327257057e-06 9.315478609144477e-06 9.250790139781535e-06 9.164310106440874e-06 9.056855248007755e-06 8.92925385593212e-06 8.782331487198913e-06 8.616927212210298e-06 8.433908407555751e-06 8.234180651882474e-06 8.0186931854063e-06 
nan 0.022100000000000012 1.0980492152114868e-05 1.0646277445539116e-05 1.0591422316749514e-05 1.0509759062778618e-05 1.040065334447964e-05 1.0265193546809036e-05 1.0104494327867143e-05 9.919677500935932e-06 9.71189149695316e-06 9.482328934273664e-06 9.232237923040655e-06 8.962927681489213e-06 
nan 0.023100000000000013 1.2446364647236889e-05 1.2028622988098606e-05 1.1960147318012279e-05 1.1858254122976367e-05 1.1722208825221174e-05 1.1553444577496085e-05 1.1353442440192342e-05 1.1123705992745029e-05 1.0865784112081388e-05 1.0581291304864178e-05 1.027192010417692e-05 9.939446248945827e-06 
nan 0.024100000000000014 1.4022287078243773e-05 1.3505627206787999e-05 1.342105232829904e-05 1.3295264253375027e-05 1.3127429911761616e-05 1.2919415806645752e-05 1.2673166892722697e-05 1.2390673089918229e-05 1.207399527988271e-05 1.1725288158791649e-05 1.1346813130824581e-05 1.0940942131287986e-05 
nan 0.025100000000000015 1.5709352377735794e-05 1.5076486077140785e-05 1.4973036731409288e-05 1.4819255032141067e-05 1.461421705843827e-05 1.4360329124271817e-05 1.4060117796188959e-05 1.3716186001962871e-05 1.3331241862873106e-05 1.2908123506961713e-05 1.244981148733742e-05 1.1959429902244266e-05 
nan 0.026100000000000016 1.7508294206243002e-05 1.6739917697787736e-05 1.6614505552779775e-05 1.6428174685799408e-05 1.6179925511542654e-05 1.587283114913398e-05 1.5510140755073513e-05 1.5095222327489859e-05 1.4631593602721862e-05 1.4122947839506416e-05 1.357316429606746e-05 1.2986304751577766e-05 
nan 0.027100000000000016 1.9419491654346587e-05 1.8494168936045758e-05 1.834337679412709e-05 1.8119462634391988e-05 1.7821375808114745e-05 1.7453006670141802e-05 1.7018494509659023e-05 1.652215342596284e-05 1.596850400109377e-05 1.5362298501652703e-05 1.4708527314125859e-05 1.4012408280263765e-05 
nan 0.028100000000000017 2.1442975547990306e-05 2.0337024229187435e-05 2.015709103407075e-05 1.9890060475039162e-05 1.9534866956867346e-05 1.9096395089571195e-05 1.857987197620628e-05 1.7990771654377605e-05 1.7334845586826284e-05 1.6618145003647065e-05 1.5847020395306936e-05 1.502810021615687e-05 
