mu sigma omega mu0 sigma0 omega0
244.89795918367346 -425.0 -10.926902048444214 244.89795918367346 92.99999999999989 -7.835965358431995 
255.10204081632654 -425.0 -10.926902048444214 255.10204081632654 92.99999999999973 -7.835965358431994 
265.3061224489796 -425.0 -10.926902048444214 265.3061224489796 93.00000000000001 -7.835965358431992 
275.51020408163265 -425.0 -10.926902048444214 275.51020408163265 92.99999999999999 -7.835965358431999 
285.7142857142857 -425.0 -10.926902048444214 285.7142857142857 93.00000000000001 -7.835965358431992 
295.9183673469388 -425.0 -10.926902048444214 295.9183673469388 93.00000000000017 -7.835965358431992 
306.1224489795918 -425.0 -10.926902048444214 306.1224489795918 92.64003245320936 -7.8373437408755215 
316.3265306122449 -425.0 -10.926902048444214 316.3265306122449 91.02487969889727 -7.855345147529741 
326.53061224489795 -425.0 -10.926902048444214 326.53061224489795 87.90475433540738 -7.91343770322396 
336.734693877551 -425.0 -10.926902048444214 336.734693877551 82.43401298654122 -8.04419971066526 
346.9387755102041 -425.0 -10.926902048444214 346.9387755102041 72.61336624986818 -8.301030196363229 
357.1428571428571 -425.0 -10.926902048444214 357.1428571428571 54.719043395751676 -8.77506907816101 
367.3469387755102 -425.0 -10.926902048444214 367.3469387755102 34.98755029630895 -9.536236806506334 
377.55102040816325 -425.0 -10.926902048444214 377.55102040816325 23.967748836284485 -10.505251166801603 
387.7551020408163 -425.0 -10.926902048444214 387.7551020408163 17.97676898939299 -11.6112061444884 
397.9591836734694 -425.0 -10.926902048444214 397.9591836734694 14.291768131435699 -12.832725541812184 
408.1632653061224 -425.0 -10.926902048444214 408.1632653061224 11.806969736712903 -14.165046686979789 
418.3673469387755 -425.0 -10.926902048444214 418.3673469387755 10.02089758114897 -15.608972683892913 
428.57142857142856 -425.0 -10.926902048444214 428.57142857142856 8.676412290509745 -17.16758764033432 
438.7755102040816 -425.0 -10.926902048444214 438.7755102040816 7.628562857018889 -18.84509009019516 
448.9795918367347 -425.0 -10.926902048444214 448.9795918367347 6.78952144907563 -20.646310681720273 
459.18367346938777 -425.0 -10.926902048444214 459.18367346938777 6.102991227796774 -22.576488322364387 
469.3877551020408 -425.0 -10.926902048444214 469.3877551020408 5.531227647561867 -24.641156591003398 
479.59183673469386 -425.0 -10.926902048444214 479.59183673469386 5.04797939203438 -26.846081890092574 
489.7959183673469 -425.0 -10.926902048444214 489.7959183673469 4.63442365760165 -29.197227790596617 
500.0 -425.0 -10.926902048444214 500.0 4.276712351024633 -31.70073348369852 

0.0 -416.4141414141414 27.80774855112549 0.0 nan nan 
10.204081632653061 -416.4141414141414 27.80774855112549 10.204081632653061 nan nan 
20.408163265306122 -416.4141414141414 27.80774855112549 20.408163265306122 nan nan 
30.612244897959183 -416.4141414141414 27.80774855112549 30.612244897959183 nan nan 
40.816326530612244 -416.4141414141414 27.80774855112549 40.816326530612244 nan nan 
51.0204081632653 -416.4141414141414 27.80774855112549 51.0204081632653 nan nan 
61.224489795918366 -416.4141414141414 27.80774855112549 61.224489795918366 nan nan 
71.42857142857143 -416.4141414141414 27.80774855112549 71.42857142857143 nan nan 
81.63265306122449 -416.4141414141414 27.80774855112549 81.63265306122449 nan nan 
91.83673469387755 -416.4141414141414 27.80774855112549 91.83673469387755 nan nan 
102.0408163265306 -416.4141414141414 27.80774855112549 102.0408163265306 nan nan 
112.24489795918367 -416.4141414141414 27.80774855112549 112.24489795918367 nan nan 
122.44897959183673 -416.4141414141414 27.80774855112549 122.44897959183673 nan nan 
132.6530612244898 -416.4141414141414 27.80774855112549 132.6530612244898 nan nan 
142.85714285714286 -416.4141414141414 27.80774855112549 142.85714285714286 nan nan 
153.0612244897959 -416.4141414141414 27.80774855112549 153.0612244897959 nan nan 
163.26530612244898 -416.4141414141414 27.80774855112549 163.26530612244898 nan nan 
173.46938775510205 -416.4141414141414 27.80774855112549 173.46938775510205 nan nan 
183.6734693877551 -416.4141414141414 27.80774855112549 183.6734693877551 nan nan 
193.87755102040816 -416.4141414141414 27.80774855112549 193.87755102040816 nan nan 
204.0816326530612 -416.4141414141414 27.80774855112549 204.0816326530612 nan nan 
214.28571428571428 -416.4141414141414 27.80774855112549 214.28571428571428 nan nan 
224.48979591836735 -416.4141414141414 27.80774855112549 224.48979591836735 nan nan 
234.6938775510204 -416.4141414141414 27.80774855112549 234.6938775510204 nan nan 
244.89795918367346 -416.4141414141414 27.80774855112549 244.89795918367346 nan nan 
255.10204081632654 -416.4141414141414 27.80774855112549 255.10204081632654 nan nan 
265.3061224489796 -416.4141414141414 27.80774855112549 265.3061224489796 nan nan 
275.51020408163265 -416.4141414141414 27.80774855112549 275.51020408163265 nan nan 
285.7142857142857 -416.4141414141414 27.80774855112549 285.7142857142857 nan nan 
295.9183673469388 -416.4141414141414 27.80774855112549 295.9183673469388 nan nan 
306.1224489795918 -416.4141414141414 27.80774855112549 306.1224489795918 nan nan 
316.3265306122449 -416.4141414141414 27.80774855112549 316.3265306122449 nan nan 
326.53061224489795 -416.4141414141414 27.80774855112549 326.53061224489795 nan nan 
336.734693877551 -416.4141414141414 27.80774855112549 336.734693877551 nan nan 
346.9387755102041 -416.4141414141414 27.80774855112549 346.9387755102041 nan nan 
357.1428571428571 -416.4141414141414 27.80774855112549 357.1428571428571 nan nan 
367.3469387755102 -416.4141414141414 27.80774855112549 367.3469387755102 nan nan 
377.55102040816325 -416.4141414141414 27.80774855112549 377.55102040816325 nan nan 
387.7551020408163 -416.4141414141414 27.80774855112549 387.7551020408163 nan nan 
397.9591836734694 -416.4141414141414 27.80774855112549 397.9591836734694 nan nan 
408.1632653061224 -416.4141414141414 27.80774855112549 408.1632653061224 nan nan 
418.3673469387755 -416.4141414141414 27.80774855112549 418.3673469387755 nan nan 
428.57142857142856 -416.4141414141414 27.80774855112549 428.57142857142856 nan nan 
438.7755102040816 -416.4141414141414 27.80774855112549 438.7755102040816 nan nan 
448.9795918367347 -416.4141414141414 27.80774855112549 448.9795918367347 nan nan 
459.18367346938777 -416.4141414141414 27.80774855112549 459.18367346938777 nan nan 
469.3877551020408 -416.4141414141414 27.80774855112549 469.3877551020408 nan nan 
479.59183673469386 -416.4141414141414 27.80774855112549 479.59183673469386 nan nan 
489.7959183673469 -416.4141414141414 27.80774855112549 489.7959183673469 nan nan 
500.0 -416.4141414141414 27.80774855112549 500.0 nan nan 

0.0 -407.82828282828285 60.66977767694336 0.0 nan nan 
