omega2 r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11
nan 0.013100000000000004 0.006812308237302634 4.8520648859238674e-05 1.3310513324120787e-05 8.898049351480383e-06 7.423732950079993e-06 6.881305316973967e-06 6.7423449699984144e-06 6.850923977810893e-06 7.079433971433054e-06 7.450913786532551e-06 7.942074198855291e-06 8.46495670464228e-06 
nan 0.014100000000000005 0.008483303432656719 6.031261907504287e-05 1.6540352882757894e-05 1.1052173742329213e-05 9.21530690868398e-06 8.535427729705274e-06 8.355362633539903e-06 8.480789745694461e-06 8.752884343382134e-06 9.199407941141872e-06 9.790692292135632e-06 1.0417507327963069e-05 
nan 0.015100000000000006 0.010395016070386724 7.375907109568378e-05 2.022132753862513e-05 1.3505149542949762e-05 1.1253153671201175e-05 1.0414278873850137e-05 1.018440757468402e-05 1.032524454330462e-05 1.0642298201044641e-05 1.1168379355158085e-05 1.1866279431696792e-05 1.2602579558644523e-05 
nan 0.016100000000000007 0.01255960820792607 8.893010149921304e-05 2.4371920394424555e-05 1.6268589259002094e-05 1.3546131884201978e-05 1.2525113532968055e-05 1.2235473865252922e-05 1.2389073811308598e-05 1.2751100274033258e-05 1.3359659571345051e-05 1.4168722833648723e-05 1.5017675458165332e-05 
nan 0.017100000000000008 0.014988318813324358 0.00010588693910953353 2.9008081097206544e-05 1.935231235976064e-05 1.6101494813538735e-05 1.4873574575598781e-05 1.451283531228381e-05 1.4675154643442861e-05 1.5080562825166557e-05 1.5772612786070134e-05 1.669505578561074e-05 1.7657012061264548e-05 
nan 0.01810000000000001 0.01769143166201885 0.00012468163988125743 3.414313962854737e-05 2.276428548223067e-05 1.892483856427357e-05 1.746364355973944e-05 1.7018996545759435e-05 1.7184407028315807e-05 1.762975843871144e-05 1.8404092605124583e-05 1.9439422637784604e-05 2.0511501392140596e-05 
nan 0.01910000000000001 0.020678248246224322 0.00014535683048019757 3.9787734168737676e-05 2.651057280063579e-05 2.2020059694683976e-05 2.0297601196685116e-05 1.9754655245073767e-05 1.99157583236083e-05 2.039552894592069e-05 2.1248418947701438e-05 2.239306930927737e-05 2.3568762739090795e-05 
nan 0.02010000000000001 0.02395706579380088 0.00016794550148104798 4.594975330058208e-05 3.0595296751919385e-05 2.538932239815725e-05 2.3375997851779537e-05 2.2718675695105985e-05 2.2866121171001287e-05 2.3372470708951745e-05 2.429737531803316e-05 2.5544359494275617e-05 2.681316727285574e-05 
nan 0.02110000000000001 0.027535160457289203 0.00019247085075335593 5.263429271712729e-05 3.502060923467437e-05 2.9033035358856368e-05 2.6697634187689467e-05 2.590807378013864e-05 2.60303849593368e-05 2.6552936356561656e-05 2.7540226496778033e-05 2.8878816527803186e-05 3.0225914789878538e-05 
nan 0.022100000000000012 0.0314187756974957 0.00021894617725302866 5.9843626495290293e-05 3.9786673324840926e-05 3.294983831824497e-05 3.0259551982883093e-05 2.9318013439998276e-05 2.9401420841174634e-05 2.9927052935414302e-05 3.09637565346209e-05 3.237919064352382e-05 3.378514205551433e-05 
nan 0.023100000000000013 0.035613115849771726 0.0002473748250817569 6.75771928946587e-05 4.4891655477121095e-05 3.713659832040738e-05 3.405703508462111e-05 3.294181452839373e-05 3.297010020490435e-05 3.348275631055598e-05 3.4552326760304704e-05 3.602555112863125e-05 3.746606191716911e-05 
nan 0.024100000000000014 0.0401223448251707 0.0002777501773232242 7.583159453837768e-05 5.0331728106868197e-05 4.158841553508954e-05 3.808362038251116e-05 3.677097192914279e-05 3.6725326401763675e-05 3.7205841518755904e-05 3.828795334602131e-05 3.979540265556808e-05 4.12411320566752e-05 
