mu sigma omega mu0 sigma0 omega0
0.0 -150.0 8.679770542041041 0.0 92.99999999999999 -7.835965358431999 
10.204081632653061 -150.0 8.679770542041041 10.204081632653061 93.0 -7.835965358431995 
20.408163265306122 -150.0 8.679770542041041 20.408163265306122 92.99999999999999 -7.835965358431999 
30.612244897959183 -150.0 8.679770542041041 30.612244897959183 92.99999999999999 -7.835965358431999 
40.816326530612244 -150.0 8.679770542041041 40.816326530612244 92.99999999999997 -7.835965358431995 
51.0204081632653 -150.0 8.679770542041041 51.0204081632653 92.99999999999997 -7.835965358431995 
61.224489795918366 -150.0 8.679770542041041 61.224489795918366 93.0 -7.835965358431995 
71.42857142857143 -150.0 8.679770542041041 71.42857142857143 92.99999999999999 -7.835965358431999 
81.63265306122449 -150.0 8.679770542041041 81.63265306122449 92.99999999999999 -7.835965358431999 
91.83673469387755 -150.0 8.679770542041041 91.83673469387755 92.99999999999999 -7.835965358431999 
102.0408163265306 -150.0 8.679770542041041 102.0408163265306 93.0 -7.835965358431995 
112.24489795918367 -150.0 8.679770542041041 112.24489795918367 92.99999999999999 -7.835965358431999 
122.44897959183673 -150.0 8.679770542041041 122.44897959183673 93.0 -7.835965358431995 
132.6530612244898 -150.0 8.679770542041041 132.6530612244898 92.99999999999999 -7.835965358431999 
142.85714285714286 -150.0 8.679770542041041 142.85714285714286 93.0 -7.835965358431995 
153.0612244897959 -150.0 8.679770542041041 153.0612244897959 92.99999999999999 -7.835965358431999 
163.26530612244898 -150.0 8.679770542041041 163.26530612244898 92.99999999999999 -7.835965358431999 
173.46938775510205 -150.0 8.679770542041041 173.46938775510205 92.99999999999997 -7.835965358431995 
183.6734693877551 -150.0 8.679770542041041 183.6734693877551 92.99999999999999 -7.835965358431999 
193.87755102040816 -150.0 8.679770542041041 193.87755102040816 92.99999999999997 -7.835965358431995 
204.0816326530612 -150.0 8.679770542041041 204.0816326530612 92.99999999999997 -7.835965358431995 
214.28571428571428 -150.0 8.679770542041041 214.28571428571428 92.99999999999997 -7.835965358431995 
