mu Delta muu mud mue nu nd ne epsilon P
1.001001001001001 300.0 1.001001001001001 1.001001001001001 0.0 -6.51370720283256e-17 -6.51370720283256e-17 -1.005218515985007e-25 -1.3040454860525646e-19 -0.0 
2.002002002002002 300.0 2.002002002002002 2.002002002002002 0.0 -6.513380864215067e-17 -6.513380864215067e-17 -1.005218515985007e-25 -2.60796030599202e-19 -0.0 
3.0030030030030033 300.0 3.0030030030030033 3.0030030030030033 0.0 -6.512836978630543e-17 -6.512836978630543e-17 -1.005218515985007e-25 -3.911613800979307e-19 -0.0 
4.004004004004004 300.0 4.004004004004004 4.004004004004004 0.0 -6.512075564246669e-17 -6.512075564246669e-17 -1.005218515985007e-25 -5.21487532672406e-19 -0.0 
5.005005005005005 300.0 5.005005005005005 5.005005005005005 0.0 -6.511096646499609e-17 -6.511096646499609e-17 -1.005218515985007e-25 -6.517614260760372e-19 -0.0 
6.0060060060060065 300.0 6.0060060060060065 6.0060060060060065 0.0 -6.509900258095387e-17 -6.509900258095387e-17 -1.005218515985007e-25 -7.81970000972419e-19 -0.0 
7.007007007007008 300.0 7.007007007007008 7.007007007007008 0.0 -6.508486439011821e-17 -6.508486439011821e-17 -1.005218515985007e-25 -9.121002016633186e-19 -0.0 
8.008008008008009 300.0 8.008008008008009 8.008008008008009 0.0 -6.5068552365006e-17 -6.5068552365006e-17 -1.005218515985007e-25 -1.0421389768169132e-18 -0.0 
9.00900900900901 300.0 9.00900900900901 9.00900900900901 0.0 -6.50500670509007e-17 -6.50500670509007e-17 -1.005218515985007e-25 -1.1720732801964093e-18 -0.0 
10.01001001001001 300.0 10.01001001001001 10.01001001001001 0.0 -6.50294090658815e-17 -6.50294090658815e-17 -1.005218515985007e-25 -1.3018900713890192e-18 -0.0 
11.011011011011012 300.0 11.011011011011012 11.011011011011012 0.0 -6.500657910085844e-17 -6.500657910085844e-17 -1.005218515985007e-25 -1.4315763165354215e-18 -0.0 
12.012012012012013 300.0 12.012012012012013 12.012012012012013 0.0 -6.49815779196106e-17 -6.49815779196106e-17 -1.005218515985007e-25 -1.5611189890597144e-18 -0.0 
13.013013013013014 300.0 13.013013013013014 13.013013013013014 0.0 -6.495440635883031e-17 -6.495440635883031e-17 -1.005218515985007e-25 -1.6905050703999883e-18 -0.0 
14.014014014014016 300.0 14.014014014014016 14.014014014014016 0.0 -6.492506532816656e-17 -6.492506532816656e-17 -1.005218515985007e-25 -1.819721550739404e-18 -0.0 
