sigma muu omega
-200.0 0.0 28.005005320051833 
-200.0 10.169491525423728 28.005005320051833 
-200.0 20.338983050847457 28.005005320051833 
-200.0 30.508474576271183 28.005005320051833 
-200.0 40.67796610169491 28.005005320051833 
-200.0 50.847457627118644 28.005005320051833 
-200.0 61.01694915254237 28.005005320051833 
-200.0 71.1864406779661 28.005005320051833 
-200.0 81.35593220338983 28.005005320051833 
-200.0 91.52542372881355 28.005005320051833 
-200.0 101.69491525423729 28.005005320051833 
-200.0 111.86440677966101 28.005005320051833 
-200.0 122.03389830508473 28.005005320051833 
-200.0 132.20338983050846 28.005005320051833 
-200.0 142.3728813559322 28.005005320051833 
-200.0 152.54237288135593 28.005005320051833 
-200.0 162.71186440677965 28.005005320051833 
-200.0 172.88135593220338 28.005005320051833 
-200.0 183.0508474576271 28.005005320051833 
-200.0 193.22033898305085 28.005005320051833 
-200.0 203.38983050847457 28.005005320051833 
-200.0 213.5593220338983 28.005005320051833 
-200.0 223.72881355932202 28.005005320051833 
-200.0 233.89830508474574 28.005005320051833 
-200.0 244.06779661016947 28.005005320051833 
-200.0 254.23728813559322 28.005005320051833 
-200.0 264.4067796610169 28.005005320051833 
-200.0 274.5762711864407 28.005005320051833 
-200.0 284.7457627118644 28.005005320051833 
-200.0 294.91525423728814 28.005005320051833 
-200.0 305.08474576271186 28.005005320051833 
-200.0 315.2542372881356 28.005005320051833 
-200.0 325.4237288135593 28.005005320051833 
-200.0 335.59322033898303 28.005005320051833 
-200.0 345.76271186440675 28.005005320051833 
-200.0 355.9322033898305 28.005005320051833 
-200.0 366.1016949152542 28.005005320051833 
-200.0 376.2711864406779 28.005005320051833 
-200.0 386.4406779661017 28.005005320051833 
-200.0 396.6101694915254 28.005005320051833 
-200.0 406.77966101694915 28.005005320051833 
-200.0 416.9491525423729 28.005005320051833 
-200.0 427.1186440677966 28.005005320051833 
-200.0 437.2881355932203 28.005005320051833 
-200.0 447.45762711864404 28.005005320051833 
-200.0 457.62711864406776 28.005005320051833 
-200.0 467.7966101694915 28.005005320051833 
-200.0 477.9661016949152 28.005005320051833 
-200.0 488.13559322033893 28.005005320051833 
-200.0 498.3050847457627 28.005005320051833 
-200.0 508.47457627118644 28.005005320051833 
-200.0 518.6440677966101 28.005005320051833 
-200.0 528.8135593220338 28.005005320051833 
-200.0 538.9830508474575 28.005005320051833 
-200.0 549.1525423728814 28.005005320051833 
-200.0 559.3220338983051 28.005005320051833 
-200.0 569.4915254237288 28.005005320051833 
-200.0 579.6610169491526 28.005005320051833 
-200.0 589.8305084745763 28.005005320051833 
-200.0 600.0 28.005005320051833 

-191.83673469387756 0.0 24.71446753367819 
-191.83673469387756 10.169491525423728 24.71446753367819 
-191.83673469387756 20.338983050847457 24.71446753367819 
-191.83673469387756 30.508474576271183 24.71446753367819 
-191.83673469387756 40.67796610169491 24.71446753367819 
-191.83673469387756 50.847457627118644 24.71446753367819 
-191.83673469387756 61.01694915254237 24.71446753367819 
-191.83673469387756 71.1864406779661 24.71446753367819 
-191.83673469387756 81.35593220338983 24.71446753367819 
-191.83673469387756 91.52542372881355 24.71446753367819 
