P M R
1e-06 0.032363460019899544 4.730233945164166 
1.0094947017728373e-05 0.0643665621000229 3.7457099382522774 
1.9189894035456746e-05 0.07781786640702203 3.509620553678927 
2.828484105318512e-05 0.08723345249686484 3.373591457746617 
3.7379788070913495e-05 0.09467533328351023 3.279396405522967 
4.647473508864187e-05 0.10091283390033333 3.206664658542872 
5.556968210637024e-05 0.10632684740075461 3.148591725772553 
6.466462912409862e-05 0.11113675664583873 3.100428507861603 
7.375957614182699e-05 0.11548166819303231 3.0592003818762326 
8.285452315955537e-05 0.11945589734516109 3.0224322030393163 
9.194947017728374e-05 0.12312663732797689 2.989667264272374 
0.00010104441719501212 0.12654362184037748 2.9612131613247543 
0.00011013936421274049 0.12974479681673395 2.9345927029446472 
0.00012832925824819724 0.13561244423870691 2.8885915991427917 
0.000146519152283654 0.14090394790281222 2.84962981022686 
0.00016470904631911074 0.14573712087961954 2.814712733150493 
0.00018289894035456746 0.15019567229090777 2.785233284813166 
0.0002010888343900242 0.15434142750121402 2.7574112914666054 
0.00021927872842548095 0.1582214750336899 2.7326565358813193 
0.00025565851649639445 0.16532408836215984 2.688667617687187 
0.00029203830456730795 0.17171922432840256 2.651591150385173 
0.00032841809263822145 0.17755233500335954 2.619533410107984 
0.0003647978807091349 0.18292660223977814 2.5912411895078553 
0.0004011776687800484 0.18791813343551675 2.564594592292241 
0.0004375574568509619 0.1925848307330628 2.5415701308007166 
0.0005103170329927889 0.20111523916359503 2.500547615554598 
0.0005830766091346159 0.20878254161673923 2.4654312528916664 
0.0006558361852764429 0.21576498468302738 2.435246393848356 
0.0007285957614182699 0.22218886990368142 2.407601658813259 
0.0008741149137019239 0.23371092348128564 2.3606182545781804 
0.0010196340659855778 0.24386338796418672 2.322310179881527 
0.0011651532182692318 0.25296916966847116 2.288622574949468 
0.0013106723705528858 0.26124544024645735 2.259619065745476 
0.0014561915228365396 0.26884592394541135 2.234395777696016 
0.0017472298274038476 0.2824450083803563 2.1903725010281385 
0.0020382681319711556 0.29439162610888575 2.1536248875058286 
0.0023293064365384635 0.30507744640205986 2.1216255637209636 
0.0026203447411057715 0.3147655509020741 2.0946114147450383 
0.002911383045673079 0.3236419474073783 2.0696684222767243 
0.003493459654807695 0.33947380762140333 2.028388884308482 
0.004075536263942311 0.3533278000085659 1.9934397625324007 
0.004657612873076927 0.365675930849544 1.9634828232488442 
0.005239689482211543 0.37683474211306894 1.9372746895143902 
0.005821766091346159 0.3870277161243351 1.913595669130026 
0.006985919309615391 0.40513295074401645 1.873665322274812 
0.008150072527884623 0.4208957982999254 1.8406455946646723 
0.009314225746153855 0.43488037907904925 1.8122417693466837 
0.010478378964423087 0.4474642146255159 1.7871049144443842 
0.011642532182692317 0.45891332272117846 1.7645925101146707 
0.01397083861923078 0.479139969346106 1.7266217531192847 
0.016299145055769244 0.49663228208085325 1.6945920077604781 
0.018627451492307708 0.5120569605397657 1.6675903757985766 
0.020955757928846172 0.5258588879419862 1.643603500450201 
0.023284064365384632 0.5383507105012271 1.6222607453014362 
0.02794067723846156 0.5602625063272565 1.586175079553888 
0.03259729011153849 0.5790452631159072 1.5545980919826048 
0.037253902984615415 0.5954748021261345 1.5292090516403913 
0.04191051585769234 0.6100667433879158 1.505686218664575 
0.046567128730769264 0.6231820934464913 1.4846420195423025 
0.05588035447692312 0.645970152613551 1.4495969706189877 
0.06519358022307697 0.6652745607477627 1.4204574635772635 
0.07450680596923083 0.6819787849084714 1.3946217819703388 
0.08382003171538469 0.6966666824607123 1.3726099261908284 
0.09313325746153853 0.7097448977033023 1.3526568800439873 
0.11175970895384624 0.7321777208561279 1.3192680907330843 
0.13038616044615395 0.7508768766851522 1.2906146754476768 
0.14901261193846166 0.7668182860015996 1.2665156902430827 
0.18626551492307708 0.7927897960958495 1.225671511089951 
0.2235184179076925 0.8132519058903352 1.1936600107847952 
0.2607713208923079 0.8299184287057552 1.1664079308399165 
0.29802422387692334 0.8438222471796519 1.1425960785179694 
0.37253002984615413 0.8658088878233262 1.10443805308694 
0.447035835815385 0.8824769700173469 1.0733612020032706 
0.5215416417846158 0.8955636630725632 1.0474091398089427 
0.5960474477538467 0.9060978824449162 1.0246632503897815 
0.7450590596923083 0.9219208627791602 0.9885872256269066 
0.89407067163077 0.9330895399428448 0.9586972707240459 
1.1920938955076934 0.9472824878241709 0.9136129198747253 
1.4901171193846166 0.9552618597142903 0.8801972172818266 
1.78814034326154 0.9597552410110596 0.8523992155747828 
2.3841867910153867 0.96308914748636 0.8105165869185869 
2.980233238769233 0.9625179055349182 0.7786443272420649 
3.5762796865230797 0.9600418400332706 0.7542554595451322 
4.768372582030773 0.9525940351137 0.7164716046640668 
5.960465477538467 0.9439926360494625 0.6884280147807407 
7.15255837304616 0.9352638182672731 0.6663847287997748 
9.536744164061547 0.9186656730891053 0.6326876930735079 
11.920929955076932 0.9036802022787344 0.6086273299099904 
14.30511574609232 0.8902565174140189 0.5895991176212111 
19.073487328123093 0.8672825271243652 0.5616318196641353 
23.841858910153867 0.8482648496116634 0.5416322286086301 
28.61023049218464 0.8321529057621522 0.5256059119347003 
38.14697365624619 0.8060448691924886 0.5033165201851236 
57.220459984369285 0.7687288194514181 0.4746673364065783 
76.29394631249238 0.7425484486083994 0.45760688155616414 
114.44091896873857 0.706987522062491 0.4375321506497321 
152.58789162498476 0.6832012151521347 0.426240753615927 
228.88183693747715 0.6523488306598859 0.41261987063950145 
305.17578224996953 0.6326659285472936 0.40638954300816205 
610.3515634999391 0.593729801156271 0.3992125039882576 
1220.703125999878 0.5672779310235465 0.40061862493877437 
2441.406250999756 0.552269667476757 0.4086093658996751 
4882.812500999512 0.5460300360641693 0.4192176624023946 
9765.625000999024 0.5451683091685563 0.4276505067344793 
19531.250000998047 0.5467373696411978 0.43461734331359314 
39062.50000099609 0.5488718184192597 0.4386173729382143 
78125.0000009922 0.550719287426504 0.44141099360657365 
156250.00000098438 0.5520526192642465 0.4432187973608808 
312500.00000096875 0.5529216312978444 0.44340999528392083 
625000.0000009375 0.5534527539568329 0.44419922690961555 
1250000.000000875 0.5537661925637837 0.4436873078379828 
2500000.00000075 0.5539643443468688 0.4437998663139866 
5000000.0000005 0.5540451180830269 0.4439312809275877 
10000000.0 0.5540992079460432 0.4434126364086419 
