P M R omega20 omega21 omega22 nu
1e-05 1.3372223328675263 27.991163409406695 0.00016404688358306885 0.0013251528143882751 0.003135211765766144 0 
1.0596045851707459e-05 1.341130800181844 27.846515496160645 0.0001578405499458313 0.0013272613286972046 0.0031524598598480225 0 
1.1192091703414919e-05 1.3442433636206903 27.706858010942533 0.00015194714069366455 0.0013300999999046326 0.0031717047095298767 0 
1.1788137555122377e-05 1.3466800038096032 27.57207124436232 0.00014618784189224243 0.0013327300548553467 0.0031896978616714478 0 
1.2384183406829836e-05 1.3485352822446057 27.441994593127994 0.00014053285121917725 0.0013351216912269592 0.0032064691185951233 0 
1.3576275110244752e-05 1.350803512701113 27.195198286359716 0.00012940913438796997 0.0013388469815254211 0.0032362639904022217 0 
1.4768366813659669e-05 1.3515508987703955 26.964614036260382 0.00011886656284332275 0.0013431236147880554 0.003267429769039154 0 
1.5960458517074586e-05 1.3511783326320423 26.74818274322383 0.00010901689529418945 0.0013484060764312744 0.003300122916698456 0 
1.7152550220489502e-05 1.3499559924455475 26.544797867739184 9.945034980773926e-05 0.0013530030846595764 0.003329366445541382 0 
1.834464192390442e-05 1.3480762460172455 26.35336659865513 9.006261825561523e-05 0.001356750726699829 0.00335538387298584 0 
1.9536733627319335e-05 1.345687553180903 26.17247729145183 8.137524127960205e-05 0.0013619735836982727 0.0033853650093078613 0 
2.0728825330734252e-05 1.3429332838824188 26.000313154052893 7.366389036178589e-05 0.0013695135712623596 0.0034205839037895203 0 
2.1920917034149172e-05 1.3399153988167465 25.836411718216503 6.629526615142822e-05 0.0013769492506980896 0.0034536048769950867 0 
2.311300873756409e-05 1.3367003612375374 25.680299623289535 5.908310413360596e-05 0.001383669674396515 0.003483317792415619 0 
2.4305100440979005e-05 1.3333367088792818 25.531481712360936 5.199015140533447e-05 0.0013897344470024109 0.0035101771354675293 0 
2.5497192144393922e-05 1.3298574542545476 25.38903046386954 4.5686960220336914e-05 0.0013976246118545532 0.0035421401262283325 0 
2.668928384780884e-05 1.326303810936444 25.251068227334887 4.089623689651489e-05 0.0014098137617111206 0.003584951162338257 0 
2.7881375551223755e-05 1.3227271288539058 25.11753121427976 3.661215305328369e-05 0.001422680914402008 0.0036277174949645996 0 
2.9073467254638672e-05 1.3191548663643144 24.98840182821014 3.25813889503479e-05 0.0014353618025779724 0.0036684125661849976 0 
3.1457650661468505e-05 1.312082155123675 24.742972034364083 2.4780631065368652e-05 0.0014587268233299255 0.0037407204508781433 0 
3.3841834068298345e-05 1.3051291060634 24.5116564325237 1.9572675228118896e-05 0.001487530767917633 0.003825761377811432 0 
3.622601747512818e-05 1.2983704292626874 24.288401311127185 1.8030405044555664e-05 0.0015253424644470215 0.003931291401386261 0 
3.861020088195801e-05 1.2919282548570883 24.073884775833527 1.738220453262329e-05 0.001563340425491333 0.004032455384731293 0 
4.0994384288787845e-05 1.2858313311204472 23.868501173780178 1.6964972019195557e-05 0.0015996992588043213 0.004125542938709259 0 
4.337856769561768e-05 1.2800373481217941 23.66940914601831 1.9513070583343506e-05 0.0016432851552963257 0.004236981272697449 0 
4.576275110244751e-05 1.2745817634475565 23.474071208272008 2.4236738681793213e-05 0.0016921907663345337 0.00435958057641983 0 
4.8146934509277344e-05 1.2695162917060803 23.283467992377958 2.9630959033966064e-05 0.0017416104674339294 0.004480376839637756 0 
5.053111791610718e-05 1.2648471375751444 23.098182325953164 3.534555435180664e-05 0.0017905831336975098 0.00459703803062439 0 
5.291530132293701e-05 1.2605498609777752 22.917642648507385 4.225224256515503e-05 0.0018420442938804626 0.00471891462802887 0 
5.529948472976685e-05 1.2566131698930763 22.739724797012492 5.0887465476989746e-05 0.0018980801105499268 0.00485161691904068 0 
5.7683668136596684e-05 1.253063106638586 22.564995083294534 6.0364603996276855e-05 0.0019560232758522034 0.004987090826034546 0 
6.006785154342652e-05 1.2499004639158449 22.393966678743933 7.025152444839478e-05 0.0020142868161201477 0.0051210299134254456 0 
6.245203495025636e-05 1.24711312146553 22.226988675145446 8.027255535125732e-05 0.0020722374320030212 0.0052521005272865295 0 
6.483621835708618e-05 1.2446792856695026 22.063333877424853 9.141117334365845e-05 0.0021331310272216797 0.005390271544456482 0 
6.722040176391602e-05 1.2425985416315914 21.902374876581984 0.00010337680578231812 0.0021962150931358337 0.005532853305339813 0 
6.960458517074586e-05 1.2408698149642314 21.744505806648945 0.000116005539894104 0.0022608712315559387 0.005677506327629089 0 
7.198876857757569e-05 1.2394821478869689 21.590004830001625 0.00012869387865066528 0.002325288951396942 0.005820229649543762 0 
7.437295198440552e-05 1.2384195605838537 21.439065501329853 0.00014165043830871582 0.0023899301886558533 0.005961492657661438 0 
7.675713539123536e-05 1.237665602274069 21.291387881493716 0.00015526264905929565 0.002456285059452057 0.006106428802013397 0 
7.91413187980652e-05 1.2372144749500544 21.14654954567822 0.00016929209232330322 0.0025237277150154114 0.006253346800804138 0 
8.152550220489502e-05 1.2370571380838185 21.004747936256866 0.00018388032913208008 0.0025924071669578552 0.006401687860488892 0 
8.390968561172485e-05 1.2371799431670163 20.86612032528849 0.00019869208335876465 0.0026614144444465637 0.00654948502779007 0 
8.629386901855469e-05 1.2375674218906698 20.73075699653353 0.00021367520093917847 0.0027304142713546753 0.006695561110973358 0 
8.867805242538453e-05 1.2382037086807063 20.598637641563784 0.00022877752780914307 0.002799391746520996 0.006840534508228302 0 
9.106223583221436e-05 1.2390809800606772 20.46939175367314 0.00024458765983581543 0.0028701648116111755 0.006988927721977234 0 
9.583060264587402e-05 1.2415169243681263 20.219628140133675 0.0002768859267234802 0.003012828528881073 0.007285453379154205 0 
0.00010059896945953369 1.2447724351424494 19.981728001920136 0.00030969828367233276 0.003154836595058441 0.00757453590631485 0 
0.00010536733627319336 1.2487524304056634 19.755183229718355 0.0003435984253883362 0.003298543393611908 0.007863454520702362 0 
0.00011013570308685302 1.2533851371921416 19.539283557491554 0.0003778710961341858 0.003441423177719116 0.008147306740283966 0 
0.00011490406990051269 1.2585821319711399 19.333902504261715 0.0004127994179725647 0.0035840123891830444 0.008424423635005951 0 
0.00011967243671417235 1.264270029877006 19.138467746802338 0.0004480108618736267 0.0037250742316246033 0.008695051074028015 0 
0.00012444080352783202 1.2703913651912169 18.952350411886187 0.00048351287841796875 0.003864586353302002 0.008958771824836731 0 
0.0001292091703414917 1.2768784364175783 18.77525396389457 0.0005197227001190186 0.004003435373306274 0.009215056896209717 0 
0.00013397753715515135 1.2836746606728249 18.606675744877176 0.0005558282136917114 0.004139460623264313 0.009463198482990265 0 
0.000138745903968811 1.2907385709774297 18.44603082509454 0.0005917549133300781 0.004272036254405975 0.009701795876026154 0 
0.0001435142707824707 1.2980207496138643 18.292976856115608 0.0006278306245803833 0.00440254807472229 0.009932957589626312 0 
0.00014828263759613037 1.3054781800869157 18.14710418578401 0.0006641596555709839 0.004529893398284912 0.010153383016586304 0 
0.00015305100440979005 1.3130820842775086 18.007898468960043 0.0006997883319854736 0.004653416574001312 0.010368101298809052 0 
