sigma muu mud mue omega
92.99999797890013 0.0 6.369386866356379e-06 6.369386866356379e-06 -8.018229719658114 
92.99999797890013 10.169491525423728 10.169492014063279 4.886395501557672e-07 -8.018229719658114 
92.99999797890013 20.338983050847457 20.33898129194003 -1.7589074268187233e-06 -8.018229719658114 
92.99999797890013 30.508474576271183 30.50847595814003 1.3818688451294747e-06 -8.018229719658114 
92.99999797890013 40.67796610169491 40.677967381017076 1.2793221628726315e-06 -8.018229719658114 
92.99999797890013 50.847457627118644 50.84745714444633 -4.826723127848709e-07 -8.018229719658114 
92.99999797890013 61.01694915254237 61.0169481832204 -9.693219666928599e-07 -8.018229719658114 
92.99999797890013 71.1864406779661 71.18644257368058 1.8957144760634037e-06 -8.018229719658114 
92.99999797890013 81.35593220338983 81.35593103182042 -1.1715694085978612e-06 -8.018229719658114 
92.99999797890013 91.52542372881355 91.52542367495361 -5.3859935178479645e-08 -8.018229719658114 
92.99999797890013 101.69491525423729 101.69491698570592 1.7314686289182646e-06 -8.018229719658114 
92.99999797890013 111.86440677966101 111.86440431654151 -2.4631195003621542e-06 -8.018229719658114 
92.99999797890013 122.03389830508473 122.03390000853751 1.7034527814985267e-06 -8.018229719658114 
92.99999797890013 132.20338983050846 132.20338911267785 -7.17830602070535e-07 -8.018229719658114 
92.99999797890013 142.3728813559322 142.3728837936456 2.437713391145735e-06 -8.018229719658114 
92.99999797905008 152.54237288135593 152.54237066941909 -2.211936845242235e-06 -8.018229719658118 
92.9999979940798 162.71186440677965 162.71186685949075 2.4527111008865177e-06 -8.018229719658116 
92.9999980639524 172.88135593220338 172.8813577666379 1.8344345278364926e-06 -8.018229719658116 
92.99999822062387 183.0508474576271 183.05084486407543 -2.593551670315719e-06 -8.018229719658118 
92.99999850292194 193.22033898305085 193.22033948629087 5.032400167692685e-07 -8.018229719658118 
92.99999896851013 203.38983050847457 203.38983225415942 1.7456848411256942e-06 -8.018229719658121 
92.99999971234034 213.5593220338983 213.55932210894323 7.504493737542361e-08 -8.018229719658125 
92.99999998510363 223.72881355932202 223.7288145272294 9.679073684765171e-07 -8.018229719658127 
92.99999997840453 233.89830508474574 233.89830471910898 -3.6563676530931843e-07 -8.018229719658123 
92.9999999678122 244.06779661016947 244.06779434625153 -2.2639179348971084e-06 -8.018229719658123 
92.99999989125214 254.23728813559322 254.23728563589268 -2.499700542557548e-06 -8.018229719658128 
93.00000132304584 264.4067796610169 264.4067830761132 3.4150962733292545e-06 -8.01822971965812 
92.99999984847095 274.5762711864407 274.5762742384017 3.0519610163537436e-06 -8.018229719658125 
92.99999998201064 284.7457627118644 284.7457609830579 -1.7288065237153205e-06 -8.018229719658125 
nan nan nan nan nan 
13.281334226215309 294.91525423728814 367.3066806073482 72.39142637006006 -8.973047339589744 
10.736780726626353 305.08474576271186 380.5119562568853 75.42721049417344 -10.225166861617526 
8.992061044206832 315.2542372881356 393.49525340842354 78.24101612028795 -11.620517608267768 
7.711093329791783 325.4237288135593 406.3719201310682 80.94819131750887 -13.164845709259076 
6.727872970274509 335.59322033898303 419.1906064241797 83.59738608519666 -14.865799157178726 
5.948705143078188 345.76271186440675 431.9750869643932 86.21237509998645 -16.73206545013288 
5.316053292155508 355.9322033898305 444.73815653783106 88.80595314800058 -18.77301860628079 
4.792357233790619 366.1016949152542 457.48720256300425 91.38550764775005 -20.998552483922168 
4.352012832360047 376.2711864406779 470.2267222377329 93.95553579705495 -23.41899400827642 
3.97685303599719 386.4406779661017 482.9595773416809 96.51889937557922 -26.045054614309198 
3.6536668922512505 396.6101694915254 495.68765092678154 99.07748143525612 -28.887801502181226 
3.3725693462448083 406.77966101694915 508.4122210309719 101.63256001402277 -31.958639830762646 
3.1260569186886435 416.9491525423729 521.1341753498353 104.18502280746247 -35.26930126422536 
2.9082789611945703 427.1186440677966 533.8541459257204 106.73550185792385 -38.831836367200395 
2.7146395927981284 437.2881355932203 546.5725901432602 109.28445455003987 -42.65860941574076 
2.5414630169623798 447.45762711864404 559.2898451160131 111.83221799736907 -46.762294771757986 
2.385786632100072 457.62711864406776 572.0061627204846 114.37904407641679 -51.1558742965821 
2.245187838766053 467.7966101694915 584.7217339318996 116.92512376240813 -55.85263547147057 
2.1176482570077537 477.9661016949152 597.4367056594349 119.47060396451968 -60.86617000915383 
2.001506608828538 488.13559322033893 610.1511914307641 122.0155982104252 -66.21037281284092 
1.895388608941039 498.3050847457627 622.8652798734354 124.56019512767267 -71.8994411851924 
1.7980898496540372 508.47457627118644 635.5790418239353 127.10446555274888 -77.94787421990883 
1.708604316397844 518.6440677966101 648.2925334136592 129.64846561704906 -84.37047232851981 
1.6260853765777983 528.8135593220338 661.0057995465966 132.19224022456274 -91.18233686858675 
1.5497825297045902 538.9830508474575 673.7188768834193 134.73582603596174 -98.39886984881113 
1.4790583611000876 549.1525423728814 686.4317951282118 137.2792527553304 -106.03577369312275 
1.4133575020058236 559.3220338983051 699.1445786575208 139.8225447592157 -114.10905105042832 
1.3521892630911698 569.4915254237288 711.857247639591 142.3657222158622 -122.63500464002611 
1.2951286471841188 579.6610169491526 724.569818738592 144.9088017894394 -131.6302371251345 
1.2417916673573879 589.8305084745763 737.2823059403144 147.45179746573808 -141.1116510087561 
1.1918692082501148 600.0 749.9947206785037 149.99472067850365 -151.09644854737687 
