mub sigma muu mud mue nu nd ne epsilon P
8.032128514056225 93.0 2.677376171352075 2.677376171352075 0.0 -6.513037777941217e-17 -6.513037777941217e-17 -1.005218515985007e-25 -3.487570429955137e-19 -0.0 
16.06425702811245 93.0 5.35475234270415 5.35475234270415 0.0 -6.510703346980472e-17 -6.510703346980472e-17 -1.005218515985007e-25 -6.972640799979088e-19 -0.0 
24.096385542168676 93.0 8.032128514056225 8.032128514056225 0.0 -6.506813248667425e-17 -6.506813248667425e-17 -1.005218515985007e-25 -1.045271204605209e-18 -0.0 
32.1285140562249 93.0 10.7095046854083 10.7095046854083 0.0 -6.501368413193635e-17 -6.501368413193635e-17 -1.005218515985007e-25 -1.3925287096532554e-18 -0.0 
40.16064257028113 93.0 13.386880856760376 13.386880856760376 0.0 -6.49437014334671e-17 -6.49437014334671e-17 -1.005218515985007e-25 -1.7387871869736845e-18 -0.0 
48.19277108433735 93.0 16.06425702811245 16.06425702811245 0.0 -6.485820115030485e-17 -6.485820115030485e-17 -1.005218515985007e-25 -2.083797627319032e-18 -0.0 
56.22489959839358 93.0 18.741633199464527 18.741633199464527 0.0 -6.47572037793554e-17 -6.47572037793554e-17 -1.005218515985007e-25 -2.4273115205113145e-18 -0.0 
64.2570281124498 93.0 21.4190093708166 21.4190093708166 0.0 -6.46407335636109e-17 -6.46407335636109e-17 -1.005218515985007e-25 -2.7690809558708823e-18 -0.0 
72.28915662650603 93.0 24.096385542168676 24.096385542168676 0.0 -6.450881850189257e-17 -6.450881850189257e-17 -1.005218515985007e-25 -3.1088587229827753e-18 -0.0 
80.32128514056225 93.0 26.773761713520752 26.773761713520752 0.0 -6.436149036014046e-17 -6.436149036014046e-17 -1.005218515985007e-25 -3.446398412858928e-18 -0.0 
88.35341365461848 93.0 29.451137884872825 29.451137884872825 0.0 -6.419878468426367e-17 -6.419878468426367e-17 -1.005218515985007e-25 -3.781454519555023e-18 -0.0 
96.3855421686747 93.0 32.1285140562249 32.1285140562249 0.0 -6.402074081457458e-17 -6.402074081457458e-17 -1.005218515985007e-25 -4.1137825423019824e-18 -0.0 
104.41767068273093 93.0 34.805890227576974 34.805890227576974 0.0 -6.382740190183509e-17 -6.382740190183509e-17 -1.005218515985007e-25 -4.443139088213421e-18 -0.0 
112.44979919678715 93.0 37.483266398929054 37.483266398929054 0.0 -6.36188149249365e-17 -6.36188149249365e-17 -1.005218515985007e-25 -4.769281975631118e-18 -0.0 
120.48192771084338 93.0 40.16064257028113 40.16064257028113 0.0 -6.339503071025173e-17 -6.339503071025173e-17 -1.005218515985007e-25 -5.0919703381728306e-18 -0.0 
128.5140562248996 93.0 42.8380187416332 42.8380187416332 0.0 -6.315610395268562e-17 -6.315610395268562e-17 -1.005218515985007e-25 -5.410964729547363e-18 -0.0 
136.54618473895584 93.0 45.51539491298528 45.51539491298528 0.0 -6.290209323846755e-17 -6.290209323846755e-17 -1.005218515985007e-25 -5.7260272292045445e-18 -0.0 
144.57831325301206 93.0 48.19277108433735 48.19277108433735 0.0 -6.263306106972361e-17 -6.263306106972361e-17 -1.005218515985007e-25 -6.0369215488890246e-18 -0.0 
152.61044176706827 93.0 50.870147255689425 50.870147255689425 0.0 -6.234907389087268e-17 -6.234907389087268e-17 -1.005218515985007e-25 -6.343413140169109e-18 -0.0 
