sigma mu omega domega
-200.0 0.0 1.6885318470935837 0.2726030560112894 
-191.83673469387756 0.0 3.9138629165734953 0.21505184481973302 
-183.6734693877551 0.0 5.199582374762693 0.11165721432117469 
-175.51020408163265 0.0 5.736837844266148 0.030467269420854634 
-167.3469387755102 0.0 5.697007181633788 -0.030907119328207444 
-159.18367346938777 0.0 5.232231814417864 -0.07478818913242903 
-151.0204081632653 0.0 4.475975522328822 -0.10342801174324484 
-142.85714285714286 0.0 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 0.0 2.53303865979638 -0.12361931882471301 
-126.53061224489795 0.0 1.5253366214716115 -0.11928959339657791 
-118.36734693877551 0.0 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 0.0 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 0.0 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 0.0 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 0.0 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 0.0 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 0.0 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 0.0 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 0.0 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 0.0 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 0.0 -0.680608297096623 0.04331580666452052 
-28.571428571428555 0.0 -0.3390113633321058 0.03740942957800151 
-20.408163265306115 0.0 -0.0698420999047609 0.025706167501499 
-12.244897959183675 0.0 0.08068116730461215 0.008728527825297074 
-4.081632653061206 0.0 0.07266447683478272 -0.01232904943594047 
4.081632653061234 0.0 -0.1206094357311501 -0.035023059142713114 
12.244897959183675 0.0 -0.49914057039318593 -0.05608063640395059 
20.408163265306115 0.0 -1.0362116627344242 -0.07305827608015251 
28.571428571428584 0.0 -1.6919287512936363 -0.08476153815665505 
36.734693877551024 0.0 -2.4200735101900173 -0.09066791524317404 
44.897959183673464 0.0 -3.172221245059742 -0.09069169439234585 
53.06122448979593 0.0 -3.900754234963012 -0.08507785242051341 
61.22448979591837 0.0 -4.5612474070273095 -0.07433859575058194 
69.38775510204084 0.0 -5.114445594156187 -0.059210710218182916 
77.55102040816325 0.0 -5.527952879977234 -0.04062480569586402 
85.71428571428572 0.0 -5.777707727966211 -0.01968204364302045 
93.87755102040819 0.0 -5.849292368026548 0.002364106656556797 
102.0408163265306 0.0 -5.739110068267324 0.024122563610551314 
110.20408163265307 0.0 -5.455454594793057 0.04407672900208591 
118.36734693877554 0.0 -5.019490002927146 0.060594620511646366 
126.53061224489795 0.0 -4.466154668072301 0.0719374848179246 
134.69387755102042 0.0 -3.845000454879399 0.07626721024605927 
142.8571428571429 0.0 -3.2209757252794944 0.0716527742514587 
151.0204081632653 0.0 -2.6751592426106856 0.05607590316459173 
159.18367346938777 0.0 -2.3054507756535094 0.02743608055377413 
167.34693877551024 0.0 -2.2272232335694744 -0.01644498925044614 
175.51020408163265 0.0 -2.5739403960689526 -0.07781937799950789 
183.67346938775512 0.0 -3.4977436907043002 -0.15900932289983066 
191.8367346938776 0.0 -5.170010974025377 -0.26240395339838585 
200.0 0.0 -7.781889868637118 -0.3199551645899396 

-200.0 10.169491525423728 1.6885318470935837 0.2726030560112894 
-191.83673469387756 10.169491525423728 3.9138629165734953 0.21505184481973302 
-183.6734693877551 10.169491525423728 5.199582374762693 0.11165721432117469 
-175.51020408163265 10.169491525423728 5.736837844266148 0.030467269420854634 
-167.3469387755102 10.169491525423728 5.697007181633788 -0.030907119328207444 
-159.18367346938777 10.169491525423728 5.232231814417864 -0.07478818913242903 
-151.0204081632653 10.169491525423728 4.475975522328822 -0.10342801174324484 
-142.85714285714286 10.169491525423728 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 10.169491525423728 2.53303865979638 -0.12361931882471301 
-126.53061224489795 10.169491525423728 1.5253366214716115 -0.11928959339657791 
-118.36734693877551 10.169491525423728 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 10.169491525423728 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 10.169491525423728 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 10.169491525423728 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 10.169491525423728 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 10.169491525423728 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 10.169491525423728 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 10.169491525423728 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 10.169491525423728 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 10.169491525423728 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 10.169491525423728 -0.680608297096623 0.04331580666452052 
-28.571428571428555 10.169491525423728 -0.3390113633321058 0.03740942957800151 
-20.408163265306115 10.169491525423728 -0.0698420999047609 0.025706167501499 
-12.244897959183675 10.169491525423728 0.08068116730461215 0.008728527825297074 
-4.081632653061206 10.169491525423728 0.07266447683478272 -0.01232904943594047 
4.081632653061234 10.169491525423728 -0.1206094357311501 -0.035023059142713114 
12.244897959183675 10.169491525423728 -0.49914057039318593 -0.05608063640395059 
20.408163265306115 10.169491525423728 -1.0362116627344242 -0.07305827608015251 
28.571428571428584 10.169491525423728 -1.6919287512936363 -0.08476153815665505 
36.734693877551024 10.169491525423728 -2.4200735101900173 -0.09066791524317404 
44.897959183673464 10.169491525423728 -3.172221245059742 -0.09069169439234585 
53.06122448979593 10.169491525423728 -3.900754234963012 -0.08507785242051341 
61.22448979591837 10.169491525423728 -4.5612474070273095 -0.07433859575058194 
69.38775510204084 10.169491525423728 -5.114445594156187 -0.059210710218182916 
77.55102040816325 10.169491525423728 -5.527952879977234 -0.04062480569586402 
85.71428571428572 10.169491525423728 -5.777707727966211 -0.01968204364302045 
93.87755102040819 10.169491525423728 -5.849292368026548 0.002364106656556797 
102.0408163265306 10.169491525423728 -5.739110068267324 0.024122563610551314 
110.20408163265307 10.169491525423728 -5.455454594793057 0.04407672900208591 
118.36734693877554 10.169491525423728 -5.019490002927146 0.060594620511646366 
126.53061224489795 10.169491525423728 -4.466154668072301 0.0719374848179246 
134.69387755102042 10.169491525423728 -3.845000454879399 0.07626721024605927 
142.8571428571429 10.169491525423728 -3.2209757252794944 0.0716527742514587 
151.0204081632653 10.169491525423728 -2.6751592426106856 0.05607590316459173 
159.18367346938777 10.169491525423728 -2.3054507756535094 0.02743608055377413 
167.34693877551024 10.169491525423728 -2.2272232335694744 -0.01644498925044614 
175.51020408163265 10.169491525423728 -2.5739403960689526 -0.07781937799950789 
183.67346938775512 10.169491525423728 -3.4977436907043002 -0.15900932289983066 
191.8367346938776 10.169491525423728 -5.170010974025377 -0.26240395339838585 
200.0 10.169491525423728 -7.781889868637118 -0.3199551645899396 

-200.0 20.338983050847457 1.6885318470935837 0.2726030560112894 
-191.83673469387756 20.338983050847457 3.9138629165734953 0.21505184481973302 
-183.6734693877551 20.338983050847457 5.199582374762693 0.11165721432117469 
-175.51020408163265 20.338983050847457 5.736837844266148 0.030467269420854634 
-167.3469387755102 20.338983050847457 5.697007181633788 -0.030907119328207444 
-159.18367346938777 20.338983050847457 5.232231814417864 -0.07478818913242903 
-151.0204081632653 20.338983050847457 4.475975522328822 -0.10342801174324484 
-142.85714285714286 20.338983050847457 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 20.338983050847457 2.53303865979638 -0.12361931882471301 
-126.53061224489795 20.338983050847457 1.5253366214716115 -0.11928959339657791 
