Pcs r0 P0 nu0 nd0 ns0 ne0 r1 P1 nu1 nd1 ns1 ne1 r2 P2 nu2 nd2 ns2 ne2
0.0006 0.0 0.0006 0.7178026086135518 1.406815181374687 0.017418411478942582 0.0037905414578228236 0.0 0.0008 0.8819820596791664 1.5971115303920362 0.15761927647277713 0.003077770831173489 0.0 0.001 1.0693183164399167 1.738288313583997 0.3945421950067044 0.0019353747630442288 
0.0008 9.999999999999999e-05 0.0005999999998746704 0.7178026085212925 1.4068151812364134 0.017418411432460507 0.0037905414579018385 9.999999999999999e-05 0.0007999999997887336 0.8819820594893308 1.5971115302223118 0.1576192762592849 0.0030777708323552794 9.999999999999999e-05 0.0009999999996642432 1.0693183161184545 1.738288313378402 0.39454219456425615 0.0019353747647504792 
0.001 0.0011 0.0005999999848351244 0.7178025974501756 1.4068151646435836 0.017418405854611043 0.0037905414673836627 0.0011 0.0007999999744367552 0.8819820367090512 1.597111509855379 0.15761925064021368 0.0030777709741701713 0.0011 0.0009999999593734337 1.0693182775429964 1.738288288707014 0.3945421414704777 0.001935374969500501 
nan 0.0111 0.0005999984558166616 0.71780147188813 1.4068134777081431 0.01741783877400805 0.0037905424313677974 0.0111 0.0007999973969912559 0.8819797207190155 1.5971094392217327 0.15761664604034165 0.003077785391985924 0.0111 0.0009999958631535018 1.069314355716584 1.7382857804567964 0.3945367436193027 0.0019353957856898531 
nan 0.0211 0.0005999944202296376 0.7177985011564508 1.406809025325821 0.017416342060149727 0.003790544975641762 0.0211 0.0007999905942779282 0.8819736080713235 1.5971039741490056 0.15760977165783058 0.003077823445270624 0.0211 0.0009999850519344872 1.0693040047771847 1.738279160391737 0.3945224969840553 0.0019354507261925315 
nan 0.031100000000000003 0.0005999878781258462 0.7177936852932649 1.4068018075537603 0.017413915732245232 0.0037905491001729024 0.031100000000000003 0.0007999795664397026 0.881963698894407 1.5970951147520236 0.15759862763711704 0.0030778851332247392 0.031100000000000003 0.0009999675260300561 1.0692872250251106 1.7382684287039043 0.39449940197807387 0.0019355397894145448 
nan 0.041100000000000005 0.0005999788295892167 0.7177870243603557 1.4067918244845585 0.017410559821422207 0.0037905548049083043 0.041100000000000005 0.0007999643137081895 0.8819499933963817 1.5970828612168548 0.15758321421225152 0.003077970454552679 0.041100000000000005 0.0009999432859484766 1.0692640169469907 1.7382535857045271 0.3944674592711356 0.0019356629727729747 
nan 0.051100000000000007 0.0005999672747358302 0.7177785184431742 1.4067790762462857 0.017406274370732666 0.003790562089774784 0.051100000000000007 0.0007999448364037197 0.8819324918650843 1.5970672138008422 0.15756353170693949 0.003078079407462564 0.051100000000000007 0.0009999123323926999 1.0692343812158482 1.738234631824046 0.39442666978956437 0.0019358202726955597 
nan 0.06110000000000001 0.0005999532137139181 0.7177681676508386 1.4067635630024824 0.017401059435152487 0.0037905709546788868 0.06110000000000001 0.0007999211349353339 0.8819111946680622 1.5970481728325954 0.15753958053453115 0.0030782119896662873 0.06110000000000001 0.0009998746662603288 1.0691983186910718 1.7382115676120926 0.3943770347161889 0.0019360116846208583 
nan 0.07110000000000001 0.0005999366467038581 0.7177559721161312 1.406745284952156 0.01739491508158 0.003790581399506892 0.07110000000000001 0.000799893209800767 0.8818861022525605 1.597025738711978 0.15751136119800516 0.003078368198379599 0.07110000000000001 0.000999830288643567 1.0691558304183648 1.738184393737459 0.3943185554902757 0.001936237202998505 
