P M R omega20 omega21 omega22 omega23 omega24 omega25 nu
1e-06 0.032300531185637166 4.727322753960933 0.00012236833572387695 0.0005769282579421997 0.0012430548667907715 0.0021314769983291626 0.00324423611164093 0.004583194851875305 0 
1.0094947017728373e-05 0.06405287269613225 3.7414204180664634 0.00048394501209259033 0.0022952258586883545 0.0049485862255096436 0.008487381041049957 0.0129198357462883 0.01825326681137085 0 
1.9189894035456746e-05 0.0773289319169541 3.5036073004282424 0.0007073208689689636 0.003364771604537964 0.007257506251335144 0.012449540197849274 0.018952801823616028 0.026777788996696472 0 
2.828484105318512e-05 0.08659472019836788 3.3675040450902083 0.0008886232972145081 0.004235580563545227 0.009136401116847992 0.015672102570533752 0.023857899010181427 0.03370722383260727 0 
3.7379788070913495e-05 0.0939016814019869 3.272327024509533 0.0010465234518051147 0.004996508359909058 0.010778635740280151 0.018488742411136627 0.028144702315330505 0.03976232558488846 0 
4.647473508864187e-05 0.10001451111620747 3.1997178954185945 0.0011888816952705383 0.005685038864612579 0.012266241014003754 0.021042130887508392 0.032033100724220276 0.045257195830345154 0 
5.556968210637024e-05 0.10531154251823999 3.1406143921660186 0.001319892704486847 0.006320826709270477 0.01364126056432724 0.02340337634086609 0.03562939912080765 0.05033896118402481 0 
6.466462912409862e-05 0.11001055229350445 3.0916495067349796 0.0014422610402107239 0.006917580962181091 0.014935716986656189 0.02563164383172989 0.039029933512210846 0.05515211075544357 0 
7.375957614182699e-05 0.11424955441678823 3.049693039390844 0.00155678391456604 0.007473178207874298 0.016132615506649017 0.027680546045303345 0.04214323312044144 0.05954381078481674 0 
8.285452315955537e-05 0.1181220778028362 3.0135558521621957 0.0016653165221214294 0.008000515401363373 0.01726868748664856 0.029625773429870605 0.04510028660297394 0.06371749937534332 0 
9.194947017728374e-05 0.121694725490211 2.980595736615743 0.0017698928713798523 0.008516110479831696 0.01839325577020645 0.031569063663482666 0.04807385802268982 0.06793418526649475 0 
0.00010104441719501212 0.12501677371349937 2.951655558719023 0.0018685609102249146 0.008994117379188538 0.019416868686676025 0.03331276774406433 0.05071356147527695 0.07164739817380905 0 
0.00011013936421274049 0.12812580458399433 2.9253968428560024 0.0019639357924461365 0.009460121393203735 0.02042178064584732 0.03503411263227463 0.05333065241575241 0.07534120231866837 0 
0.00012832925824819724 0.13381640973738418 2.878595579594684 0.002146489918231964 0.010363660752773285 0.02239089459180832 0.03843427449464798 0.0585307776927948 0.08271279186010361 0 
0.000146519152283654 0.13893909295018475 2.8386549997400974 0.002316690981388092 0.011200308799743652 0.024197697639465332 0.041531383991241455 0.06324076652526855 0.08936046063899994 0 
0.00016470904631911074 0.14361036329231114 2.8044296631265855 0.00247742235660553 0.011990152299404144 0.025899551808834076 0.044444091618061066 0.06766650825738907 0.09560459852218628 0 
0.00018289894035456746 0.1479129530830476 2.773642724852843 0.0026316940784454346 0.012757629156112671 0.02756955474615097 0.04732377082109451 0.07206626981496811 0.10183746367692947 0 
0.0002010888343900242 0.15190793166747607 2.74559130170276 0.0027784407138824463 0.013483956456184387 0.02913852035999298 0.05001230537891388 0.07615271955728531 0.10760152339935303 0 
0.00021927872842548095 0.15564178701278805 2.7206013685694135 0.0029198676347732544 0.014188714325428009 0.030668646097183228 0.05264566093683243 0.08016999810934067 0.11328580975532532 0 
0.00025565851649639445 0.16246390513959463 2.6765932002198958 0.0031881332397460938 0.015531502664089203 0.033589139580726624 0.057677820324897766 0.08785299211740494 0.12416306883096695 0 
0.00029203830456730795 0.1685920273240882 2.6392914287087437 0.003438293933868408 0.016780056059360504 0.03628845512866974 0.062306977808475494 0.09489612281322479 0.13410891592502594 0 
0.00032841809263822145 0.17416946003882705 2.6064257916098006 0.003674224019050598 0.017958857119083405 0.038831256330013275 0.06665836274623871 0.10150414705276489 0.14342515170574188 0 
0.0003647978807091349 0.17929777937684085 2.577249914439191 0.003899693489074707 0.019096456468105316 0.04130224138498306 0.0709097757935524 0.10798725485801697 0.15259479731321335 0 
0.0004011776687800484 0.18405185079557318 2.5506136489795392 0.004115380346775055 0.020189784467220306 0.043680936098098755 0.0750056728720665 0.11423470824956894 0.16143014281988144 0 
0.0004375574568509619 0.18848859043965013 2.5273944669739845 0.0043201744556427 0.02121877670288086 0.04589533060789108 0.07878781855106354 0.1199713945388794 0.16951270401477814 0 
0.0005103170329927889 0.19657853105130801 2.486227830786608 0.004709072411060333 0.023191355168819427 0.05016481876373291 0.08611135929822922 0.1311143860220909 0.18524830043315887 0 
0.0005830766091346159 0.20382740741623004 2.449606095684477 0.0050764307379722595 0.025086231529712677 0.054314419627189636 0.09328912198543549 0.14209814369678497 0.20081856846809387 0 
0.0006558361852764429 0.21040994894282536 2.418604395105146 0.0054205432534217834 0.02685665339231491 0.0581669807434082 0.09992227703332901 0.15221761912107468 0.2151363119482994 0 
0.0007285957614182699 0.21644982612525743 2.391269274726701 0.005745187401771545 0.028523586690425873 0.061772726476192474 0.1061004176735878 0.16160819679498672 0.22838560491800308 0 
0.0008741149137019239 0.22724382705320778 2.343591733609899 0.006354518234729767 0.031693823635578156 0.06868190318346024 0.11800247430801392 0.17976675182580948 0.25407230854034424 0 
0.0010196340659855778 0.23671221100572323 2.3044782691891212 0.0069144368171691895 0.034617967903614044 0.0750366672873497 0.12892522662878036 0.19640715420246124 0.27759116142988205 0 
0.0011651532182692318 0.24516985246513662 2.270641904756438 0.007439211010932922 0.037395358085632324 0.08111508190631866 0.13942696899175644 0.2124662697315216 0.3003510609269142 0 
0.0013106723705528858 0.2528281693018276 2.2405955435630243 0.007930010557174683 0.03999476134777069 0.08677235245704651 0.14915147423744202 0.22727227210998535 0.3212573006749153 0 
0.0014561915228365396 0.25983658300345835 2.21523224107288 0.00839301198720932 0.0424562469124794 0.09212442487478256 0.1583523005247116 0.24129576236009598 0.34109169989824295 0 
0.0017472298274038476 0.27231656257490283 2.1701651331303724 0.009253419935703278 0.047067880630493164 0.10214991867542267 0.17556534707546234 0.26748357713222504 0.37805475294589996 0 
0.0020382681319711556 0.2832155702698505 2.131712299165634 0.01005195826292038 0.0514492467045784 0.11180849373340607 0.1923195645213127 0.2931631729006767 0.4144962430000305 0 
0.0023293064365384635 0.29291215476349536 2.0995915756832852 0.010787315666675568 0.055490367114543915 0.12065441906452179 0.20758085697889328 0.3164662569761276 0.44748101383447647 0 
0.0026203447411057715 0.30166000264582093 2.0721303449044832 0.01146651804447174 0.05920306593179703 0.12866783142089844 0.2212512418627739 0.33716580271720886 0.47659966349601746 0 
0.002911383045673079 0.309638098976248 2.047212555049155 0.012115202844142914 0.06283435970544815 0.13663724809885025 0.23502082377672195 0.3582136109471321 0.5064170435070992 0 
0.003493459654807695 0.3237786471393802 2.003616902283455 0.013318270444869995 0.06967510282993317 0.15171950310468674 0.2611515522003174 0.39821870625019073 0.5631357207894325 0 
0.004075536263942311 0.3360568997891303 1.9675939855745608 0.014414012432098389 0.07599705457687378 0.16567392647266388 0.2853422090411186 0.43527306616306305 0.6156993433833122 0 
0.004657612873076927 0.34692348635153664 1.9371670202172695 0.015413090586662292 0.08177578449249268 0.17829442024230957 0.30703312158584595 0.4682858735322952 0.6623076796531677 0 
0.005239689482211543 0.3566796540557164 1.9102834714126316 0.016340099275112152 0.08719313889741898 0.1901002749800682 0.3272733837366104 0.4990200325846672 0.7056106925010681 0 
