sigma muu mud mue omega
nan nan nan nan nan 
92.99999797890013 0.0 6.369386866356379e-06 6.369386866356379e-06 -8.018229719658114 
92.99999797890013 10.169491525423728 10.169492014063279 4.886395501557672e-07 -8.018229719658114 
92.99999797890013 20.338983050847457 20.33898129194003 -1.7589074268187233e-06 -8.018229719658114 
92.99999797890013 30.508474576271183 30.50847595814003 1.3818688451294747e-06 -8.018229719658114 
92.99999797890013 40.67796610169491 40.677967381017076 1.2793221628726315e-06 -8.018229719658114 
92.99999797890013 50.847457627118644 50.84745714444633 -4.826723127848709e-07 -8.018229719658114 
92.99999797890013 61.01694915254237 61.0169481832204 -9.693219666928599e-07 -8.018229719658114 
92.99999797890013 71.1864406779661 71.18644257368058 1.8957144760634037e-06 -8.018229719658114 
92.99999797890013 81.35593220338983 81.35593103182042 -1.1715694085978612e-06 -8.018229719658114 
92.99999797890013 91.52542372881355 91.52542367495361 -5.3859935178479645e-08 -8.018229719658114 
92.99999797890013 101.69491525423729 101.69491698570592 1.7314686289182646e-06 -8.018229719658114 
92.99999797890013 111.86440677966101 111.86440431654151 -2.4631195003621542e-06 -8.018229719658114 
92.99999797890013 122.03389830508473 122.03390000853751 1.7034527814985267e-06 -8.018229719658114 
92.99999797890013 132.20338983050846 132.20338911267785 -7.17830602070535e-07 -8.018229719658114 
92.99999797890013 142.3728813559322 142.3728837936456 2.437713391145735e-06 -8.018229719658114 
92.99999797910823 152.54237288135593 152.54237066941909 -2.211936845242235e-06 -8.018229719658114 
92.99999798529785 162.71186440677965 162.71186685949075 2.4527111008865177e-06 -8.018229719658114 
92.99999801045017 172.88135593220338 172.8813577666379 1.8344345278364926e-06 -8.018229719658116 
92.99999806365919 183.0508474576271 183.05084486407543 -2.593551670315719e-06 -8.018229719658116 
92.99999815434293 193.22033898305085 193.22033948629067 5.032398178173025e-07 -8.018229719658116 
92.99999829359204 203.38983050847457 203.38983225415967 1.745685096921079e-06 -8.018229719658116 
92.99999849656724 213.5593220338983 213.55932210894397 7.50456763398688e-08 -8.018229719658121 
92.99999878243294 223.72881355932202 223.7288140803757 5.210536926369969e-07 -8.018229719658123 
92.99999917962319 233.89830508474574 233.8983047191089 -3.656368505744467e-07 -8.018229719658123 
92.99999972882851 244.06779661016947 244.06779434625145 -2.2639180201622366e-06 -8.018229719658123 
92.99999998354856 254.23728813559322 254.23728563589268 -2.499700542557548e-06 -8.018229719658123 
92.99999997252102 264.4067796610169 264.4067830761123 3.4150953638345527e-06 -8.018229719658123 
92.9999984073855 274.5762711864407 274.57627423839324 3.0519525466843334e-06 -8.018229719658121 
93.00000038857839 284.7457627118644 284.7457609830581 -1.728806296341645e-06 -8.018229719658127 
92.9999999930453 294.91525423728814 294.9152521068417 -2.1304464326021844e-06 -8.018229719658123 
92.56820221169096 305.08474576271186 250.4562759026107 -54.62846986010115 -8.019647239276637 
90.9041475263455 315.2542372881356 214.1450282792238 -101.10920900891179 -8.037899633200826 
88.26941204486967 325.4237288135593 187.78638298140527 -137.63734583215404 -8.090505404647928 
84.63134827740727 335.59322033898303 165.09628400871375 -170.49693633026928 -8.194950169513222 
79.98856819390807 345.76271186440675 144.69949917742747 -201.06321268697928 -8.370103427284787 
74.4342235210597 355.9322033898305 126.40364507913746 -229.52855831069303 -8.634911997483925 
68.16691472878921 366.1016949152542 110.3985606330082 -255.703134282246 -9.006261750052445 
61.45287327660645 376.2711864406779 96.88537497680514 -279.38581146387276 -9.497007106448107 
54.57162354988281 386.4406779661017 85.91478011422508 -300.5258978518766 -10.115040091513563 
47.781806878867876 396.6101694915254 77.37409082641597 -319.23607866510946 -10.863547233263631 
41.31299217903105 406.77966101694915 71.03664079547899 -335.74302022147015 -11.742019615863384 
35.36414042914364 416.9491525423729 66.60871171584482 -350.34044082652804 -12.747549395554653 
30.08978460780953 427.1186440677966 63.75857475387945 -363.36006931391717 -13.87616252544815 
25.574772174747697 437.2881355932203 62.14173689117204 -375.14639870204826 -15.124040745201736 
21.819591605467675 447.45762711864404 61.433727507262496 -386.0238996113815 -16.48844734711618 
18.8151358506956 457.62711864406776 61.385184879831165 -396.2419337642366 -17.968176381853773 
16.380331712494062 467.7966101694915 61.77607214991561 -406.0205380195759 -19.56314107678644 
14.31830504604441 477.9661016949152 62.426035897544224 -415.54006579737097 -21.275637164362234 
12.63043094349157 488.13559322033893 63.267664868980184 -424.8679283513587 -23.108494705420416 
11.24633823012802 498.3050847457627 64.23853260148792 -434.0665521442748 -25.0651328774268 
10.100989813159572 508.47457627118644 65.29656113681445 -443.178015134372 -27.14951483556189 
9.142634533932688 518.6440677966101 66.41431439750595 -452.22975339910414 -29.366022095208866 
8.331719218668676 528.8135593220338 67.57382999588438 -461.2397293261495 -31.719355722086352 
7.638277085921802 538.9830508474575 68.76316053908589 -470.21989030837165 -34.21446821003275 
7.039504302515131 549.1525423728814 69.97419992299781 -479.1783424498836 -36.856517982415944 
6.517943473675383 559.3220338983051 71.20134114770732 -488.12069275059775 -39.65083904488362 
6.060022221867324 569.4915254237288 72.44062262547888 -497.0509027982499 -42.60292053382488 
5.655106641047971 579.6610169491526 73.689197657658 -505.97181929149457 -45.71839272606772 
5.294759768185386 589.8305084745763 74.94498469639274 -514.8855237781836 -49.00301730927544 
4.972201408207673 600.0 76.20643694161248 -523.7935630583875 -52.462680502064586 
