P M R omega20 omega21 omega22 nu
1e-05 1.512882494015053 33.09123166395015 5.632638931274414e-05 0.0007746517658233643 0.0019149109721183777 0 
1.0596045851707459e-05 1.512493727734934 32.8734079444285 5.2303075790405273e-05 0.0007786378264427185 0.0019327104091644287 0 
1.1192091703414919e-05 1.5116368648195486 32.66687455498135 4.824250936508179e-05 0.0007822290062904358 0.0019492283463478088 0 
1.1788137555122377e-05 1.5103875904499273 32.47071519004904 4.41819429397583e-05 0.0007853582501411438 0.0019643008708953857 0 
1.2384183406829836e-05 1.5088083527650784 32.284100410665935 4.010647535324097e-05 0.0007880851626396179 0.001978173851966858 0 
1.2980229258537294e-05 1.5069513010591713 32.106223295173315 3.6053359508514404e-05 0.0007906481623649597 0.0019920319318771362 0 
1.3576275110244752e-05 1.5048668337598792 31.935972997636725 3.224611282348633e-05 0.0007936805486679077 0.002006813883781433 0 
1.417232096195221e-05 1.502599601459646 31.772794423065914 2.8505921363830566e-05 0.0007966756820678711 0.002021409571170807 0 
1.4768366813659669e-05 1.500182276673188 31.61626106913345 2.4802982807159424e-05 0.000799521803855896 0.002035491168498993 0 
1.5364412665367126e-05 1.4976408328634243 31.46596566820504 2.1122395992279053e-05 0.000802062451839447 0.0020484700798988342 0 
1.5960458517074586e-05 1.4949965671750138 31.3215250091838 1.7464160919189453e-05 0.0008045732975006104 0.0020610764622688293 0 
1.6556504368782046e-05 1.492267323361584 31.182583147425387 1.3791024684906006e-05 0.0008067190647125244 0.002072952687740326 0 
1.7152550220489502e-05 1.4894681479625478 31.048808980638583 1.0132789611816406e-05 0.0008087158203125 0.002084113657474518 0 
1.774859607219696e-05 1.4866118832405868 30.919896478314907 6.496906280517578e-06 0.0008105635643005371 0.0020947083830833435 0 
1.834464192390442e-05 1.4837095305104064 30.79556259039093 2.868473529815674e-06 0.0008121728897094727 0.00210455060005188 0 
1.894068777561188e-05 1.4807705615522997 30.67554558431253 -7.82310962677002e-07 0.0008136630058288574 0.002114228904247284 1 
1.9536733627319335e-05 1.4778000090725631 30.559387695802034 -4.179775714874268e-06 0.0008156672120094299 0.0021250471472740173 1 
2.0132779479026792e-05 1.4748034386402138 30.44626540149638 -7.204711437225342e-06 0.0008184909820556641 0.0021381154656410217 1 
2.0728825330734252e-05 1.4717959443465225 30.33607088425932 -1.0065734386444092e-05 0.0008217021822929382 0.002151697874069214 1 
2.1324871182441712e-05 1.4687873383841386 30.22873186306106 -1.2852251529693604e-05 0.0008248984813690186 0.002165473997592926 1 
2.1920917034149172e-05 1.4657844655819614 30.124167306975515 -1.5541911125183105e-05 0.0008281171321868896 0.0021785348653793335 1 
2.2516962885856632e-05 1.4627923585244933 30.02229192464848 -1.8201768398284912e-05 0.000831305980682373 0.002191394567489624 1 
2.311300873756409e-05 1.459814772379043 29.923017873634596 -2.0831823348999023e-05 0.0008343830704689026 0.0022038668394088745 1 
2.3709054589271545e-05 1.4568546018176376 29.82625815082403 -2.3461878299713135e-05 0.0008373558521270752 0.002216048538684845 1 
2.4305100440979005e-05 1.4539140403835142 29.731925894758902 -2.6054680347442627e-05 0.0008401796221733093 0.002227284014225006 1 
2.4901146292686465e-05 1.4509948001573079 29.639936637152616 -2.8654932975769043e-05 0.0008429437875747681 0.002238430082798004 1 
2.5497192144393922e-05 1.448098164385065 29.55020712637014 -3.123283386230469e-05 0.0008454844355583191 0.002248816192150116 1 
2.609323799610138e-05 1.4452251423936875 29.462657668032033 -3.380328416824341e-05 0.0008480474352836609 0.00225897878408432 1 
2.668928384780884e-05 1.4423764669867245 29.37721050930621 -3.63960862159729e-05 0.000850290060043335 0.0022685378789901733 1 
2.72853296995163e-05 1.4395526783650836 29.293790621127748 -3.898888826370239e-05 0.000852532684803009 0.0022780150175094604 1 
2.7881375551223755e-05 1.4367541843766054 29.212326331859003 -4.156678915023804e-05 0.0008546337485313416 0.002286769449710846 1 
2.8477421402931212e-05 1.4339810951745262 29.13274428464488 -4.416704177856445e-05 0.0008565783500671387 0.0022953972220420837 1 
2.9073467254638672e-05 1.4312178940099212 29.054347046368466 -4.607439041137695e-05 0.0008601173758506775 0.0023077577352523804 1 
2.9669513106346132e-05 1.4284634819676585 28.976692687822027 -4.762411117553711e-05 0.0008644610643386841 0.0023225247859954834 1 
3.026555895805359e-05 1.4257264004152943 28.89982334053559 -4.895031452178955e-05 0.000869259238243103 0.002338223159313202 1 
3.0861604809761045e-05 1.423012083456483 28.8237700382813 -5.011260509490967e-05 0.0008742883801460266 0.002353966236114502 1 
3.1457650661468505e-05 1.4203243610771066 28.74855801724311 -5.117058753967285e-05 0.0008795037865638733 0.0023702606558799744 1 
3.2053696513175965e-05 1.4176659502049374 28.67420533251632 -5.21540641784668e-05 0.0008847862482070923 0.002386420965194702 1 
3.2649742364883425e-05 1.4150388185471756 28.600726273496708 -5.307793617248535e-05 0.0008901655673980713 0.002402566373348236 1 
3.3245788216590885e-05 1.4124443402402829 28.52813051369788 -5.395710468292236e-05 0.0008954703807830811 0.002418510615825653 1 
3.3841834068298345e-05 1.4098834424894462 28.45642450710961 -5.482882261276245e-05 0.0009007155895233154 0.00243416428565979 1 
3.4437879920005805e-05 1.4073567321862308 28.38561197755664 -5.564838647842407e-05 0.0009061023592948914 0.002449922263622284 1 
3.5033925771713265e-05 1.4048645074211727 28.31569330433948 -5.6438148021698e-05 0.0009113103151321411 0.0024652183055877686 1 
3.5629971623420725e-05 1.402406886122086 28.24666777634626 -5.7220458984375e-05 0.0009166151285171509 0.002480223774909973 1 
3.622601747512818e-05 1.3999837666911163 28.178531786824756 -5.804002285003662e-05 0.0009216144680976868 0.0024950578808784485 1 
3.682206332683563e-05 1.397594959400981 28.11128124553746 -5.8770179748535156e-05 0.0009268075227737427 0.0025095492601394653 1 
3.741810917854309e-05 1.3952401434823014 28.044909908544184 -5.955994129180908e-05 0.0009317845106124878 0.002523772418498993 1 
3.801415503025055e-05 1.3929189176739567 27.979410814067872 -6.035715341567993e-05 0.0009366348385810852 0.002537377178668976 1 
3.861020088195801e-05 1.3906307874174162 27.91477551364987 -6.112456321716309e-05 0.000941447913646698 0.002550959587097168 1 
3.920624673366547e-05 1.3883752463940258 27.850995665925684 -6.195157766342163e-05 0.0009461045265197754 0.0025641098618507385 1 
3.980229258537293e-05 1.3861517274083799 27.78806149126836 -6.272643804550171e-05 0.0009508505463600159 0.002577386796474457 1 
4.0994384288787845e-05 1.38177730487506 27.663899434193976 -6.35981559753418e-05 0.0009615793824195862 0.0026067718863487244 1 
4.218647599220276e-05 1.3774735753376477 27.540375813448765 -6.327033042907715e-05 0.0009748116135597229 0.0026422664523124695 1 
4.337856769561768e-05 1.3732634214136252 27.417621922170902 -6.2502920627594e-05 0.000988893210887909 0.0026796236634254456 1 
4.45706593990326e-05 1.369160898676048 27.295828613994374 -6.15343451499939e-05 0.0010033398866653442 0.002717643976211548 1 
4.576275110244751e-05 1.3651742758998897 27.175154234935388 -6.0208141803741455e-05 0.0010184049606323242 0.0027568265795707703 1 
4.6954842805862424e-05 1.3613082558767717 27.055728504621886 -5.888938903808594e-05 0.0010334253311157227 0.0027952492237091064 1 
4.8146934509277344e-05 1.3575649981779323 26.93765882115041 -5.7406723499298096e-05 0.0010486617684364319 0.0028339028358459473 1 
4.9339026212692264e-05 1.3539449553959284 26.82103320183672 -5.585700273513794e-05 0.0010638907551765442 0.0028721988201141357 1 
5.053111791610718e-05 1.3504472287679585 26.705921776167365 -5.4329633712768555e-05 0.0010790154337882996 0.0029103904962539673 1 
5.172320961952209e-05 1.347070005403215 26.592380261088763 -5.282461643218994e-05 0.0010939538478851318 0.002947203814983368 1 
5.291530132293701e-05 1.3438107271042778 26.480450980946145 -5.119293928146362e-05 0.0011090561747550964 0.0029843971133232117 1 
5.410739302635193e-05 1.340650619106371 26.3694111467565 -4.9076974391937256e-05 0.0011252090334892273 0.0030243247747421265 1 
5.529948472976685e-05 1.3375848834514117 26.258733343090796 -4.653632640838623e-05 0.0011423006653785706 0.0030663907527923584 1 
5.649157643318177e-05 1.3346212600101794 26.148551322392848 -4.3585896492004395e-05 0.0011602118611335754 0.003109872341156006 1 
5.7683668136596684e-05 1.3317640055249822 26.038979685634974 -4.067271947860718e-05 0.0011781975626945496 0.003153584897518158 1 
5.88757598400116e-05 1.3290155144668703 25.930118424471107 -3.750622272491455e-05 0.0011967569589614868 0.0031984075903892517 1 
6.006785154342652e-05 1.3263768416499988 25.822055911455987 -3.4339725971221924e-05 0.0012151673436164856 0.0032428130507469177 1 
6.125994324684144e-05 1.3238480390065084 25.714869368092305 -3.074854612350464e-05 0.0012344717979431152 0.0032887309789657593 1 
6.245203495025636e-05 1.3214284140715165 25.608626009566752 -2.7611851692199707e-05 0.001252986490726471 0.0033330395817756653 1 
6.364412665367126e-05 1.319116656083096 25.50338444862277 -2.4184584617614746e-05 0.0012720674276351929 0.003378547728061676 1 
6.483621835708618e-05 1.3169110551281575 25.399195412369906 -2.0742416381835938e-05 0.0012911111116409302 0.0034232139587402344 1 
6.60283100605011e-05 1.3148094697144754 25.29610296609818 -1.7374753952026367e-05 0.0013100728392601013 0.003467574715614319 1 
6.722040176391602e-05 1.3128063435719444 25.19391401488616 -1.3388693332672119e-05 0.0013302713632583618 0.003514721989631653 1 
6.841249346733094e-05 1.310897194436755 25.09228003372787 -9.559094905853271e-06 0.00135040283203125 0.00356186181306839 1 
6.960458517074586e-05 1.30908414292039 24.99127026053893 -5.684792995452881e-06 0.0013706386089324951 0.0036095231771469116 1 
7.079667687416078e-05 1.3073677353281477 24.89095061834434 -1.259148120880127e-06 0.0013920962810516357 0.0036595314741134644 1 
7.198876857757569e-05 1.305747866574773 24.791379842493782 2.9727816581726074e-06 0.0014131739735603333 0.003708489239215851 0 
7.31808602809906e-05 1.3042238203841632 24.692609496347643 7.3909759521484375e-06 0.0014346837997436523 0.0037582293152809143 0 
7.437295198440552e-05 1.3027944104450029 24.59468490900063 1.1846423149108887e-05 0.0014563575387001038 0.003808431327342987 0 
7.556504368782044e-05 1.3014582332797084 24.497647243254182 1.6264617443084717e-05 0.0014779865741729736 0.003858022391796112 0 
7.675713539123536e-05 1.3002135677182483 24.40153191482977 2.08243727684021e-05 0.001500062644481659 0.0039087459444999695 0 
7.794922709465028e-05 1.2990584579933766 24.30636960613321 2.530217170715332e-05 0.001521766185760498 0.00395810604095459 0 
7.91413187980652e-05 1.2979908670849414 24.212187302905672 3.001093864440918e-05 0.001544274389743805 0.0040092915296554565 0 
8.033341050148012e-05 1.2970085613289881 24.119002473016124 3.470480442047119e-05 0.0015664994716644287 0.0040597692131996155 0 
8.152550220489502e-05 1.2961084565542413 24.026634986380255 3.970414400100708e-05 0.0015894919633865356 0.004111811518669128 0 
8.271759390830993e-05 1.295289746377113 23.9350171068009 4.4323503971099854e-05 0.0016119256615638733 0.004162818193435669 0 
8.390968561172485e-05 1.2945518912395069 23.844186094992104 4.937499761581421e-05 0.0016352832317352295 0.0042154788970947266 0 
8.510177731513977e-05 1.2938937371753476 23.75417190506209 5.476176738739014e-05 0.001659289002418518 0.004269294440746307 0 
8.629386901855469e-05 1.293313927828266 23.665002237214328 6.0051679611206055e-05 0.0016831308603286743 0.004322610795497894 0 
8.748596072196961e-05 1.2928109443355906 23.57670080010601 6.520748138427734e-05 0.0017069429159164429 0.004376217722892761 0 
8.867805242538453e-05 1.2923830628636552 23.489287076076426 7.020682096481323e-05 0.001730300486087799 0.004428580403327942 0 
8.987014412879945e-05 1.2920286010756121 23.402779198866103 7.551908493041992e-05 0.001754477620124817 0.00448232889175415 0 
9.106223583221436e-05 1.29174559835738 23.317191477501915 8.141249418258667e-05 0.0017797499895095825 0.0045378729701042175 0 
9.225432753562926e-05 1.2915321582176897 23.23253635594316 8.628517389297485e-05 0.0018030181527137756 0.004589788615703583 0 
9.344641923904418e-05 1.2913863306194806 23.148824252468543 9.171664714813232e-05 0.001827336847782135 0.0046435147523880005 0 
9.46385109424591e-05 1.2913060693359029 23.066062853747038 9.733438491821289e-05 0.0018522068858146667 0.004697740077972412 0 
9.583060264587402e-05 1.2912898985126924 22.984169446470837 0.00010277330875396729 0.00187654048204422 0.004751138389110565 0 
9.702269434928894e-05 1.2913369303935531 22.90308994559877 0.00010849535465240479 0.001901678740978241 0.004806123673915863 0 
9.821478605270386e-05 1.2914458817017291 22.82283893070711 0.00011412054300308228 0.001926615834236145 0.004860632121562958 0 
9.940687775611878e-05 1.2916154057215052 22.74342800908113 0.00011990964412689209 0.0019521117210388184 0.004916086792945862 0 
0.00010059896945953369 1.2918440349876181 22.664866383356888 0.00012578070163726807 0.001977570354938507 0.004971519112586975 0 
0.0001017910611629486 1.292130162982591 22.58716117601352 0.00013165175914764404 0.0020030587911605835 0.005026757717132568 0 
0.00010298315286636352 1.2924721528850232 22.510319126345195 0.00013741105794906616 0.0020285993814468384 0.005082443356513977 0 
0.00010417524456977844 1.2928684431454374 22.434343668420375 0.0001435205340385437 0.0020545870065689087 0.005137793719768524 0 
0.00010536733627319336 1.2933173318556321 22.35923803707538 0.00014928728342056274 0.002079874277114868 0.005192302167415619 0 
0.00010655942797660828 1.2938172905669487 22.2850038841411 0.00015519559383392334 0.002105407416820526 0.005247130990028381 0 
0.0001077515196800232 1.2943665699021878 22.2116413784844 0.0001614019274711609 0.002131715416908264 0.005302876234054565 0 
0.00010894361138343812 1.2949635667009796 22.13914997097764 0.00016763806343078613 0.002158023416996002 0.00535893440246582 0 
0.00011013570308685302 1.2956067215261649 22.06751661579491 0.0001736283302307129 0.002183675765991211 0.005412846803665161 0 
0.00011132779479026793 1.2962956423397836 21.996680410010033 0.0001793503761291504 0.002209104597568512 0.005466967821121216 0 
