omega2 nn r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U20 U21 U22 U23 U24 U25 U26 U27 U28 U29 U30 U31 U32
-9.96875 1 0.0091 7.706571451511513e-07 7.674492210252558e-07 7.690524942853201e-07 7.698546474886768e-07 7.694535278332136e-07 7.692530002962712e-07 7.693532613739373e-07 7.694033939308676e-07 7.694284607138627e-07 7.694409942314935e-07 7.694472610218421e-07 7.694503944249004e-07 7.694519611283999e-07 7.694527444806424e-07 7.694531361568867e-07 7.694529403187545e-07 7.694528423996965e-07 7.694527934401685e-07 7.694527689604054e-07 7.694527812002872e-07 7.694527873202278e-07 7.694527903801984e-07 7.694527919101837e-07 7.694527926751761e-07 7.694527922926796e-07 7.694527924839282e-07 7.694527923883038e-07 7.694527924361157e-07 7.694527924600221e-07 7.694527924480686e-07 7.694527924540454e-07 7.69452792451057e-07 7.694527924495628e-07 
-9.984375 1 0.010100000000000001 1.0593502784547985e-06 1.0526763754631956e-06 1.0560108420231025e-06 1.0576799387669647e-06 1.0568452350567924e-06 1.0564279997091061e-06 1.056636607674774e-06 1.0567409189386823e-06 1.0567930763909543e-06 1.0568191555721768e-06 1.0568321952765598e-06 1.0568387151571955e-06 1.0568419751046233e-06 1.0568436050801152e-06 1.0568444200683051e-06 1.0568440125741735e-06 1.0568438088271358e-06 1.0568437069536226e-06 1.0568436560168686e-06 1.0568436814852458e-06 1.0568436942194344e-06 1.056843700586529e-06 1.0568437037700762e-06 1.0568437053618491e-06 1.0568437045659623e-06 1.056843704963906e-06 1.056843704764934e-06 1.05684370486442e-06 1.0568437049141632e-06 1.0568437048892911e-06 1.0568437049017275e-06 1.0568437048955094e-06 1.0568437048924002e-06 
-9.9921875 1 0.011100000000000002 1.411754865033462e-06 1.399444392569486e-06 1.405592736454286e-06 1.4086720765461263e-06 1.4071319755896706e-06 1.4063622483117044e-06 1.4067470850209489e-06 1.4069395235726054e-06 1.407035747897927e-06 1.407083861322992e-06 1.4071079183511284e-06 1.4071199469440995e-06 1.4071259612603094e-06 1.4071289684233459e-06 1.4071304720060964e-06 1.4071297202146194e-06 1.4071293443189579e-06 1.4071291563711448e-06 1.4071290623972445e-06 1.4071291093841947e-06 1.4071291328776698e-06 1.4071291446244078e-06 1.4071291504977772e-06 1.4071291534344604e-06 1.4071291519661186e-06 1.4071291527002897e-06 1.4071291523332036e-06 1.4071291525167466e-06 1.4071291526085181e-06 1.407129152562632e-06 1.4071291525855758e-06 1.407129152574104e-06 1.407129152568368e-06 
-9.99609375 1 0.012100000000000003 1.8336201401633138e-06 1.8127057448661004e-06 1.8231467217731257e-06 1.8283793719284004e-06 1.8257620325727917e-06 1.8244541236636982e-06 1.8251080147334015e-06 1.8254350078059463e-06 1.8255985162274625e-06 1.8256802734096358e-06 1.8257211527435886e-06 1.825741592596285e-06 1.825751812569061e-06 1.8257569225670568e-06 1.8257594775689559e-06 1.8257582000677666e-06 1.8257575613173526e-06 1.8257572419421888e-06 1.8257570822546206e-06 1.8257571620984047e-06 1.8257572020202963e-06 1.8257572219812433e-06 1.825757231961717e-06 1.8257572369519516e-06 1.8257572344568346e-06 1.8257572357043936e-06 1.8257572350806131e-06 1.8257572353925036e-06 1.825757235548448e-06 1.8257572354704753e-06 1.8257572355094627e-06 1.8257572354899691e-06 1.825757235480222e-06 
-9.998046875 0 0.013100000000000004 2.330498450933008e-06 2.297056463671134e-06 2.313743407731102e-06 2.3221124058827114e-06 2.3179257773273923e-06 2.315834060332156e-06 2.3168797857589073e-06 2.317402748272735e-06 2.317664254482121e-06 2.3177950138252287e-06 2.3178603950564237e-06 2.317893086061938e-06 2.3179094316621713e-06 2.3179176044866587e-06 2.3179216909049933e-06 2.317919647695322e-06 2.317918626090864e-06 2.3179181152887286e-06 2.317917859887688e-06 2.317917987588208e-06 2.3179180514384673e-06 2.3179180833635994e-06 2.3179180993261653e-06 2.3179181073074446e-06 2.3179181033168056e-06 2.317918105312126e-06 2.3179181043144647e-06 2.317918104813296e-06 2.3179181050627103e-06 2.3179181049380025e-06 2.3179181050003572e-06 2.3179181049691796e-06 2.3179181049535913e-06 
-9.9970703125 0 0.014100000000000005 2.9077158472026066e-06 2.856695786782242e-06 2.8821401680423164e-06 2.894911567669687e-06 2.8885217613347356e-06 2.885329938491356e-06 2.886925593309623e-06 2.8877236131645585e-06 2.888122671209394e-06 2.8883222122618963e-06 2.888421985795762e-06 2.8884718733146125e-06 2.8884968172620137e-06 2.888509289282711e-06 2.8885155253048055e-06 2.8885124072927847e-06 2.888510848287503e-06 2.888510068785044e-06 2.888509679033865e-06 2.888509873909453e-06 2.8885099713472465e-06 2.888510020066148e-06 2.888510044425597e-06 2.8885100566053177e-06 2.888510050515459e-06 2.88851005356039e-06 2.8885100520379225e-06 2.888510052799157e-06 2.888510053179773e-06 2.888510052989465e-06 2.8885100530846193e-06 2.8885100530370415e-06 2.888510053013254e-06 
-9.99658203125 0 0.015100000000000006 3.570342213842244e-06 3.495386619113823e-06 3.5327459424778317e-06 3.5515143969009008e-06 3.54212275722682e-06 3.537432497717578e-06 3.5397771643159345e-06 3.5409498449669896e-06 3.54153627214389e-06 3.541829507446863e-06 3.54197613052719e-06 3.542049443424594e-06 3.542086100212604e-06 3.542104428691438e-06 3.542113592952058e-06 3.5421090108199883e-06 3.5421067197552708e-06 3.5421055742232423e-06 3.5421050014573154e-06 3.542105287840275e-06 3.5421054310317547e-06 3.5421055026275025e-06 3.5421055384253722e-06 3.5421055563243037e-06 3.542105547374841e-06 3.542105551849575e-06 3.5421055496122054e-06 3.5421055507308907e-06 3.542105551290232e-06 3.5421055510105628e-06 3.542105551150397e-06 3.5421055510804777e-06 3.5421055510455215e-06 
-9.996337890625 0 0.016100000000000007 4.32316172759717e-06 4.216417756376871e-06 4.269587007105068e-06 4.2963235524257905e-06 4.282942592453839e-06 4.276261630002354e-06 4.279601318527554e-06 4.281271757283525e-06 4.282107125312882e-06 4.2825248464939115e-06 4.282733716376452e-06 4.28283815364079e-06 4.2828903728537265e-06 4.2829164826053875e-06 4.282929537517511e-06 4.282923010058435e-06 4.282919746331154e-06 4.282918114468082e-06 4.28291729853669e-06 4.2829177065023775e-06 4.282917910485223e-06 4.2829180124766574e-06 4.2829180634723675e-06 4.28291808897022e-06 4.282918076221298e-06 4.2829180825957634e-06 4.282918079408527e-06 4.282918081002146e-06 4.282918081798953e-06 4.282918081400552e-06 4.282918081599752e-06 4.2829180815001475e-06 4.282918081450352e-06 
-9.9962158203125 1 0.017100000000000008 5.170644476353368e-06 5.0225688602916725e-06 5.096274624907058e-06 5.133376282665281e-06 5.114804668979341e-06 5.105534454760566e-06 5.110168263322098e-06 5.112486141450971e-06 5.113645324032368e-06 5.114224976209178e-06 5.11451481751997e-06 5.11465974198108e-06 5.1147322051630676e-06 5.1147684369919205e-06 5.114786552965806e-06 5.1147774949739215e-06 5.1147729659816805e-06 5.114770701486492e-06 5.114769569239132e-06 5.114770135362796e-06 5.114770418424634e-06 5.114770559955571e-06 5.114770630721027e-06 5.114770666103753e-06 5.114770648412397e-06 5.11477065725808e-06 5.114770652835233e-06 5.1147706550466585e-06 5.114770656152367e-06 5.114770655599515e-06 5.114770655875941e-06 5.114770655737723e-06 5.114770655668622e-06 
-9.99627685546875 1 0.01810000000000001 6.116920097880448e-06 5.916079168090073e-06 6.015975497279633e-06 6.0663162861468525e-06 6.041113073643898e-06 6.0285360884092495e-06 6.0348225308307475e-06 6.037967289571749e-06 6.039540053426851e-06 6.0403265314883105e-06 6.040719794554112e-06 6.0409164320959955e-06 6.041014752369194e-06 6.041063912881359e-06 6.0410884932313265e-06 6.0410762030485365e-06 6.041070057962989e-06 6.041066985421687e-06 6.0410654491514054e-06 6.041066217286519e-06 6.041066601354089e-06 6.0410667933879e-06 6.041066889404788e-06 6.041066937413228e-06 6.041066913409016e-06 6.041066925411128e-06 6.041066919410066e-06 6.041066922410601e-06 6.041066923910861e-06 6.041066923160734e-06 6.041066923535798e-06 6.041066923348259e-06 6.0410669232545e-06 
-9.996307373046875 1 0.01910000000000001 7.165754275142538e-06 6.898620865804171e-06 7.031385901819155e-06 7.098368823830048e-06 7.064827152806901e-06 7.0480939880584285e-06 7.056457433963616e-06 7.0606415090610045e-06 7.062734134827014e-06 7.063780594786988e-06 7.064303861539048e-06 7.064565504108474e-06 7.064696327691558e-06 7.064761740057697e-06 7.064794446384408e-06 7.064778093209103e-06 7.0647699166304045e-06 7.064765828343306e-06 7.0647637842003195e-06 7.064764806271769e-06 7.0647653173075195e-06 7.06476557282543e-06 7.064765700584359e-06 7.06476576446382e-06 7.064765732524099e-06 7.0647657484939646e-06 7.064765740509027e-06 7.064765744501501e-06 7.064765746497732e-06 7.064765745499619e-06 7.064765745998675e-06 7.06476574574914e-06 7.064765745624383e-06 
-9.996322631835938 1 0.02010000000000001 8.320528864533183e-06 7.97127795398227e-06 8.144710322547687e-06 8.23231987518254e-06 8.188440350523149e-06 8.166556672069747e-06 8.177493842354178e-06 8.182965928849727e-06 8.18570284774503e-06 8.187071526143213e-06 8.18775592008477e-06 8.188098130741802e-06 8.188269239491928e-06 8.188354794722397e-06 8.188397572551478e-06 8.188376183619142e-06 8.188365489166311e-06 8.188360141943245e-06 8.188357468332552e-06 8.18835880513783e-06 8.188359473540514e-06 8.188359807741902e-06 8.188359974842562e-06 8.18836005839289e-06 8.188360016617736e-06 8.188360037505316e-06 8.188360027061524e-06 8.188360032283427e-06 8.188360034894374e-06 8.188360033588902e-06 8.188360034241636e-06 8.188360033915262e-06 8.188360033752083e-06 
-9.996330261230469 1 0.02110000000000001 9.584226334045064e-06 9.134531290075757e-06 9.357645258300347e-06 9.470500020438356e-06 9.413963994625373e-06 9.38577750260743e-06 9.399863962989276e-06 9.406912281817373e-06 9.41043771390098e-06 9.412200748173961e-06 9.41308234487622e-06 9.413523163119831e-06 9.413743577214846e-06 9.41385378550566e-06 9.413908889961895e-06 9.413881337707905e-06 9.413867561600308e-06 9.41386067355137e-06 9.413857229528125e-06 9.413858951539647e-06 9.413859812545475e-06 9.413860243048452e-06 9.413860458299896e-06 9.413860565925618e-06 9.413860512112768e-06 9.413860539019194e-06 9.41386052556598e-06 9.413860532292598e-06 9.413860535655901e-06 9.41386053397425e-06 9.41386053481507e-06 9.413860534394654e-06 9.413860534184449e-06 
-9.996334075927734 0 0.022100000000000012 1.0959419055151637e-05 1.038825031088483e-05 1.067136873925039e-05 1.0814773587299487e-05 1.0742916565204783e-05 1.070710406251212e-05 1.0725000658959852e-05 1.0733956197423475e-05 1.0738435777532623e-05 1.0740676020408722e-05 1.0741796255064924e-05 1.0742356400699219e-05 1.0742636480593067e-05 1.0742776522309175e-05 1.0742846543609534e-05 1.074281153292253e-05 1.0742794027606644e-05 1.074278527495561e-05 1.0742780898631835e-05 1.0742783086793579e-05 1.0742784180874548e-05 1.0742784727915117e-05 1.0742785001435344e-05 1.074278513819546e-05 1.0742785069815416e-05 1.0742785104005438e-05 1.0742785086910426e-05 1.0742785095457947e-05 1.07427850997317e-05 1.074278509759482e-05 1.0742785098663254e-05 1.0742785098129032e-05 1.074278509786192e-05 
-9.996332168579102 1 0.023100000000000013 1.2448263832768471e-05 1.173169173142933e-05 1.2086535899406632e-05 1.2266533429837407e-05 1.2176318803726528e-05 1.2131373479647092e-05 1.2153832662053558e-05 1.2165072361524221e-05 1.2170694739601687e-05 1.21735065608854e-05 1.2174912629608428e-05 1.2175615703492801e-05 1.2175967250315956e-05 1.2176143026197788e-05 1.2176230914756288e-05 1.2176186970425614e-05 1.2176164998298846e-05 1.21761540122451e-05 1.2176148519220666e-05 1.2176151265732682e-05 1.217615263898883e-05 1.2176153325617014e-05 1.2176153668931033e-05 1.217615384058805e-05 1.217615375475956e-05 1.2176153797673805e-05 1.2176153776216682e-05 1.2176153786945262e-05 1.2176153792309539e-05 1.2176153789627392e-05 1.217615379096846e-05 1.2176153790297923e-05 1.2176153789962646e-05 
-9.996333122253418 0 0.024100000000000014 1.4052501881280515e-05 1.3163505295253978e-05 1.3603280754846517e-05 1.3826701520330319e-05 1.3714694828521684e-05 1.3658913856595495e-05 1.3686785841030584e-05 1.3700735707173225e-05 1.3707714110669036e-05 1.3711204180266032e-05 1.3712949432057176e-05 1.3713822112204792e-05 1.3714258465842016e-05 1.3714476646051507e-05 1.3714585737004002e-05 1.3714531191457155e-05 1.3714503918736687e-05 1.3714490282389673e-05 1.3714483464219521e-05 1.3714486873304318e-05 1.3714488577846918e-05 1.371448943011836e-05 1.3714489856253987e-05 1.3714490069321812e-05 1.3714489962787925e-05 1.371449001605487e-05 1.3714489989421399e-05 1.3714490002738158e-05 1.3714490009396516e-05 1.3714490006067322e-05 1.3714490007731918e-05 1.3714490006899619e-05 1.3714490006483454e-05 
