omega2 nn r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U20 U21 U22 U23 U24 U25 U26 U27 U28 U29 U30 U31 U32
nan nan 0.10110000000000008 0.0004734117533324908 -1.536017727841341e-05 0.00017810922077770853 0.0003112539652832553 0.00024129139516051675 0.00020888101837097188 0.00022487790812053586 0.00023303213757346481 0.00023714858261743613 0.00023921668602821494 0.00024025321401254 0.0002407720978326708 0.00024103169479455113 0.00024116153205034713 0.00024122646037341098 0.0002411939954038753 0.00024117776352509983 0.00024116964773721863 0.00024116558988114266 0.0002411676188060098 0.00024116863327084016 0.00024116914050385945 0.000241169394120465 0.00024116952092884366 0.00024116945752465343 0.0002411694892267381 0.00024116947337570027 0.0002411694813012244 0.00024116948526398327 0.00024116948328260695 0.00024116948427332138 0.0002411694837779657 0.00024116948353028773 
nan nan 0.10210000000000008 0.000485837083364205 -2.2238171457280224e-05 0.00017787379423162342 0.0003164585333823579 0.00024357199515853253 0.00020985481616757194 0.0002264926396924866 0.00023497665230012464 0.00023926034790746654 0.0002414126701138521 0.00024249145634711567 0.0002430315065636902 0.00024330169604918988 0.0002434368318990731 0.00024350441010236506 0.00024347062014411214 0.0002434537258074301 0.00024344527879970943 0.00024344105533599114 0.00024344316706448912 0.0002434442229312782 0.00024344475086531296 0.00024344501483243325 0.00024344514681607266 0.00024344508082425182 0.00024344511382015137 0.00024344509732220635 0.00024344510557118437 0.00024344510969566952 0.0002434451076334305 0.00024344510866457775 0.00024344510814900555 0.00024344510789121924 
nan nan 0.10310000000000008 0.0004985822293656331 -2.9372365711714448e-05 0.00017752370192263513 0.00032171981898224567 0.0002458134261977957 0.000210749296025308 0.00022804750960893436 0.00023687149487101872 0.0002413276531384811 0.00024356682977881046 0.00024468919950947294 0.0002452510806080285 0.00024553219532574155 0.00024567279624052783 0.0002457431075885933 0.000245707951006922 0.0002456903733968041 0.00024568158476193476 0.0002456771904870333 0.00024567938762092294 0.0002456804861905584 0.00024568103547605426 0.00024568131011891246 0.0002456814474404244 0.00024568137877966706 0.0002456814131100344 0.0002456813959448557 0.00024568140452745096 0.0002456814088187439 0.0002456814066731015 0.0002456814077459519 0.00024568140720952796 0.0002456814069413157 
nan nan 0.10410000000000008 0.0005116579886842842 -3.6765508866837066e-05 0.00017705715566528648 0.0003270403455044966 0.00024801563508632996 0.00021156344057308017 0.00022954195738636096 0.000238716352016087 0.00024335031345472277 0.0002456790455909446 0.0002468463570852186 0.0002474307501368851 0.00024772313110740964 0.0002478693677187223 0.00024794249755771234 0.00024790593167701855 0.0002478876494575592 0.0002478785085280625 0.000247873938108357 0.0002478762233144389 0.0002478773659203283 0.00024787793722399104 0.00024787822287594046 0.00024787836570200165 0.0002478782942889695 0.0002478783299954738 0.0002478783121422268 0.00024787832106885655 0.000247878325532166 0.0002478783233005158 0.00024787832441637163 0.0002478783238584448 0.00024787832357948107 
nan nan 0.10510000000000008 0.0005250754955158141 -4.4420344397657424e-05 0.00017647234626162715 0.00033242272043986745 0.0002501785854741331 0.00021229622710303264 0.0002309754274306545 0.00024051092110868058 0.00024532815768673564 0.0002477492133680453 0.00024896285870235145 0.00024957046176274985 0.0002498744585188065 0.0002500265057193032 0.0002501025415271297 0.0002500645226058253 0.0002500455139082045 0.00025003600975016403 0.0002500312577188197 0.000250033633730501 0.0002500348217393556 0.0002500354157445428 0.00025003571274726275 0.0002500358612487129 0.000250035786997986 0.00025003582412333724 0.000250035805560667 0.00025003581484200877 0.0002500358194826734 0.0002500358171623461 0.00025003581832254207 0.000250035817742445 0.00025003581745239615 
nan nan 0.10610000000000008 0.0005388462299671384 -5.233961135635539e-05 0.0001757674418291749 0.00033786963650759807 0.0002523022571316171 0.0002129466262755518 0.00023234736800214063 0.0002422549092803478 0.00024726102754620536 0.0002497772434140323 0.0002510386492884661 0.0002516701778071971 0.00025198614859906355 0.0002521441856453263 0.00025222321708315027 0.0002521837002879153 0.0002521639426975276 0.0002521540641041543 0.0002521491248579051 0.00025215159447680816 0.0002521528292894471 0.0002521534466965705 0.0002521537554002672 0.0002521539097522095 0.0002521538325762363 0.00025215387116421024 0.0002521538518702289 0.0002521538615172266 0.0002521538663407184 0.0002521538639289781 0.0002521538651348822 0.0002521538645319308 0.0002521538642304549 
nan nan 0.10710000000000008 0.0005529820274451328 -6.052604526440802e-05 0.00017494058613853406 0.0003433838728970151 0.0002543866452596143 0.0002135136008419802 0.00023365723020444862 0.00024394803256310815 0.00024914877685027175 0.00025176305978565197 0.00025307368835898893 0.00025372987559997735 0.0002540581876063728 0.0002542223982245282 0.00025430451718961455 0.00025426345656896613 0.00025424292711220787 0.0002542326625972346 0.0002542275303930804 0.00025423009649069405 0.0002542313795428703 0.00025423202106980824 0.00025423234183342145 0.000254232502215326 0.00025423242202437136 0.0002542324621198355 0.0002542324420721094 0.00025423245209597986 0.00025423245710790726 0.00025423245460194974 0.0002542324558549642 0.0002542324552284574 0.00025423245491520383 
nan nan 0.10810000000000008 0.0005674950883879621 -6.898237897658155e-05 0.00017398989695801157 0.00034896829659501256 0.00025643175983079225 0.00021399610438351248 0.00023490446699633277 0.00024559001505868716 0.0002509912707749698 0.00025370659958942973 0.00025506794933624204 0.0002557495468092273 0.00025609057635379184 0.00025626114884793466 0.00025634644952791 0.0002563037979850697 0.0002562824731157755 0.00025627181090667555 0.00025626647985849203 0.00025626914537786686 0.00025627047814111433 0.00025627114452363603 0.00025627147771505087 0.0002562716443108603 0.00025627156101295286 0.00025627160266189296 0.0002562715818374293 0.00025627159224966893 0.0002562715974557802 0.00025627159485273134 0.0002562715961542931 0.00025627159550351236 0.00025627159517812193 
nan nan 0.10910000000000009 0.000582397988339472 -7.771134351403323e-05 0.00017291346440335918 0.0003546258637962821 0.0002584376249596451 0.0002143930800638642 0.00023608853222380997 0.0002471805881319715 0.0002527883851350106 0.0002556078123060655 0.0002570214188965136 0.00025772919679996895 0.00025808332957348134 0.00025826045693697324 0.0002583490358655222 0.00025830474513056375 0.00025828260071608335 0.00025827152874711 0.00025826599282216826 0.0002582687607796566 0.0002582701447621605 0.0002582708367543609 0.0002582711827506253 0.0002582713557488638 0.00025827126924974145 0.00025827131249928857 0.00025827129087452176 0.00025827130168691343 0.00025827130709309983 0.000258271304390014 0.000258271305741596 0.0002582713050658049 0.00025827130472790943 
nan nan 0.11010000000000009 0.000597703688368332 -8.671566886391037e-05 0.0001717093492912874 0.00036035962139400215 0.00026040427829890193 0.00021470345939389807 0.00023720887967060964 0.00024871948962659757 0.0002545400056877782 0.0002574666591401307 0.0002589340963429833 0.0002596688440187454 0.000260036475307219 0.00026022035533693194 0.0002603123114509684 0.000260266332052228 0.00026024334335913464 0.0002602318492641758 0.0002602261022795702 0.0002602289757666123 0.00026023041251410216 0.00026023113088884857 0.0002602314900763966 0.0002602316696702814 0.00026023157987333553 0.00026023162477179396 0.00026023160232257185 0.0002602316135471917 0.0002602316191594912 0.0002602316163533493 0.00026023161775646115 0.00026023161705490493 0.00026023161670412704 
nan nan 0.11110000000000009 0.0006134255458552911 -9.599808475528134e-05 0.00017037558149386682 0.00036617270855686493 0.0002623317704630883 0.0002149261610069769 0.00023826496212664487 0.00025020646310288535 0.00025624602746201455 0.0002592831123956703 0.0002608059930051733 0.00026156851940509397 0.00026195005432390876 0.0002621408897374931 0.0002622363244358442 0.0002621886056705744 0.0002621647473499947 0.00026215281845523884 0.0002621468540742198 0.0002621498362591775 0.0002621513273558439 0.0002621520729052342 0.00026215244568011524 0.0002621526320676713 0.00026215253887388945 0.0002621525854707654 0.0002621525621723348 0.0002621525738215595 0.00026215257964616026 0.0002621525767338683 0.00026215257819005706 0.00026215257746196207 0.00026215257709791506 
nan nan 0.11210000000000009 0.000629577325654497 -0.00010556132141087684 0.0001689101582918987 0.00037206835839138165 0.0002642201644772958 0.0002150600894430262 0.00023925623047249967 0.0002516412570961359 0.00025790635410922514 0.0002610571548757531 0.0002626371316629729 0.00026342826582790945 0.000263824119562139 0.00026402211811839466 0.0002641211353220388 0.0002640716252262851 0.0002640468712988409 0.00026403449461524857 0.0002640283063434588 0.0002640314004734972 0.00026403294754293277 0.0002640337210787659 0.00026403410784688 0.0002640343012310576 0.0002640342045389646 0.0002640342528849955 0.00026403422871198773 0.00026403424079850165 0.000264034246841746 0.0002640342438201328 0.00026403424533098406 0.0002640342445755575 0.000264034244197845 
nan nan 0.11310000000000009 0.0006461732116303348 -0.00011540811027101644 0.00016731104272614593 0.0003780498996869816 0.00026606953524900567 0.00021510413393961575 0.00024018213277799124 0.0002530236243932392 0.0002595208972757025 0.0002627887793038408 0.00026442754599309586 0.00026524813754454947 0.0002656587355956379 0.0002658641102180676 0.00026596681643196486 0.0002659154617496461 0.00026588978558999773 0.0002658769478055743 0.0002658705289871853 0.0002658737383902045 0.00026587534309637 0.0002658761454506289 0.0002658765466279681 0.0002658767472167635 0.0002658766469223613 0.00026587669706954625 0.00026587667199596166 0.0002658766845327646 0.00026587669080115246 0.0002658766876669681 0.00026587668923410687 0.0002658766884505362 0.0002658766880587519 
nan nan 0.11410000000000009 0.0006632278185923141 -0.00012554118469823951 0.00016557616194354277 0.000384120758749112 0.0002678799690633413 0.00021505716722864556 0.00024104211341424367 0.0002543533213274873 0.0002610895759952984 0.0002644779877672299 0.00026617728003828394 0.0002670281996830271 0.00026745397812198723 0.0002676669470256172 0.00026777345140217477 0.0002677201975533458 0.00026769357187432686 0.00026768025934619064 0.000267673603159937 0.0002676769312465551 0.0002676785952947706 0.000267679427320118 0.00026767984333301437 0.00026768005133959383 0.00026767994733629914 0.00026767999933792973 0.00026767997333712254 0.0002676799863375374 0.00026767999283773016 0.000267679989587644 0.0002676799912127357 0.0002676799904001882 0.0002676799899939158 
nan nan 0.11510000000000009 0.0006807562046292293 -0.00013596328065829482 0.00016370340553730913 0.0003902844613175673 0.00026965156309945 0.00021491804433688549 0.00024183561217722816 0.00025563010708941434 0.0002626123161007045 0.0002661247911802933 0.00026788638769697067 0.0002687685277449959 0.0002692099334722964 0.0002694307202938482 0.0002695411346980635 0.0002694859257463387 0.0002694583225826716 0.0002694445213289125 0.00026943762078402144 0.00026944107104960954 0.00026944279618757225 0.0002694436587578594 0.0002694440900432394 0.0002694443056860663 0.0002694441978646474 0.00026944425177533943 0.00026944422482000173 0.0002694442382976824 0.00026944424503650707 0.0002694442416671056 0.00026944424335185703 0.00026944424250947927 0.00026944424208829204 
nan nan 0.11610000000000009 0.0006987738838550876 -0.00014667713737942718 0.00016169062387926046 0.0003965446345715911 0.00027138442496733417 0.00021468560138906167 0.00024256206342174375 0.00025685374305280226 0.0002640890496524691 0.00026772920876679793 0.0002695549322327029 0.0002704692071288384 0.0002709266981411526 0.0002711555320726531 0.00027126997114897784 0.0002712127497680944 0.00027118414045967536 0.0002711698361509987 0.00027116268408301195 0.0002711662601097833 0.0002711680481286118 0.000271168942139401 0.00027116938914504635 0.00027116961264801173 0.000271169500896523 0.0002711695567722494 0.00027116952883439476 0.0002711695428033344 0.0002711695497877876 0.0002711695462955725 0.0002711695480417329 0.0002711695471686503 0.0002711695467321109 
nan nan 0.11710000000000009 0.0007172968395847946 -0.00015768549799489805 0.00015953562644178108 0.0004029050092249175 0.00027307867226470793 0.00021435865441186345 0.00024322089520477318 0.000258023992115097 0.0002655197143851572 0.0002692912675607868 0.0002711829858028531 0.00027213033267241114 0.00027260437833641186 0.00027284149426233376 0.0002729600755033049 0.0002729007829428021 0.00027287113811754496 0.00027285631606869366 0.00027284890513517917 0.0002728526105943334 0.00027285446332963985 0.00027285538969874025 0.0002728558528835563 0.000272856084476113 0.00027285596867982794 0.00027285602657795184 0.0002728559976288987 0.0002728560121034381 0.00027285601934069027 0.00027285601572207645 0.0002728560175314384 0.0002728560166267547 0.0002728560161744148 
nan nan 0.1181000000000001 0.0007363415379454616 -0.0001689911101661321 0.0001572361801084395 0.0004093694217097174 0.0002747344321523664 0.000213935998137519 0.00024381152843675518 0.0002591406180507421 0.0002669042531691491 0.0002708110019245178 0.0002727706290051113 0.0002737520082139343 0.0002742430895473184 0.00027448872818534295 0.00027461157200202676 0.0002745501480520188 0.0002745194376082452 0.0002745040827691962 0.00027449640544534645 0.0002745002440992703 0.00027450216343226087 0.00027450312310027867 0.00027450360293456935 0.00027450384285186957 0.000274503722893212 0.0002745037828725215 0.00027450375288287594 0.00027450376787771193 0.0002745037753751116 0.0002745037716264249 0.00027450377350082556 0.0002745037725636221 0.00027450377209502246 
nan nan 0.1191000000000001 0.000755924941941668 -0.00018059672669093908 0.00015479000747084393 0.0004159418164526281 0.0002763518409476859 0.000213416404805396 0.0002443333760397687 0.00026020338487672503 0.00026824261348753196 0.00027228845308299444 0.0002743179504413329 0.0002753343461706241 0.00027584295613056035 0.0002760973641760598 0.00027622459397035775 0.00027616097692537546 0.0002761291700137396 0.00027611326696066725 0.00027610531553478126 0.0002761092912393076 0.00027611127909791194 0.00027611227302881523 0.0002761127699945655 0.00027611301847760186 0.0002761128942360754 0.00027611295635681873 0.00027611292529645666 0.00027611294082665136 0.0002761129485917295 0.0002761129447092044 0.0002761129466505265 0.000276112945679862 0.00027611294519453187 
nan nan 0.1201000000000001 0.0007760645259761297 -0.000192505106090922 0.00015219478511147334 0.00042262624824027583 0.00027793104373442773 0.00021279862296051815 0.0002447858421111408 0.00026121205622867426 0.00026953474692633755 0.0002737236686733005 0.0002758250462969358 0.00027687746713325 0.00027740411091243936 0.00027766754118677394 0.00027779928342563774 0.00027773341004751537 0.0002777004750524518 0.0002776840079784528 0.0002776757745472987 0.0002776798912540251 0.00027768194961405574 0.0002776829787957543 0.0002776834933869199 0.00027768375068267046 0.000277683622034786 0.0002776836863587077 0.00027768365419675675 0.0002776836702777463 0.000277683678318221 0.00027768367429799844 0.0002776836763081716 0.0002776836753030813 0.0002776836748005383 
nan nan 0.1211000000000001 0.000796778290854232 -0.00020471901318787854 0.00014944814186909224 0.0004294268846808562 0.0002794721939894211 0.0002120813762473835 0.0002451683210919017 0.0002621663947474896 0.00027078060867840177 0.00027511670230916433 0.0002772920199363461 0.00027838149947715437 0.00027892669480771075 0.00027919940641044387 0.000279335790702052 0.0002792675961818332 0.0002792335007025141 0.0002792164534080872 0.00027920792987214246 0.00027921219163081114 0.0002792143225171535 0.00027921538796209363 0.00027921592068489847 0.0002792161870464755 0.0002792160538656769 0.00027921612045605495 0.0002792160871608762 0.00027921610380848014 0.0002792161121322611 0.00027921610797038626 0.0002792161100513879 0.000279216109010883 0.00027921610849063276 
nan nan 0.1221000000000001 0.0008180847792811636 -0.0002172412196668813 0.0001465476570855719 0.0004363480087613447 0.0002809754532247217 0.00021126336219768588 0.0002454801969386546 0.00026306616147508147 0.0002719801570594298 0.00027646761315934146 0.0002787189815130854 0.0002798465789883292 0.00028041085645368985 0.0002806931149188268 0.0002808342740907747 0.00028076369200961173 0.00028072840284040074 0.00028071075872367464 0.0002807019367822404 0.00028070634774318107 0.00028070855323101483 0.00028070965597679 0.0002807102073500317 0.00028071048303683437 0.000280710345193422 0.0002807104141151062 0.0002807103796542748 0.00028071039688470553 0.000280710405499899 0.00028071040119231883 0.0002807104033461755 0.0002807104022692427 0.00028071040173077857 
nan nan 0.1231000000000001 0.0008400030918536709 -0.00023007450461953686 0.00014349085883431594 0.00044339402149801843 0.0002824409906437664 0.00021034325101123511 0.00024572084229774755 0.00026391111525791587 0.0002731333530348741 0.0002777764655383795 0.0002801060475930416 0.0002812728485030821 0.00028185675185815026 0.000282148829314502 0.00028229489949405735 0.0002822218617830772 0.00028218534489346726 0.0002821670869401707 0.00028215795808635694 0.0002821625225029942 0.00028216480471904694 0.0002821659458290249 0.00028216651638438825 0.0002821668016622591 0.0002821666590233117 0.0002821667303427626 0.0002821666946830483 0.000282166712512921 0.00028216672142783445 0.00028216671697039525 0.0002821667191991839 0.00028216671808478476 0.0002821667175275874 
nan nan 0.1241000000000001 0.000862552903580767 -0.00024322165507957566 0.0001402752221261181 0.0004505694446883506 0.00028386898281226685 0.0002093196843281129 0.00024588961768106987 0.00026470101215838 0.000274240159757999 0.0002790433285103223 0.000281453340791573 0.00028266045756198554 0.0002832645440617332 0.00028356671939751944 0.0002837178400939988 0.0002836422769931086 0.00028360449750712915 0.0002835856082802959 0.0002835761637958743 0.000283580886027301 0.0002835832471511352 0.0002835844277151011 0.0002835850179974797 0.00028358531313886585 0.0002835851655681598 0.00028358523935348917 0.0002835852024608361 0.00028358522090717866 0.0002835852301303261 0.0002835852255187709 0.00028358522782462005 0.00028358522667169025 0.00028358522609522754 
nan nan 0.1251000000000001 0.0008857544809441328 -0.00025668546654857363 0.0001368981670913898 0.0004578789237644138 0.00028525961334270735 0.0002081912739908465 0.0002459858706422606 0.0002654356048727861 0.0002753005421179717 0.00028026827550420476 0.0002827609894233037 0.00028400956207697383 0.00028463440281373216 0.0002849469618455377 0.0002851032760348629 0.00028502511605046514 0.000284986038225545 0.0002849664998549463 0.00028495673080506653 0.0002849616153186859 0.00028496405758401955 0.00028496527871883656 0.000284965889286663 0.000284966194570781 0.000284966041928708 0.0002849661182497199 0.0002849660800892261 0.00028496609916948956 0.0002849661087095964 0.0002849661039395626 0.0002849661063246536 0.00028496610513210245 0.00028496610453582904 
nan nan 0.1261000000000001 0.000909628699505823 -0.00027046874350749656 0.0001333570571384018 0.0004653272307470288 0.00028661307259129936 0.00020695660079574755 0.00024600893495229883 0.00026611464215491563 0.00027631446629685394 0.00028145138394020255 0.0002840291271634684 0.00028532032401044026 0.00028596650426010586 0.00028628973990630453 0.0002864513941177948 0.00028637056397938466 0.0002863301511846553 0.00028630994535595286 0.0002862998425837198 0.00028630489395795657 0.0002863074196540193 0.0002863086825043065 0.0002863093139298913 0.00028630962964289663 0.00028630947178637884 0.0002863095507146122 0.00028630951125050824 0.0002863095309825773 0.00028630954084858586 0.0002863095359156025 0.0002863095383821708 0.00028630953714888055 0.0002863095365322375 
nan nan 0.1271000000000001 0.0009341970620835261 -0.00028457429991683784 0.0001296491970855368 0.00047291926730391444 0.000287929557367116 0.00020561421323210413 0.0002459581297736333 0.00026673786824453146 0.00027728189933506724 0.0002825927348660822 0.0002852578927204911 0.00028659291106604055 0.00028726103064343367 0.00028759524310219845 0.00028776238750765807 0.00028767881212327285 0.0002876370268172983 0.0002876161347609106 0.00028760568888181755 0.0002876109118089014 0.0002876135232818257 0.00028761482902065394 0.00028761548189053357 0.0002876158083256948 0.00028761564510809776 0.00028761572671686975 0.0002876156859124971 0.0002876157063147011 0.000287615716515776 0.00028761571141526065 0.0002876157139655976 0.0002876157126904226 0.00028761571205283707 
nan nan 0.1281000000000001 0.0009594817175118232 -0.0002990049597066159 0.00012577183126582158 0.0004806600679143587 0.00028920927065292343 0.00020416262620795385 0.0002458327588319251 0.0002673050223001406 0.0002782028087047279 0.00028369241260340846 0.00028644742951928446 0.0002878274963907027 0.0002885181700143227 0.0002888636669463446 0.00028903645545150794 0.0002889500578619972 0.0002889068615699147 0.0002888852640495884 0.00028887446544580326 0.00028887986473462567 0.0002888825643888758 0.0002888839142184818 0.0002888845891337757 0.00028888492659165295 0.0002888847578626965 0.0002888848422271472 0.0002888848000449359 0.00028888482113605975 0.00028888483168159343 0.00028888482640884993 0.00028888482904530365 0.0002888848277270698 0.0002888848270679548 
nan nan 0.1291000000000001 0.0009855054800093112 -0.0003137635572579557 0.00012172214160188913 0.0004885548031432989 0.0002904524213373045 0.00020260031976113564 0.0002456321095845009 0.0002678158378353408 0.0002790771618903116 0.0002847505044030353 0.0002875978853948297 0.0002890242582874219 0.00028973811595385236 0.0002900952126698951 0.00029027380300829177 0.00029018450434037754 0.00029013985763043306 0.00029011753493151234 0.00029010637374601243 0.0002901119543250593 0.0002901147446248973 0.00029011613977741695 0.0002901168373541941 0.00029011718614282213 0.0002901170117484887 0.000290117098945627 0.00029011705534707263 0.0002901170771463686 0.00029011708804598706 0.0002901170825962025 0.00029011708532117943 0.00029011708395868354 0.0002901170832774373 
nan nan 0.1301000000000001 0.0010122918491808543 -0.00032885293788278486 0.0001174972456480872 0.0004966087830303755 0.00029165922395802156 0.00020092573775371797 0.00024535545238447265 0.0002682700421581845 0.0002799049259763357 0.00028576710010969677 0.0002887094122959194 0.00029018337993875473 0.00029092106730698846 0.0002912900869604139 0.00029147464078972256 0.00029138236020781477 0.0002913362226672764 0.00029131315458466096 0.0002913016207152126 0.0002913073876355744 0.0002913102711065653 0.00029131171284478617 0.0002913124337144416 0.00029131279414951807 0.00029131261393195877 0.0002913127040407091 0.0002913126589863495 0.0002913126815135486 0.0002913126927771173 0.0002913126871453591 0.00029131268996132555 0.00029131268855333447 0.0002913126878493404 
nan nan 0.1311000000000001 0.001039865030657697 -0.0003442759582926276 0.00011309419460062831 0.0005048274605913271 0.00029282989845523034 0.00019913728654947921 0.0002450020396396431 0.0002686673558124192 0.0002806860672407902 0.0002867422918343694 0.00028978216599770385 0.00029130504913963854 0.0002920672279255847 0.0002924485017099808 0.0002926391847109366 0.00029254383936767154 0.0002924961695781045 0.00029247233540388885 0.00029246041849686724 0.00029246637693532894 0.00029246935616588585 0.0002924708457840196 0.0002924715905936603 0.0002924719629987391 0.000292471776796177 0.00029247186989742784 0.0002924718233468188 0.00029247184662214325 0.0002924718582597732 0.0002924718524409858 0.0002924718553504696 0.0002924718538957194 0.0002924718531683456 
nan nan 0.1321000000000001 0.0010682499573836856 -0.0003600354870506488 0.00010850997127619733 0.0005132164354310162 0.0002939646699337617 0.00019723333367415488 0.0002445711049656301 0.0002690074920199205 0.00028142055075358336 0.00028767617363364566 0.0002908163058222697 0.00029238945803875937 0.00029317680642019166 0.0002935706737722327 0.0002937676557501541 0.00029366916073562304 0.0002936199162475101 0.0002935952947582948 0.0002935829842023402 0.00029358913946455343 0.00029359221710752344 0.00029359375593199883 0.00029359452534484054 0.00029359491005152984 0.0002935947176981609 0.0002935948138748143 0.00029359476578650484 0.00029359478983068 0.00029359480185273395 0.00029359479584173604 0.0002935947988473279 0.0002935947973445233 0.00029359479659312197 
nan nan 0.1331000000000001 0.0010974723115924994 -0.00037613440502123023 0.00010374148805364556 0.0005217814574781912 0.00029506376843520656 0.0001952122064558008 0.00024406186233216117 0.0002692901561241361 0.00028210833998027206 0.0002885688411966209 0.0002918119943678692 0.00029343680288914444 0.0002942500159213797 0.00029465682472906365 0.0002948602797180707 0.0002947585480077024 0.00029470768531439135 0.00029468225475825865 0.0002946695396777643 0.0002946758972015031 0.00029467907597579526 0.0002946806653660723 0.00029468146006184645 0.00029468185741001227 0.0002946816587359033 0.00029468175807292597 0.00029468170840443275 0.00029468173323870026 0.00029468174565579897 0.00029468173944728024 0.0002946817425516354 0.00029468174099944863 0.0002946817402233561 
nan nan 0.1341000000000001 0.0011275585475064786 -0.0003925756058223537 9.87855847755301e-05 0.0005305284308473662 0.00029612742871957094 0.000193072190643281 0.00024347350520135402 0.00026951504503381415 0.0002827493963905921 0.0002894203915389326 0.0002927693972465026 0.0002944472838077146 0.00029528707385032574 0.0002957071806667415 0.00029591728703674217 0.00029581222943780123 0.00029575970394876043 0.00029573344203190355 0.0002957203112803309 0.00029572687663883407 0.0002957301593310908 0.0002957318006804963 0.0002957326213558677 0.0002957330316938428 0.00029573282652482736 0.00029573292910930245 0.00029573287781708394 0.0002957329034632146 0.00029573291628624343 0.00029573290987476125 0.0002957329130806011 0.00029573291147767144 0.0002957329106762074 
nan nan 0.1351000000000001 0.001158535914754507 -0.00040936199626739086 9.363902661182775e-05 0.0005394634178234377 0.00029715589005506883 0.00019081152900328528 0.00024280520565745227 0.00026968184666602887 0.0002833436790705775 0.0002902309227026306 0.0002936886828284762 0.00029542110454239127 0.0002962882016972461 0.0002967219719600165 0.00029693891252653416 0.0002968304376231983 0.0002967762036365622 0.0002967490875095596 0.00029673552966257585 0.00029674230856797826 0.00029674569803429075 0.0002967473927708761 0.0002967482401398719 0.0002967486638246704 0.0002967484519822413 0.00029674855790342235 0.00029674850494285185 0.0002967485314231591 0.00029674854466327455 0.00029674853804325074 0.0002967485413533645 0.0002967485396982974 0.00029674853887076436 
nan nan 0.1361000000000001 0.0011904324825300944 -0.00042649649679605504 8.829850188459939e-05 0.0005485926429718059 0.000298149396015792 0.0001884284198949478 0.00024205611352736713 0.00026979023938803376 0.00028389114433789915 0.00029100053346156206 0.0002945700219936484 0.0002963584722464836 0.00029725362480740767 0.0002977014330639573 0.00029792539520087397 0.00029781340929785344 0.0002977574199722388 0.0002977294262159643 0.0002977154295643976 0.00029772242787125253 0.0002977259270389219 0.00029772767662634384 0.0002977285514207938 0.00029772898881833107 0.0002977287701195305 0.00029772887946889634 0.0002977288247942345 0.0002977288521315881 0.00029772886580022495 0.0002977288589659422 0.0002977288623831885 0.00029772886067455466 0.00029772885982023794 
nan nan 0.1371000000000001 0.0012232771645300387 -0.00044398204190403 8.276061984920575e-05 0.0005579224973820701 0.0002991081942874968 0.00018592101581966936 0.0002412253554908579 0.00026983989145745496 0.0002843917453602943 0.0002917293230323249 0.0002954135878895094 0.00029725959726054904 0.00029818357217493286 0.0002986458023137425 0.0002988769780690385 0.00029876138513369683 0.0002987035924592702 0.0002986746970704283 0.00029866024961303615 0.000298667473321931 0.0002986710851912764 0.0002986728911297008 0.0002986737940996895 0.0002986742455850081 0.0002986740198423147 0.0002986741327136259 0.0002986740762779925 0.0002986741044958327 0.00029867411860471103 0.00029867411155030927 0.0002986741150776182 0.0002986741133139525 0.00029867411243211957 
nan nan 0.1381000000000001 0.0012570997446959581 -0.00046182158057029394 7.70219084307309e-05 0.0005674595430479368 0.0003000325364810329 0.00018328742194503083 0.00024031203417949762 0.00026983046046014553 0.00028484543177650435 0.0002924173907902602 0.0002962195556955918 0.0002981246929012378 0.0002990782762439175 0.00029955532173192904 0.0002997939079465018 0.0002996746095494365 0.0002996149643182122 0.00029958514269448866 0.0002995702321305336 0.0002995776873918021 0.00029958141503801664 0.00029958327886504653 0.00029958421077937717 0.0002995846767368792 0.0002995844437580919 0.0002995845602474489 0.0002995845020027938 0.00029958453112514564 0.00029958454568627805 0.00029958453840575096 0.00029958454204612574 0.00029958454022592653 0.0002995845393158267 
nan nan 0.1391000000000001 0.0012919309037731136 -0.0004800180766766185 7.10788119157691e-05 0.0005772105173836964 0.000300922677952768 0.00018052569460240216 0.00023931522726385813 0.0002697615927450811 0.0002852521493190857 0.0002930648359898422 0.0002969881023935695 0.00029895397525647727 0.0002999379727162161 0.0003004302368425524 0.00030067643527219615 0.00030055333052623925 0.00030049178230158653 0.00030046100922640406 0.00030044562294803207 0.00030045331606556506 0.0003004571626406214 0.00030045908593224986 0.0003004600475789207 0.00030046052840260564 0.00030046028799072454 0.0003004604081966273 0.0003004603480937006 0.00030046037814518894 0.0003004603931708879 0.00030046038565807937 0.0003004603894145981 0.00030046038753632633 0.00030046038659719003 
nan nan 0.1401000000000001 0.001327802246721633 -0.0004985745094244444 6.492768859640095e-05 0.0005871823378834642 0.0003017788776320237 0.0001776338397563805 0.00023823398652790653 0.000269632922855779 0.00028561183943883644 0.00029367175748934335 0.0002977194065429893 0.0002997476629869758 0.0003007629003658919 0.00030127079649206433 0.00030152481393269794 0.00030139779943029157 0.00030133429651563035 0.00030130254614249867 0.0003012866712269144 0.00030129460866207204 0.0003012985773966784 0.0003013005617682667 0.0003013015539549599 0.0003013020500486694 0.00030130180200177355 0.00030130192602518255 0.0003013018640135041 0.00030130189501936897 0.0003013019105222545 0.0003013019027708547 0.00030130190664667236 0.0003013019047087505 0.0003013019037397889 
