mu sigmax sigmay muu mud mus mue nu nd ns ne epsilon P
1.001001001001001 88.66514860671158 107.74464844569901 0.6676455957318534 1.167678703635575 1.167678703635575 0.5000331079037216 -5.640481325978963e-17 -5.640386362893201e-17 -2.86278886192118e-16 8.340026848843178e-16 -2.077281969754039e-20 -0.0 
2.002002002002002 88.66514860671158 107.74464844569901 1.6686599582764627 2.168673023864772 2.168673023864772 0.5000130655883092 -5.640239328241002e-17 -5.640040788915479e-17 -2.8627294731799764e-16 2.0675228676884677e-16 -6.2541137750695e-17 6.180725371876339e-17 
3.0030030030030033 88.66514860671158 107.74464844569901 2.6696646136330098 3.169672197688 3.169672197688 0.5000075840549901 -5.63978997216145e-17 -5.639487863652649e-17 -2.862634448339729e-16 9.143353407151254e-17 -1.1909605779081342e-18 -0.0 
4.004004004004004 88.66514860671158 107.74464844569901 3.6706661606572917 4.170672925677361 4.170672925677361 0.5000067650200694 -5.639133275281917e-17 -5.63872760726658e-17 -2.8625037885544117e-16 7.702937903448495e-17 -1.5975081369938393e-18 -0.0 
5.005005005005005 88.66514860671158 107.74464844569901 4.671667177815573 5.171673918599721 5.171673918599721 0.500006740784148 -5.638269261188334e-17 -5.637760048127864e-17 -2.8623374955217903e-16 7.661580653656163e-17 -1.9969669379371785e-18 -0.0 
6.0060060060060065 88.66514860671158 107.74464844569901 5.672668178972544 6.172674919522738 6.172674919522738 0.5000067405501931 -5.637197961380826e-17 -5.636585221984591e-17 -2.8621355713402856e-16 7.661181784592228e-17 -2.3961044376757488e-18 -0.0 
7.007007007007008 88.66514860671158 107.74464844569901 6.673669180130024 7.1736759204455005 7.1736759204455005 0.5000067403154761 -5.635919415250257e-17 -5.635203172058236e-17 -2.8618980185251585e-16 7.660781622893622e-17 -2.795102295805788e-18 -0.0 
8.008008008008009 88.66514860671158 107.74464844569901 7.674670181306926 8.17467692135855 8.17467692135855 0.5000067400516243 -5.634433669830956e-17 -5.633613949196157e-17 -2.861624840034271e-16 7.660331798609579e-17 -3.1939376185254938e-18 -0.0 
9.00900900900901 88.66514860671158 107.74464844569901 8.67567118250326 9.175677922261885 9.175677922261885 0.5000067397586243 -5.63274077979152e-17 -5.631817611881573e-17 -2.861316039269342e-16 7.659832291850291e-17 -3.59258727715325e-18 -0.0 
10.01001001001001 88.66514860671158 107.74464844569901 9.67667218371903 10.1766789231555 10.1766789231555 0.5000067394364702 -5.630840807438122e-17 -5.629814226237047e-17 -2.8609716200760246e-16 7.659283095636197e-17 -3.991028150803814e-18 -0.0 
11.011011011011012 88.66514860671158 107.74464844569901 10.677673184954243 11.177679924039397 11.177679924039397 0.5000067390851557 -5.628733822718403e-17 -5.627603866028773e-17 -2.860591586743964e-16 7.658684202743568e-17 -4.389237127441851e-18 -0.0 
12.012012012012013 88.66514860671158 107.74464844569901 11.678674186208898 12.178680924913571 12.178680924913571 0.5000067387046729 -5.626419903225639e-17 -5.625186612670935e-17 -2.860175944006939e-16 7.65803560371763e-17 -4.787191104880287e-18 -0.0 
13.013013013013014 88.66514860671158 107.74464844569901 12.679675187483005 13.179681925778018 13.179681925778018 0.500006738295014 -5.62389913420365e-17 -5.622562555230753e-17 -2.8597246970428843e-16 7.657337289333606e-17 -5.184866991757071e-18 -0.0 
14.014014014014016 88.66514860671158 107.74464844569901 13.68067618877657 14.18068292663274 14.18068292663274 0.5000067378561696 -5.62117160855199e-17 -5.619731790433972e-17 -2.8592378514740766e-16 7.656589248231268e-17 -5.582241708536989e-18 -0.0 
15.015015015015017 88.66514860671158 107.74464844569901 14.681677190089596 15.181683927477726 15.181683927477726 0.5000067373881298 -5.618237426831634e-17 -5.61669442267087e-17 -2.8587154133671807e-16 7.655791468619145e-17 -5.9792921884938354e-18 -0.0 
16.016016016016017 88.66514860671158 107.74464844569901 15.682678191422095 16.18268492831298 16.18268492831298 0.500006736890884 -5.615096697271245e-17 -5.613450564002585e-17 -2.8581573892334253e-16 7.654943937139378e-17 -6.375995378707863e-18 -0.0 
17.017017017017018 88.66514860671158 107.74464844569901 16.683679192774072 17.18368592913849 17.18368592913849 0.5000067363644207 -5.611749535773748e-17 -5.610000334168133e-17 -2.857563786028722e-16 7.65404663990947e-17 -6.772328241053278e-18 -0.0 
18.01801801801802 88.66514860671158 107.74464844569901 17.684680194145535 18.18468692995426 18.18468692995426 0.5000067358087273 -5.608196065923637e-17 -5.606343860591791e-17 -2.856934611153814e-16 7.65309956138756e-17 -7.168267753197764e-18 -0.0 
19.01901901901902 88.66514860671158 107.74464844569901 18.685681195536493 19.185687930760285 19.185687930760285 0.5000067352237909 -5.604436418994446e-17 -5.602481278390896e-17 -2.8562698724544185e-16 7.652102685603042e-17 -7.563790909591233e-18 -0.0 
20.02002002002002 88.66514860671158 107.74464844569901 19.686682196946954 20.186688931556553 20.186688931556553 0.5000067346095972 -5.600470733957004e-17 -5.598412730384282e-17 -2.855569578221398e-16 7.651055994833116e-17 -7.95887472246871e-18 -0.0 
21.021021021021024 88.66514860671158 107.74464844569901 20.687683198376938 21.18768993234307 21.18768993234307 0.5000067339661315 -5.596299157487953e-17 -5.594138367101154e-17 -2.8548337371909163e-16 7.649959470738827e-17 -8.353496222842137e-18 -0.0 
22.022022022022025 88.66514860671158 107.74464844569901 21.68868419982644 22.18869093311982 22.18869093311982 0.5000067332933781 -5.591921843978879e-17 -5.589658346790315e-17 -2.8540623585446674e-16 7.648813093798412e-17 -8.747632461502176e-18 -0.0 
