P M R omega20 omega21 omega22 nu
1e-05 0.316252067667132 10.27448528721258 0.0052945539355278015 0.018861711025238037 0.039437904953956604 0 
1.1192091703414919e-05 0.3404655729618674 10.452590234791382 0.004933767020702362 0.01792003959417343 0.03753016144037247 0 
1.2384183406829836e-05 0.3622702254665294 10.597262551506114 0.004649825394153595 0.01726078987121582 0.03633636236190796 0 
1.4768366813659669e-05 0.40050663095581057 10.817991153809025 0.004328921437263489 0.016608789563179016 0.03466836363077164 0 
1.7152550220489502e-05 0.4328532803055056 10.974106026325053 0.00406019389629364 0.015760213136672974 0.03319600969552994 0 
1.9536733627319335e-05 0.46035311793941885 11.085042654971524 0.0038206949830055237 0.015069141983985901 0.03225041180849075 0 
2.9073467254638672e-05 0.542273370509325 11.302729891605546 0.0035761073231697083 0.015136852860450745 0.031972095370292664 0 
4.8146934509277344e-05 0.6523509525872024 11.403960421490442 0.003870740532875061 0.01647854596376419 0.03544475883245468 0 
8.629386901855469e-05 0.8254814175981658 11.445598283233883 0.005197510123252869 0.020273663103580475 0.04343673586845398 0 
0.00012444080352783202 0.9727556783522037 11.482819222183576 0.0061100199818611145 0.02212844043970108 0.048064008355140686 0 
0.00016258773803710938 1.0972352637137581 11.511797912245358 0.0065000057220458984 0.02289249747991562 0.050409525632858276 0 
0.00023888160705566407 1.288465682288902 11.527565302254342 0.00629599392414093 0.023446761071681976 0.051317811012268066 0 
0.00031517547607421873 1.422752756096254 11.497737011008436 0.0056032463908195496 0.023650966584682465 0.05018005520105362 0 
0.0004677632141113281 1.5882728521164893 11.36840510244322 0.004227213561534882 0.02340557426214218 0.047456398606300354 0 
0.0006203509521484374 1.6764793368213409 11.206822946301232 0.0030559301376342773 0.021829470992088318 0.04395385831594467 0 
0.0007729386901855469 1.7176499620418584 11.042064785553807 0.0018714889883995056 0.0191614031791687 0.04083104431629181 0 
0.0009255264282226562 1.7305152796712535 10.885209734727018 0.0009229555726051331 0.017275147140026093 0.03881896287202835 0 
0.0010781141662597655 1.7279946110592195 10.74126826199125 0.00022681057453155518 0.016123414039611816 0.03735503554344177 0 
0.0012307019042968749 1.7177247302305656 10.610508833272744 -0.0002733469009399414 0.015493914484977722 0.03651570528745651 1 
0.0015358773803710937 1.6882551813145177 10.382047884690127 -0.0009250715374946594 0.015032455325126648 0.0359295979142189 1 
0.0018410528564453124 1.6561741508928622 10.187548613080368 -0.0013478100299835205 0.014959216117858887 0.035908713936805725 1 
0.002146228332519531 1.6252275255510098 10.018682051218729 -0.0016657784581184387 0.01497214287519455 0.036044612526893616 1 
0.0024514038085937497 1.5963933445492196 9.87000398686675 -0.0019304528832435608 0.014985688030719757 0.03622911125421524 1 
0.0027565792846679683 1.56981760801436 9.737700308271453 -0.0021621063351631165 0.014977186918258667 0.03643807768821716 1 
0.003061754760742187 1.5453819199334178 9.618964269669368 -0.002374976873397827 0.014936454594135284 0.036636121571063995 1 
0.0036721057128906247 1.5021399471280383 9.414089549741723 -0.0027617737650871277 0.014791116118431091 0.03707142174243927 1 
0.0042824566650390625 1.4651103524673714 9.243072293543463 -0.0031182020902633667 0.01457221806049347 0.037474125623703 1 
0.0048928076171875 1.4330074780538913 9.0978428010209 -0.0034556984901428223 0.014308884739875793 0.03784140199422836 1 
0.006113509521484374 1.3799097701845862 8.864002304499623 -0.004092074930667877 0.01373530924320221 0.03849847614765167 1 
0.00733421142578125 1.337536094359642 8.683775651763229 -0.004693128168582916 0.013157106935977936 0.03905409574508667 1 
0.008554913330078125 1.3027095679568368 8.540635470252305 -0.005265623331069946 0.012608721852302551 0.03948098421096802 1 
0.009775615234375 1.2734734544072384 8.424559450611367 -0.0058183372020721436 0.012080244719982147 0.03978484869003296 1 
0.01221701904296875 1.2268748298903445 8.248994299465116 -0.006867960095405579 0.01113235205411911 0.040159568190574646 1 
0.0146584228515625 1.1911890122180928 8.124262850677363 -0.00785624235868454 0.01030440628528595 0.040297508239746094 1 
0.01954123046875 1.1398588385313575 7.964700084184997 -0.00968419760465622 0.008928760886192322 0.04013502597808838 1 
0.0390724609375 1.045746878549518 7.782083184925357 -0.015693001449108124 0.0054384320974349976 0.03750640153884888 1 
0.078134921875 1.000390983528653 7.876642764421343 -0.02442231774330139 0.0020589232444763184 0.03204752504825592 1 
0.1171973828125 0.9976058503941755 8.030502406790834 -0.030949808657169342 0.00027292966842651367 0.028095491230487823 1 
0.15625984375 1.005252117965011 8.164341159205778 -0.03626655042171478 -0.0008978918194770813 0.025151237845420837 2 
0.234384765625 1.02669750330367 8.36176223510044 -0.04482359439134598 -0.0024412348866462708 0.02101847529411316 2 
0.31250968749999997 1.0469351058560037 8.492965501426879 -0.051760002970695496 -0.0035029202699661255 0.018144071102142334 2 
0.625009375 1.0993986318910682 8.73011647677021 -0.07230054587125778 -0.006250567734241486 0.011567547917366028 2 
1.25000875 1.1393442992892215 8.830840643169662 -0.1004573404788971 -0.009937182068824768 0.006105996668338776 2 
2.5000074999999997 1.157625063449443 8.821186315993602 -0.13968387246131897 -0.015200518071651459 0.0022864267230033875 2 
5.000005 1.157438067265725 8.752580707969075 -0.1932656392455101 -0.021881379187107086 -0.00022643804550170898 3 
10.0 1.1469268333697886 8.671687650452315 -0.26012270152568817 -0.02884536236524582 -0.001958012580871582 3 
