mu sigma muu mud mue nu nd ne epsilon P
1.001001001001001 0.0 0.8858725405894737 1.1161294614125286 0.23025692082305482 9.130263904983718e-09 1.8260527809967443e-08 -7.0305524919782e-26 nan nan 
2.002002002002002 0.0 1.7717450811789475 2.232258922825057 0.46051384164610965 7.304211123986973e-08 1.460842224797395e-07 -5.93981929100359e-27 nan nan 
3.0030030030030033 0.0 2.6576176217684213 3.3483883842375852 0.6907707624691639 2.4651712543456026e-07 4.930342508691207e-07 4.739781517244905e-10 0.07774628648594174 -0.07774628417959592 
4.004004004004004 0.0 3.543490162357895 4.464517845650114 0.9210276832922193 5.843368899189581e-07 1.1686737798379161e-06 2.025900643051512e-09 0.07774629022381858 -0.0777462829337957 
5.005005005005005 0.0 4.429362702947368 5.580647307062642 1.1512846041152738 1.1412829881229639e-06 2.28256597624593e-06 4.882446254405973e-09 0.07774629810570259 -0.07774628030672953 
6.0060060060060065 0.0 5.315235243536843 6.6967767684751704 1.3815415249383278 1.972137003476483e-06 3.944274006952966e-06 9.351542003013789e-09 0.07774631243860328 -0.07774627552938909 
7.007007007007008 0.0 6.201107784126316 7.8129062298877 1.6117984457613836 3.1316805194094157e-06 6.263361038818826e-06 1.574947743661642e-08 0.07774633604220364 -0.07774626766187775 
8.008008008008009 0.0 7.08698032471579 8.929035691300228 1.8420553665844386 4.674695119351661e-06 9.349390238703326e-06 2.4394939304417627e-08 0.07774637224885782 -0.07774625559340952 
9.00900900900901 0.0 7.972852865305263 10.045165152712755 2.0723122874074926 6.655962386733123e-06 1.3311924773466258e-05 3.560755115161653e-08 0.07774642490359042 -0.07774623804230882 
10.01001001001001 0.0 8.858725405894736 11.161294614125284 2.3025692082305476 9.130263904983713e-06 1.8260527809967442e-05 4.970737135171162e-08 0.07774649836409632 -0.07774621355601014 
11.011011011011012 0.0 9.74459794648421 12.277424075537814 2.5328261290536034 1.2152381257533316e-05 2.4304762515066638e-05 6.701468443853676e-08 0.0777465975007406 -0.07774618051105814 
12.012012012012013 0.0 10.630470487073685 13.393553536950341 2.7630830498766557 1.5777096027811867e-05 3.155419205562371e-05 8.784990265214749e-08 0.07774672769655838 -0.07774613711310749 
13.013013013013014 0.0 11.516343027663158 14.50968299836287 2.9933399706997115 2.0059189799249233e-05 4.0118379598498425e-05 1.1253351501051308e-07 0.07774689484725493 -0.0777460813969229 
14.014014014014016 0.0 12.402215568252632 15.6258124597754 3.2235968915227673 2.5053444155275312e-05 5.0106888310550624e-05 1.413860590411533e-07 0.07774710536120562 -0.07774601122637913 
15.015015015015017 0.0 13.288088108842105 16.74194192118793 3.453853812345825 3.081464067932005e-05 6.16292813586401e-05 1.7472810418561312e-07 0.07774736615945582 -0.07774592429446094 
16.016016016016017 0.0 14.17396064943158 17.858071382600457 3.684110733168877 3.739756095481331e-05 7.479512190962662e-05 2.1288024159989916e-07 0.07774768467572096 -0.07774581812326307 
17.017017017017018 0.0 15.059833190021052 18.974200844012984 3.914367653991931 4.485698656518501e-05 8.971397313037001e-05 2.5616307764147365e-07 0.07774806885638652 -0.0777456900639903 
18.01801801801802 0.0 15.945705730610525 20.09033030542551 4.144624574814985 5.3247699093865e-05 0.00010649539818773 3.048972295730962e-07 0.07774852716050809 -0.07774553729695736 
19.01901901901902 0.0 16.831578271199998 21.20645976683804 4.374881495638043 6.262448012428331e-05 0.00012524896024856665 3.5940332264869196e-07 0.07774906855981122 -0.07774535683158902 
20.02002002002002 0.0 17.717450811789472 22.322589228250568 4.605138416461095 7.304211123986977e-05 0.0001460842224797396 4.2000198808800245e-07 0.07774970253869154 -0.07774514550642003 
21.021021021021024 0.0 18.60332335237895 23.438718689663098 4.835395337284147 8.45553740240543e-05 0.0001691107480481083 4.87013861638551e-07 0.07775043909421474 -0.0777448999890951 
22.022022022022025 0.0 19.48919589296842 24.55484815107563 5.065652258107207 9.721905006026657e-05 0.00019443810012053316 5.607595825350719e-07 0.07775128873611646 -0.07774461677636901 
23.023023023023026 0.0 20.375068433557896 25.670977612488155 5.295909178930259 0.00011108792093193695 0.00022217584186387353 6.415597927337004e-07 0.0777522624868025 -0.07774429219410647 
24.024024024024026 0.0 21.26094097414737 26.787107073900682 5.526166099753311 0.0001262167682224951 0.0002524335364449897 7.297351363397648e-07 0.07775337188134868 -0.07774392239728217 
25.025025025025027 0.0 22.14681351473684 27.903236535313212 5.756423020576371 0.00014266037351537054 0.00028532074703074107 8.256062591742873e-07 0.07775462896750071 -0.07774350336998082 
26.026026026026027 0.0 23.032686055326316 29.01936599672574 5.986679941399423 0.00016047351839399375 0.0003209470367879875 9.294938084414524e-07 0.07775604630567455 -0.07774303092539714 
27.027027027027028 0.0 23.91855859591579 30.135495458138266 6.216936862222475 0.00017971098444179433 0.00035942196888358866 1.0417184324706334e-06 0.07775763696895605 -0.07774250070583578 
28.028028028028032 0.0 24.804431136505265 31.2516249195508 6.447193783045535 0.00020042755324220252 0.00040085510648440504 1.162600780514122e-06 0.07775941454310117 -0.07774190818271146 
29.029029029029033 0.0 25.69030367709474 32.367754380963326 6.677450703868587 0.000222678006378648 0.0004453560127572952 1.2924615025869979e-06 0.07776139312653585 -0.0777412486565488 
30.030030030030034 0.0 26.57617621768421 33.48388384237586 6.90770762469165 0.00024651712543456 0.000493034250869121 1.431621249339299e-06 0.07776358733035613 -0.07774051725698246 
31.031031031031034 0.0 27.462048758273685 34.60001330378839 7.137964545514702 0.00027199969199336987 0.0005439993839867407 1.5804006719530151e-06 0.07776601227832801 -0.0777397089427571 
