sigma mu omega
14.141414141414145 250 -2.8792817777796245 
18.181818181818187 250 -3.873284435671654 
22.22222222222223 250 -5.0917250426661775 
26.26262626262627 250 -6.519299921312758 
30.30303030303031 250 -8.137997295272404 
34.34343434343435 250 -9.927139262577928 
38.383838383838395 250 -11.863410699691682 
42.424242424242436 250 -13.920876299085005 
46.46464646464648 250 -16.070985726793896 
50.50505050505052 250 -18.282565705735202 
54.54545454545456 250 -20.52179630492577 
58.5858585858586 250 -22.752166266600124 
62.626262626262644 250 -24.934397580845776 
66.66666666666669 250 -27.026319351030544 
70.70707070707073 250 -28.982643942236212 
74.74747474747477 250 -30.75450026693126 
78.78787878787881 250 -32.2877359517791 
82.82828282828285 250 -33.52246773467333 
86.8686868686869 250 -34.40380470526657 
90.90909090909093 250 -34.876275116612554 
94.94949494949498 250 -34.8824853588678 
98.98989898989902 250 -34.36315196631621 
103.03030303030306 250 -33.25713223053351 
107.0707070707071 250 -31.501453536111043 
111.11111111111114 250 -29.031341521348846 
115.15151515151518 250 -25.780247154478854 
119.19191919191923 250 -21.679872805893893 
123.23232323232327 250 -16.660197388214844 
127.27272727272731 250 -10.649500628582663 
131.31313131313135 250 -3.5743865311102736 
135.3535353535354 250 4.640193918187221 
139.39393939393943 250 14.070920756579804 
143.43434343434348 250 24.796083716837465 
147.47474747474752 250 36.89556152719321 
151.51515151515156 250 50.45080180314465 
155.5555555555556 250 65.54480149818083 
159.59595959595964 250 82.26208788319556 
163.63636363636368 250 100.68870002673413 
167.67676767676772 250 120.91217075037075 
171.71717171717177 250 143.02150903543895 
175.7575757575758 250 167.10718285908263 
179.79797979797985 250 193.26110243916648 
183.8383838383839 250 221.57660386902023 
187.87878787878788 250 252.14843312427902 
191.91919191919192 250 285.07273042528067 
195.95959595959596 250 320.4470149395395 
200.0 250 358.370169809829 

-200.0 275 358.370169809829 
-195.95959595959596 275 320.4470149395395 
-191.91919191919192 275 285.07273042528067 
-187.87878787878788 275 252.14843312427902 
-183.83838383838383 275 221.57660386901983 
-179.7979797979798 275 193.2611024391662 
-175.75757575757575 275 167.10718285908223 
-171.7171717171717 275 143.02150903543875 
-167.67676767676767 275 120.91217075037046 
-163.63636363636363 275 100.6887000267338 
-159.59595959595958 275 82.26208788319532 
-155.55555555555554 275 65.54480149818058 
-151.5151515151515 275 50.45080180314438 
-147.47474747474746 275 36.89556152719304 
-143.43434343434342 275 24.796083716837295 
-139.39393939393938 275 14.070920756579657 
-135.35353535353534 275 4.640193918187084 
-131.3131313131313 275 -3.5743865311104073 
-127.27272727272727 275 -10.649500628582699 
-123.23232323232322 275 -16.66019738821489 
-119.19191919191918 275 -21.679872805893947 
-115.15151515151514 275 -25.780247154478914 
-111.1111111111111 275 -29.031341521348878 
-107.07070707070706 275 -31.501453536111068 
-103.03030303030303 275 -33.25713223053351 
-98.98989898989899 275 -34.36315196631621 
-94.94949494949495 275 -34.8824853588678 
-90.9090909090909 275 -34.876275116612554 
-86.86868686868686 275 -34.403804705266566 
-82.82828282828282 275 -33.52362723770402 
-78.78787878787878 275 -32.300599877784165 
-74.74747474747474 275 -30.794381517719728 
-70.7070707070707 275 -29.058673358101537 
-66.66666666666666 275 -27.143420347570817 
-62.626262626262616 275 -25.09538166385949 
-58.585858585858574 275 -22.958399817299604 
-54.54545454545453 275 -20.773553232150864 
