P0 x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 p0 p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13
1e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
1e-05 2.115362229418584e-05 2.6705179800939023e-05 3.384554281760533e-05 4.330051211740174e-05 5.6636658465350887e-05 7.736217358780016e-05 0.00011227524310500008 0.00016567078208988342 0.00020297238046679213 0.0001620221244695546 0.00015475612056704697 0.00016419969429833014 0.00016217029280786444 0.00012858683320932557 0.9999999975072766 0.9999999960195228 0.9999999935720408 0.9999999893294802 0.9999999810873331 0.9999999612677768 0.9999998957204096 0.9999995816426358 0.9999974791860227 0.9999798678782478 0.9998150453607925 0.9982052347361962 0.9824090312067976 0.8954525002402578 
0.0001 0.00023268984523604428 0.0002937569778103293 0.00037230097099365874 0.0004763056332914192 0.0006230032431188599 0.000850983909465802 0.001235027674155001 0.001822378602988718 0.0022326961851347137 0.0017822433691651006 0.0011419700330794456 0.0006141253455163886 0.000391864660135843 0.0002448542330750231 0.9999996983805314 0.9999995183623666 0.9999992222172402 0.9999987088679358 0.9999977115698895 0.9999953134119313 0.999987382251461 0.9999493801738486 0.999695037098892 0.9975677407802374 0.9899930459778212 0.9752699012833004 0.9027553713281943 0.6809224766318479 
0.001 0.00044422606817790276 0.0005608087758197195 0.0007107563991697121 0.0009093107544654367 0.001189369827772369 0.0016246056453438039 0.002357780105205002 0.003479086423887553 0.004262419989802636 0.0034024646138606472 0.0026895312387499155 0.0013847849671036337 0.0007488291089110381 0.0004102880798283783 0.9999989007096265 0.9999982446110094 0.9999971652738678 0.9999952943114344 0.9999916595473671 0.9999829192315662 0.999954013770417 0.9998155230138887 0.9988890552424806 0.9911708954475624 0.946083117570027 0.8821542564506493 0.6989110412525767 0.3808834740302269 
0.01 0.0006557622911197612 0.0008278605738291098 0.0010492118273457654 0.0013423158756394541 0.0017557364124258779 0.0023982273812218056 0.0034805325362550032 0.005135794244786387 0.006292143794470557 0.005022685858556193 0.0042370924444203855 0.002568174325269423 0.0012489522128759753 0.0006292498260977697 0.9999976044957081 0.9999961747683747 0.9999938227495474 0.99998974568099 0.9999818250859185 0.9999627790071931 0.9998997923910512 0.999598046949688 0.9975809836043588 0.980885446356378 0.8728921132262009 0.662669299606966 0.40682958978784184 0.16033585018732577 
0.1 0.0008672985140616196 0.0010949123718385 0.001387667255521819 0.0017753209968134715 0.002322102997079387 0.0031718491170998073 0.004603284967305004 0.006792502065685222 0.008321867599138479 0.006642907103251739 0.005784653650090855 0.004088965812327038 0.0018781222609812738 0.0008696690382248736 0.9999958097406377 0.9999933088392081 0.9999891946566554 0.9999820630107166 0.9999682082929376 0.9999348931942551 0.9998247215457909 0.9992970117129687 0.9957731722013023 0.9668644555387915 0.7795354948112285 0.3894301416801336 0.18541022886040207 0.0703734479643852 
1.0 0.001078834737003478 0.0013619641698478903 0.0017261226836978723 0.002208326117987489 0.0028884695817328956 0.0039454708529778094 0.005726037398355005 0.008449209886584055 0.0103515914038064 0.008263128347947285 0.007332214855761326 0.0057309627553103395 0.002584822437326669 0.0011418296927924857 0.9999935164469922 0.9999896468300807 0.9999832810123269 0.9999722463478455 0.9999508093171137 0.9998992624233142 0.9997288059865542 0.998912499966474 0.9934688637879034 0.9493136970630144 0.6762645136640664 0.20347526559121693 0.08349142799176328 0.03466154749113265 
10.0 0.0012903709599453364 0.0016290159678572806 0.0020645781118739256 0.0026413312391615064 0.003454836166386405 0.004719092588855811 0.006848789829405007 0.01010591770748289 0.012381315208474322 0.009883349592642832 0.008879776061431796 0.007372959698293641 0.003368257128787779 0.0014939596056680509 0.9999907246180643 0.999985188749388 0.9999760818384563 0.9999602957527264 0.9999296283484322 0.9998558875000413 0.9996120517843389 0.9984446172653844 0.9906721832356038 0.9284860123101892 0.5724589373411849 0.11016077998372349 0.0416309736294321 0.017879492620829173 
100.0 0.0015019071828871948 0.0018960677658666708 0.002403033540049979 0.003074336360335524 0.004021202751039914 0.005492714324733813 0.007971542260455006 0.011762625528381724 0.014411039013142243 0.011503570837338377 0.010427337267102266 0.009014956641276942 0.004359054965300755 0.0019664113571180105 0.9999874342578622 0.9999799346073514 0.9999675971616977 0.9999462112988268 0.9999046656181719 0.9998047694051901 0.9994744663286053 0.9978934920069971 0.9873881240227246 0.9046745084913907 0.4752561377554948 0.06474988510329828 0.021658249523118202 0.009582172482619373 
1000.0 0.0017134434058290531 0.0021631195638760607 0.002741488968226032 0.003507341481509541 0.004587569335693422 0.006266336060611814 0.009094294691505007 0.013419333349280558 0.016440762817810164 0.013123792082033922 0.011974898472772735 0.010656953584260245 0.005665253078904546 0.0026143825412384644 0.99998364537111 0.9999738844160161 0.9999578270134639 0.999929993072732 0.9998759213989015 0.9997459092945633 0.9993160583265087 0.9972592753693942 0.9836225319175073 0.878204872528482 0.3890385210167752 0.04139548433626487 0.011668887448809713 0.005277910088205353 
10000.0 0.0019249796287709117 0.0024301713618854514 0.003079944396402086 0.003940346602683558 0.005153935920346932 0.007039957796489816 0.01021704712255501 0.015076041170179393 0.018470486622478088 0.014744013326729468 0.013522459678443205 0.012298950527243545 0.007286956006983191 0.0035071504048111144 0.999979357963248 0.9999670381892534 0.999946771429927 0.9999116411741436 0.9998433960044751 0.9996793084989706 0.9991368378019975 0.9965421412392177 0.9793820859338627 0.8494270993546483 0.31565797644857113 0.02840920940368537 0.006726331819230868 0.002961427774457567 
100000.0 0.0021365158517127705 0.0026972231598948416 0.003418399824578139 0.0043733517238575765 0.005720302505000441 0.00781357953236782 0.01133979955360501 0.01673274899107823 0.02050021042714601 0.016364234571425017 0.015070020884113676 0.01394094747022685 0.008908658935061835 0.004733041583236476 0.9999745720404319 0.9999593959427587 0.999934430452018 0.9998911557158789 0.9998070897900265 0.9996049685241789 0.9989368160947646 0.9957422861286063 0.9746742766504284 0.8187069461728944 0.25508153864442307 0.020625873765857405 0.004439072741222628 0.0016758927804093103 
1000000.0 0.002348052074654629 0.0029642749579042323 0.003756855252754193 0.0048063568450315945 0.006286669089653951 0.00858720126824582 0.012462551984655013 0.018389456811977064 0.022529934231813934 0.017984455816120563 0.016617582089784148 0.015582944413210151 0.01053036186314048 0.006344503514463797 0.9999692876095333 0.9999509576940531 0.9999208041254264 0.9998685368238691 0.9997670031519628 0.9995228910508593 0.9987160058590733 0.9948599290813943 0.9695073819954392 0.7864174213230949 0.20613373099463875 0.015649754282559235 0.0031775929990983777 0.0009643952868695713 
10000000.0 0.0025595882975964876 0.0032313267559136226 0.004095310680930247 0.005239361966205613 0.00685303567430746 0.009360823004123824 0.013585304415705015 0.020046164632875903 0.024559658036481857 0.01960467706081611 0.01816514329545462 0.017224941356193454 0.012152064791219124 0.007955965445691117 0.9999635046781392 0.9999417234624827 0.9999058925005995 0.9998437846371593 0.9997231365279574 0.9994330779345234 0.9984744210624322 0.9938953115685804 0.9638904406113662 0.7529305987964268 0.16712125296897912 0.012292971755013989 0.002399518316418294 0.0006262552109220302 
nan 0.002771124520538346 0.0034983785539230133 0.0044337661091063 0.00567236708737963 0.007419402258960969 0.010134444740001827 0.014708056846755017 0.021702872453774738 0.02658938184114978 0.02122489830551166 0.01971270450112509 0.018866938299176756 0.013773767719297768 0.009567427376918437 0.9999572232545526 0.9999316932692175 0.9998896956327434 0.9998168993079065 0.9996754903969408 0.9993355312054599 0.9982120769841445 0.992848697373194 0.9578332229240241 0.7186100186771989 0.13625832353582434 0.009926157894477088 0.001881431865271471 0.00043779652947862176 
nan 0.0029826607434802047 0.0037654303519324035 0.004772221537282354 0.006105372208553648 0.00798576884361448 0.010908066475879828 0.01583080927780502 0.023359580274673573 0.028619105645817704 0.022845119550207207 0.021260265706795563 0.020508935242160062 0.015395470647376414 0.011178889308145758 0.9999504433477923 0.9999208671372529 0.9998722135818215 0.9997878810013769 0.9996240652790953 0.999230253068657 0.9979289902137166 0.9917203724645853 0.9513462000511875 0.6838038922174219 0.11190389138076903 0.008195239652370661 0.00151687534425349 0.00032191294658035993 
nan 0.0031941969664220633 0.004032482149941794 0.005110676965458407 0.006538377329727666 0.008552135428267988 0.01168168821175783 0.016953561708855022 0.02501628809557241 0.030648829450485627 0.024465340794902753 0.022807826912466033 0.022150932185143364 0.01701717357545506 0.012790351239373079 0.9999431649675921 0.9999092450914085 0.9998534464125539 0.9997567298959464 0.9995688617358436 0.9991172459037226 0.9976251786491337 0.9905106448622607 0.944440510694804 0.6488392807610287 0.09266199370702559 0.006890281783682732 0.0012494800798845144 0.0002456783383368688 
nan 0.003405733189363922 0.004299533947951185 0.005449132393634462 0.006971382450901683 0.009118502012921498 0.012455309947635834 0.01807631413990502 0.026672995916471244 0.03267855325515355 0.0260855620395983 0.024355388118136506 0.023792929128126666 0.018638876503533706 0.014401813170600398 0.9999353881244007 0.9998968271583282 0.9998333941944185 0.9997234461830977 0.9995098803698385 0.998996512264799 0.9973006614949861 0.9892198444893537 0.9371279261696202 0.6140173635998096 0.0773996517308027 0.005881021424134489 0.0010469251387307775 0.00019296906088371062 
nan 0.0036172694123057804 0.004566585745960575 0.005787587821810515 0.007404387572075701 0.009684868597575008 0.013228931683513835 0.019199066570955024 0.02832970373737008 0.03470827705982147 0.02770578328429385 0.025902949323806976 0.02543492607110997 0.02026057943161235 0.01601327510182772 0.9999271128293851 0.9998836133664802 0.9998120570016492 0.9996880300674167 0.9994471218249547 0.9988680548804704 0.9969554592604852 0.9878483230157704 0.9294208137283406 0.5796098544367568 0.06522359525222622 0.005083391815102471 0.0008894906134802641 0.00015509615595334368 
nan 0.003828805635247639 0.004833637543969965 0.006126043249986569 0.007837392693249718 0.010251235182228516 0.014002553419391838 0.020321819002005026 0.029986411558268915 0.0367380008644894 0.029326004528989397 0.027450510529477445 0.02707692301409327 0.021882282359691 0.017624737033055043 0.9999183390944261 0.9998696037461585 0.9997894349132357 0.999650481766594 0.9993805867862734 0.9987318766536601 0.9965895937573186 0.9863964536912009 0.9213320983504407 0.5458565727003234 0.05544161965123438 0.00444125883737086 0.0007645320291067451 0.00012703213069230083 
nan 0.004040341858189498 0.005100689341979356 0.006464498678162622 0.008270397814423737 0.010817601766882026 0.014776175155269841 0.02144457143305503 0.03164311937916775 0.038767724669157316 0.030946225773684943 0.02899807173514792 0.028718919957076577 0.023503985287769643 0.019236198964282362 0.99990906693212 0.9998547983294788 0.9997655280129236 0.9996108015114195 0.999310275980075 0.9985879806615295 0.9962030880973787 0.9848646311680532 0.9128752231670285 0.5129641273775657 0.047522325814202654 0.003916010495708529 0.0006636061552294966 0.00010570305220919522 
nan 0.004251878081131357 0.005367741139988747 0.006802954106338676 0.008703402935597754 0.011383968351535535 0.015549796891147842 0.02256732386410503 0.033299827200066585 0.04079744847382524 0.03256644701838049 0.030545632940818388 0.03036091690005988 0.02512568821584829 0.020847660895509684 0.9998992963557797 0.9998391971503826 0.9997403363892129 0.9995689895457831 0.9992361901738239 0.9984363701553628 0.9957959666903722 0.9832532713144184 0.9040641086991519 0.4811056296496765 0.041059342841576696 0.003480387661400455 0.0005808820485906394 8.914440793075664e-05 
nan 0.004463414304073215 0.005634792937998137 0.00714140953451473 0.009136408056771773 0.011950334936189045 0.016323418627025844 0.023690076295155033 0.03495653502096542 0.04282717227849316 0.03418666826307604 0.03209319414648886 0.032002913843043185 0.026747391143926935 0.022459122826737007 0.9998890273794315 0.9998228002446371 0.9997138601353592 0.9995250461266683 0.9991583301761531 0.9982770485604486 0.9953682552412622 0.9815628110172365 0.8949131110901607 0.45042131806150326 0.03574193383825282 0.003114700020053915 0.0005122169988440772 7.605413315920864e-05 
