r x m P epsilon nu nd ns ne muQ
0.0 0.0 0.0 0.21761231239682075 1.0843270933872515 5.8561453043855405 7.94663160584105 3.758376075509396 0.0 441.51688678621355 
9.999999999999999e-05 8.720974083518256e-06 4.066384602312845e-15 0.21761231233419787 1.084327093130929 5.856145303234604 7.946631604878682 3.7583760741657124 0.0 441.5168867631997 
0.0011 9.593071491870083e-05 5.412357813438205e-12 0.21761230481945115 1.0843270623722232 5.856145165122262 7.946631489394574 3.7583759129236936 0.0 441.51688400153574 
0.0111 0.0009680281232705266 5.561303910050841e-09 0.21761154082173995 1.0843239352434204 5.8561311237289955 7.946619748533745 3.7583595200180384 0.0 441.5166032329235 
0.0211 0.0018401255316223522 3.8199095151656654e-08 0.2176095243831031 1.0843156817326465 5.856094063921772 7.946588760580436 3.758316253804217 0.0 441.51586219316755 
0.031100000000000003 0.002712222939974178 1.2231611020356555e-07 0.2176062555424611 1.084302301999208 5.856033986415904 7.946538526132763 3.7582461151173363 0.0 441.51466089657083 
0.041100000000000005 0.003584320348326004 2.823082129291553e-07 0.2176017343628819 1.0842837963012484 5.855950892370507 7.946469046159931 3.758149105310629 0.0 441.512999366311 
0.051100000000000007 0.00445641775667783 5.42569114953057e-07 0.2175959609315923 1.0842601649957975 5.855844783388709 7.946380322002414 3.7580252262556977 0.0 441.51087763444366 
0.06110000000000001 0.0053285151650296556 9.274896837873089e-07 0.21758893535997575 1.08423140853876 5.85571566151761 7.946272355371916 3.75787448034247 0.0 441.50829574190226 
0.07110000000000001 0.0062006125733814815 1.4614572510950832e-06 0.21758065778356828 1.0841975274849005 5.855563529248204 7.946145148351309 3.757696870479109 0.0 441.50525373849615 
0.0811 0.007072709981733307 2.168854921125025e-06 0.2175711283620536 1.0841585224878219 5.855388389515292 7.945998703394559 3.757492400091905 0.0 441.50175168290906 
0.0911 0.007944807390085133 3.0740608793494926e-06 0.21756034727925716 1.0841143942999427 5.855190245697374 7.9458330233266325 3.757261073125157 0.0 441.49778964269655 
0.1011 0.008816904798436958 4.201447701340016e-06 0.21754831474313938 1.0840651437724687 5.854969101616523 7.945648111343396 3.757002894041017 0.0 441.493367694284 
0.11109999999999999 0.009689002206788783 5.575381661913282e-06 0.2175350309857879 1.0840107718553604 5.854724961538238 7.945443971011497 3.756717867819333 0.0 441.48848592296355 
0.12109999999999999 0.010561099615140608 7.220222044580946e-06 0.2175204962634092 1.0839512795972996 5.8544578301713 7.945220606268228 3.7564059999574604 0.0 441.4831444228908 
0.1311 0.011433197023492435 9.160320451336536e-06 0.2175047108563188 1.0838866681456503 5.854167712667582 7.944978021421384 3.7560672964700594 0.0 441.4773432970815 
0.1411 0.012305294431844261 1.1420020112812714e-05 0.21748767506893124 1.0838169387464143 5.853854614621873 7.944716221149107 3.755701763888876 0.0 441.47108265740786 
0.1511 0.013177391840196088 1.4023655198842104e-05 0.21746938922974857 1.0837420927441888 5.853518542071657 7.944435210499705 3.755309409262496 0.0 441.46436262459406 
0.16110000000000002 0.014049489248547913 1.6995550129454912e-05 0.21744985369134834 1.0836621315821122 5.853159501496904 7.944134994891474 3.754890240156085 0.0 441.45718332821207 
0.17110000000000003 0.01492158665689974 2.0360018886346468e-05 0.21742906883037053 1.0835770568018153 5.85277749981982 7.943815580112489 3.754444264651113 0.0 441.4495449066769 
0.18110000000000004 0.015793684065251567 2.414136432484788e-05 0.21740703504750358 1.083486870043361 5.852372544404594 7.943476972320398 3.7539714913450513 0.0 441.44144750724126 
0.19110000000000005 0.016665781473603394 2.8363877486432832e-05 0.21738375276746974 1.0833915730451853 5.851944643057129 7.943119178042186 3.753471929351057 0.0 441.43289128599025 
0.20110000000000006 0.01753787888195522 3.305183691179367e-05 0.21735922243900918 1.083291167644032 5.8514938040247495 7.942742204173944 3.752945588297633 0.0 441.4238764078355 
0.21110000000000007 0.018409976290307047 3.8229507954519724e-05 0.2173334445348635 1.0831856557748858 5.8510200359959 7.942346057980609 3.752392478328278 0.0 441.4144030465093 
0.22110000000000007 0.019282073698658874 4.3921142095410906e-05 0.21730641955175825 1.083075039470901 5.85052334809982 7.941930747095689 3.7518126101011067 0.0 441.40447138455784 
0.23110000000000008 0.0201541711070107 5.015097625745953e-05 0.21727814801038464 1.082959320863325 5.85000374990621 7.941496279520993 3.751205994788457 0.0 441.3940816133349 
0.2411000000000001 0.021026268515362524 5.694323212153316e-05 0.2172486304553802 1.0828385021814209 5.84946125142488 7.941042663626329 3.75057264407648 0.0 441.3832339329943 
0.2511000000000001 0.02189836592371435 6.432211544279146e-05 0.21721786745530877 1.082712585752384 5.848895863105372 7.940569908149195 3.749912570164706 0.0 441.3719285524828 
0.2611000000000001 0.022770463332066178 7.231181536786973e-05 0.21718585960263942 1.0825815740012579 5.848307595836584 7.9400780221944585 3.749225785765594 0.0 441.3601656895325 
0.2711000000000001 0.023642560740418005 8.093650375286195e-05 0.21715260751372464 1.082445469450842 5.847696460946358 7.939567015234015 3.748512304104064 0.0 441.34794557065237 
0.2811000000000001 0.02451465814876983 9.022033448213593e-05 0.21711811182877755 1.0823042747216016 5.847062470201074 7.9390368971064476 3.747772138917005 0.0 441.3352684311203 
0.29110000000000014 0.02538675555712166 0.00010018744278801338 0.2170823732118483 1.0821579925315685 5.846405635805201 7.9384876780166564 3.747005304452775 0.0 441.32213451497427 
0.30110000000000015 0.026258852965473485 0.00011086194457134716 0.2170453923507995 1.082006625696242 5.84572597040086 7.937919368535482 3.746211815470668 0.0 441.3085440750033 
0.31110000000000015 0.027130950373825312 0.00012226793572302856 0.21700716995728095 1.0818501771284847 5.845023487067348 7.937331979599322 3.7453916872403727 0.0 441.29449737273814 
0.32110000000000016 0.02800304778217714 0.0001344294914464568 0.21696770676670327 1.0816886498384155 5.8442981993206615 7.936725522509719 3.744544935541409 0.0 441.27999467844165 
0.33110000000000017 0.028875145190528965 0.00014737066558100326 0.21692700353821087 1.0815220469332982 5.8435501211129965 7.936100008932951 3.743671576662548 0.0 441.265036271099 
0.3411000000000002 0.029747242598880792 0.00016111548992650267 0.21688506105465394 1.0813503716174266 5.842779266832232 7.935455450899596 3.7427716274012064 0.0 441.24962243840696 
0.3511000000000002 0.030619340007232616 0.00017568797356880367 0.2168418801225595 1.0811736271920072 5.8419856513014015 7.934791860804091 3.7418451050628314 0.0 441.23375347676364 
0.3611000000000002 0.031491437415584446 0.0001911121022064106 0.2167974615721018 1.0809918170550363 5.841169289778145 7.934109251404278 3.740892027460261 0.0 441.21742969125745 
0.3711000000000002 0.03236353482393627 0.00020741183747824895 0.2167518062570717 1.0808049447011767 5.8403301979541515 7.933407635820927 3.7399124129130703 0.0 441.200651395656 
0.3811000000000002 0.0332356322322881 0.00022461111629258615 0.21670491505484507 1.0806130137216265 5.839468391954573 7.9326870275372565 3.7389062802468924 0.0 441.18341891239425 
0.3911000000000002 0.034107729640639926 0.00024273385015714002 0.21665678886635067 1.080416027803989 5.838583888337437 7.931947440398439 3.7378736487927267 0.0 441.16573257256294 
0.40110000000000023 0.034979827048991746 0.00026180392451040634 0.2166074286160369 1.080213990732135 5.837676704093034 7.931188888611085 3.736814538386229 0.0 441.14759271589605 
0.41110000000000024 0.03585192445734357 0.0002818451980542376 0.21655683525183772 1.0800069063860662 5.836746856643293 7.930411386742728 3.7357289693669777 0.0 441.12899969075875 
0.42110000000000025 0.0367240218656954 0.00030288150208770433 0.21650500974513776 1.0797947787417688 5.8357943638411385 7.929614949721281 3.734616962577728 0.0 441.1099538541342 
0.43110000000000026 0.03759611927404723 0.0003249366398422712 0.21645195309073662 1.07957761187107 5.834819243969836 7.928799592834492 3.733478539363644 0.0 441.09045557161045 
0.44110000000000027 0.03846821668239905 0.0003480343858183183 0.2163976663068123 1.0793554099414868 5.833821515742317 7.927965331729379 3.732313721571512 0.0 441.07050521736727 
0.4511000000000003 0.03934031409075088 0.0003721984851230405 0.2163421504348836 1.079128177216074 5.8328011983004915 7.927112182411653 3.7311225315489396 0.0 441.0501031741621 
0.4611000000000003 0.04021241149910271 0.0003974526528097545 0.21628540653977213 1.0788959180532653 5.831758311214548 7.926240161245135 3.729904992143531 0.0 441.029249833316 
0.4711000000000003 0.041084508907454534 0.0004238205732186465 0.21622743570956274 1.0786586369067157 5.830692874482226 7.92534928495115 3.7286611267020517 0.0 441.0079455946995 
0.4811000000000003 0.04195660631580636 0.00045132589931899024 0.2161682390555639 1.0784163383251355 5.829604908528087 7.924439570607914 3.727390959069564 0.0 440.98619086671755 
0.4911000000000003 0.04282870372415819 0.00047999225205286734 0.21610781771226667 1.0781690269521251 5.828494434202765 7.9235110356499066 3.7260945135885564 0.0 440.96398606629486 
0.5011000000000003 0.043700801132510014 0.0005098432196804202 0.2160461728373031 1.077916707526003 5.827361472782197 7.9225636978672265 3.724771815098048 0.0 440.9413316188604 
0.5111000000000003 0.04457289854086184 0.0005409023571266688 0.21598330561140383 1.0776593848796323 5.826206045966842 7.921597575404947 3.7234228889326744 0.0 440.9182279583318 
0.5211000000000003 0.04544499594921367 0.0005731931853299219 0.2159192172383545 1.077397063940244 5.825028175880889 7.9206126867624445 3.7220477609217637 0.0 440.8946755270994 
0.5311000000000003 0.046317093357565495 0.0006067391905918131 0.21585390894495182 1.0771297497292553 5.82382788507144 7.919609050792719 3.7206464573883795 0.0 440.8706747760102 
0.5411000000000004 0.04718919076591732 0.000641563823928992 0.21578738198095843 1.0768574473620853 5.822605196507683 7.918586686701702 3.719219005148364 0.0 440.84622616435104 
0.5511000000000004 0.04806128817426915 0.0006776905004265026 0.21571963761905713 1.0765801620479687 5.821360133580058 7.917545614047558 3.71776543150935 0.0 440.8213301598319 
0.5611000000000004 0.048933385582620975 0.0007151425985928758 0.2156506771548042 1.0762978990897631 5.820092720099387 7.916485852739963 3.716285764269761 0.0 440.79598723856884 
0.5711000000000004 0.0498054829909728 0.0007539434597169697 0.21558050190658196 1.0760106638837563 5.818802980296011 7.9154074230393725 3.714780031717792 0.0 440.7701978850664 
0.5811000000000004 0.05067758039932463 0.0007941163872265853 0.21550911321555044 1.0757184619194675 5.8174909388188984 7.914310345556285 3.7132482626303767 0.0 440.7439625921999 
0.5911000000000004 0.051549677807676456 0.0008356846460488892 0.21543651244559833 1.075421298779447 5.816156620734743 7.913194641250486 3.711690486272127 0.0 440.7172818611975 
0.6011000000000004 0.05242177521602828 0.0008786714619726713 0.21536270098329294 1.075119180139071 5.814800051527048 7.912060331430278 3.71010673239427 0.0 440.6901562016216 
0.6111000000000004 0.0532938726243801 0.0009231000210124684 0.21528768023782957 1.0748121117663347 5.81342125709519 7.910907437751699 3.70849703123355 0.0 440.66258613135057 
0.6211000000000004 0.05416597003273193 0.0009689934687745834 0.21521145164097993 1.0745000995216418 5.812020263753476 7.909735982217739 3.7068614135111315 0.0 440.63457217655946 
0.6311000000000004 0.055038067441083756 0.0010163749098250283 0.21513401664703982 1.0741831493575884 5.810597098230178 7.908545987177527 3.7051999104314723 0.0 440.60611487170087 
0.6411000000000004 0.05591016484943558 0.0010652674070594215 0.21505537673277583 1.073861267318747 5.809151787666558 7.9073374753255194 3.7035125536811795 0.0 440.5772147594857 
0.6511000000000005 0.05678226225778741 0.0011156939810748677 0.21497553339737163 1.0735344595414456 5.807684359615872 7.906110469700667 3.701799375427857 0.0 440.5478723908625 
0.6611000000000005 0.057654359666139236 0.0011676776095438496 0.214894488162373 1.0732027322535422 5.806194842042373 7.904864993685576 3.700060408318929 0.0 440.5180883249986 
0.6711000000000005 0.05852645707449106 0.0012212412265901612 0.21481224257163242 1.0728660917741994 5.804683263320281 7.903601071005655 3.698295685480446 0.0 440.4878631292584 
0.6811000000000005 0.05939855448284289 0.0012764077221669088 0.21472879819125273 1.072524544513653 5.803149652232751 7.902318725728247 3.6965052405158825 0.0 440.4571973791838 
0.6911000000000005 0.06027065189119472 0.001333199941436612 0.21464415660952985 1.0721780969729773 5.801594037970825 7.901017982261749 3.6946891075049004 0.0 440.4260916584724 
0.7011000000000005 0.061142749299546544 0.0013916406841534303 0.21455831943689505 1.0718267557438488 5.8000164501323646 7.899698865354732 3.692847321002118 0.0 440.39454655895634 
0.7111000000000005 0.06201484670789837 0.0014517527040475442 0.21447128830585624 1.0714705275083067 5.798416918720974 7.8983614000950295 3.690979916035843 0.0 440.3625626805813 
0.7211000000000005 0.06288694411625019 0.0015135587082117192 0.2143830648709384 1.0711094190385082 5.796795474144907 7.897005611908828 3.689086928106801 0.0 440.3301406313839 
0.7311000000000005 0.06375904152460202 0.0015770813564900822 0.2142936508086234 1.070743437196483 5.79515214721596 7.895631526559739 3.687168393186838 0.0 440.2972810274702 
0.7411000000000005 0.06463113893295384 0.0016423432608691341 0.21420304781728902 1.0703725889338827 5.793486969148348 7.89423917014786 3.6852243477176176 0.0 440.2639844929926 
0.7511000000000005 0.06550323634130567 0.0017093669848710314 0.21411125761714714 1.0699968812917284 5.791799971557574 7.892828569108835 3.68325482860929 0.0 440.23025166012786 
0.7611000000000006 0.0663753337496575 0.0017781750429491597 0.2140182819501811 1.0696163214001548 5.790091186459276 7.891399750212879 3.6812598732391515 0.0 440.19608316905357 
0.7711000000000006 0.06724743115800932 0.0018487898998860303 0.21392412258008262 1.0692309164781506 5.788360646268065 7.889952740563816 3.6792395194502894 0.0 440.1614796679253 
0.7811000000000006 0.06811952856636115 0.001921233970193524 0.21382878129218744 1.0688406738332967 5.786608383796343 7.888487567598084 3.6771938055502016 0.0 440.1264418128524 
0.7911000000000006 0.06899162597471298 0.001995529617515512 0.21373225989341071 1.0684456008615006 5.78483443225312 7.887004259083754 3.6751227703094087 0.0 440.0909702678752 
0.8011000000000006 0.0698637233830648 0.0020716991540328782 0.21363456021218138 1.068045705046728 5.783038825242803 7.885502843119506 3.6730264529600487 0.0 440.0550657049398 
0.8111000000000006 0.07073582079141663 0.0021497648398709707 0.21353568409837587 1.0676409939607316 5.781221596763977 7.883983348133622 3.6709048931944515 0.0 440.0187288038746 
0.8211000000000006 0.07160791819976846 0.00222974888250951 0.21343563342325086 1.0672314752627765 5.779382781208175 7.882445802882949 3.668758131163699 0.0 439.9819602523649 
0.8311000000000006 0.07248001560812029 0.0023116734361949805 0.21333441007937579 1.0668171566993625 5.777522413358629 7.88089023645186 3.6665862074761746 0.0 439.9447607459288 
0.8411000000000006 0.07335211301647211 0.002395560601355528 0.21323201598056404 1.066398046103944 5.775640528389015 7.879316678251195 3.6643891631960885 0.0 439.9071309878914 
0.8511000000000006 0.07422421042482394 0.002481432424018393 0.2131284530618038 1.0659741513966454 5.773737161862176 7.877725158017206 3.662167039841992 0.0 439.86907168935926 
0.8611000000000006 0.07509630783317577 0.002569310895229906 0.21302372327918803 1.0655454805839761 5.771812349728833 7.876115705810475 3.6599198793852774 0.0 439.8305835691953 
0.8711000000000007 0.07596840524152759 0.002659217950478067 0.21291782860984373 1.0651120417585402 5.769866128326293 7.8744883520148266 3.6576477242486596 0.0 439.7916673539922 
0.8811000000000007 0.07684050264987942 0.002751175469117739 0.21281077105186058 1.0646738430987437 5.76789853437713 7.872843127336232 3.655350617304641 0.0 439.7523237780465 
0.8911000000000007 0.07771260005823125 0.0028452052737984743 0.21270255262421855 1.0642308928684996 5.765909604987858 7.871180062801701 3.653028601873967 0.0 439.71255358333195 
