nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0 7.92405959867008e-15 2.173490783639927e-07 0.0 891.979088912515 0.0009345078678011153 -2666.563051159566 1.8864781909828667e-22 0.0 7.068095280606396e-15 0.0 
7.92405959867008e-15 2.50580766467172e-14 0.20912459100613665 891.979088912515 891.9791501399843 899.1460976827442 1.8864781909828667e-22 1.202875101238043e-21 7.068095280606396e-15 2.235128075925966e-14 0.19445487380421275 
2.50580766467172e-14 7.92405959867008e-14 0.20912459100613665 891.9791501399843 891.9792735967919 899.1460976827442 1.202875101238043e-21 7.669892586590564e-21 2.235128075925966e-14 7.068096190068274e-14 0.19445487380421275 
7.92405959867008e-14 2.50580766467172e-13 0.20912459100613665 891.9792735967919 891.9795225305563 899.1460976827442 7.669892586590564e-21 4.89055366008406e-20 7.068096190068274e-14 2.2351286558261665e-13 0.19445487380421275 
2.50580766467172e-13 7.92405959867008e-13 0.20912459100613665 891.9795225305563 891.9800244714106 899.1460976827442 4.89055366008406e-20 3.1183637622223165e-19 2.2351286558261665e-13 7.068099887685966e-13 0.19445487380421275 
7.92405959867008e-13 2.50580766467172e-12 0.20912459100613665 891.9800244714106 891.9810365664441 899.1460976827442 3.1183637622223165e-19 1.9883623060735802e-18 7.068099887685966e-13 2.235131013538147e-12 0.19445487380421275 
2.50580766467172e-12 7.92405959867008e-12 0.20912459100613665 891.9810365664441 891.9830773175474 899.1460976827442 1.9883623060735802e-18 1.2678394702087938e-17 2.235131013538147e-12 7.068114921165044e-12 0.19445487380421275 
7.92405959867008e-12 2.50580766467172e-11 0.2091245910061367 891.9830773175474 891.9871922128202 899.1460976827442 1.2678394702087938e-17 8.084124896701922e-17 7.068114921165044e-12 2.2351405993355074e-11 0.19445487380421286 
2.50580766467172e-11 7.92405959867008e-11 0.20912459100613723 891.9871922128202 891.9954893359115 899.1460976827445 8.084124896701922e-17 5.154680610685972e-16 2.2351405993355074e-11 7.068176043085378e-11 0.19445487380421334 
7.92405959867008e-11 2.50580766467172e-10 0.20912459100614053 891.9954893359115 892.0122193489516 899.1460976827464 5.154680610685972e-16 3.286779031459769e-15 7.068176043085378e-11 2.235179572505954e-10 0.19445487380421636 
2.50580766467172e-10 6.29410234040288e-10 0.20912459100616143 892.0122193489516 892.0371937918279 899.146097682758 3.286779031459769e-15 1.446781958777772e-14 2.235179572505954e-10 5.614434803410538e-10 0.19445487380423584 
6.29410234040288e-10 1.58104849886544e-09 0.20912459100624592 892.0371937918279 892.0786055088946 899.1460976828049 1.446781958777772e-14 6.088592755770992e-14 5.614434803410538e-10 1.4103612181038253e-09 0.19445487380431442 
1.58104849886544e-09 3.97146890586824e-09 0.20912459100659664 892.0786055088946 892.1439095007744 899.1460976829993 6.088592755770992e-14 2.441054461078457e-13 1.4103612181038253e-09 3.5428879700370645e-09 0.19445487380464052 
3.97146890586824e-09 4.99938025672213e-09 0.20912459100798098 892.1439095007744 892.1619336289149 899.1460976837673 2.441054461078457e-13 3.282409974638611e-13 3.5428879700370645e-09 4.459942338096108e-09 0.1944548738059278 
4.99938025672213e-09 9.97366035816307e-09 0.20912459100861666 892.1619336289149 892.2360683739453 899.1460976841199 3.282409974638611e-13 8.956566483374039e-13 4.459942338096108e-09 8.898001564940638e-09 0.19445487380651894 
9.97366035816307e-09 1.99038194110668e-08 0.20912459101290382 892.2360683739453 892.3341904655585 899.1460976864978 8.956566483374039e-13 2.3923706850712675e-12 8.898001564940638e-09 1.7758566953987143e-08 0.19445487381050547 
1.99038194110668e-08 3.97209640718649e-08 0.20912459102421235 892.3341904655585 892.4619942545893 899.1460976927704 2.3923706850712675e-12 6.278958802978594e-12 1.7758566953987143e-08 3.544343625900713e-08 0.19445487382102108 
3.97209640718649e-08 7.92418564452663e-08 0.2091245910535778 892.4619942545893 892.626497749921 899.1460977090587 6.278958802978594e-12 1.6252891374708013e-11 3.544343625900713e-08 7.071781231586815e-08 0.1944548738483275 
7.92418564452663e-08 1.58101406297455e-07 0.20912459112893664 892.626497749921 892.8367217689721 899.1460977508586 1.6252891374708013e-11 4.166831905435893e-11 7.071781231586815e-08 1.411188276499206e-07 0.19445487391840238 
1.58101406297455e-07 1.99033206564924e-07 0.20912459132096486 892.8367217689721 892.9060133422579 899.1460978573723 4.166831905435893e-11 5.45383121475417e-11 1.411188276499206e-07 1.7766570530636955e-07 0.19445487409696616 
1.99033206564924e-07 3.15499695463202e-07 0.20912459141820514 892.9060133422579 893.0835070074749 899.1460979113092 5.45383121475417e-11 1.0167419373809274e-10 1.7766570530636955e-07 2.816701818159441e-07 0.1944548741873882 
3.15499695463202e-07 4.99934080568851e-07 0.20912459177434398 893.0835070074749 893.2911419686574 899.1460981088512 1.0167419373809274e-10 1.890553301612541e-10 2.816701818159441e-07 4.464055915772666e-07 0.19445487451855561 
4.99934080568851e-07 6.29458589212406e-07 0.20912459243455908 893.2911419686574 893.4079403047351 899.1460984750574 1.890553301612541e-10 2.5771193735088087e-10 4.464055915772666e-07 5.621164420718817e-07 0.19445487513247828 
