nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
6.29410234040288e-10 1.58104849886544e-09 0.006437292335761342 892.0371937918279 892.0786055088946 927.0304085191387 1.446781958777772e-14 6.088592755770992e-14 5.614434803410538e-10 1.4103612181038253e-09 0.005986705625660948 
1.58104849886544e-09 3.97146890586824e-09 0.006437292338738122 892.0786055088946 892.1439095007744 927.0304085256312 6.088592755770992e-14 2.441054461078457e-13 1.4103612181038253e-09 3.5428879700370645e-09 0.005986705628428185 
3.97146890586824e-09 4.99938025672213e-09 0.0064372923504879345 892.1439095007744 892.1619336289149 927.0304085512574 2.441054461078457e-13 3.282409974638611e-13 3.5428879700370645e-09 4.459942338096108e-09 0.0059867056393509005 
4.99938025672213e-09 9.97366035816307e-09 0.006437292355883521 892.1619336289149 892.2360683739453 927.0304085630253 3.282409974638611e-13 8.956566483374039e-13 4.459942338096108e-09 8.898001564940638e-09 0.0059867056443666826 
9.97366035816307e-09 1.99038194110668e-08 0.006437292392271717 892.2360683739453 892.3341904655585 927.0304086423878 8.956566483374039e-13 2.3923706850712675e-12 8.898001564940638e-09 1.7758566953987143e-08 0.005986705678193428 
1.99038194110668e-08 3.97209640718649e-08 0.0064372924882555365 892.3341904655585 892.4619942545893 927.0304088517282 2.3923706850712675e-12 6.278958802978594e-12 1.7758566953987143e-08 3.544343625900713e-08 0.005986705767420729 
3.97209640718649e-08 7.92418564452663e-08 0.006437292737501259 892.4619942545893 892.626497749921 927.0304093953324 6.278958802978594e-12 1.6252891374708013e-11 3.544343625900713e-08 7.071781231586815e-08 0.005986705999121479 
7.92418564452663e-08 1.58101406297455e-07 0.006437293377126545 892.626497749921 892.8367217689721 927.0304107903532 1.6252891374708013e-11 4.166831905435893e-11 7.071781231586815e-08 1.411188276499206e-07 0.005986706593722089 
1.58101406297455e-07 1.99033206564924e-07 0.006437295007010252 892.8367217689721 892.9060133422579 927.0304143451252 4.166831905435893e-11 5.45383121475417e-11 1.411188276499206e-07 1.7766570530636955e-07 0.005986708108874583 
1.99033206564924e-07 3.15499695463202e-07 0.006437295832359025 892.9060133422579 893.0835070074749 927.0304161452085 5.45383121475417e-11 1.0167419373809274e-10 1.7766570530636955e-07 2.816701818159441e-07 0.005986708876125183 
3.15499695463202e-07 4.99934080568851e-07 0.0064372988551688855 893.0835070074749 893.2911419686574 927.0304227379484 1.0167419373809274e-10 1.890553301612541e-10 2.816701818159441e-07 4.464055915772666e-07 0.005986711686152599 
4.99934080568851e-07 6.29458589212406e-07 0.006437304458894794 893.2911419686574 893.4079403047351 927.0304349596588 1.890553301612541e-10 2.5771193735088087e-10 4.464055915772666e-07 5.621164420718817e-07 0.005986716895419522 
