P M R nu
1e-07 5.1331193271831055e-05 0.37351782344096707 0 
7.10345458984375e-07 0.0009657107051155224 0.9931747602476019 0 
1.32069091796875e-06 0.0024328535755182602 1.3510600397038153 0 
1.931036376953125e-06 0.00427446353108191 1.6298816835483108 0 
2.5413818359375e-06 0.006413464373616628 1.865461113867468 0 
3.7620727539062504e-06 0.011408863800626052 2.259208302489768 0 
4.982763671875e-06 0.017177519313975737 2.5881134441729694 0 
6.20345458984375e-06 0.023572076374968616 2.874645573055632 0 
7.4241455078125e-06 0.030489338975707547 3.1305722397626505 0 
8.64483642578125e-06 0.03785142498924367 3.3629881769600956 0 
9.86552734375e-06 0.045596724464840914 3.5765708980990847 0 
1.23069091796875e-05 0.062043871187574214 3.959494717179244 0 
1.4748291015625001e-05 0.07951578445037934 4.296805210478441 0 
1.71896728515625e-05 0.09777929144840541 4.599046363076063 0 
1.96310546875e-05 0.11665438405869695 4.873189054393028 0 
2.2072436523437502e-05 0.13599815776382432 5.124141328932058 0 
2.4513818359375e-05 0.15569491004572983 5.355521932139973 0 
2.6955200195312498e-05 0.175649606541724 5.570095565755245 0 
2.939658203125e-05 0.19578335012584586 5.77003439092017 0 
3.4279345703124996e-05 0.23633426969924587 6.132674820842018 0 
3.9162109375e-05 0.2769337628907456 6.454049778537042 0 
4.4044873046875e-05 0.3172841944068504 6.741660803250784 0 
4.892763671875e-05 0.3571699176391093 7.001056860631143 0 
5.3810400390624994e-05 0.3964347116015779 7.236484424072473 0 
5.86931640625e-05 0.43496628811137766 7.451281354718836 0 
6.845869140624999e-05 0.5095374293991056 7.82921543721661 0 
7.822421875e-05 0.5805144242169027 8.151089590116804 0 
8.798974609375e-05 0.6477710822390799 8.428296106815086 0 
9.77552734375e-05 0.7113244239800486 8.669170466943884 0 
0.00010752080078124999 0.7712753266431832 8.880006708673482 0 
0.00011728632812499999 0.8277721798062289 9.065677374642414 0 
0.00013681738281249998 0.9311076492526298 9.376153599928747 0 
0.0001563484375 1.0227963719573316 9.623331939367434 0 
0.00019541054687499998 1.176808259557818 9.98466473283342 0 
0.00023447265624999998 1.2995269086289303 10.226785728777246 0 
0.000312596875 1.47869329575957 10.504529866913305 0 
0.00062509375 1.7838919590070785 10.658548476322881 0 
0.000937590625 1.862954670416484 10.467726009676644 0 
0.0012500875 1.8780685099552392 10.245530459205215 0 
0.00187508125 1.8533296150572698 9.856596703261655 0 
0.002500075 1.8115981725602563 9.553490296817431 0 
0.00312506875 1.7697707455014122 9.315001580084823 0 
0.0037500625 1.7313842166005504 9.122904166594626 0 
0.00500005 1.66617524177266 8.832346092694872 0 
0.0075000250000000004 1.571309579380123 8.464486467685308 0 
0.01 1.5061719150104032 8.242441961904289 0 
