mu md ms muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
5.0 7.0 0.0 38.02255818522081 47.86332770066508 0.0 9.84076951544427 0.0007032828509821681 0.0013940983884172939 0.0 4.155771182328111e-06 7.081493787627072e-05 2.2692759244016987e-05 7.081493787627072e-05 2.2692759244016987e-05 
5.0 7.0 0.0 39.794479031221655 50.085400848658225 0.0 10.29092181743657 0.0008081125530537056 0.0016019626998306708 0.0 4.754135425570133e-06 8.508470393523123e-05 2.7357582513723417e-05 8.508470393523123e-05 2.7357582513723417e-05 
5.0 7.0 0.0 41.566244787335734 52.30762908653814 0.0 10.741384299202405 0.0009227774629200339 0.0018293316968828206 0.0 5.4077429857562305e-06 0.00010140186503519276 3.270061939517332e-05 0.00010140186503519276 3.270061939517332e-05 
5.0 7.0 0.0 43.337874398081226 54.529993469786646 0.0 11.192119071705418 0.0010477145598638213 0.0020770719748798346 0.0 6.119048282660721e-06 0.00011995289662388293 3.8784031719995594e-05 0.00011995289662388293 3.8784031719995594e-05 
5.0 7.0 0.0 45.109383844890964 56.75247801697089 0.0 11.643094172079925 0.001183360831115031 0.002346050144873933 0.0 6.89050578538733e-06 0.00014093238088247538 4.567268315672356e-05 0.00014093238088247538 4.567268315672356e-05 
5.0 7.0 0.0 46.8807867033112 58.97506915254464 0.0 12.09428244923344 0.0013301532703305892 0.002637132830651808 0.0 7.72457000307727e-06 0.00016454300667496008 5.34341392576724e-05 0.00016454300667496008 5.34341392576724e-05 
5.0 7.0 0.0 48.6520945790958 61.197755270754044 0.0 12.545660691658243 0.0014885288764111989 0.0029511866663893406 0.0 8.62369547762376e-06 0.00019099556950722595 6.213866749702474e-05 0.00019099556950722595 6.213866749702474e-05 
5.0 7.0 0.0 50.42331745280696 63.42052639103688 0.0 12.99720893822992 0.0016589246525705768 0.0032890782948074497 0.0 9.590336777927138e-06 0.00022050897149372489 7.185923730204198e-05 0.00022050897149372489 7.185923730204198e-05 
5.0 7.0 0.0 52.19446395455381 65.64337388328403 0.0 13.448909928730211 0.0018417776055966904 0.0036516743657074723 0.0 1.0626948495307459e-05 0.00025331022133005614 8.267152007883508e-05 0.00025331022133005614 8.267152007883508e-05 
5.0 7.0 0.0 53.96554158483658 67.86629024699526 0.0 13.900748662158678 0.002037524745259378 0.004039841534799367 0.0 1.1735985239850825e-05 0.00028963443427030037 9.465388923381082e-05 0.00028963443427030037 9.465388923381082e-05 
5.0 7.0 0.0 55.736556893450675 70.08926893237513 0.0 14.352712038924464 0.002246603083833109 0.004454446462753953 0.0 1.2919901637405169e-05 0.00032972483210805763 0.0001078874201916101 0.00032972483210805763 0.0001078874201916101 
5.0 7.0 0.0 57.50751562543668 72.31230419438315 0.0 14.804788568946458 0.002469449635707763 0.004896355814433683 0.0 1.4181152327176448e-05 0.00037383274316058694 0.0001224558904102391 0.00037383274316058694 0.0001224558904102391 
5.0 7.0 0.0 59.278422840957965 74.53539097285582 0.0 15.256968131897862 0.0027065014170704056 0.005366436258261516 0.0 1.552219195972801e-05 0.00042221760225537286 0.00013844577939387703 0.00042221760225537286 0.00013844577939387703 
5.0 7.0 0.0 61.04928301437712 76.7585247934307 0.0 15.709241779053583 0.0029581954456431143 0.005865554465700442 0.0 1.6945475195321387e-05 0.00047514695071871124 0.00015594626870378645 0.00047514695071871124 0.00015594626870378645 
5.0 7.0 0.0 62.820100116617674 78.98170168518412 0.0 16.161601568566443 0.003224968740464899 0.006394577110822407 0.0 1.8453456702560248e-05 0.0005328964363659785 0.00017504924196766033 0.0005328964363659785 0.00017504924196766033 
5.0 7.0 0.0 64.59087768401618 81.20491811177962 0.0 16.614040427763435 0.0035072583217101915 0.006954370869948441 0.0 2.0048591157244784e-05 0.0005957498134932856 0.00019584928488766023 0.0005957498134932856 0.00019584928488766023 
5.0 7.0 0.0 66.36161887617436 83.42817091361542 0.0 17.066552037441063 0.00380550121053587 0.0075458024213475305 0.0 2.173333324143523e-05 0.0006639989428702961 0.00021844368524737235 0.0006639989428702961 0.00021844368524737235 
5.0 7.0 0.0 68.13232652482152 85.65145725896227 0.0 17.51913073414074 0.004120134428954064 0.008169738444980331 0.0 2.3510137642587032e-05 0.0007379437917339214 0.0002429324329178079 0.0007379437917339214 0.0002429324329178079 
5.0 7.0 0.0 69.90300317525357 87.87477460252421 0.0 17.97177142727063 0.004451594999722234 0.008827045622285236 0.0 2.5381459052912998e-05 0.0008178924337829539 0.0002694182198626752 0.0008178924337829539 0.0002694182198626752 
5.0 7.0 0.0 71.67365112164926 90.09812065012252 0.0 18.424469528473264 0.004800319946250664 0.009518590635995104 0.0 2.734975216879631e-05 0.0009041610491733526 0.00029800644014297043 0.0009041610491733526 0.00029800644014297043 
5.0 7.0 0.0 73.44427243729317 92.3214933284726 0.0 18.877220891179437 0.00516674629252445 0.010245240169978518 0.0 2.941747169023811e-05 0.0009970739245139914 0.00032880518992097667 0.0009970739245139914 0.00032880518992097667 
5.0 7.0 0.0 75.21486900052584 94.54489075923391 0.0 19.330021758708074 0.0055513110630343535 0.011007860909107657 0.0 3.158707232048825e-05 0.00109696345286313 0.0003619252674638424 0.00109696345286313 0.0003619252674638424 
5.0 7.0 0.0 76.98544251713002 96.76831123662372 0.0 19.782868719493695 0.0059544512827191505 0.011807319539140926 0.0 3.3861008765634025e-05 0.0012041701337251144 0.00039748017314669 0.0012041701337251144 0.00039748017314669 
5.0 7.0 0.0 78.75599453969295 98.9917532080548 0.0 20.23575866836186 0.006376603976913941 0.012644482746624858 0.0 3.624173573433447e-05 0.0013190425730476344 0.000435586109455422 0.0013190425730476344 0.000435586109455422 
5.0 7.0 0.0 80.52652648443174 101.21521525731 0.0 20.688688772878272 0.006818206171308185 0.013520217218804248 0.0 3.873170793745576e-05 0.0014419374832190508 0.00047636198098913537 0.0014419374832190508 0.00047636198098913537 
5.0 7.0 0.0 82.2970396458373 103.43869608989843 0.0 21.14165644406113 0.007279694891906417 0.014435389643548494 0.0 4.133338008788339e-05 0.0015732196830662427 0.000519929394462349 0.0015732196830662427 0.000519929394462349 
5.0 7.0 0.0 84.0675352094724 105.66219452025732 0.0 21.594659310784913 0.007761507164993947 0.015390866709286964 0.0 4.404920690034932e-05 0.0017132620978526673 0.0005664126587069891 0.0017132620978526673 0.0005664126587069891 
5.0 7.0 0.0 85.83801426320018 107.88570946052354 0.0 22.047695197323357 0.008264080017110263 0.016387515104947337 0.0 4.688164309113705e-05 0.0018624457592763721 0.0006159387846740791 0.0018624457592763721 0.0006159387846740791 
5.0 7.0 0.0 87.60847780703597 110.10923991068174 0.0 22.500762103645766 0.00878785047502095 0.017426201519908556 0.0 4.9833143378021175e-05 0.0020211598054685706 0.0006686374854353768 0.0020211598054685706 0.0006686374854353768 
