muQ Deltax Deltay muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
0.0 299.9999981559813 0.0 0.0 0.0 0.0 0.0 -6.513815863466862e-17 -6.513815863466862e-17 0.0 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
299.9999981559813 299.9999981559813 0.0 299.9999981559813 299.9999981559813 0.0 0.0 0.0 0.0 0.0 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
302.91463779874715 299.69969785752687 0.0 302.1884682972446 303.6408073002497 0.0 1.4523390030051386 0.00076141350808581 0.0015227937203440684 0.0 1.1098609174176887e-08 0.000689662905955871 2.809806509378224e-06 0.000689662905955871 2.809806509378224e-06 
304.50147876879106 299.39939755907244 0.0 303.3524754024921 305.65048213509004 0.0 2.298006732597958 0.0015274975176591832 0.0030548468416276733 0.0 4.939789685903621e-08 0.001388434465093485 8.651211568645152e-06 0.001388434465093485 8.651211568645152e-06 
305.783643476497 299.099097260618 0.0 304.2819991905884 307.28528776240563 0.0 3.0032885718172007 0.002296765454243682 0.004593189833513774 0.0 1.1369165786023129e-07 0.0020936493629120875 1.663502236455246e-05 0.0020936493629120875 1.663502236455246e-05 
306.89568867281616 298.7987969621636 0.0 305.0807850067648 308.71059233886757 0.0 3.6298073321027373 0.0030686035808945244 0.006136596865537563 0.0 2.0343208383591305e-07 0.0028042093774565302 2.639580360154986e-05 0.0028042093774565302 2.639580360154986e-05 
307.89345022048064 298.49849666370915 0.0 305.79185043825396 309.99505000270733 0.0 4.203199564453357 0.003842633956148468 0.007684313303579337 0.0 3.182029058541783e-07 0.00351943791141783 3.7708660839540085e-05 0.00351943791141783 3.7708660839540085e-05 
308.8069244911238 298.19819636525466 0.0 306.43829070284073 311.17555827940697 0.0 4.737267576566233 0.004618590025035246 0.009235807097325254 0.0 4.576509150701674e-07 0.004238857390447934 5.041503996699376e-05 0.004238857390447934 5.041503996699376e-05 
309.65457594415335 297.89789606680023 0.0 307.03431401780614 312.2748378705005 0.0 5.240523852694386 0.005396269268546432 0.0107906741486439 0.0 6.214628163116173e-07 0.004962104603029708 6.439450716570145e-05 0.004962104603029708 6.439450716570145e-05 
310.4487890094966 297.5975957683458 0.0 307.5894450342184 313.30813298477483 0.0 5.7186879505564425 0.006175510304743525 0.012348592547602726 0.0 8.093539614339771e-07 0.0056888897824038335 7.955110955718689e-05 0.0056888897824038335 7.955110955718689e-05 
311.19837937687845 297.29729546989137 0.0 308.11046040265177 314.2862983511052 0.0 6.175837948453393 0.006956180172140657 0.01390929715897203 0.0 1.0210617697515996e-06 0.006418973893853663 9.580580429928239e-05 0.006418973893853663 9.580580429928239e-05 
311.9099035478273 296.99699517143694 0.0 308.60239778968685 315.2174093059677 0.0 6.615011516280853 0.0077381665862286085 0.015472564148130422 0.0 1.2563414421429615e-06 0.007152154809596189 0.0001130918502171734 0.007152154809596189 0.0001130918502171734 
312.5884048946301 296.6966948729825 0.0 309.0691305513446 316.10767923791565 0.0 7.0385486865710565 0.008521372900767486 0.017038200912655586 0.0 1.5149629598696196e-06 0.007888258315519689 0.00013135181005375228 0.007888258315519689 0.00013135181005375228 
313.23786799209154 296.3963945745281 0.0 309.51371759765453 316.96201838652854 0.0 7.448300788874027 0.00930571466000153 0.018606039193385864 0.0 1.7967088727115857e-06 0.008627131958946944 0.0001505354997156788 0.008627131958946944 0.0001505354997156788 
313.8615101177857 296.09609427607364 0.0 309.93862780668445 317.7843924288869 0.0 7.845764622202481 0.010091117144232732 0.020175930170649035 0.0 2.101372605653588e-06 0.009368640669867442 0.0001705985286947592 0.009368640669867442 0.0001705985286947592 
314.4619763120399 295.7957939776192 0.0 310.34589015471204 318.5780624693677 0.0 8.232172314655683 0.010877513565914917 0.02174774086045801 0.0 2.428757124021742e-06 0.010112663543168952 0.0001915012274726373 0.010112663543168952 0.0001915012274726373 
315.0414745060159 295.4954936791648 0.0 310.7371976934133 319.3457513186185 0.0 8.60855362520524 0.011664843708362405 0.023321351395155378 0.0 2.7786738563731364e-06 0.010859091410681058 0.00021320783820142538 0.010859091410681058 0.00021320783820142538 
315.60187189294 295.19519338071035 0.0 311.1139816870275 320.0897620988525 0.0 8.975780411824989 0.012453052875433442 0.0248966529254406 0.0 3.1509418087349034e-06 0.011607824968030762 0.00023568589032817123 0.011607824968030762 0.00023568589032817123 
