Deltax Deltay Omega
-600.0 429 51.17076649964019 
-595.9866220735786 429 49.488211337931595 
-591.9732441471572 429 47.83285020851052 
-587.9598662207358 429 46.204666876206524 
-583.9464882943143 429 44.60363891173526 
-579.9331103678929 429 43.0297377347285 
-575.9197324414715 429 41.48292865705919 
-571.9063545150502 429 39.96317092646491 
-567.8929765886288 429 38.47041777047416 
-563.8795986622074 429 37.004616440640895 
-559.866220735786 429 35.565708257089 
-555.8528428093646 429 34.15362865337413 
-551.8394648829432 429 32.76830722166499 
-547.8260869565217 429 31.40966775825026 
-543.8127090301003 429 30.077628309375186 
-539.7993311036789 429 28.772101217412523 
-535.7859531772575 429 27.492993167373193 
-531.7725752508361 429 26.240205233761504 
-527.7591973244147 429 25.01363292777996 
-523.7458193979933 429 23.813166244888887 
-519.7324414715719 429 22.6386897127268 
-515.7190635451504 429 21.49008243939608 
-511.7056856187291 429 20.367218162120533 
-507.6923076923077 429 19.26996529627973 
-503.6789297658863 429 18.198186984826812 
-499.6655518394649 429 17.15174114809538 
-495.6521739130435 429 16.130480534001382 
-491.6387959866221 429 15.134252768647121 
-487.6254180602007 429 14.162900407332987 
-483.61204013377926 429 13.21626098598403 
-479.59866220735785 429 12.294167072998372 
-475.58528428093643 429 11.396446321523602 
-471.571906354515 429 10.522921522169417 
-467.5585284280936 429 9.673410656162766 
-463.54515050167225 429 8.847726948953943 
-459.53177257525084 429 8.045678924280292 
-455.5183946488294 429 7.267070458696681 
-451.505016722408 429 6.5117008365796565 
-447.49163879598666 429 5.779364805614437 
-443.47826086956525 429 5.069852632772708 
-439.46488294314383 429 4.382950160790593 
-435.4515050167224 429 3.7184388651551026 
-431.438127090301 429 3.0760959116089084 
-427.4247491638796 429 2.455694214182711 
-423.4113712374582 429 1.8570024937649237 
-419.39799331103677 429 1.279785337218668 
-415.38461538461536 429 0.7238032570568147 
-411.37123745819395 429 0.1888127516850794 
-407.3578595317726 429 -0.3254336337753075 
-403.3444816053512 429 -0.8191872460746626 
-399.33110367892976 429 -1.2927032618194207 
-395.31772575250835 429 -1.7462406248430018 
-391.304347826087 429 -2.1800619829500443 
-387.2909698996656 429 -2.5944336240218226 
-383.27759197324417 429 -2.9896254114695573 
-379.26421404682276 429 -3.3659107190222204 
-375.25083612040135 429 -3.7235663648349497 
-371.23745819397993 429 -4.062872544904014 
-367.2240802675585 429 -4.3841127657730485 
-363.2107023411371 429 -4.6875737765158565 
-359.1973244147157 429 -4.9735454999797275 
-355.1839464882943 429 -5.242320963273195 
-351.17056856187287 429 -5.494196227481221 
-347.1571906354515 429 -5.7294703165906995 
-343.1438127090301 429 -5.9484451456081695 
-339.1304347826087 429 -6.151425447851203 
-335.1170568561873 429 -6.338718701394225 
-331.10367892976586 429 -6.510635054648961 
-327.0903010033445 429 -6.6674872510587155 
-323.0769230769231 429 -6.809590552885414 
-319.0635451505017 429 -6.937262664066905 
-315.05016722408027 429 -7.050823652121948 
-311.03678929765886 429 -7.150595869078737 
-307.02341137123744 429 -7.236903871402499 
-303.01003344481603 429 -7.310074338896304 
-298.9966555183947 429 -7.370435992548566 
-294.98327759197326 429 -7.41831951129934 
-290.96989966555185 429 -7.45405744769676 
-286.95652173913044 429 -7.477984142413501 
-282.943143812709 429 -7.490435637592023 
-278.9297658862876 429 -7.491749588986104 
-274.9163879598662 429 -7.482265176864753 
-270.90301003344484 429 -7.462323015643054 
-266.88963210702343 429 -7.432265062203127 
-262.876254180602 429 -7.392434522866616 
-258.8628762541806 429 -7.343175758978434 
-254.8494983277592 429 -7.2848341910597 
-250.83612040133778 429 -7.2177562014858365 
-246.82274247491637 429 -7.142289035643653 
-242.809364548495 429 -7.058780701519235 
-238.7959866220736 429 -6.967579867665864 
-234.7826086956522 429 -6.869035759498966 
-230.76923076923077 429 -6.763498053862221 
-226.75585284280936 429 -6.651316771806222 
-222.74247491638795 429 -6.53284216951807 
-218.72909698996654 429 -6.408424627336921 
-214.71571906354518 429 -6.27841453678719 
-210.70234113712377 429 -6.143162185557215 
-206.68896321070235 429 -6.003017640347316 
-202.67558528428094 429 -5.858330627506794 
-198.66220735785953 429 -5.709450411374759 
-194.64882943143812 429 -5.556725670234744 
-190.6354515050167 429 -5.400504369787613 
-186.6220735785953 429 -5.241133634041343 
-182.60869565217394 429 -5.0789596135100945 
-178.59531772575252 429 -4.91432735060794 
-174.5819397993311 429 -4.74758064211523 
-170.5685618729097 429 -4.579061898587393 
-166.55518394648828 429 -4.4091120005671725 
-162.54180602006687 429 -4.238070151451394 
-158.52842809364546 429 -4.066273726852995 
-154.5150501672241 429 -3.894058120287109 
-150.5016722408027 429 -3.721756584997332 
-146.48829431438128 429 -3.5497000717240623 
-142.47491638795987 429 -3.3782170622011334 
-138.46153846153845 429 -3.207633398149663 
-134.44816053511704 429 -3.0382721055187063 
-130.43478260869563 429 -2.870453213700843 
-126.42140468227427 429 -2.704493569426797 
-122.40802675585286 429 -2.5407066450162112 
-118.39464882943145 429 -2.3794023406315037 
-114.38127090301003 429 -2.2208867801473025 
-110.36789297658862 429 -2.0654621002093476 
-106.35451505016721 429 -1.9134262320124562 
-102.3411371237458 429 -1.7650726752766768 
-98.32775919732444 429 -1.6206902638427736 
-94.31438127090303 429 -1.480562922241204 
-90.30100334448161 429 -1.344969412511107 
-86.2876254180602 429 -1.2141830704550518 
-82.27424749163879 429 -1.088471530408871 
-78.26086956521738 429 -0.9680964374798713 
-74.24749163879596 429 -0.8533131460566933 
-70.23411371237455 429 -0.7443704032138709 
-66.22073578595314 429 -0.6415100154157743 
-62.207357859531726 429 -0.544966496657477 
-58.19397993311031 429 -0.4549666958496362 
-54.180602006689014 429 -0.37172940084083117 
-50.1672240802676 429 -0.2954649159458947 
-46.15384615384619 429 -0.22637460917255375 
-42.140468227424776 429 -0.1646504244519464 
-38.12709030100336 429 -0.11047435299267748 
-34.11371237458195 429 -0.06401785625423637 
-30.100334448160538 429 -0.02544123075049961 
-26.086956521739125 429 0.005107098429251547 
-22.073578595317713 429 0.0274913735256344 
-18.0602006688963 429 0.04158941559452687 
-14.046822742474887 429 0.047293691335639196 
-10.033444816053475 429 0.04451260028227219 
-6.020066889632062 429 0.033172100648686136 
-2.0066889632106495 429 0.013217931193089989 
2.0066889632106495 429 -0.015380691609148957 
6.020066889632062 429 -0.05262376775803231 
10.033444816053475 429 -0.09848051372892576 
14.046822742474887 429 -0.15289666828003826 
18.0602006688963 429 -0.21579818962563008 
22.073578595317713 429 -0.2870934772990021 
26.086956521739125 429 -0.3666749979998644 
30.100334448160538 429 -0.45442057278409503 
34.11371237458195 429 -0.5501944438923113 
38.12709030100336 429 -0.653848186235232 
42.140468227424776 429 -0.7652215032989803 
46.15384615384619 429 -0.8841429336240672 
50.1672240802676 429 -1.0104304860018876 
54.180602006689014 429 -1.1438922165013037 
58.19397993311031 429 -1.2843267571145864 
62.207357859531726 429 -1.4315238035269067 
66.22073578595314 429 -1.5852645678896837 
70.23411371237455 429 -1.74532220129226 
74.24749163879596 429 -1.9114621897395616 
78.26086956521738 429 -2.0834427267672195 
82.27424749163879 429 -2.2610150653006986 
86.2876254180602 429 -2.443923850951359 
90.30100334448161 429 -2.6319074386118935 
94.31438127090303 429 -2.82469819394647 
98.32775919732444 429 -3.0220227811525193 
102.34113712374585 429 -3.223602438190904 
106.35451505016727 429 -3.429153240531163 
110.36789297658868 429 -3.6383863543325337 
114.38127090300998 429 -3.8510082798749616 
118.39464882943139 429 -4.066721085963644 
122.4080267558528 429 -4.285222635952831 
126.42140468227421 429 -4.506206805967894 
130.43478260869563 429 -4.729363695846423 
134.44816053511704 429 -4.954379833268765 
138.46153846153845 429 -5.180938371504202 
142.47491638795987 429 -5.408719281160152 
146.48829431438128 429 -5.6373995362875595 
150.5016722408027 429 -5.866653295165309 
154.5150501672241 429 -6.096152076059567 
158.52842809364552 429 -6.325564928229932 
162.54180602006693 429 -6.554558598432813 
166.55518394648834 429 -6.78279769315307 
170.56856187290964 429 -7.009944836777765 
174.58193979933105 429 -7.235660825910077 
178.59531772575247 429 -7.459604780007272 
182.60869565217388 429 -7.6814342885139055 
186.6220735785953 429 -7.900805554649634 
190.6354515050167 429 -8.117373536000384 
194.64882943143812 429 -8.330792082051996 
198.66220735785953 429 -8.540714068796488 
202.67558528428094 429 -8.746791530533002 
206.68896321070235 429 -8.948675788978004 
210.70234113712377 429 -9.146017579792384 
214.71571906354518 429 -9.338467176626839 
218.7290969899666 429 -9.525674512781052 
222.742474916388 429 -9.707289300566678 
226.75585284280942 429 -9.882961148459312 
230.76923076923072 429 -10.052339676119784 
234.78260869565213 429 -10.215074627361007 
238.79598662207354 429 -10.370815981132381 
242.80936454849495 429 -10.519214060590237 
246.82274247491637 429 -10.659919640319137 
250.83612040133778 429 -10.792584051765798 
254.8494983277592 429 -10.91685928694414 
258.8628762541806 429 -11.032398100467354 
262.876254180602 429 -11.138854109960018 
266.88963210702343 429 -11.235881894901008 
270.90301003344484 429 -11.323137093945412 
274.91638795986626 429 -11.400276500771591 
278.92976588628767 429 -11.466958158497421 
282.9431438127091 429 -11.522841452707821 
286.9565217391304 429 -11.567587203133776 
290.9698996655518 429 -11.600857754021517 
294.9832775919732 429 -11.622317063228571 
298.9966555183946 429 -11.631630790082282 
303.01003344481603 429 -11.6284663820345 
307.02341137123744 429 -11.612493160145174 
311.03678929765886 429 -11.58338240342589 
315.05016722408027 429 -11.54080743207358 
319.0635451505017 429 -11.484443689623017 
323.0769230769231 429 -11.413968824046005 
327.0903010033445 429 -11.329062767823787 
331.1036789297659 429 -11.229407817018508 
335.11705685618733 429 -11.114688709368254 
339.13043478260875 429 -10.984592701429705 
343.14381270903004 429 -10.838809644791162 
347.15719063545146 429 -10.677032061378169 
351.17056856187287 429 -10.498955217873167 
355.1839464882943 429 -10.30427719926962 
359.1973244147157 429 -10.092698981580632 
363.2107023411371 429 -9.863924503721242 
367.2240802675585 429 -9.617660738582911 
371.23745819397993 429 -9.35361776331836 
375.25083612040135 429 -9.071508828853773 
379.26421404682276 429 -8.771050428645523 
383.27759197324417 429 -8.45196236669734 
387.2909698996656 429 -8.113967824854084 
391.304347826087 429 -7.756793429386786 
395.3177257525084 429 -7.380169316884209 
399.3311036789297 429 -6.983829199465133 
403.3444816053511 429 -6.567510429324835 
407.35785953177253 429 -6.1309540626299714 
411.37123745819395 429 -5.673904922774057 
415.38461538461536 429 -5.196111663006802 
419.39799331103677 429 -4.6973268284494285 
423.4113712374582 429 -4.177306917507652 
427.4247491638796 429 -3.635812442694344 
431.4381270903009 429 -3.0726079908726445 
435.4515050167224 429 -2.4874622829309123 
439.4648829431437 429 -1.8801482328999122 
443.47826086956525 429 -1.2504430065222654 
447.49163879598655 429 -0.5981280792850335 
451.5050167224081 429 0.07701070607573829 
455.51839464882937 429 0.775183082588259 
459.5317725752509 429 1.4965943025674011 
463.5451505016722 429 2.241445081636548 
467.5585284280937 429 3.0099315432409672 
471.571906354515 429 3.8022451636430903 
475.58528428093655 429 4.618572717392807 
479.59866220735785 429 5.459096223263083 
483.6120401337794 429 6.323992890644301 
487.6254180602007 429 7.213435066388741 
491.638795986622 429 8.127590182098356 
495.6521739130435 429 9.06662070184818 
499.6655518394648 429 10.030684070337642 
503.6789297658863 429 11.019932661464647 
507.6923076923076 429 12.034513727313062 
511.70568561872915 429 13.074569347549422 
515.7190635451504 429 14.14023637922048 
519.732441471572 429 15.23164640694673 
523.7458193979933 429 16.34892569350433 
527.7591973244148 429 17.492195130790932 
531.7725752508361 429 18.661570191167982 
535.7859531772576 429 19.85716087917522 
539.7993311036789 429 21.079071683610046 
543.8127090301002 429 22.32740152996819 
547.8260869565217 429 23.602243733238826 
551.839464882943 429 24.903685951049 
555.8528428093646 429 26.23181013715373 
559.8662207357859 429 27.58669249526411 
563.8795986622074 429 28.96840343321154 
567.8929765886287 429 30.37700751744032 
571.9063545150502 429 31.812563427826596 
575.9197324414715 429 33.275123912816404 
579.933110367893 429 34.76473574488128 
583.9464882943143 429 36.281439676283505 
587.9598662207359 429 37.82527039515033 
591.9732441471572 429 39.39625648184982 
595.9866220735787 429 40.994420365666464 
600.0 429 42.619778281770515 

