P M R nu
1e-07 3.8470900643541235e-05 0.3233555448545291 0 
7.10345458984375e-07 0.0007242133366444698 0.8599815636198268 0 
1.32069091796875e-06 0.001825585411005226 1.1701243769386853 0 
1.931036376953125e-06 0.0032094668894365156 1.4119093671981964 0 
2.5413818359375e-06 0.004818460401878914 1.6163301505979608 0 
3.7620727539062504e-06 0.008581882449955105 1.9583265960115686 0 
4.982763671875e-06 0.012936608153347474 2.2443761559289053 0 
6.20345458984375e-06 0.01777349884920368 2.4938977664623003 0 
7.4241455078125e-06 0.023016187126737267 2.717055712324751 0 
9.86552734375e-06 0.0345005106918357 3.1066916463840677 0 
1.23069091796875e-05 0.04705208924642069 3.442086105207694 0 
1.4748291015625001e-05 0.06043708311982899 3.7382859993528266 0 
1.71896728515625e-05 0.07448167722247842 4.00436676731145 0 
1.96310546875e-05 0.0890510020857631 4.246322466516946 0 
2.2072436523437502e-05 0.1040372941389778 4.468368584663146 0 
2.4513818359375e-05 0.11935267404486893 4.67361027751397 0 
2.939658203125e-05 0.15069151960448507 5.04265194514664 0 
3.4279345703124996e-05 0.18261367386009544 5.367105794520279 0 
3.9162109375e-05 0.21479145871547176 5.656042594992773 0 
4.4044873046875e-05 0.24698336705788526 5.915871067788735 0 
4.892763671875e-05 0.2790092126449728 6.151328230020014 0 
5.3810400390624994e-05 0.31073375227444167 6.366037739010494 0 
5.86931640625e-05 0.3420554050473886 6.5628474637228615 0 
6.845869140624999e-05 0.4032060107166528 6.911499720409202 0 
7.822421875e-05 0.46206528932279034 7.21114430684161 0 
8.798974609375e-05 0.5184364416556824 7.471523772491507 0 
9.77552734375e-05 0.5722461442456678 7.699782688555762 0 
0.00011728632812499999 0.6722452390607127 8.08037019619692 0 
0.00013681738281249998 0.7625661028055972 8.383592570530494 0 
0.0001563484375 0.8440202028054254 8.62922415637505 0 
0.00019541054687499998 0.9838400268934001 8.997674026384557 0 
0.00023447265624999998 1.0982362013481755 9.254089725034948 0 
0.000312596875 1.2709370644045874 9.56760158381683 0 
0.0004688453125 1.478946914685739 9.810458458863993 0 
0.00062509375 1.5903966696484333 9.846538020976212 0 
0.0012500875 1.7200767522336524 9.559464825919864 0 
0.00187508125 1.7161138395534776 9.228152546977752 0 
0.002500075 1.6872904836346545 8.956801471595186 0 
0.00312506875 1.6541629697257698 8.737708437155145 0 
0.0037500625 1.6219949646142187 8.55817710833308 0 
0.00500005 1.5649873577213544 8.281748013946025 0 
0.0075000250000000004 1.478505640458088 7.922852932544514 0 
0.01 1.417240030191817 7.700125833026599 0 
