muQ deltax deltay muu mud mus mue nu nd ns ne epsilon P
67.06706706706707 300.0 0.0 67.06706706706707 67.06706706706707 0.0 0.0 -6.031650886910227e-17 -6.031650886910227e-17 0.0 -1.0052185159850071e-25 -8.090502691150856e-18 0.0 
68.06806806806807 300.0 0.0 68.06806806806807 68.06806806806807 0.0 0.0 -6.017342783175471e-17 -6.017342783175471e-17 0.0 -1.0052185159850071e-25 -8.191777963081724e-18 0.0 
69.06906906906907 300.0 0.0 69.06906906906907 69.06906906906907 0.0 0.0 -6.002834292317296e-17 -6.002834292317296e-17 0.0 -1.0052185159850071e-25 -8.292203526924794e-18 0.0 
70.07007007007007 300.0 0.0 70.07007007007007 70.07007007007007 0.0 0.0 -5.988125935030258e-17 -5.988125935030258e-17 0.0 -1.0052185159850071e-25 -8.391768077119483e-18 0.0 
71.07107107107107 300.0 0.0 71.07107107107107 71.07107107107107 0.0 0.0 -5.973218240335546e-17 -5.973218240335546e-17 0.0 -1.0052185159850071e-25 -8.490460361638116e-18 0.0 
72.07207207207207 300.0 0.0 72.07207207207207 72.07207207207207 0.0 0.0 -5.958111745615111e-17 -5.958111745615111e-17 0.0 -1.0052185159850071e-25 -8.58826918286863e-18 0.0 
73.07307307307308 300.0 0.0 73.07307307307308 73.07307307307308 0.0 0.0 -5.942806996646376e-17 -5.942806996646376e-17 0.0 -1.0052185159850071e-25 -8.685183398502215e-18 0.0 
74.07407407407408 300.0 0.0 74.07407407407408 74.07407407407408 0.0 0.0 -5.927304547637875e-17 -5.927304547637875e-17 0.0 -1.0052185159850071e-25 -8.781191922426482e-18 0.0 
75.07507507507508 300.0 0.0 75.07507507507508 75.07507507507508 0.0 0.0 -5.91160496126542e-17 -5.91160496126542e-17 0.0 -1.0052185159850071e-25 -8.876283725623757e-18 0.0 
76.07607607607608 300.0 0.0 76.07607607607608 76.07607607607608 0.0 0.0 -5.895708808708985e-17 -5.895708808708985e-17 0.0 -1.0052185159850071e-25 -8.970447837074732e-18 0.0 
77.07707707707708 300.0 0.0 77.07707707707708 77.07707707707708 0.0 0.0 -5.879616669690504e-17 -5.879616669690504e-17 0.0 -1.0052185159850071e-25 -9.063673344668045e-18 0.0 
78.07807807807808 300.0 0.0 78.07807807807808 78.07807807807808 0.0 0.0 -5.863329132512185e-17 -5.863329132512185e-17 0.0 -1.0052185159850071e-25 -9.155949396115124e-18 0.0 
79.07907907907908 300.0 0.0 79.07907907907908 79.07907907907908 0.0 0.0 -5.846846794095722e-17 -5.846846794095722e-17 0.0 -1.0052185159850071e-25 -9.247265199871113e-18 0.0 
80.08008008008008 300.0 0.0 80.08008008008008 80.08008008008008 0.0 0.0 -5.830170260022289e-17 -5.830170260022289e-17 0.0 -1.0052185159850071e-25 -9.337610026061726e-18 0.0 
81.0810810810811 300.0 0.0 81.0810810810811 81.0810810810811 0.0 0.0 -5.813300144573151e-17 -5.813300144573151e-17 0.0 -1.0052185159850071e-25 -9.426973207415924e-18 0.0 
82.0820820820821 300.0 0.0 82.0820820820821 82.0820820820821 0.0 0.0 -5.796237070771325e-17 -5.796237070771325e-17 0.0 -1.0052185159850071e-25 -9.51534414020518e-18 0.0 
83.0830830830831 300.0 0.0 83.0830830830831 83.0830830830831 0.0 0.0 -5.778981670423778e-17 -5.778981670423778e-17 0.0 -1.0052185159850071e-25 -9.602712285188661e-18 0.0 
84.0840840840841 300.0 0.0 84.0840840840841 84.0840840840841 0.0 0.0 -5.761534584164614e-17 -5.761534584164614e-17 0.0 -1.0052185159850071e-25 -9.689067168565118e-18 0.0 
85.0850850850851 300.0 0.0 85.0850850850851 85.0850850850851 0.0 0.0 -5.743896461499072e-17 -5.743896461499072e-17 0.0 -1.0052185159850071e-25 -9.774398382931355e-18 0.0 
86.0860860860861 300.0 0.0 86.0860860860861 86.0860860860861 0.0 0.0 -5.726067960848345e-17 -5.726067960848345e-17 0.0 -1.0052185159850071e-25 -9.858695588247404e-18 0.0 
87.0870870870871 300.0 0.0 87.0870870870871 87.0870870870871 0.0 0.0 -5.708049749595205e-17 -5.708049749595205e-17 0.0 -1.0052185159850071e-25 -9.941948512808468e-18 0.0 
88.0880880880881 300.0 0.0 88.0880880880881 88.0880880880881 0.0 0.0 -5.689842504130605e-17 -5.689842504130605e-17 0.0 -1.0052185159850071e-25 -1.0024146954224091e-17 0.0 
89.0890890890891 300.0 0.0 89.0890890890891 89.0890890890891 0.0 0.0 -5.67144690990112e-17 -5.67144690990112e-17 0.0 -1.0052185159850071e-25 -1.01052807804044e-17 0.0 
