mu md ms muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
299.9999964237213 299.9999964237213 0.0 0.0 0.0 0.0 0.0 -6.513815750630622e-17 -6.513815750630622e-17 0.0 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
299.9999964237213 299.9999964237213 0.0 299.9999964237213 299.9999964237213 0.0 0.0 0.0 0.0 0.0 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
299.6996961270009 299.6996961270009 0.0 300.78769628497434 301.4249556869653 0.0 0.6372594019909246 0.00021931527894916697 0.0004386297479217228 0.0 2.6999194865913657e-10 2.87999892568837e-05 4.3548185534492596e-08 0.00019788207444442382 2.992155731376301e-07 
299.3993958302804 299.3993958302804 0.0 301.1287418619701 302.13992838877397 0.0 1.011186526803863 0.00043953402958978 0.0008790591422401346 0.0 2.9723131530114373e-09 0.0002765441848779058 4.3548185534492596e-08 0.0003970837804344866 8.714181929003077e-07 
299.09909553356 299.09909553356 0.0 301.3680943464709 302.69293329655716 0.0 1.3248389500862727 0.0006604727997079066 0.0013209213467118472 0.0 8.084234640617132e-09 0.000524288380498928 4.3548185534492596e-08 0.0005972731774992272 1.6058193169796884e-06 
298.79879523683957 298.79879523683957 0.0 301.55099390703015 303.1559134766763 0.0 1.6049195696461456 0.0008820553231187533 0.0017640640641584787 0.0 1.5527359670269512e-08 0.00077203257611995 4.3548185534492596e-08 0.0007983136260021788 2.457511086773017e-06 
298.4984949401191 298.4984949401191 0.0 301.69618026736754 303.5586851530855 0.0 1.862504885717966 0.0011042347343619805 0.0022083936221818493 0.0 2.5282180709658793e-08 0.0010197767717409721 4.3548185534492596e-08 0.0010001213175057763 3.3991953079517843e-06 
298.19819464339866 298.19819464339866 0.0 301.8137044132064 303.9172470869935 0.0 2.103542673787096 0.0013269779744555068 0.0026538439181100974 0.0 3.734360059542833e-08 0.0012675209673619944 4.3548185534492596e-08 0.0012026372969026426 4.411857586945998e-06 
297.89789434667824 297.89789434667824 0.0 301.90974360853085 304.24143576769586 0.0 2.3316921591649926 0.0015502598821219317 0.003100364626527371 0.0 5.1712572501706076e-08 0.0015152651629830164 4.3548185534492596e-08 0.0014058168422084675 5.481227285419546e-06 
297.59759404995776 297.59759404995776 0.0 301.9884347457328 304.53784093883723 0.0 2.5494061931044874 0.0017740603460218553 0.003547915512247623 0.0 6.83932653747284e-08 0.0017630093586040382 4.3548185534492596e-08 0.001609624341550135 6.59606978499238e-06 
297.29729375323734 297.29729375323734 0.0 302.05271822688377 304.81114791462664 0.0 2.758429687742869 0.0019983627276872243 0.003996463279936094 0.0 8.739181276284776e-08 0.0020107535542250605 4.3548185534492596e-08 0.00181403045455789 7.747240363471745e-06 
296.9969934565169 296.9969934565169 0.0 302.10477771360416 305.0648372179216 0.0 2.9600595043174303 0.0022231529043539385 0.0044459796617138374 0.0 1.0871566464820081e-07 0.0022584977498460823 4.3548185534492596e-08 0.0020190103881653626 8.927109407595853e-06 
296.69669315979644 296.69669315979644 0.0 302.1462904851517 305.30158297884554 0.0 3.1552924936938407 0.002448418647702595 0.00489644017576695 0.0 1.3237321271616413e-07 0.002506241945467105 4.3548185534492596e-08 0.0022245427770192414 1.012918923784064e-05 
296.396392863076 296.396392863076 0.0 302.17857979954175 305.5234954361473 0.0 3.3449156366055672 0.002674149200010954 0.0053478232793551786 0.0 1.5837355559758787e-07 0.002753986141088127 4.3548185534492596e-08 0.002430608919138628 1.134787932234015e-05 
296.0960925663556 296.0960925663556 0.0 302.2027125851331 305.73227645395497 0.0 3.5295638688218913 0.0029003349732317934 0.005800109767436143 0.0 1.8672634246754712e-07 0.0030017303367091486 4.3548185534492596e-08 0.002637192232961576 1.2578285298224787e-05 
295.7957922696351 295.7957922696351 0.0 302.21956476992784 305.92932353887716 0.0 3.70975876894932 0.0031269673284657655 0.006253282331940494 0.0 2.1744166367267232e-07 0.003249474532330171 4.3548185534492596e-08 0.0028442778591803407 1.3816086242653133e-05 
295.4954919729147 295.4954919729147 0.0 302.22986650982034 306.1158018645234 0.0 3.885935354703044 0.0033540384099594485 0.00670732523000539 0.0 2.5052997118016063e-07 0.003497218727951193 4.3548185534492596e-08 0.00305185236087851 1.5057434724865958e-05 
295.19519167619427 295.19519167619427 0.0 302.2342344245076 306.2926956145799 0.0 4.058461190072299 0.0035815410174030453 0.00716222402874966 0.0 2.860020188282282e-07 0.003744962923572215 4.3548185534492596e-08 0.003259903492689067 1.6298879855058246e-05 
294.8948913794738 294.8948913794738 0.0 302.2331951491049 306.4608455001206 0.0 4.227650351015704 0.0038094685057809834 0.007617965405113277 0.0 3.2386881621989456e-07 0.003992707119193237 4.3548185534492596e-08 0.003468420019660256 1.753730690761574e-05 
294.59459108275337 294.59459108275337 0.0 302.2272029121852 306.62097676543726 0.0 4.393773853252064 0.004037814705549469 0.008074536986321934 0.0 3.641415923269077e-07 0.004240451314814259 4.3548185534492596e-08 0.003677391572797503 1.8769889168891446e-05 
294.29429078603295 294.29429078603295 0.0 302.2166529016012 306.77372048603905 0.0 4.5570675844378705 0.004266573858108134 0.008531927220917647 0.0 4.0683176619467924e-07 0.004488195510435283 4.3548185534492596e-08 0.0038868085322074346 1.999404898435055e-05 
293.99399048931247 293.99399048931247 0.0 302.201891594977 306.91963003235594 0.0 4.717738437378927 0.004495740562970823 0.008990125273172828 0.0 4.519509229625588e-07 0.004735939706056304 4.3548185534492596e-08 0.004096661931372275 2.1207425850753436e-05 
