P M R nu
1e-07 7.122547419126961e-05 0.4399957873080824 0 
6.960464417934418e-07 0.001298504982652248 1.1576953358328879 0 
1.2920928835868835e-06 0.0032605541430248074 1.5730897810954494 0 
1.8881393253803254e-06 0.005718470047665651 1.896530802376317 0 
2.484185767173767e-06 0.008568330738106757 2.1695810931820607 0 
3.080232208967209e-06 0.011746266749292186 2.4094684597191502 0 
3.676278650760651e-06 0.015207400307063289 2.6253308738798062 0 
4.272325092554092e-06 0.018917749153819448 2.8227142442624857 0 
4.868371534347534e-06 0.022850314085624546 3.0052882861230006 0 
5.4644179761409765e-06 0.026982913239259092 3.175632886431356 0 
6.060464417934418e-06 0.03129686807609215 3.335645169909616 0 
6.656510859727859e-06 0.03577615111919047 3.4867695311517313 0 
7.252557301521301e-06 0.04040680430785099 3.63013656270478 0 
7.848603743314743e-06 0.04517652574374269 3.766651466872471 0 
8.444650185108185e-06 0.05007436633420569 3.897052751181938 0 
9.040696626901626e-06 0.05509050100289837 4.02195258217654 0 
9.636743068695068e-06 0.06021605216195096 4.14186535707494 0 
1.023278951048851e-05 0.06544295083075537 4.257228447340038 0 
1.082883595228195e-05 0.0707638255193195 4.368417588819995 0 
1.1424882394075393e-05 0.07617191201063399 4.475758518029426 0 
1.2020928835868835e-05 0.08166097915835015 4.579535917900898 0 
1.2616975277662277e-05 0.08722526715303619 4.680000397477633 0 
1.3213021719455719e-05 0.09285943563348786 4.777374010013592 0 
1.3809068161249161e-05 0.0985585196703856 4.871854667639115 0 
1.4405114603042603e-05 0.10431789211696937 4.963619711344064 0 
1.5001161044836045e-05 0.11013323116265399 5.052828826176321 0 
1.5597207486629488e-05 0.11600049217847282 5.139626443023306 0 
1.6193253928422928e-05 0.12191588313332721 5.224143733593328 0 
1.678930037021637e-05 0.12787584300467297 5.306500279967333 0 
1.7385346812009812e-05 0.1338770227185993 5.386805481505975 0 
1.7981393253803253e-05 0.13991626824086445 5.465159748047131 0 
1.8577439695596693e-05 0.14599060550848492 5.541655517891602 0 
