muQ deltax deltay muu mud mus mue nu nd ns ne epsilon P
1.001001001001001 0.0 0.0 1.0010010010003072 1.001001001001695 1.001001001001695 1.3877787807814457e-12 1.3172649794030043e-08 1.3172649794084832e-08 1.3172649794084832e-08 -1.0052185159850071e-25 3.955750688909794e-11 0.0 
2.002002002002002 0.0 0.0 2.0020020020013085 2.0020020020026963 2.0020020020026963 1.3877787807814457e-12 1.0538119835234997e-07 1.0538119835256913e-07 1.0538119835256913e-07 -1.0052185159850071e-25 4.845794593912308e-10 1.4834065083404422e-10 
3.0030030030030033 0.0 0.0 3.003003003002309 3.003003003003697 3.003003003003697 1.3877787807814457e-12 3.556615444393043e-07 3.5566154443979723e-07 3.5566154443979723e-07 -1.0052185159850071e-25 2.413007920233493e-09 7.91150137781465e-10 
4.004004004004004 0.0 0.0 4.004004004003311 4.004004004004699 4.004004004004699 1.3877787807814457e-12 8.43049586819238e-07 8.43049586820115e-07 8.43049586820115e-07 -1.0052185159850071e-25 7.604930699423823e-09 2.5217910641782402e-09 
5.005005005005005 0.0 0.0 5.005005005004311 5.0050050050057 5.0050050050057 1.3877787807814457e-12 1.6465812242564952e-06 1.646581224257864e-06 1.646581224257864e-06 -1.0052185159850071e-25 1.8552470730973225e-08 6.170971074694709e-09 
6.0060060060060065 0.0 0.0 6.006006006005313 6.0060060060067 6.0060060060067 1.3877787807814457e-12 2.845292355515421e-06 2.8452923555173944e-06 2.8452923555173944e-06 -1.0052185159850071e-25 3.845978607289588e-08 1.2806742855335586e-08 
7.007007007007008 0.0 0.0 7.007007007006314 7.007007007007703 7.007007007007703 1.3877787807814457e-12 4.5182188793603615e-06 4.518218879363045e-06 4.518218879363045e-06 -1.0052185159850071e-25 7.124306990720901e-08 2.3734504133439967e-08 
8.008008008008009 0.0 0.0 8.008008008007314 8.008008008008701 8.008008008008701 1.3877787807814457e-12 6.7443966945556556e-06 6.74439669455916e-06 6.74439669455916e-06 -1.0052185159850071e-25 1.2153055053993285e-07 4.049699767768124e-08 
9.00900900900901 0.0 0.0 9.009009009008315 9.009009009009702 9.009009009009702 1.3877787807814457e-12 9.602861699865642e-06 9.602861699870077e-06 9.602861699870077e-06 -1.0052185159850071e-25 1.9466249140109073e-07 6.487431129806727e-08 
10.01001001001001 0.0 0.0 10.010010010009315 10.010010010010703 10.010010010010703 1.3877787807814457e-12 1.3172649794054703e-05 1.3172649794060178e-05 1.3172649794060178e-05 -1.0052185159850071e-25 2.9669119104471013e-07 9.888387784594025e-08 
11.011011011011012 0.0 0.0 11.011011011010318 11.011011011011705 11.011011011011705 1.3877787807814457e-12 1.7532796875887133e-05 1.7532796875893764e-05 1.7532796875893764e-05 -1.0052185159850071e-25 4.3438098314881953e-07 1.4478047521397675e-07 
12.012012012012013 0.0 0.0 12.012012012011319 12.012012012012706 12.012012012012706 1.3877787807814457e-12 2.2762338844127293e-05 2.2762338844135178e-05 2.2762338844135178e-05 -1.0052185159850071e-25 6.152082365154515e-07 2.0505622633618767e-07 
13.013013013013014 0.0 0.0 13.01301301301232 13.013013013013706 13.013013013013706 1.3877787807814457e-12 2.894031159753954e-05 2.894031159754879e-05 2.894031159754879e-05 -1.0052185159850071e-25 8.473613550706431e-07 2.8244059918791816e-07 
14.014014014014016 0.0 0.0 14.014014014013322 14.014014014014709 14.014014014014709 1.3877787807814457e-12 3.614575103488825e-05 3.6145751034898945e-05 3.6145751034898945e-05 -1.0052185159850071e-25 1.1397407778644334e-06 3.7990040678584826e-07 
15.015015015015017 0.0 0.0 15.015015015014322 15.01501501501571 15.01501501501571 1.3877787807814457e-12 4.445769305493769e-05 4.4457693054950016e-05 4.4457693054950016e-05 -1.0052185159850071e-25 1.5019589790708642e-06 5.006398071879916e-07 
16.016016016016017 0.0 0.0 16.016016016015325 16.016016016016714 16.016016016016714 1.3877787807814457e-12 5.395517355645225e-05 5.3955173556466346e-05 5.3955173556466346e-05 -1.0052185159850071e-25 1.9443404679879815e-06 6.481003034936972e-07 
17.017017017017018 0.0 0.0 17.017017017016325 17.017017017017714 17.017017017017714 1.3877787807814457e-12 6.471722843819636e-05 6.471722843821223e-05 6.471722843821223e-05 -1.0052185159850071e-25 2.4779217890378346e-06 8.25960743843647e-07 
18.01801801801802 0.0 0.0 18.018018018017326 18.018018018018715 18.018018018018715 1.3877787807814457e-12 7.682289359893403e-05 7.68228935989519e-05 7.68228935989519e-05 -1.0052185159850071e-25 3.1144515217664634e-06 1.0381373214198582e-06 
19.01901901901902 0.0 0.0 19.019019019018327 19.019019019019716 19.019019019019716 1.3877787807814457e-12 9.035120493743001e-05 9.035120493744991e-05 9.035120493744991e-05 -1.0052185159850071e-25 3.866390280843937e-06 1.2887835744456825e-06 
20.02002002002002 0.0 0.0 20.020020020019327 20.020020020020716 20.020020020020716 1.3877787807814457e-12 0.0001053811983524485 0.00010538119835247041 0.00010538119835247041 -1.0052185159850071e-25 4.746910716064305e-06 1.5822903861858061e-06 
21.021021021021024 0.0 0.0 21.02102102102033 21.02102102102172 21.02102102102172 1.3877787807814457e-12 0.00012199190974275393 0.00012199190974277794 0.00012199190974277794 -1.0052185159850071e-25 5.769897512345636e-06 1.9232859849462504e-06 
22.022022022022025 0.0 0.0 22.022022022021332 22.02202202202272 22.02202202202272 1.3877787807814457e-12 0.0001402623750071103 0.00014026237500713694 0.00014026237500713694 -1.0052185159850071e-25 6.94994738972999e-06 2.3166359440743665e-06 
23.023023023023026 0.0 0.0 23.023023023022333 23.023023023023722 23.023023023023722 1.3877787807814457e-12 0.0001602716300442824 0.00016027163004431145 0.00016027163004431145 -1.0052185159850071e-25 8.302369103383431e-06 2.767443181958846e-06 
24.024024024024026 0.0 0.0 24.024024024023333 24.024024024024722 24.024024024024722 1.3877787807814457e-12 0.00018209871075303407 0.00018209871075306575 0.00018209871075306575 -1.0052185159850071e-25 9.843183443596018e-06 3.2810479620297124e-06 
25.025025025025027 0.0 0.0 25.025025025024334 25.025025025025723 25.025025025025723 1.3877787807814457e-12 0.0002058226530321305 0.00020582265303216454 0.00020582265303216454 -1.0052185159850071e-25 1.1589123235781855e-05 3.8630278927583216e-06 
26.026026026026027 0.0 0.0 26.026026026025335 26.026026026026724 26.026026026026724 1.3877787807814457e-12 0.00023152249278033486 0.00023152249278037232 0.00023152249278037232 -1.0052185159850071e-25 1.3557633340478999e-05 4.519197927657368e-06 
27.027027027027028 0.0 0.0 27.027027027026335 27.027027027027724 27.027027027027724 1.3877787807814457e-12 0.0002592772658964129 0.00025927726589645246 0.00025927726589645246 -1.0052185159850071e-25 1.576687065334952e-05 5.2556103652808765e-06 
28.028028028028032 0.0 0.0 28.02802802802734 28.02802802802873 28.02802802802873 1.3877787807814457e-12 0.0002891660082791272 0.00028916600827917036 0.00028916600827917036 -1.0052185159850071e-25 1.8235704105179503e-05 6.078554849224209e-06 
29.029029029029033 0.0 0.0 29.02902902902834 29.02902902902973 29.02902902902973 1.3877787807814457e-12 0.00032126775582724413 0.0003212677558272898 0.0003212677558272898 -1.0052185159850071e-25 2.0983714661879062e-05 6.9945583681240595e-06 
30.030030030030034 0.0 0.0 30.03003003002934 30.03003003003073 30.03003003003073 1.3877787807814457e-12 0.00035566154443952624 0.0003556615444395755 0.0003556615444395755 -1.0052185159850071e-25 2.403119532448226e-05 8.010385255658456e-06 
