P M R nu
1e-07 3.179545081340282e-05 0.29396963804281284 0 
6.960464417934418e-07 0.0005797724117596678 0.7734386336801887 0 
1.2920928835868835e-06 0.0014560934105027708 1.050903542996208 0 
1.8881393253803254e-06 0.002554236904274023 1.2669140823522052 0 
2.484185767173767e-06 0.0038279006986522697 1.449243007263725 0 
3.080232208967209e-06 0.005248642959107632 1.6094029008049175 0 
3.676278650760651e-06 0.00679648709564698 1.7535006511699236 0 
4.272325092554092e-06 0.008456310998870441 1.8852428133905519 0 
4.868371534347534e-06 0.010216224248147667 2.0070903045070554 0 
5.4644179761409765e-06 0.012068465318394003 2.1208962353373004 0 
6.060464417934418e-06 0.014005355611299161 2.2279337885490142 0 
6.656510859727859e-06 0.016019748839412706 2.3291369242781164 0 
7.252557301521301e-06 0.01810547335765746 2.4252413663752783 0 
7.848603743314743e-06 0.020257108742552956 2.516838299407666 0 
8.444650185108185e-06 0.02246983798174615 2.6044111664207708 0 
9.040696626901626e-06 0.024739339787315143 2.6883613014252594 0 
9.636743068695068e-06 0.027061708508766838 2.7690263072049337 0 
1.023278951048851e-05 0.02943339282713176 2.8466935208391226 0 
1.082883595228195e-05 0.03185114381541018 2.921609863734517 0 
1.1424882394075393e-05 0.03431197744521851 2.993989549306987 0 
1.2020928835868835e-05 0.03681313936033722 3.0640197812704573 0 
1.2616975277662277e-05 0.03935208010736012 3.1318654387057836 0 
1.3213021719455719e-05 0.041926431313135656 3.1976726264594504 0 
1.3809068161249161e-05 0.04453398663331827 3.2615715753075847 0 
1.4405114603042603e-05 0.04717268478579011 3.323678953933841 0 
1.5597207486629488e-05 0.052535913278645895 3.4429293162327093 0 
1.678930037021637e-05 0.05800205466362091 3.556151537028667 0 
1.7981393253803253e-05 0.06355864605739872 3.6639498959678742 0 
1.9173486137390137e-05 0.06919457943793558 3.7668331473139114 0 
2.036557902097702e-05 0.07490584576438349 3.8653388827578934 0 
2.1557671904563905e-05 0.08068805478326338 3.9599076117563303 0 
2.2749764788150786e-05 0.08653240990829714 4.050833845767329 0 
2.394185767173767e-05 0.09243113531075293 4.1383796566631 0 
2.5133950555324555e-05 0.09837722845296915 4.222778145781269 0 
2.6326043438911436e-05 0.10436433972824333 4.30423762948711 0 
2.751813632249832e-05 0.11038668022955575 4.382944938832202 0 
2.8710229206085204e-05 0.11643895491766929 4.459068404008883 0 
2.990232208967209e-05 0.12251630561758577 4.532760206035793 0 
3.109441497325897e-05 0.1286142676426061 4.604158620236547 0 
3.2286507856845854e-05 0.13472872922008702 4.673389632742014 0 
3.3478600740432734e-05 0.1408558931982383 4.740568304642174 0 
3.467069362401962e-05 0.14699306254373276 4.805808977075269 0 
3.58627865076065e-05 0.15314251421151434 4.869267247971211 0 
3.824697227478027e-05 0.16546785834080263 4.991190277142157 0 
4.063115804195404e-05 0.17780874545676334 5.106933773485203 0 
4.301534380912781e-05 0.19014481105227857 5.217009693774081 0 
4.539952957630157e-05 0.20245865067040347 5.32186827762225 0 
4.778371534347534e-05 0.21473526159933637 5.421907022466146 0 
5.016790111064911e-05 0.22696213821486907 5.517482468577715 0 
5.255208687782287e-05 0.23914054734764878 5.6090065495964 0 
5.493627264499664e-05 0.25126488748012454 5.696787845831789 0 
5.7320458412170406e-05 0.2633252831251719 5.781061705270718 0 
5.9704644179344174e-05 0.2753133066448468 5.862042710927 0 
6.208882994651794e-05 0.28722170666261115 5.939926787876761 0 
6.44730157136917e-05 0.299044210131808 6.014893114980825 0 
6.685720148086547e-05 0.31077682187368977 6.087114946074285 0 
6.924138724803924e-05 0.32242371009784915 6.156798449554317 0 
7.1625573015213e-05 0.33398153763757205 6.224084945148425 0 
7.400975878238677e-05 0.3454460740648141 6.289095404273529 0 
7.639394454956054e-05 0.356813737777717 6.351942336725336 0 
8.116231608390808e-05 0.3792467827175284 6.471557478025865 0 
8.593068761825561e-05 0.40127057924884146 6.583733844978225 0 
9.069905915260314e-05 0.42289102866185857 6.689230040936907 0 
9.546743068695067e-05 0.44409698186385393 6.788605810808378 0 
0.00010023580222129821 0.46488109214946594 6.882354242858104 0 
0.00010500417375564574 0.4852519823635964 6.970972507533857 0 
0.00010977254528999327 0.5052135138631693 7.054875854461849 0 
0.00011454091682434081 0.5247643596318582 7.134403969413029 0 
0.00011930928835868835 0.5439066602228945 7.20986949669437 0 
0.00012407765989303588 0.5626527443952344 7.281591262897214 0 
0.0001288460314273834 0.581007096896782 7.3498245594273905 0 
0.00013361440296173093 0.5989732202841576 7.414793633520772 0 
0.00013838277449607848 0.6165573341728287 7.476709557920685 0 
0.000143151146030426 0.6337713029583076 7.535784875022275 0 
0.00015268788909912108 0.6671114684967079 7.64608480672102 0 
0.00016222463216781615 0.6990490636321502 7.746924693754896 0 
0.00017176137523651123 0.7296494470938516 7.839377079873425 0 
0.00018129811830520627 0.7589692315660004 7.924328934168502 0 
0.00019083486137390135 0.7870713094577955 8.002565920872467 0 
0.00020037160444259642 0.8140096829365484 8.074745903653678 0 
0.00020990834751129147 0.8398430665916904 8.141460997259223 0 
