P M R nu
1e-07 7.956227738523374e-05 0.4651220884824792 0 
7.10345458984375e-07 0.0014720451135864176 1.2280270233239001 0 
1.32069091796875e-06 0.0036490792793608165 1.6591417625342122 0 
1.931036376953125e-06 0.006312148504299054 1.9883248756214706 0 
2.5413818359375e-06 0.00932914923277858 2.261162901707273 0 
3.151727294921875e-06 0.012619210526365141 2.496708043286408 0 
3.7620727539062504e-06 0.016126487068946243 2.7051528576497734 0 
4.982763671875e-06 0.023637622131235672 3.063613394317996 0 
6.20345458984375e-06 0.03163172064262929 3.3662773785209814 0 
7.4241455078125e-06 0.0399607258834376 3.6289498538051843 0 
8.64483642578125e-06 0.04852378392386051 3.8612661225843437 0 
9.86552734375e-06 0.057249571426491265 4.069627665782451 0 
1.23069091796875e-05 0.07499578288817137 4.431333659031563 0 
1.4748291015625001e-05 0.09292480213215996 4.738057311106969 0 
1.71896728515625e-05 0.11087948396476559 5.004177390707025 0 
1.96310546875e-05 0.12876653630780033 5.239051287741766 0 
2.2072436523437502e-05 0.1465292350173229 5.4491258087777785 0 
2.4513818359375e-05 0.1641325847024731 5.639034008401491 0 
2.939658203125e-05 0.19878273343736055 5.971298939713 0 
3.4279345703124996e-05 0.23262627584692278 6.254928401174233 0 
3.9162109375e-05 0.2656333421318484 6.501863779725922 0 
4.4044873046875e-05 0.2978004675688976 6.720071029908156 0 
4.892763671875e-05 0.3291362325299541 6.915130135937305 0 
5.86931640625e-05 0.3893736631923652 7.251048801833271 0 
6.845869140624999e-05 0.4464858315121289 7.5317845597456605 0 
7.822421875e-05 0.5006266447459171 7.770993827244382 0 
8.798974609375e-05 0.5519519795608337 7.977741356669739 0 
9.77552734375e-05 0.6006155053318527 8.158386179488467 0 
0.00011728632812499999 0.6905492951324528 8.458844628729548 0 
0.00013681738281249998 0.7715529043821319 8.69794960847852 0 
0.0001563484375 0.84464499954681 8.891642289031534 0 
0.00019541054687499998 0.9706161722412858 9.182235355283488 0 
0.00023447265624999998 1.0744853842929594 9.384191494264176 0 
0.000312596875 1.2332708852688907 9.628953285013734 0 
0.00062509375 1.5345399779066284 9.81424905891423 0 
0.0012500875 1.6005304595998868 9.440463124544692 0 
0.00187508125 1.5493865204200559 9.071914531285106 0 
0.002500075 1.4966824020488292 8.780607662574951 0 
0.00312506875 1.4509835844465229 8.546245856458675 0 
0.0037500625 1.4119162640848435 8.353199533968414 0 
0.00500005 1.3489443053630708 8.052477252886616 0 
0.0062500375 1.3001602954959264 7.827731698897248 0 
0.0075000250000000004 1.2609497340702607 7.652684946528752 0 
0.01 1.2011651923452262 7.397021920404452 0 
