Deltax Deltay Omega
-1000.0 -1000.0 -472.11401940202853 
-959.1836734693877 -1000.0 -357.18473327608996 
-918.3673469387755 -1000.0 -258.26393102028436 
-877.5510204081633 -1000.0 -173.4356887610134 
-836.7346938775511 -1000.0 -100.93352508144467 
-795.9183673469388 -1000.0 -39.13732259667753 
-755.1020408163265 -1000.0 13.429897334576838 
-714.2857142857142 -1000.0 58.105361492196685 
-673.469387755102 -1000.0 96.09011033704392 
-632.6530612244899 -1000.0 128.45276213790123 
-591.8367346938776 -1000.0 156.1334991422836 
-551.0204081632653 -1000.0 179.94830367564305 
-510.2040816326531 -1000.0 200.5934776686248 
-469.38775510204084 -1000.0 218.65048634675424 
-428.57142857142856 -1000.0 234.5911763022135 
-387.7551020408164 -1000.0 248.78343085490667 
-346.9387755102041 -1000.0 261.497342981051 
-306.1224489795918 -1000.0 272.9120105332369 
-265.30612244897964 -1000.0 283.12309402794904 
-224.48979591836735 -1000.0 292.15133110008986 
-183.67346938775518 -1000.0 299.9522874125777 
-142.8571428571429 -1000.0 306.4277694002002 
-102.0408163265306 -1000.0 311.43959439856525 
-61.22448979591843 -1000.0 314.82698367242205 
-20.408163265306143 -1000.0 316.4303315139441 
20.408163265306143 -1000.0 316.13075694946696 
61.224489795918316 -1000.0 313.92825997899047 
102.0408163265306 -1000.0 309.94172157617925 
142.8571428571429 -1000.0 304.33074744885977 
183.67346938775518 -1000.0 297.2561163322829 
224.48979591836724 -1000.0 288.8560108908407 
265.3061224489795 -1000.0 279.2286246897456 
306.1224489795918 -1000.0 268.41839206607904 
346.9387755102041 -1000.0 256.40457538493865 
387.7551020408164 -1000.0 243.09151412983996 
428.57142857142844 -1000.0 228.30011044819238 
469.3877551020407 -1000.0 211.76027136377883 
510.204081632653 -1000.0 193.10411355669487 
551.0204081632653 -1000.0 171.85979043475874 
591.8367346938776 -1000.0 147.44583677244498 
632.6530612244896 -1000.0 119.16595063910849 
673.4693877551019 -1000.0 86.20414970929642 
714.2857142857142 -1000.0 47.620251735494875 
755.1020408163265 -1000.0 2.3456384489206363 
795.9183673469388 -1000.0 -50.820730611288226 
836.7346938775511 -1000.0 -113.21608222500967 
877.5510204081631 -1000.0 -186.3173950335327 
918.3673469387754 -1000.0 -271.7447864217572 
959.1836734693877 -1000.0 -371.2647378065182 
1000.0 -1000.0 -486.7931730614111 

-1000.0 -959.1836734693877 -446.05362262468043 
-959.1836734693877 -959.1836734693877 -334.71613634073316 
-918.3673469387755 -959.1836734693877 -239.23747560016886 
-877.5510204081633 -959.1836734693877 -157.70171652939027 
-836.7346938775511 -959.1836734693877 -88.34237771156398 
-795.9183673469388 -959.1836734693877 -29.539341761789036 
-755.1020408163265 -959.1836734693877 20.184369961221822 
-714.2857142857142 -959.1836734693877 62.1659842373483 
-673.469387755102 -959.1836734693877 97.60654152745157 
-632.6530612244899 -959.1836734693877 127.57466010031466 
-591.8367346938776 -959.1836734693877 153.01052220345247 
-551.0204081632653 -959.1836734693877 174.73011016231703 
-510.2040816326531 -959.1836734693877 193.4297259075535 
-469.38775510204084 -959.1836734693877 209.69083466468737 
-428.57142857142856 -959.1836734693877 223.98528302590057 
-387.7551020408164 -959.1836734693877 236.68095431109728 
-346.9387755102041 -959.1836734693877 248.04794149649487 
-306.1224489795918 -959.1836734693877 258.26534243468376 
-265.30612244897964 -959.1836734693877 267.42881764214843 
-224.48979591836735 -959.1836734693877 275.55910475379136 
-183.67346938775518 -959.1836734693877 282.611769432531 
-142.8571428571429 -959.1836734693877 288.488618113155 
-102.0408163265306 -959.1836734693877 293.0514681312711 
-61.22448979591843 -959.1836734693877 296.13954075162866 
-20.408163265306143 -959.1836734693877 297.59323026640106 
20.408163265306143 -959.1836734693877 297.29365570192397 
61.224489795918316 -959.1836734693877 295.240817058197 
102.0408163265306 -959.1836734693877 291.5535953088851 
142.8571428571429 -959.1836734693877 286.39159616181456 
183.67346938775518 -959.1836734693877 279.9155983522362 
224.48979591836724 -959.1836734693877 272.2637845445422 
265.3061224489795 -959.1836734693877 263.5343483039449 
306.1224489795918 -959.1836734693877 253.77172396752582 
346.9387755102041 -959.1836734693877 242.95517390038253 
387.7551020408164 -959.1836734693877 230.98903758603055 
428.57142857142844 -959.1836734693877 217.69421717187944 
469.3877551020407 -959.1836734693877 202.80061968171196 
510.204081632653 -959.1836734693877 185.9403617956237 
551.0204081632653 -959.1836734693877 166.6415969214327 
591.8367346938776 -959.1836734693877 144.32285983361385 
632.6530612244896 -959.1836734693877 118.28784860152192 
673.4693877551019 -959.1836734693877 87.72058089970417 
714.2857142857142 -959.1836734693877 51.68087448064639 
755.1020408163265 -959.1836734693877 9.10011107556552 
795.9183673469388 -959.1836734693877 -41.22274977639964 
836.7346938775511 -959.1836734693877 -100.62493485512898 
877.5510204081631 -959.1836734693877 -170.58342280190936 
918.3673469387754 -959.1836734693877 -252.71833100164255 
959.1836734693877 -959.1836734693877 -348.79614087116124 
1000.0 -959.1836734693877 -460.73277628406305 

-1000.0 -918.3673469387755 -423.0064653153075 
-959.1836734693877 -918.3673469387755 -315.1111205466018 
-918.3673469387755 -918.3673469387755 -222.931178758144 
-877.5510204081633 -918.3673469387755 -144.55071607633684 
-836.7346938775511 -918.3673469387755 -78.20325108434703 
-795.9183673469388 -918.3673469387755 -22.26866639727351 
-755.1020408163265 -918.3673469387755 24.7300166261711 
-714.2857142857142 -918.3673469387755 64.1300247658664 
-673.469387755102 -918.3673469387755 97.1323984826734 
-632.6530612244899 -918.3673469387755 124.80575604537553 
-591.8367346938776 -918.3673469387755 148.09027970148733 
-551.0204081632653 -918.3673469387755 167.80195177646092 
-510.2040816326531 -918.3673469387755 184.63707420094156 
-469.38775510204084 -918.3673469387755 199.1771122004545 
-428.57142857142856 -918.3673469387755 211.89391236718194 
-387.7551020408164 -918.3673469387755 223.1553580210281 
-346.9387755102041 -918.3673469387755 233.23154213821002 
-306.1224489795918 -918.3673469387755 242.3015625713184 
-265.30612244897964 -918.3673469387755 250.46107983683757 
-224.48979591836735 -918.3673469387755 257.73083156967004 
-183.67346938775518 -918.3673469387755 264.06638343273437 
-142.8571428571429 -918.3673469387755 269.36954186081806 
-102.0408163265306 -918.3673469387755 273.50212418952907 
-61.22448979591843 -918.3673469387755 276.3033516836165 
-20.408163265306143 -918.3673469387755 277.6136186352539 
20.408163265306143 -918.3673469387755 277.3140440707766 
61.224489795918316 -918.3673469387755 275.40462799018485 
102.0408163265306 -918.3673469387755 272.004251367143 
142.8571428571429 -918.3673469387755 267.27251990947775 
183.67346938775518 -918.3673469387755 261.37021235243964 
224.48979591836724 -918.3673469387755 254.43551136042095 
265.3061224489795 -918.3673469387755 246.56661049863402 
306.1224489795918 -918.3673469387755 237.8079441041605 
346.9387755102041 -918.3673469387755 228.13877454209768 
387.7551020408164 -918.3673469387755 217.4634412959614 
428.57142857142844 -918.3673469387755 205.60284651316087 
469.3877551020407 -918.3673469387755 192.28689721747907 
510.204081632653 -918.3673469387755 177.1477100890117 
551.0204081632653 -918.3673469387755 159.71343853557678 
591.8367346938776 -918.3673469387755 139.40261733164874 
632.6530612244896 -918.3673469387755 115.51894454658279 
673.4693877551019 -918.3673469387755 87.2464378549262 
714.2857142857142 -918.3673469387755 53.64491500916448 
755.1020408163265 -918.3673469387755 13.645757740514796 
795.9183673469388 -918.3673469387755 -33.95207441188411 
836.7346938775511 -918.3673469387755 -90.48580822791203 
877.5510204081631 -918.3673469387755 -157.43242234885605 
918.3673469387754 -918.3673469387755 -236.41203415961738 
959.1836734693877 -918.3673469387755 -329.19112507703 
1000.0 -918.3673469387755 -437.6856189746901 

-1000.0 -877.5510204081633 -402.5081094054108 
-959.1836734693877 -877.5510204081633 -297.9052478251969 
-918.3673469387755 -877.5510204081633 -208.8806024257111 
-877.5510204081633 -877.5510204081633 -133.51824933335467 
-836.7346938775511 -877.5510204081633 -70.0517071312953 
-795.9183673469388 -877.5510204081633 -16.86085843463199 
-755.1020408163265 -877.5510204081633 27.531275397923118 
-714.2857142857142 -877.5510204081633 64.46192114624937 
-673.469387755102 -877.5510204081633 95.13211927120798 
-632.6530612244899 -877.5510204081633 120.61048804158216 
-591.8367346938776 -877.5510204081633 141.83720970488633 
-551.0204081632653 -877.5510204081633 159.62826658657295 
-510.2040816326531 -877.5510204081633 174.67996061728695 
-469.38775510204084 -877.5510204081633 187.57375702255402 
-428.57142857142856 -877.5510204081633 198.78150239455596 
-387.7551020408164 -877.5510204081633 208.671080053197 
-346.9387755102041 -877.5510204081633 217.51258297469445 
-306.1224489795918 -877.5510204081633 225.48510901163883 
-265.30612244897964 -877.5510204081633 232.68431868051445 
-224.48979591836735 -877.5510204081633 239.13094961622403 
-183.67346938775518 -877.5510204081633 244.78056748168584 
-142.8571428571429 -877.5510204081633 249.53497871168753 
-102.0408163265306 -877.5510204081633 253.25600064183695 
-61.22448979591843 -877.5510204081633 255.78285453688335 
-20.408163265306143 -877.5510204081633 256.9559346890003 
20.408163265306143 -877.5510204081633 256.656360124523 
61.224489795918316 -877.5510204081633 254.88413084345174 
102.0408163265306 -877.5510204081633 251.75812781945095 
142.8571428571429 -877.5510204081633 247.4379567603472 
183.67346938775518 -877.5510204081633 242.08439640139105 
224.48979591836724 -877.5510204081633 235.83562940697487 
265.3061224489795 -877.5510204081633 228.789849342311 
306.1224489795918 -877.5510204081633 220.9914905444809 
346.9387755102041 -877.5510204081633 212.41981537858211 
387.7551020408164 -877.5510204081633 202.97916332813026 
428.57142857142844 -877.5510204081633 192.49043654053483 
469.3877551020407 -877.5510204081633 180.68354203957853 
510.204081632653 -877.5510204081633 167.19059650535715 
551.0204081632653 -877.5510204081633 151.5397533456886 
591.8367346938776 -877.5510204081633 133.14954733504769 
632.6530612244896 -877.5510204081633 111.3236765427893 
673.4693877551019 -877.5510204081633 85.24615864346063 
714.2857142857142 -877.5510204081633 53.97681138954745 
755.1020408163265 -877.5510204081633 16.447016512266917 
795.9183673469388 -877.5510204081633 -28.54426644924259 
836.7346938775511 -877.5510204081633 -82.33426427486029 
877.5510204081631 -877.5510204081633 -146.39995560587388 
918.3673469387754 -877.5510204081633 -222.36145782718418 
959.1836734693877 -877.5510204081633 -311.9852523556251 
1000.0 -877.5510204081633 -417.18726306479334 

-1000.0 -836.7346938775511 -384.1473804953835 
-959.1836734693877 -836.7346938775511 -282.6873437769121 
-918.3673469387755 -836.7346938775511 -196.67457220326244 
-877.5510204081633 -836.7346938775511 -124.19314190083685 
-836.7346938775511 -836.7346938775511 -63.476571452801835 
-795.9183673469388 -836.7346938775511 -12.904743474257245 
-755.1020408163265 -836.7346938775511 28.999320676085308 
-714.2857142857142 -836.7346938775511 63.572847778104794 
-673.469387755102 -836.7346938775511 92.01687829266243 
-632.6530612244899 -836.7346938775511 115.4000304885417 
-591.8367346938776 -836.7346938775511 134.66248661325685 
-551.0204081632653 -836.7346938775511 150.62022899226042 
-510.2040816326531 -836.7346938775511 163.96955955619745 
-469.38775510204084 -836.7346938775511 175.29194353059322 
-428.57142857142856 -836.7346938775511 185.0592275076298 
-387.7551020408164 -836.7346938775511 193.63929480721163 
-346.9387755102041 -836.7346938775511 201.3022384055557 
-306.1224489795918 -836.7346938775511 208.2271561552526 
-265.30612244897964 -836.7346938775511 214.50970857278668 
-224.48979591836735 -836.7346938775511 220.17063329306063 
-183.67346938775518 -836.7346938775511 225.1654959789928 
-142.8571428571429 -836.7346938775511 229.39610306537077 
-102.0408163265306 -836.7346938775511 232.7242718878024 
-61.22448979591843 -836.7346938775511 234.9892237110369 
-20.408163265306143 -836.7346938775511 236.0313528272479 
20.408163265306143 -836.7346938775511 235.73177826277075 
61.224489795918316 -836.7346938775511 234.0905000176053 
102.0408163265306 -836.7346938775511 231.22639906541644 
142.8571428571429 -836.7346938775511 227.29908111403043 
183.67346938775518 -836.7346938775511 222.46932489869806 
224.48979591836724 -836.7346938775511 216.87531308381153 
265.3061224489795 -836.7346938775511 210.6152392345832 
