mu md ms muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
300.0000036509725 300.0000036509725 429.0322923737813 0.0 0.0 0.0 0.0 -6.513816221400476e-17 -6.513816221400476e-17 -1.9052047996917464e-16 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
300.0000036509725 300.0000036509725 429.0322923737813 300.0000036509725 300.0000036509725 300.0000036509725 0.0 0.0 0.0 -6.960484557183978e-17 -1.0052185159850071e-25 -2.0881453925677305e-17 0.0 -2.0881453925677305e-17 0.0 
299.69970334701753 299.69970334701753 428.99469147826045 301.44294109916433 302.46221771158145 302.46221771158145 1.0192766124171413 0.000445523739996802 0.0008910382771291927 -6.792940949095597e-17 3.0676215419388175e-09 0.00040271221440614524 1.0931886011269415e-06 0.00040271221440614524 1.0931886011269415e-06 
299.3994030430626 299.3994030430626 428.9571651645429 302.16878840167857 303.7836807837034 303.7836807837034 1.614892382024821 0.0008930422273394899 0.001786036904578189 -6.701404548228413e-17 1.5850033595796553e-08 0.0008091073086351243 3.3110696759584323e-06 0.0008091073086351243 3.3110696759584323e-06 
299.0991027391077 299.0991027391077 428.9196795705324 302.7307370421068 304.8436323382067 304.8436323382067 2.1128952960998975 0.001341940779217352 0.0026837679365774593 -6.627315337047966e-17 3.7873952432451556e-08 0.001218086668125869 6.2896991962214866e-06 0.001218086668125869 6.2896991962214866e-06 
298.79880243515277 298.79880243515277 428.8822346864321 303.20141723249264 305.75769914756717 305.75769914756717 2.5562819150745435 0.0017919695207730022 0.0035837321304830996 -6.562970127251835e-17 6.897035432741389e-08 0.00162920145791369 9.880107307486066e-06 0.00162920145791369 9.880107307486066e-06 
298.4985021311978 298.4985021311978 428.84483050245746 303.6109368513417 306.57385389841335 306.57385389841335 2.9629170470716333 0.0022429749701683944 0.0044856228200969095 -6.505171973352299e-17 1.0904008098614484e-07 0.0020421757658533567 1.399096434205361e-05 0.0020421757658533567 1.399096434205361e-05 
298.1982018272429 298.1982018272429 428.80746700883634 303.9754559870485 307.3178640893637 307.3178640893637 3.342408102315195 0.002694849099378026 0.00538922417021514 -6.45220317077426e-17 1.5800951448799078e-07 0.0024568152445174313 1.8558128503843323e-05 0.0024568152445174313 1.8558128503843323e-05 
297.897901523288 297.897901523288 428.7701441958093 304.30491377768965 308.0055880821901 308.0055880821901 3.7006743045004638 0.003147509972636257 0.0062943724891352726 -6.403006232627904e-17 2.158187118699851e-07 0.002872972381204859 2.353306843184559e-05 0.002872972381204859 2.353306843184559e-05 
297.59760121933306 297.59760121933306 428.73286205362893 304.6059713047649 308.64766024689413 308.64766024689413 4.041688942129239 0.003600892388274113 0.0072009375270624424 -6.35687178790396e-17 2.824164948470165e-07 0.003290529714605641 2.8877269640013806e-05 0.003290529714605641 2.8877269640013806e-05 
297.2973009153781 297.2973009153781 428.6956205725604 304.88336658548775 309.25164896117155 309.25164896117155 4.368282375683826 0.004054942690349827 0.00810881210695499 -6.313294811218496e-17 3.577579147714494e-07 0.0037093905257818815 3.455913094290708e-05 0.0037093905257818815 3.455913094290708e-05 
296.9970006114232 296.9970006114232 428.6584197428814 305.1406208624354 309.82318186556563 309.82318186556563 4.682561003130195 0.004509615610331484 0.009017905812409995 -6.271899648075771e-17 4.418027511511301e-07 0.004129473172442191 4.0552076078445736e-05 0.004129473172442191 4.0552076078445736e-05 
