r P epsilon nu nd ns ne
0.0 0.0008 0.0038019222691012 0.8802910763805182 1.6020743684916778 0.1490316519624141 0.0031587107689802474 
9.999999999999999e-05 0.0007999999997892736 0.0038019222681036423 0.8802910761918025 1.6020743683209173 0.1490316517521897 0.003158710770164748 
0.0011 0.0007999999745021053 0.003801922148396666 0.880291053545923 1.6020743478296688 0.1490316265252591 0.0031587109123047915 
0.0111 0.0007999974036455949 0.003801909978213934 0.8802887512198515 1.6020722645572647 0.14902906179290143 0.0031587253631777225 
0.0211 0.0007999906183225443 0.003801877857159691 0.8802826746356084 1.602066766126603 0.1490222926334737 0.003158763503712134 
0.031100000000000003 0.0007999796186749802 0.0038018257859062776 0.8802728239203853 1.6020578526527738 0.14901131918866423 0.003158825333109688 
0.041100000000000005 0.000799964404933048 0.00380175376554318 0.8802591992802887 1.6020455243222735 0.14899614168807018 0.00315891085007673 
0.051100000000000007 0.0007999449774150526 0.003801661797577221 0.8802418010003757 1.6020297813930378 0.1489767604492381 0.0031590200528240574 
0.06110000000000001 0.0007999213365274476 0.003801549883932513 0.8802206294446455 1.602010624194433 0.14895317587765355 0.0031591529390669797 
0.07110000000000001 0.0007998934827648203 0.0038014180269503846 0.8801956850560246 1.601988053127244 0.1489253884667255 0.003159309506025405 
0.0811 0.0007998614167098711 0.0038012662293892808 0.8801669683563494 1.601962068663657 0.14889339879776634 0.003159489750423955 
0.0911 0.0007998251390333902 0.003801094494424658 0.8801344799463451 1.601932671347242 0.14885720753996834 0.0031596936684920936 
0.1011 0.0007997846504942301 0.003800902825648849 0.8800982205056004 1.601899861792928 0.14881681545037634 0.003159921255964286 
0.11109999999999999 0.0007997399519392752 0.0038006912270709212 0.8800581907925413 1.6018636406869813 0.14877222337385723 0.003160172508080165 
0.12109999999999999 0.000799691044303407 0.003800459703116513 0.8800143916443993 1.6018240087869753 0.14872343224306564 0.0031604474195847296 
0.1311 0.0007996379286094664 0.0038002082586276516 0.8799668239771778 1.6017809669217606 0.14867044307840577 0.0031607459847285565 
0.1411 0.0007995806059682121 0.00379993689886256 0.8799154887856149 1.6017345159914316 0.14861325698799033 0.0031610681972680326 
0.1511 0.0007995190775782752 0.0037996456294954422 0.8798603871431424 1.6016846569672891 0.14855187516759533 0.0031614140504656104 
0.16110000000000002 0.0007994533447261113 0.0037993344566162506 0.8798015202018434 1.6016313908918016 0.1484862989006115 0.0031617835370900804 
0.17110000000000003 0.0007993834087859472 0.0037990033867304415 0.8797388891924046 1.6015747188785627 0.1484165295579924 0.0031621766494168645 
0.18110000000000004 0.0007993092712197263 0.003798652426758711 0.8796724954240664 1.601514642112246 0.1483425685981985 0.00316259337922833 
0.19110000000000005 0.0007992309335770481 0.003798281584036712 0.8796023402845704 1.6014511618485567 0.14826441756713823 0.003163033717814124 
0.20110000000000006 0.0007991483974951061 0.0037978908663147573 0.8795284252401022 1.6013842794141813 0.14818207809810496 0.0031634976559715257 
0.21110000000000007 0.0007990616646986212 0.003797480281757507 0.8794507518352325 1.601313996206733 0.148095551911711 0.00316398518400582 
0.22110000000000007 0.0007989707369997716 0.003797049838943635 0.8793693216928544 1.6012403136946955 0.14800484081581772 0.00316449629173069 
0.23110000000000008 0.0007988756162981192 0.0037965995468654807 0.8792841365141173 1.601163233417363 0.14790994670546195 0.0031650309684686335 
0.2411000000000001 0.0007987763045805327 0.0037961294149286865 0.879195198078358 1.6010827569847788 0.1478108715627795 0.003165589203051393 
0.2511000000000001 0.0007986728039211073 0.003795639452951815 0.8791025082430286 1.600998886077668 0.14770761745692457 0.003166170983820408 
0.2611000000000001 0.0007985651164810797 0.00379512967116595 0.8790060689436213 1.6009116224473716 0.14760018654398566 0.0031667762986272922 
0.2711000000000001 0.0007984532445087416 0.003794600080214283 0.8789058821935896 1.6008209679157739 0.14748858106689866 0.0031674051348343215 
0.2811000000000001 0.0007983371903393479 0.0037940506911516825 0.8788019500842669 1.6007269243752298 0.1473728033553556 0.003168057479314947 
0.29110000000000014 0.0007982169563950221 0.0037934815154442433 0.8786942747847817 1.6006294937884868 0.14725285582571007 0.003168733318454329 
0.30110000000000015 0.0007980925451846584 0.0037928925649688247 0.8785828585419698 1.600528678188607 0.1471287409808797 0.0031694326381498873 
0.31110000000000015 0.0007979639593038197 0.003792283852012567 0.8784677036802833 1.6004244796788831 0.1470004614102444 0.003170155423811873 
0.32110000000000016 0.0007978312014346328 0.0037916553892723957 0.8783488126016958 1.6003169004327547 0.14686801978954175 0.0031709016603639604 
0.33110000000000017 0.0007976942743456797 0.0037910071898545066 0.8782261877856065 1.6002059426937192 0.14673141888075864 0.003171671332243853 
0.3411000000000002 0.0007975531808918853 0.0037903392672738348 0.8780998317887381 1.6000916087752417 0.14659066153201913 0.0031724644234039207 
0.3511000000000002 0.0007974079240144025 0.003789651635453509 0.877969747245035 1.5999739010606613 0.14644575067746976 0.0031732809173118416 
0.3611000000000002 0.0007972585067404922 0.0037889443087242864 0.8778359368655555 1.5998528220030936 0.1462966893371602 0.003174120796951278 
0.3711000000000002 0.0007971049321834016 0.003788217301823973 0.8776984034383627 1.599728374125333 0.14614348061692128 0.00317498404482256 
0.3811000000000002 0.000796947203542238 0.00378747062989683 0.8775571498284115 1.5996005600197498 0.14598612770823963 0.0031758706429433963 
0.3911000000000002 0.0007967853241018393 0.0037867043084929583 0.877412178977433 1.5994693823481854 0.14582463388812827 0.003176780572849599 
0.40110000000000023 0.0007966192972326415 0.003785918353567671 0.8772634939038151 1.5993348438418449 0.14565900251899433 0.0031777138155958313 
0.41110000000000024 0.0007964491263905425 0.0037851127814808503 0.8771110977024811 1.5991969473011864 0.14548923704850314 0.0031786703517563725 
0.42110000000000025 0.0007962748151167621 0.003784287608996283 0.8769549935447642 1.5990556955958086 0.14531534100943883 0.0031796501614259043 
0.43110000000000026 0.0007960963670376992 0.0037834428532809872 0.8767951846782799 1.5989110916643337 0.1451373180195618 0.0031806532242203136 
0.44110000000000027 0.0007959137858647857 0.0037825785319045165 0.8766316744267942 1.59876313851429 0.1449551717814626 0.003181679519277514 
0.4511000000000003 0.0007957270753943358 0.0037816946628382517 0.87646446619009 1.5986118392219897 0.14476890608241233 0.003182729025258292 
0.4611000000000003 0.000795536239507394 0.0037807912644546755 0.8762935634438298 1.5984571969324048 0.14457852479420996 0.0031838017203471643 
0.4711000000000003 0.0007953412821695773 0.0037798683555266307 0.8761189697394149 1.598299214859041 0.1443840318730261 0.0031848975822532603 
0.4811000000000003 0.0007951422074309162 0.003778925955226565 0.8759406887038433 1.5981378962838064 0.14418543135924328 0.0031860165882112187 
0.4911000000000003 0.0007949390194256909 0.003777964083125756 0.8757587240395623 1.5979732445568817 0.1439827273772934 0.0031871587149821094 
0.5011000000000003 0.0007947317223722651 0.0037769827591935226 0.8755730795243202 1.5978052630965827 0.14377592413549128 0.003188323938854364 
0.5111000000000003 0.0007945203205729155 0.0037759820037964217 0.8753837590110133 1.597633955389224 0.14356502592586504 0.0031895122356447375 
0.5211000000000003 0.0007943048184136591 0.0037749618376974286 0.8751907664275316 1.5974593249889786 0.1433500371239836 0.0031907235806992768 
0.5311000000000003 0.0007940852203640763 0.0037739222820550975 0.8749941057765999 1.5972813755177337 0.14313096218878002 0.0031919579488943178 
0.5411000000000004 0.0007938615309771311 0.0037728633584227147 0.8747937811356173 1.5971001106649465 0.14290780566237257 0.003193215314637492 
0.5511000000000004 0.0007936337548889879 0.0037717850887474275 0.8745897966564928 1.5969155341874948 0.1426805721698817 0.0031944956518687602 
0.5611000000000004 0.0007934018968188252 0.003770687495369365 0.8743821565654785 1.5967276499095255 0.14244926641924402 0.0031957989340614576 
0.5711000000000004 0.0007931659615686458 0.003769570601020737 0.8741708651629995 1.5965364617223026 0.14221389320102337 0.003197125134223361 
0.5811000000000004 0.0007929259540230837 0.003768434428824923 0.8739559268234814 1.5963419735840487 0.14197445738821785 0.0031984742248977746 
0.5911000000000004 0.0007926818791492083 0.003767279002295542 0.8737373459951746 1.5961441895197879 0.1417309639360645 0.0031998461781646307 
0.6011000000000004 0.0007924337419963247 0.0037661043453355086 0.8735151271999751 1.5959431136211824 0.14148341788184016 0.0032012409656416115 
0.6111000000000004 0.0007921815476957709 0.0037649104822360755 0.8732892750332443 1.5957387500463704 0.14123182434465945 0.003202658558485289 
0.6211000000000004 0.0007919253014607124 0.003763697437675857 0.8730597941636231 1.5955311030197972 0.14097618852526922 0.003204098927392281 
0.6311000000000004 0.0007916650085859328 0.003762465236719839 0.8728266893328459 1.5953201768320473 0.14071651570584026 0.0032055620426004257 
0.6411000000000004 0.000791400674447622 0.0037612139048183776 0.87258996535555 1.5951059758396717 0.14045281124975542 0.003207047873889976 
0.6511000000000005 0.0007911323045031603 0.003759943467806176 0.8723496271190829 1.5948885044650138 0.14018508060139476 0.0032085563905848093 
0.6611000000000005 0.0007908599042909001 0.003758653951901253 0.8721056795833066 1.5946677671960319 0.13991332928591763 0.0032100875615536546 
0.6711000000000005 0.0007905834794299444 0.00375734538370389 0.871858127780399 1.5944437685861197 0.1396375629090415 0.003211641355211342 
0.6811000000000005 0.000790303035619922 0.0037560177901955713 0.8716069768146526 1.5942165132539243 0.13935778715681774 0.003213217739520061 
0.6911000000000005 0.000790018578640759 0.003754671198737901 0.8713522318622702 1.5939860058831616 0.13907400779540394 0.0032148166819906485 
0.7011000000000005 0.0007897301143575876 0.0037533142428948065 0.871095163503658 1.5937498283859663 0.13879125843018075 0.003216413397055346 
0.7111000000000005 0.0007894376467000642 0.0037519739189677158 0.8708397418432251 1.593500388758276 0.1385253041257161 0.0032179302674851047 
0.7211000000000005 0.0007891411806558108 0.003750615271190906 0.8705808282596638 1.5932475389890823 0.1382557139041358 0.0032194678753688735 
0.7311000000000005 0.0007888407221176437 0.003749238326570041 0.8703184278993651 1.5929912841042468 0.1379824931240491 0.0032210261901438244 
0.7411000000000005 0.0007885362770571857 0.003747843112471936 0.8700525459775442 1.592731629196843 0.1377056472157273 0.003222605180838403 
0.7511000000000005 0.0007882278515245165 0.003746429656622962 0.8697831877779356 1.5924685794268592 0.13742518168078655 0.003224204816074142 
0.7611000000000006 0.0007879154516478309 0.003744997987107476 0.8695103586524939 1.5922021400209063 0.13714110209187638 0.0032258250640674322 
0.7711000000000006 0.0007875990836331014 0.0037435481323662752 0.8692340640211 1.5919323162719299 0.13685341409237328 0.003227465892631275 
0.7811000000000006 0.0007872787537637456 0.003742080121195074 0.8689543093712699 1.5916591135389275 0.13656212339607832 0.0032291272691770054 
0.7911000000000006 0.000786954468400299 0.003740593982743003 0.8686711002578691 1.5913825372466683 0.13626723578691893 0.003230809160715991 
0.8011000000000006 0.0007866262339800899 0.0037390897465111187 0.868384442302829 1.5911025928854168 0.13596875711865428 0.0032325115338613167 
0.8111000000000006 0.0007862940570169181 0.0037375674423509335 0.868094341194866 1.5908192860106583 0.1356666933145823 0.00323423435482945 
0.8211000000000006 0.0007859579441007361 0.0037360271004629525 0.8678008026892031 1.590532622242827 0.1353610503672502 0.003235977589441898 
0.8311000000000006 0.000785617901897332 0.003734468751395221 0.8675038326072931 1.5902426072670366 0.13505183433816592 0.003237741203126848 
0.8411000000000006 0.0007852739371480147 0.003732892426041883 0.8672034368365439 1.58994924683281 0.1347390513575121 0.0032395251609208028 
0.8511000000000006 0.0007849260566693006 0.0037312981556417413 0.8668996213300438 1.5896525467538132 0.1344227076238606 0.0032413294274702058 
0.8611000000000006 0.0007845742673525998 0.0037296859717768256 0.8665923921062892 1.5893525129075878 0.13410280940388816 0.003243153967033065 
0.8711000000000007 0.0007842185761639056 0.0037280559063709645 0.8662817552489117 1.5890491512352853 0.133779363032093 0.003244998743480569 
0.8811000000000007 0.000783858990143482 0.0037264079916883557 0.8659677169064065 1.5887424677414022 0.13345237491051132 0.003246863720298703 
0.8911000000000007 0.0007834955164055533 0.003724742260332143 0.8656502832918604 1.588432468493513 0.13312185150843484 0.00324874886058986 
0.9011000000000007 0.0007831281621379931 0.00372305874524299 0.8653294606826808 1.5881191596220068 0.13278779936212778 0.003250654127074456 
0.9111000000000007 0.0007827569346020129 0.0037213574796976555 0.8650052554203231 1.5878025473198212 0.132450225074544 0.003252579482092542 
0.9211000000000007 0.0007823818411318504 0.003719638497307564 0.8646776739100198 1.587482637842176 0.13210913531504367 0.0032545248876054205 
0.9311000000000007 0.0007820028891344584 0.0037179018320173765 0.8643467226205067 1.5871594375063083 0.1317645368191097 0.0032564903051972645 
0.9411000000000007 0.0007816200860891916 0.003716147518103561 0.8640124080837516 1.5868329526912053 0.13141643638806377 0.003258475696076734 
0.9511000000000007 0.0007812334395474936 0.0037143755901729546 0.8636747368946792 1.5865031898373376 0.13106484088878118 0.0032604810210786037 
0.9611000000000007 0.000780842957132583 0.003712586083161326 0.8633337157108981 1.5861701554463907 0.13070975725340547 0.003262506240665392 
0.9711000000000007 0.0007804486465391381 0.003710779032331929 0.862989351252425 1.5858338560809973 0.1303511924790619 0.003264551314928994 
0.9811000000000007 0.0007800505155329809 0.003708954473274056 0.8626416503014084 1.5854942983644662 0.12998915362756985 0.0032666162035923205 
0.9911000000000008 0.0007796485719507602 0.003707112441901586 0.8622906197018525 1.5851514889805134 0.1296236478251548 0.0032687008660109438 
1.0011000000000008 0.0007792428236996326 0.0037052529744515212 0.8619362663593382 1.5848054346729898 0.1292546822621583 0.0032708052611747484 
1.0111000000000008 0.0007788332787569435 0.0037033761074825255 0.8615785972407446 1.5844561422456087 0.12888226419274773 0.0032729293477095902 
1.0211000000000008 0.0007784199451699053 0.003701481877873451 0.8612176193739679 1.584103618561671 0.1285064009346238 0.0032750730838789614 
1.0311000000000008 0.0007780028310552757 0.0036995703228218622 0.8608533398476407 1.5837478705437922 0.12812709986872792 0.003277236427585661 
1.0411000000000008 0.0007775819445990334 0.00369764147984255 0.8604857658108481 1.5833889051736243 0.12774436843894732 0.003279419336373477 
1.0511000000000008 0.0007771572940560527 0.003695695386766041 0.8601149044728448 1.5830267294915794 0.1273582141518193 0.003281621767428872 
1.0611000000000008 0.0007767288877497768 0.0036937320817371005 0.8597407631027681 1.58266135059655 0.12696864457623375 0.003283843677582681 
1.0711000000000008 0.0007762967340718889 0.003691751603213225 0.8593633490293523 1.5822927756456302 0.1265756673431347 0.003286085023311813 
1.0811000000000008 0.0007758608414819826 0.00368975398996313 0.8589826696406396 1.581921011853832 0.1261792901452199 0.0032883457607409657 
1.0911000000000008 0.0007754212185072299 0.003687739281065232 0.8585987323836908 1.5815460664938046 0.12577952073663948 0.0032906258456443416 
1.1011000000000009 0.0007749778737420477 0.003685707515906117 0.858211544764294 1.581167946895549 0.12537636693269236 0.003292925233447381 
1.1111000000000009 0.0007745308158477631 0.0036836587341790078 0.857821114346672 1.580786660446132 0.12496983660952189 0.0032952438792285 
1.1211000000000009 0.0007740800535522759 0.0036815929758822175 0.8574274487531879 1.5804022145893992 0.12455993770380926 0.0032975817377208353 
1.1311000000000009 0.0007736255956497211 0.0036795102813176024 0.85703055566405 1.580014616825687 0.12414667821246612 0.0032999387633139998 
1.141100000000001 0.0007731674510001276 0.0036774106910889993 0.8566304428170141 1.579623874711531 0.1237300661923248 0.003302314910055848 
1.151100000000001 0.0007727056285290771 0.003675294246100659 0.8562271180070853 1.5792299958593756 0.1233101097598275 0.003304710131654251 
1.161100000000001 0.0007722401372273601 0.0036731609875556726 0.8558205890862178 1.5788329879372804 0.12288681709071385 0.003307124381478876 
1.171100000000001 0.0007717709861506303 0.0036710109569543883 0.8554108639630131 1.5784328586686256 0.12246019641970672 0.003309557612562979 
1.181100000000001 0.0007712981844190574 0.0036688441960928174 0.8549979506024162 1.5780296158318157 0.12203025604019624 0.003312009777605208 
1.191100000000001 0.0007708217412169783 0.0036666607470610376 0.8545818570254119 1.5776232672599817 0.12159700430392274 0.00331448082897141 
1.201100000000001 0.0007703416657925462 0.003664460652241586 0.8541625913087175 1.577213820840683 0.12116044962065768 0.0033169707186964524 
1.211100000000001 0.0007698579674573781 0.0036622439543078393 0.8537401615844757 1.5768012845156052 0.12072060045788297 0.00331947939848605 
1.221100000000001 0.0007693706555862006 0.003660010696222397 0.8533145760399448 1.5763856662802593 0.12027746534046914 0.0033220068197186018 
1.231100000000001 0.0007688797396164937 0.0036577609212354437 0.8528858429171874 1.575966974183677 0.1198310528503512 0.00332455293344704 
1.241100000000001 0.0007683852290481331 0.0036554946728831117 0.8524539705127586 1.5755452163281065 0.11938137162620344 0.003327117690400684 
1.251100000000001 0.0007678871334430309 0.003653211994985834 0.8520189671773921 1.575120400868705 0.11892843036311264 0.003329701040987105 
1.261100000000001 0.0007673854624247737 0.003650912931646688 0.8515808413156836 1.5746925360132307 0.11847223781224915 0.003332302935294 
1.271100000000001 0.0007668802256782602 0.003648597527249731 0.8511396013857749 1.574261630021734 0.11801280278053723 0.0033349233230910756 
1.281100000000001 0.000766371432949336 0.003646265826458328 0.8506952558990347 1.5738276912062452 0.11755013413032284 0.0033375621538319395 
1.291100000000001 0.0007658590940444273 0.003643917874213477 0.8502478134197389 1.5733907279304633 0.11708424077904091 0.003340219376656 
1.301100000000001 0.0007653432188301729 0.0036415537157321143 0.8497972825647486 1.5729507486094403 0.11661513169888008 0.003342894940390377 
1.311100000000001 0.0007648238172330538 0.0036391733965054247 0.8493436720031875 1.572507761709267 0.11614281591644665 0.0033455887935518198 
1.321100000000001 0.000764300899239022 0.0036367769622971365 0.8488869904561172 1.572061775746756 0.11566730251242643 0.0033483008843486354 
1.331100000000001 0.0007637744748931273 0.0036343644591418115 0.8484272466962112 1.571612799289123 0.11518860062124557 0.0033510311606826217 
1.341100000000001 0.0007632445542991419 0.003631935933343126 0.8479644495474273 1.5711608409536664 0.11470671943072935 0.0033537795701510157 
1.351100000000001 0.0007627111476191845 0.003629491431472147 0.8474986078846793 1.5707059094074474 0.11422166818175995 0.003356546060048444 
1.361100000000001 0.0007621742650733412 0.0036270310003655945 0.847029730633506 1.5702480133669667 0.11373345616793233 0.003359330577368886 
1.371100000000001 0.0007616339169392866 0.0036245546871241066 0.8465578267697395 1.5697871615978407 0.11324209273520895 0.0033621330688076425 
1.381100000000001 0.0007610901135519016 0.0036220625391104864 0.8460829053191725 1.569323362914476 0.11274758728157282 0.003364953480763316 
1.3911000000000011 0.0007605428653028907 0.0036195546039479495 0.845604975357224 1.568856626179743 0.11224994925667925 0.003367791759339795 
1.4011000000000011 0.0007599921826403971 0.003617030929518359 0.8451240460086021 1.5683869603046472 0.11174918816150585 0.003370647850348252 
1.4111000000000011 0.0007594380760686169 0.003614491563960457 0.8446401264469681 1.5679143742480006 0.11124531354800161 0.003373521699309144 
1.4211000000000011 0.000758880556147411 0.003611936555668088 0.844153225894597 1.5674388770160905 0.11073833501873419 0.003376413251454224 
1.4311000000000011 0.0007583196333532584 0.003609376881199832 0.8436649883497656 1.5669574493222231 0.11023467837565143 0.0033792830005500182 
1.4411000000000012 0.000757755311442184 0.003606879480743319 0.8431854283913437 1.5664515504941154 0.10977363828015624 0.00338188933613639 
1.4511000000000012 0.0007571875963671359 0.003604367063876685 0.8427029849269969 1.5659426097892986 0.1093098260352694 0.0033845113431398045 
1.4611000000000012 0.0007566164985156334 0.0036018396765697836 0.8422176667840244 1.5654306365198933 0.10884325012739349 0.0033871489735852315 
1.4711000000000012 0.0007560420283299013 0.0035992973650345664 0.841729482836214 1.5649156400470623 0.10837391908762434 0.0033898021792449808 
1.4811000000000012 0.0007554641963064331 0.0035967401757231506 0.8412384420034708 1.5643976297806188 0.10790184149139427 0.003392470911640721 
1.4911000000000012 0.0007548830129955542 0.0035941681553258863 0.8407445532514464 1.563876615178635 0.10742702595811528 0.003395155122045497 
1.5011000000000012 0.0007542984890009876 0.003591581350769434 0.8402478255911696 1.563352605747052 0.10694948115082412 0.0033978547614857348 
1.5111000000000012 0.0007537106349794197 0.0035889798092148427 0.8397482680786773 1.5628256110392913 0.10646921577582762 0.003400569780743249 
1.5211000000000012 0.000753119461640067 0.003586363578055633 0.8392458898146465 1.5622956406558668 0.10598623858234867 0.003403300130357241 
1.5311000000000012 0.0007525249797442441 0.0035837327049158853 0.8387406999440272 1.5617627042439963 0.10550055836217342 0.003406045760626296 
1.5411000000000012 0.0007519272001049325 0.0035810872376483313 0.8382327076556756 1.5612268114972154 0.10501218394929868 0.0034088066216103746 
1.5511000000000013 0.0007513261335863491 0.0035784272243324445 0.8377219221819876 1.5606879721549913 0.10452112421957976 0.0034115826631328063 
1.5611000000000013 0.0007507217911035168 0.003575752713272539 0.8372083527985344 1.560146196002337 0.10402738809037942 0.0034143738347822703 
1.5711000000000013 0.0007501141836218342 0.0035730637529958666 0.8366920088236961 1.559601492869426 0.10353098452021643 0.003417180085914784 
1.5811000000000013 0.0007495033221566468 0.00357036039225072 0.8361728996182978 1.5590538726312078 0.10303192250841521 0.003420001365655685 
1.5911000000000013 0.0007488892177728185 0.0035676426800045316 0.8356510345852448 1.5585033452070236 0.10253021109475563 0.0034228376229016094 
1.6011000000000013 0.0007482718815843024 0.0035649106654419803 0.8351264231691589 1.5579499205602223 0.10202585935912263 0.0034256888063224715 
1.6111000000000013 0.0007476513247537136 0.003562164397963098 0.8345990748560144 1.5573936086977762 0.10151887642115705 0.00342855486436344 
1.6211000000000013 0.0007470275584919009 0.003559403927181372 0.8340689991727748 1.556834419669898 0.10100927143990565 0.0034314357452469154 
1.6311000000000013 0.0007464005940575195 0.00355662930292186 0.8335362056870292 1.5562723635696576 0.10049705361347222 0.0034343313969745024 
1.6411000000000013 0.0007457704427566036 0.003553840575219292 0.8330007040066296 1.555707450532599 0.09998223217866821 0.003437241767328984 
1.6511000000000013 0.0007451371159421393 0.0035510377943161835 0.8324625037793273 1.555139690736357 0.09946481641066382 0.003440166803876296 
1.6611000000000014 0.0007445006250136372 0.003548221010660945 0.8319216146924102 1.5545690944002741 0.09894481562263888 0.003443106453967499 
1.6711000000000014 0.000743860981416706 0.0035453902749059923 0.8313780464723404 1.5539956717850192 0.0984222391654345 0.0034460606647407485 
1.6811000000000014 0.0007432181966426248 0.0035425456379058564 0.8308318088843905 1.5534194331922027 0.09789709642720373 0.0034490293831232685 
1.6911000000000014 0.0007425722822279172 0.0035396871507152954 0.8302829117322819 1.552840388963996 0.09736939683306327 0.003452012555833323 
1.7011000000000014 0.0007419232497539235 0.0035368148645874052 0.8297313648578211 1.5522585494827466 0.09683914984474445 0.003455010129382186 
1.7111000000000014 0.0007412711108463746 0.0035339288309717306 0.8291771781405376 1.5516739251705978 0.09630636496024463 0.003458022050076115 
