muQ Deltax Deltay muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
0.0 317.27059137775274 521.6910481480007 0.0 0.0 0.0 0.0 -7.70479655467164e-17 -7.70479655467164e-17 -3.4254045884518756e-16 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
317.27059137775274 317.27059137775274 521.6910481480007 317.27059137775274 317.27059137775274 317.27059137775274 0.0 0.0 0.0 -1.713449891958903e-16 -1.0052185159850071e-25 -5.436272605179478e-17 0.0 -5.436272605179478e-17 0.0 
318.3970227951906 316.9530031981954 521.4851672990284 318.0699024443651 318.7241431460161 318.7241431460161 0.6542407016510027 0.0002480702552661101 0.0004961395239993796 -1.6964054935060574e-16 3.288451349291397e-10 0.0002366912883814642 3.4403839304056636e-07 0.0002366912883814642 3.4403839304056636e-07 
318.93088041234864 316.6354150186381 521.2797694060213 318.41154221371124 319.45021861098604 319.45021861098604 1.03867639727481 0.0004974958539987164 0.0009949817977963735 -1.6862954166420665e-16 3.303400376972442e-09 0.0004611491687779466 9.609349411470934e-07 0.0004752558727807067 9.997055870655675e-07 
319.3300031868056 316.3178268390808 521.0748415888527 318.6492455331071 320.0107608405041 320.0107608405041 1.3615153073969606 0.0007480434578860987 0.001496060243253812 -1.677775153665772e-16 8.890839517393147e-09 0.0007840241212253378 9.609349411470934e-07 0.0007152794153797923 1.83945691343212e-06 
319.65444663169177 316.0002386595235 520.8703820514689 318.82938471215783 320.4795085512257 320.4795085512257 1.6501238390678903 0.000999628061745412 0.0019992050516268165 -1.6701427505562682e-16 1.7023955500859134e-08 0.0011068990736727293 9.609349411470934e-07 0.0009566031057336288 2.8119746637392023e-06 
319.9290772664896 315.6826504799662 520.6663890110609 318.9711547927775 320.8869997402017 320.8869997402017 1.9158449474242158 0.0012521967340725058 0.0025043103880949746 -1.6631072346730526e-16 2.7693349367539332e-08 0.0014297740261201204 9.609349411470934e-07 0.001199129087575742 3.886250629236669e-06 
320.16722643592277 315.36506230040885 520.4628606979267 319.08484395148747 321.249608920358 321.249608920358 2.164764968870546 0.0015057115735990134 0.0030113004351049427 -1.6565124330953179e-16 4.0904031523297484e-08 0.0017526489785675114 9.609349411470934e-07 0.0014427881123298123 5.040805834706025e-06 
320.3770837143016 315.0474741208516 520.2597953553374 319.1767709151576 321.5773965134456 321.5773965134456 2.4006255982879994 0.0017601432696909578 0.0035201165381835062 -1.6502622939267626e-16 5.666706639334973e-08 0.0020755239310149024 9.609349411470934e-07 0.0016875272883068338 6.25960467050547e-06 
320.5641309164439 314.72988594129424 520.0571912394034 319.25116437707004 321.8770974558177 321.8770974558177 2.6259330787476736 0.0020154679941450605 0.00403071099813788 -1.644292444564624e-16 7.499671733024156e-08 0.002398398883462294 9.609349411470934e-07 0.001933304170989612 7.530086606086784e-06 
320.7322623327933 314.41229776173697 519.8550466189436 319.31102786399043 322.15349680159625 322.15349680159625 2.8424689376057897 0.002271665687162237 0.0045430436467788155 -1.6385570964848806e-16 9.590918194489284e-08 0.002721273835909685 9.609349411470934e-07 0.0021800834977794645 8.842077302557148e-06 
320.88436841173353 314.09470958217963 519.6533597753546 319.3585903049347 322.4101465185324 322.4101465185324 3.0515562135976793 0.0025287190166925233 0.0050570797675781485 -1.6330222194720412e-16 1.1942193574989955e-07 0.0030441487883570762 9.609349411470934e-07 0.00242783520568049 1.0187128011188754e-05 
321.0226680191508 313.7771214026223 519.4521290024835 319.3955624854338 322.6497735528678 322.6497735528678 3.2542110674340092 0.0027866127043516776 0.005572788748645956 -1.6276616545151127e-16 1.4555335253867578e-07 0.0033670237408044675 9.609349411470934e-07 0.0026765331463071 1.155808729822548e-05 
321.1489106152173 313.459533223065 519.2513526065012 319.4232930797973 322.8745281506372 322.8745281506372 3.4512350708399255 0.0030453330659779777 0.00609014316455618 -1.6224547475864815e-16 1.7432246664270916e-07 0.0036898986932518583 9.609349411470934e-07 0.0029261542096617986 1.2948809051346453e-05 
321.26450586915394 313.1419450435077 519.0510289057784 319.44286867198156 323.0861430663263 323.0861430663263 3.643274394344762 0.003304867685905573 0.006609118125367151 -1.6173848320479562e-16 2.0574881470485903e-07 0.00401277364569925 9.609349411470934e-07 0.0031766777025877668 1.4353945373200751e-05 
321.37061032407405 312.8243568639504 518.8511562307613 319.4551806260205 323.2860400221276 323.2860400221276 3.8308593961071287 0.003565205178533514 0.007129690800091623 -1.6124382135181365e-16 2.398523251920013e-07 0.004335648598146641 9.609349411470934e-07 0.0034280848935550764 1.57687949064686e-05 
321.4681873872729 312.5067686843931 518.651732923851 319.460971369813 323.4754034047328 323.4754034047328 4.014432034919773 0.0038263350090942767 0.007651840058474153 -1.6076034668955644e-16 2.76653238184902e-07 0.0046585235505940325 9.609349411470934e-07 0.0036803586703109815 1.7189188789589092e-05 
321.5580500810452 312.1891805048358 518.4527573392842 319.46086737512417 323.65523278696634 323.65523278696634 4.194365411842145 0.004088247355897947 0.008175546195660289 -1.6028709351876038e-16 3.16172045255598e-07 0.004981398503041424 9.609349411470934e-07 0.00393348327663881 1.8611402978473445e-05 
321.6408922716525 311.87159232527847 518.2542278430132 319.4554032468509 323.82638129645403 323.82638129645403 4.3709780496031385 0.004350933002440106 0.00870079071655088 -1.5982323632564378e-16 3.5842944318186746e-07 0.005304273455488814 9.609349411470934e-07 0.0041874441060830905 2.003208955707537e-05 
321.7173119737062 311.55400414572114 518.0561428125906 319.4450396978423 323.98958424957016 323.98958424957016 4.544544551727856 0.0046143832515069035 0.00922755616412147 -1.5936806243889465e-16 4.03446297498263e-07 0.005627148407936207 9.609349411470934e-07 0.004442227537653976 2.1448222037600717e-05 
321.78782906718703 311.23641596616386 517.8585006370531 319.4301772129567 324.1454809214174 324.1454809214174 4.715303708460662 0.004878589855794506 0.00975582598074949 -1.58920951233419e-16 4.512436132297861e-07 0.0059500233603835976 9.609349411470934e-07 0.004697820803076801 2.2857051175305243e-05 
321.85289898868797 310.9188277866065 517.6612997168088 319.4111666073901 324.2946313699858 324.2946313699858 4.883464762595691 0.005143544961174509 0.010285584394816178 -1.5848135805265124e-16 5.018425109968389e-07 0.006272898312830988 9.609349411470934e-07 0.004954211878184215 2.4256068834058112e-05 
321.9129234660156 310.60123960704925 517.4645384635234 319.388317304236 324.43752962779524 324.43752962779524 5.049212323559243 0.005409241059769886 0.010816816326918216 -1.5804880159740605e-16 5.552642072173756e-07 0.006595773265278379 9.609349411470934e-07 0.005211389393065627 2.564297809703384e-05 
321.9682590441701 310.2836514274919 517.2682153000098 319.361903908427 324.57461417991317 324.57461417991317 5.212710271486188 0.005675670950760068 0.011349507311527786 -1.5762285390509803e-16 6.115299974915958e-07 0.006918648217725771 9.609349411470934e-07 0.005469342556985529 2.7015668306841807e-05 
322.019223936219 309.9660632479346 517.07232866012 319.33217148867556 324.70627638376254 324.70627638376254 5.374104895086967 0.005942827707351196 0.011883643430975062 -1.5720313229423046e-16 6.706612424986827e-07 0.007241523170173162 9.609349411470934e-07 0.005728061095093091 2.8372194026522525e-05 
322.0661035861937 309.6484750683773 516.8768769886343 319.299339866071 324.8328673063164 324.8328673063164 5.533527440245408 0.006210704648702768 0.012419211259338049 -1.5678929282045883e-16 7.326793559011649e-07 0.007564398122620553 9.609349411470934e-07 0.005987535194617612 2.9710757171255987e-05 
