nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
7.29727457487442e-07 9.65971146546113e-07 0.006560425821933412 893.4878283606886 893.617204728216 926.6848535266101 3.143224307336004e-10 4.281675684734906e-10 6.517015150507126e-07 8.62798298499097e-07 0.006099230585567206 
9.65971146546113e-07 1.53107000415745e-06 0.006560433284502003 893.617204728216 893.9010561001653 926.6848687799105 4.281675684734906e-10 7.93920039501866e-10 8.62798298499097e-07 1.367864605810678e-06 0.006099237522598187 
1.53107000415745e-06 2.50562661931723e-06 0.0065604572596401275 893.9010561001653 894.2269699933049 926.6849177844826 7.93920039501866e-10 1.4704996958069155e-09 1.367864605810678e-06 2.2391903231391555e-06 0.006099259809331495 
2.50562661931723e-06 3.97141379770464e-06 0.006560501609554341 894.2269699933049 894.6015960952134 926.6850084345783 1.4704996958069155e-09 2.722546550555927e-09 2.2391903231391555e-06 3.5502252227437315e-06 0.006099301035984917 
3.97141379770464e-06 4.82727428613838e-06 0.006560583681443557 894.6015960952134 894.7786365465321 926.6851761874311 2.722546550555927e-09 3.533942817342426e-09 3.5502252227437315e-06 4.315956776381688e-06 0.00609937732811293 
4.82727428613838e-06 6.07736284802167e-06 0.006560636868610049 894.7786365465321 895.0029850919946 926.6852849006457 3.533942817342426e-09 4.807210805222776e-09 4.315956776381688e-06 5.434653112505372e-06 0.006099426769671461 
6.07736284802167e-06 7.92625465087822e-06 0.006560720331548235 895.0029850919946 895.2413614551987 926.6854554967671 4.807210805222776e-09 6.541102212248078e-09 5.434653112505372e-06 7.089645350123476e-06 0.006099504354886389 
7.92625465087822e-06 9.97703609874371e-06 0.0065608339884317066 895.2413614551987 895.4938909967458 926.6856878085441 6.541102212248078e-09 8.894151385928924e-09 7.089645350123476e-06 8.925855260222595e-06 0.006099610007693776 
9.97703609874371e-06 1.25609035335829e-05 0.00656098823121453 895.4938909967458 895.7668576469343 926.6860030768663 8.894151385928924e-09 1.2096045884863337e-08 8.925855260222595e-06 1.1240054409103117e-05 0.00609975338821352 
1.25609035335829e-05 1.5214353983086e-05 0.006561198115956147 895.7668576469343 896.01058667036 926.6864320759362 1.2096045884863337e-08 1.562249889051235e-08 1.1240054409103117e-05 1.3617257606623216e-05 0.006099948492209882 
1.5214353983086e-05 1.99041938317933e-05 0.006561429275564359 896.01058667036 896.3189401434641 926.6869045602919 1.562249889051235e-08 2.124609917031723e-08 1.3617257606623216e-05 1.7820154499079114e-05 0.006100163372829657 
1.99041938317933e-05 2.50558859045481e-05 0.006561797903541348 896.3189401434641 896.645423173328 926.6876580264945 2.124609917031723e-08 2.888570709759934e-08 1.7820154499079114e-05 2.243857609708704e-05 0.006100506040862254 
2.50558859045481e-05 3.02437264418389e-05 0.006562298681170466 896.645423173328 896.9316212862257 926.6886816032227 2.888570709759934e-08 3.713074147009906e-08 2.243857609708704e-05 2.709098743451449e-05 0.00610097155215182 
3.02437264418389e-05 3.97148963129425e-05 0.006562839144608427 896.9316212862257 897.2993599345792 926.6897862967339 3.713074147009906e-08 5.048757232335372e-08 2.709098743451449e-05 3.558778951339019e-05 0.0061014739544504445 
3.97148963129425e-05 5.00057205192782e-05 0.0065637146871952825 897.2993599345792 897.6884584434497 926.6915758834972 5.048757232335372e-08 6.865660718962678e-08 3.558778951339019e-05 4.48237927059396e-05 0.0061022878385678225 
5.00057205192782e-05 6.15115619502737e-05 0.006564905670592637 897.6884584434497 898.0646347718081 926.6940102232484 6.865660718962678e-08 9.050189129541711e-08 4.48237927059396e-05 5.515466758299818e-05 0.006103394949159266 
6.15115619502737e-05 6.54540322464242e-05 0.006566337632767402 898.0646347718081 898.1070353953446 926.6969371174871 9.050189129541711e-08 9.33105706804473e-08 5.515466758299818e-05 5.869534561619276e-05 0.006104726068042829 
6.54540322464242e-05 8.48543390899079e-05 0.006566521742189872 898.1070353953446 898.5369825971068 926.6973134324608 9.33105706804473e-08 1.268898931059193e-07 5.869534561619276e-05 7.612321527800619e-05 0.006104897211899286 
8.48543390899079e-05 0.000101951949234728 0.00656872287261851 898.5369825971068 898.8986698252737 926.7018124870337 1.268898931059193e-07 1.6209200806496433e-07 7.612321527800619e-05 9.148920527994672e-05 0.0061069433317831635 
0.000101951949234728 0.000110516834614163 0.00657103037738013 898.8986698252737 899.0647504153086 926.7065289680356 1.6209200806496433e-07 1.8050446181127332e-07 9.148920527994672e-05 9.918888695509398e-05 0.006109088334784104 
0.000110516834614163 0.000125584418787288 0.006572237316927433 899.0647504153086 899.2665895504316 926.7089959217512 1.8050446181127332e-07 2.0534567059442918e-07 9.918888695509398e-05 0.00011273717347024342 0.006110210277843107 
0.000125584418787288 0.000163471959083754 0.006573865662486165 899.2665895504316 899.7583217046262 926.7123242186287 2.0534567059442918e-07 2.791827308720005e-07 0.00011273717347024342 0.0001468178292744079 0.006111723950173558 
0.000163471959083754 0.000199040377780961 0.0065787056946368695 899.7583217046262 900.202257692253 926.7222171211558 2.791827308720005e-07 3.6300620674079026e-07 0.0001468178292744079 0.00017882887752535437 0.006116223132000001 
0.000199040377780961 0.000250584885047483 0.006584200338067467 900.202257692253 900.6619732046496 926.733448032478 3.6300620674079026e-07 4.7048500454127873e-07 0.00017882887752535437 0.000225241604258278 0.006121330825316071 
0.000250584885047483 0.000257211369324703 0.006591245591967308 900.6619732046496 900.7248475354605 926.7478483521332 4.7048500454127873e-07 4.871498355591245e-07 0.000225241604258278 0.00023121003558469776 0.0061278799302232 
0.000257211369324703 0.000259308963120565 0.00659233797454063 900.7248475354605 900.7445249608047 926.7500811543098 4.871498355591245e-07 4.924551188419593e-07 0.00023121003558469776 0.00023309941109294694 0.006128895383771517 
0.000259308963120565 0.000270613214320415 0.006592685736783073 900.7445249608047 900.8487828590773 926.7507919714822 4.924551188419593e-07 5.212908938616025e-07 0.00023309941109294694 0.00024328224554160985 0.006129218655500382 
0.000270613214320415 0.000288542839998925 0.006594575926853761 900.8487828590773 901.0083488030103 926.7546554718774 5.212908938616025e-07 5.678525565556585e-07 0.00024328224554160985 0.00025943556768235997 0.006130975732426685 
0.000288542839998925 0.000297839506320659 0.006597628051946261 901.0083488030103 901.0884928176788 926.7608939378837 5.678525565556585e-07 5.923816898515888e-07 0.00025943556768235997 0.0002678123155026565 0.006133812917247078 
0.000297839506320659 0.000305804963744281 0.006599235940902496 901.0884928176788 901.1558446893163 926.7641804219861 5.923816898515888e-07 6.136028229829281e-07 0.0002678123155026565 0.0002749901665578445 0.00613530757359348 
0.000305804963744281 0.000341765071242143 0.006600626989872267 901.1558446893163 901.3405242555269 926.7670236906752 6.136028229829281e-07 6.759555053305981e-07 0.0002749901665578445 0.0003073992176349338 0.00613660066050894 
0.000341765071242143 0.0012616 0.006604714219051095 901.3405242555269 902.312634021891 926.7753778830885 6.759555053305981e-07 1.3448581046498984e-06 0.0003073992176349338 0.0011370693932870274 0.006140400054122309 
0.0012616 0.0018947 0.0066485609008423915 902.312634021891 902.8003882750914 926.864999384682 1.3448581046498984e-06 2.13909021963899e-06 0.0011370693932870274 0.0017084868830669635 0.0061811589143369984 
0.0018947 0.0026726 0.0067006229541963355 902.8003882750914 903.2858393752465 926.9714128966517 2.13909021963899e-06 3.2879649183112267e-06 0.0017084868830669635 0.0024109722264173926 0.006229554593746528 
