nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0 7.92405959867008e-15 5.404659593869403e-07 0.0 891.979088912515 0.0021732652923692865 -2666.563051159566 1.8864781909828667e-22 0.0 7.068095280606396e-15 0.0 
7.92405959867008e-15 2.50580766467172e-14 0.22332366861516342 891.979088912515 891.9791501399843 898.0058217106698 1.8864781909828667e-22 1.202875101238043e-21 7.068095280606396e-15 2.235128075925966e-14 0.2077143551157456 
2.50580766467172e-14 7.92405959867008e-14 0.22332366861516342 891.9791501399843 891.9792735967919 898.0058217106698 1.202875101238043e-21 7.669892586590564e-21 2.235128075925966e-14 7.068096190068274e-14 0.2077143551157456 
7.92405959867008e-14 2.50580766467172e-13 0.22332366861516342 891.9792735967919 891.9795225305563 898.0058217106698 7.669892586590564e-21 4.89055366008406e-20 7.068096190068274e-14 2.2351286558261665e-13 0.2077143551157456 
2.50580766467172e-13 7.92405959867008e-13 0.22332366861516342 891.9795225305563 891.9800244714106 898.0058217106698 4.89055366008406e-20 3.1183637622223165e-19 2.2351286558261665e-13 7.068099887685966e-13 0.2077143551157456 
7.92405959867008e-13 2.50580766467172e-12 0.22332366861516342 891.9800244714106 891.9810365664441 898.0058217106698 3.1183637622223165e-19 1.9883623060735802e-18 7.068099887685966e-13 2.235131013538147e-12 0.2077143551157456 
2.50580766467172e-12 7.92405959867008e-12 0.22332366861516342 891.9810365664441 891.9830773175474 898.0058217106698 1.9883623060735802e-18 1.2678394702087938e-17 2.235131013538147e-12 7.068114921165044e-12 0.2077143551157456 
7.92405959867008e-12 2.50580766467172e-11 0.22332366861516348 891.9830773175474 891.9871922128202 898.0058217106698 1.2678394702087938e-17 8.084124896701922e-17 7.068114921165044e-12 2.2351405993355074e-11 0.20771435511574565 
2.50580766467172e-11 7.92405959867008e-11 0.22332366861516384 891.9871922128202 891.9954893359115 898.00582171067 8.084124896701922e-17 5.154680610685972e-16 2.2351405993355074e-11 7.068176043085378e-11 0.20771435511574599 
7.92405959867008e-11 2.50580766467172e-10 0.22332366861516598 891.9954893359115 892.0122193489516 898.005821710672 5.154680610685972e-16 3.286779031459769e-15 7.068176043085378e-11 2.235179572505954e-10 0.20771435511574796 
2.50580766467172e-10 6.29410234040288e-10 0.2233236686151796 892.0122193489516 892.0371937918279 898.0058217106834 3.286779031459769e-15 1.446781958777772e-14 2.235179572505954e-10 5.614434803410538e-10 0.20771435511576064 
6.29410234040288e-10 1.58104849886544e-09 0.2233236686152347 892.0371937918279 892.0786055088946 898.00582171073 1.446781958777772e-14 6.088592755770992e-14 5.614434803410538e-10 1.4103612181038253e-09 0.2077143551158119 
1.58104849886544e-09 3.97146890586824e-09 0.2233236686154634 892.0786055088946 892.1439095007744 898.0058217109231 6.088592755770992e-14 2.441054461078457e-13 1.4103612181038253e-09 3.5428879700370645e-09 0.2077143551160245 
3.97146890586824e-09 4.99938025672213e-09 0.2233236686163661 892.1439095007744 892.1619336289149 898.0058217116857 2.441054461078457e-13 3.282409974638611e-13 3.5428879700370645e-09 4.459942338096108e-09 0.20771435511686392 
4.99938025672213e-09 9.97366035816307e-09 0.22332366861678063 892.1619336289149 892.2360683739453 898.0058217120359 3.282409974638611e-13 8.956566483374039e-13 4.459942338096108e-09 8.898001564940638e-09 0.20771435511724937 
9.97366035816307e-09 1.99038194110668e-08 0.22332366861957617 892.2360683739453 892.3341904655585 898.0058217143974 8.956566483374039e-13 2.3923706850712675e-12 8.898001564940638e-09 1.7758566953987143e-08 0.20771435511984887 
1.99038194110668e-08 3.97209640718649e-08 0.2233236686269501 892.3341904655585 892.4619942545893 898.0058217206265 2.3923706850712675e-12 6.278958802978594e-12 1.7758566953987143e-08 3.544343625900713e-08 0.2077143551267058 
3.97209640718649e-08 7.92418564452663e-08 0.22332366864609854 892.4619942545893 892.626497749921 898.005821736802 6.278958802978594e-12 1.6252891374708013e-11 3.544343625900713e-08 7.071781231586815e-08 0.20771435514451142 
7.92418564452663e-08 1.58101406297455e-07 0.223323668695238 892.626497749921 892.8367217689721 898.0058217783125 1.6252891374708013e-11 4.166831905435893e-11 7.071781231586815e-08 1.411188276499206e-07 0.2077143551902051 
1.58101406297455e-07 1.99033206564924e-07 0.2233236688204545 892.8367217689721 892.9060133422579 898.0058218840884 4.166831905435893e-11 5.45383121475417e-11 1.411188276499206e-07 1.7766570530636955e-07 0.20771435530664092 
1.99033206564924e-07 3.15499695463202e-07 0.22332366888386232 892.9060133422579 893.0835070074749 898.005821937652 5.45383121475417e-11 1.0167419373809274e-10 1.7766570530636955e-07 2.816701818159441e-07 0.2077143553656023 
3.15499695463202e-07 4.99934080568851e-07 0.22332366911609092 893.0835070074749 893.2911419686574 898.0058221338261 1.0167419373809274e-10 1.890553301612541e-10 2.816701818159441e-07 4.464055915772666e-07 0.2077143555815462 
4.99934080568851e-07 6.29458589212406e-07 0.22332366954659952 893.2911419686574 893.4079403047351 898.0058224974964 1.890553301612541e-10 2.5771193735088087e-10 4.464055915772666e-07 5.621164420718817e-07 0.2077143559818659 
6.29458589212406e-07 7.29727457487442e-07 0.22332366988485622 893.4079403047351 893.4878283606886 898.0058227832371 2.5771193735088087e-10 3.143224307336004e-10 5.621164420718817e-07 6.517015150507126e-07 0.20771435629640284 
7.29727457487442e-07 9.65971146546113e-07 0.2233236701637643 893.4878283606886 893.617204728216 898.0058230188437 3.143224307336004e-10 4.281675684734906e-10 6.517015150507126e-07 8.62798298499097e-07 0.2077143565557528 
9.65971146546113e-07 1.53107000415745e-06 0.2233236707246555 893.617204728216 893.9010561001653 898.0058234926539 4.281675684734906e-10 7.93920039501866e-10 8.62798298499097e-07 1.367864605810678e-06 0.2077143570773122 
1.53107000415745e-06 2.50562661931723e-06 0.22332367252664143 893.9010561001653 894.2269699933049 898.0058250148738 7.93920039501866e-10 1.4704996958069155e-09 1.367864605810678e-06 2.2391903231391555e-06 0.20771435875293617 
2.50562661931723e-06 3.97141379770464e-06 0.2233236758600079 894.2269699933049 894.6015960952134 898.0058278307208 1.4704996958069155e-09 2.722546550555927e-09 2.2391903231391555e-06 3.5502252227437315e-06 0.20771436185255457 
