nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0 7.92405959867008e-15 1.4885391633127837e-06 0.0 891.979088912515 0.005708433855049328 -2666.563051159566 1.8864781909828667e-22 0.0 7.068095280606396e-15 0.0 
7.92405959867008e-15 2.50580766467172e-14 0.2336202169600031 891.979088912515 891.9791501399843 895.9156659005707 1.8864781909828667e-22 1.202875101238043e-21 7.068095280606396e-15 2.235128075925966e-14 0.21704580662796627 
2.50580766467172e-14 7.92405959867008e-14 0.2336202169600031 891.9791501399843 891.9792735967919 895.9156659005707 1.202875101238043e-21 7.669892586590564e-21 2.235128075925966e-14 7.068096190068274e-14 0.21704580662796627 
7.92405959867008e-14 2.50580766467172e-13 0.2336202169600031 891.9792735967919 891.9795225305563 895.9156659005707 7.669892586590564e-21 4.89055366008406e-20 7.068096190068274e-14 2.2351286558261665e-13 0.21704580662796627 
2.50580766467172e-13 7.92405959867008e-13 0.2336202169600031 891.9795225305563 891.9800244714106 895.9156659005707 4.89055366008406e-20 3.1183637622223165e-19 2.2351286558261665e-13 7.068099887685966e-13 0.21704580662796627 
7.92405959867008e-13 2.50580766467172e-12 0.2336202169600031 891.9800244714106 891.9810365664441 895.9156659005707 3.1183637622223165e-19 1.9883623060735802e-18 7.068099887685966e-13 2.235131013538147e-12 0.21704580662796627 
2.50580766467172e-12 7.92405959867008e-12 0.2336202169600031 891.9810365664441 891.9830773175474 895.9156659005707 1.9883623060735802e-18 1.2678394702087938e-17 2.235131013538147e-12 7.068114921165044e-12 0.21704580662796627 
7.92405959867008e-12 2.50580766467172e-11 0.23362021696000315 891.9830773175474 891.9871922128202 895.9156659005707 1.2678394702087938e-17 8.084124896701922e-17 7.068114921165044e-12 2.2351405993355074e-11 0.2170458066279663 
2.50580766467172e-11 7.92405959867008e-11 0.23362021696000343 891.9871922128202 891.9954893359115 895.9156659005712 8.084124896701922e-17 5.154680610685972e-16 2.2351405993355074e-11 7.068176043085378e-11 0.21704580662796655 
7.92405959867008e-11 2.50580766467172e-10 0.233620216960005 891.9954893359115 892.0122193489516 895.9156659005728 5.154680610685972e-16 3.286779031459769e-15 7.068176043085378e-11 2.235179572505954e-10 0.21704580662796802 
2.50580766467172e-10 6.29410234040288e-10 0.23362021696001514 892.0122193489516 892.0371937918279 895.9156659005843 3.286779031459769e-15 1.446781958777772e-14 2.235179572505954e-10 5.614434803410538e-10 0.21704580662797746 
6.29410234040288e-10 1.58104849886544e-09 0.23362021696005617 892.0371937918279 892.0786055088946 895.91566590063 1.446781958777772e-14 6.088592755770992e-14 5.614434803410538e-10 1.4103612181038253e-09 0.2170458066280155 
1.58104849886544e-09 3.97146890586824e-09 0.23362021696022628 892.0786055088946 892.1439095007744 895.9156659008197 6.088592755770992e-14 2.441054461078457e-13 1.4103612181038253e-09 3.5428879700370645e-09 0.21704580662817355 
3.97146890586824e-09 4.99938025672213e-09 0.23362021696089788 892.1439095007744 892.1619336289149 895.9156659015691 2.441054461078457e-13 3.282409974638611e-13 3.5428879700370645e-09 4.459942338096108e-09 0.21704580662879733 
4.99938025672213e-09 9.97366035816307e-09 0.23362021696120627 892.1619336289149 892.2360683739453 895.9156659019131 3.282409974638611e-13 8.956566483374039e-13 4.459942338096108e-09 8.898001564940638e-09 0.21704580662908377 
9.97366035816307e-09 1.99038194110668e-08 0.23362021696328616 892.2360683739453 892.3341904655585 895.9156659042337 8.956566483374039e-13 2.3923706850712675e-12 8.898001564940638e-09 1.7758566953987143e-08 0.21704580663101553 
1.99038194110668e-08 3.97209640718649e-08 0.23362021696877242 892.3341904655585 892.4619942545893 895.915665910355 2.3923706850712675e-12 6.278958802978594e-12 1.7758566953987143e-08 3.544343625900713e-08 0.2170458066361111 
3.97209640718649e-08 7.92418564452663e-08 0.2336202169830188 892.4619942545893 892.626497749921 895.9156659262503 6.278958802978594e-12 1.6252891374708013e-11 3.544343625900713e-08 7.071781231586815e-08 0.21704580664934295 
7.92418564452663e-08 1.58101406297455e-07 0.2336202170195785 892.626497749921 892.8367217689721 895.9156659670413 1.6252891374708013e-11 4.166831905435893e-11 7.071781231586815e-08 1.411188276499206e-07 0.21704580668329918 
1.58101406297455e-07 1.99033206564924e-07 0.23362021711273942 892.8367217689721 892.9060133422579 895.9156660709842 4.166831905435893e-11 5.45383121475417e-11 1.411188276499206e-07 1.7766570530636955e-07 0.21704580676982588 
1.99033206564924e-07 3.15499695463202e-07 0.23362021715991474 892.9060133422579 893.0835070074749 895.9156661236194 5.45383121475417e-11 1.0167419373809274e-10 1.7766570530636955e-07 2.816701818159441e-07 0.21704580681364175 
3.15499695463202e-07 4.99934080568851e-07 0.2336202173326926 893.0835070074749 893.2911419686574 895.9156663163938 1.0167419373809274e-10 1.890553301612541e-10 2.816701818159441e-07 4.464055915772666e-07 0.21704580697411566 
4.99934080568851e-07 6.29458589212406e-07 0.2336202176529905 893.2911419686574 893.4079403047351 895.9156666737616 1.890553301612541e-10 2.5771193735088087e-10 4.464055915772666e-07 5.621164420718817e-07 0.2170458072716044 
6.29458589212406e-07 7.29727457487442e-07 0.23362021790465315 893.4079403047351 893.4878283606886 895.9156669545506 2.5771193735088087e-10 3.143224307336004e-10 5.621164420718817e-07 6.517015150507126e-07 0.21704580750534558 
7.29727457487442e-07 9.65971146546113e-07 0.2336202181121604 893.4878283606886 893.617204728216 895.915667186074 3.143224307336004e-10 4.281675684734906e-10 6.517015150507126e-07 8.62798298499097e-07 0.2170458076980758 
9.65971146546113e-07 1.53107000415745e-06 0.23362021852946283 893.617204728216 893.9010561001653 895.915667651673 4.281675684734906e-10 7.93920039501866e-10 8.62798298499097e-07 1.367864605810678e-06 0.21704580808566112 
1.53107000415745e-06 2.50562661931723e-06 0.2336202198701384 893.9010561001653 894.2269699933049 895.9156691475125 7.93920039501866e-10 1.4704996958069155e-09 1.367864605810678e-06 2.2391903231391555e-06 0.21704580933086406 
2.50562661931723e-06 3.97141379770464e-06 0.23362022235015933 894.2269699933049 894.6015960952134 895.9156719145603 1.4704996958069155e-09 2.722546550555927e-09 2.2391903231391555e-06 3.5502252227437315e-06 0.21704581163427694 
3.97141379770464e-06 4.82727428613838e-06 0.23362022693957077 894.6015960952134 894.7786365465321 895.9156770351303 2.722546550555927e-09 3.533942817342426e-09 3.5502252227437315e-06 4.315956776381688e-06 0.2170458158968657 
4.82727428613838e-06 6.07736284802167e-06 0.23362022991376563 894.7786365465321 895.0029850919946 895.9156803535457 3.533942817342426e-09 4.807210805222776e-09 4.315956776381688e-06 5.434653112505372e-06 0.21704581865926123 
6.07736284802167e-06 7.92625465087822e-06 0.23362023458096373 895.0029850919946 895.2413614551987 895.9156855609051 4.807210805222776e-09 6.541102212248078e-09 5.434653112505372e-06 7.089645350123476e-06 0.21704582299409728 
7.92625465087822e-06 9.97703609874371e-06 0.23362024093658937 895.2413614551987 895.4938909967458 895.9156926521034 6.541102212248078e-09 8.894151385928924e-09 7.089645350123476e-06 8.925855260222595e-06 0.21704582889712404 
9.97703609874371e-06 1.25609035335829e-05 0.23362024956175445 895.4938909967458 895.7668576469343 895.9157022755078 8.894151385928924e-09 1.2096045884863337e-08 8.925855260222595e-06 1.1240054409103117e-05 0.21704583690807103 
1.25609035335829e-05 1.5214353983086e-05 0.23362026129838495 895.7668576469343 896.01058667036 895.9157153704848 1.2096045884863337e-08 1.562249889051235e-08 1.1240054409103117e-05 1.3617257606623216e-05 0.21704584780890876 
1.5214353983086e-05 1.99041938317933e-05 0.23362027422469336 896.01058667036 896.3189401434641 895.9157297928284 1.562249889051235e-08 2.124609917031723e-08 1.3617257606623216e-05 1.7820154499079114e-05 0.21704585981470467 
1.99041938317933e-05 2.50558859045481e-05 0.23362029483815158 896.3189401434641 896.645423173328 895.9157527919989 2.124609917031723e-08 2.888570709759934e-08 1.7820154499079114e-05 2.243857609708704e-05 0.2170458789602306 
2.50558859045481e-05 3.02437264418389e-05 0.23362032284134013 896.645423173328 896.9316212862257 895.9157840361552 2.888570709759934e-08 3.713074147009906e-08 2.243857609708704e-05 2.709098743451449e-05 0.21704590496924692 
3.02437264418389e-05 3.97148963129425e-05 0.23362035306373555 896.9316212862257 897.2993599345792 895.91581775636 3.713074147009906e-08 5.048757232335372e-08 2.709098743451449e-05 3.558778951339019e-05 0.21704593303943528 
3.97148963129425e-05 5.00057205192782e-05 0.23362040202355863 897.2993599345792 897.6884584434497 895.9158723825808 5.048757232335372e-08 6.865660718962678e-08 3.558778951339019e-05 4.48237927059396e-05 0.21704597851271545 
5.00057205192782e-05 6.15115619502737e-05 0.23362046862264507 897.6884584434497 898.0646347718081 895.9159466895571 6.865660718962678e-08 9.050189129541711e-08 4.48237927059396e-05 5.515466758299818e-05 0.217046040369126 
6.15115619502737e-05 6.54540322464242e-05 0.23362054869712204 898.0646347718081 898.1070353953446 895.9160360315075 9.050189129541711e-08 9.33105706804473e-08 5.515466758299818e-05 5.869534561619276e-05 0.21704611474131316 
6.54540322464242e-05 8.48543390899079e-05 0.23362055899241196 898.1070353953446 898.5369825971068 895.9160475183296 9.33105706804473e-08 1.268898931059193e-07 5.869534561619276e-05 7.612321527800619e-05 0.21704612430345155 
8.48543390899079e-05 0.000101951949234728 0.23362068207832232 898.5369825971068 898.8986698252737 895.9161848496703 1.268898931059193e-07 1.6209200806496433e-07 7.612321527800619e-05 9.148920527994672e-05 0.21704623862412784 
0.000101951949234728 0.000110516834614163 0.23362081111262237 898.8986698252737 899.0647504153086 895.9163288178415 1.6209200806496433e-07 1.8050446181127332e-07 9.148920527994672e-05 9.918888695509398e-05 0.21704635846959522 
0.000110516834614163 0.000125584418787288 0.23362087860396727 899.0647504153086 899.2665895504316 895.9164041203423 1.8050446181127332e-07 2.0534567059442918e-07 9.918888695509398e-05 0.00011273717347024342 0.2170464211547244 
0.000125584418787288 0.000163471959083754 0.23362096966008683 899.2665895504316 899.7583217046262 895.9165057149028 2.0534567059442918e-07 2.791827308720005e-07 0.00011273717347024342 0.0001468178292744079 0.21704650572652584 
0.000163471959083754 0.000199040377780961 0.23362124031181905 899.7583217046262 900.202257692253 895.9168076906947 2.791827308720005e-07 3.6300620674079026e-07 0.0001468178292744079 0.00017882887752535437 0.2170467571045185 
0.000199040377780961 0.000250584885047483 0.23362154756902645 900.202257692253 900.6619732046496 895.9171505085209 3.6300620674079026e-07 4.7048500454127873e-07 0.00017882887752535437 0.000225241604258278 0.2170470424812254 
0.000250584885047483 0.000257211369324703 0.23362194153545324 900.6619732046496 900.7248475354605 895.9175900709159 4.7048500454127873e-07 4.871498355591245e-07 0.000225241604258278 0.00023121003558469776 0.21704740839238632 
