r x m P epsilon nu nd ns ne muQ
0.0 0.0 0.0 0.3148419327513634 1.1730387297341724 6.0809719281081005 12.059540169600874 0.0 0.0 478.743180411323 
9.999999999999999e-05 8.916101480317585e-06 4.3990661652142876e-15 0.31484193266412525 1.1730387294721032 6.08097192703829 12.059540167479295 0.0 0.0 478.743180383362 
0.0011 9.807711628349344e-05 5.8551569716061165e-12 0.31484192219555196 1.1730386980238152 6.080971798661093 12.059539912889862 0.0 0.0 478.74317702804274 
0.0111 0.000989687264315252 6.016289311874379e-09 0.3148408578926043 1.1730355007872064 6.0809587470039235 12.059514029679677 0.0 0.0 478.74283590455593 
0.0211 0.0018812974123470106 4.132427739240666e-08 0.3148380488495487 1.1730270622356531 6.080924299418284 12.059445715435144 0.0 0.0 478.74193556827134 
0.031100000000000003 0.0027729075603787692 1.3232321084766002e-07 0.3148334951174179 1.1730133825224605 6.080868456529995 12.059334971397348 0.0 0.0 478.74047603554556 
0.041100000000000005 0.003664517708410528 3.0540498812712753e-07 0.31482719677891546 1.1729944618960757 6.080791219353259 12.05918179957759 0.0 0.0 478.7384573328863 
0.051100000000000007 0.004556127856442287 5.869593071791516e-07 0.3148191539484266 1.172970300700119 6.080692589290791 12.058986202757646 0.0 0.0 478.7358794969554 
0.06110000000000001 0.005447738004474045 1.0033729580524895e-06 0.31480936677201476 1.172940899373376 6.080572568133786 12.058748184489698 0.0 0.0 478.73274257456836 
0.07110000000000001 0.006339348152505804 1.5810291156302645e-06 0.31479783542741735 1.1729062584497802 6.080431158061854 12.058467749096208 0.0 0.0 478.7290466226923 
0.0811 0.007230958300537562 2.3463066325281215e-06 0.31478456012403905 1.172866378558398 6.080268361642947 12.058144901669776 0.0 0.0 478.72479170844434 
0.0911 0.00812256844856932 3.3255793321886274e-06 0.31476954110294497 1.1728212604234045 6.0800841818332705 12.057779648072959 0.0 0.0 478.719977909089 
0.1011 0.009014178596601079 4.5452153022039926e-06 0.31475277863685225 1.1727709048640604 6.0798786219771825 12.057371994938077 0.0 0.0 478.71460531203576 
0.11109999999999999 0.009905788744632837 6.031576187899168e-06 0.3147342730301208 1.172715312794683 6.079651685807083 12.056921949666977 0.0 0.0 478.70867401483633 
0.12109999999999999 0.010797398892664595 7.811016486207378e-06 0.31471402461874276 1.1726544852246148 6.079403377443276 12.056429520430788 0.0 0.0 478.70218412518057 
0.1311 0.011689009040696354 9.909882839870124e-06 0.31469203377033106 1.1725884232581896 6.079133701393837 12.055894716169638 0.0 0.0 478.69513576089344 
0.1411 0.012580619188728112 1.2354513331993638e-05 0.31466830088410674 1.1725171280946938 6.078842662554456 12.055317546592342 0.0 0.0 478.6875290499306 
0.1511 0.013472229336759872 1.5171236780993837e-05 0.3146428263908853 1.1724406010283255 6.078530266208268 12.054698022176074 0.0 0.0 478.6793641303743 
0.16110000000000002 0.014363839484791632 1.8386372035961686e-05 0.31461561075306177 1.1723588434481502 6.078196518025667 12.054036154166006 0.0 0.0 478.6706411504285 
0.17110000000000003 0.015255449632823392 2.2026227272480927e-05 0.314586654464595 1.172271856838053 6.077841424064129 12.05333195457492 0.0 0.0 478.6613602684135 
0.18110000000000004 0.01614705978085515 2.6117099288930106e-05 0.3145559580509906 1.172179642776688 6.077464990767978 12.0525854361828 0.0 0.0 478.6515216527611 
0.19110000000000005 0.01703866992888691 3.0685272803300723e-05 0.31452352206928313 1.172082202937423 6.0770672249681885 12.051796612536393 0.0 0.0 478.64112548200836 
0.20110000000000006 0.01793028007691867 3.575701975056342e-05 0.3144893471080167 1.1719795390882846 6.076648133882135 12.050965497948733 0.0 0.0 478.6301719447916 
0.21110000000000007 0.018821890224950427 4.135859858061392e-05 0.31445343378722485 1.1718716530918938 6.076207725113358 12.05009210749867 0.0 0.0 478.6186612398399 
0.22110000000000007 0.01971350037298219 4.7516253556830626e-05 0.3144157827584095 1.171758546905406 6.075746006651289 12.04917645703034 0.0 0.0 478.60659357596865 
0.23110000000000008 0.020605110521013947 5.425621405527546e-05 0.31437639470451817 1.1716402225804408 6.075262986870987 12.048218563152616 0.0 0.0 478.59396917207164 
0.2411000000000001 0.021496720669045705 6.160469386456975e-05 0.31433527033992115 1.1715166822630136 6.074758674532846 12.047218443238558 0.0 0.0 478.58078825711414 
0.2511000000000001 0.022388330817077466 6.958789048647679e-05 0.31429241041038647 1.1713879281934616 6.074233078782298 12.046176115424796 0.0 0.0 478.56705107012493 
0.2611000000000001 0.023279940965109224 7.823198443722257e-05 0.31424781569305466 1.171253962706366 6.073686209149496 12.04509159861092 0.0 0.0 478.552757860188 
0.2711000000000001 0.024171551113140986 8.756313854958644e-05 0.31420148699641187 1.171114788230473 6.073118075548994 12.043964912458833 0.0 0.0 478.5379088864343 
0.2811000000000001 0.025063161261172744 9.760749727579303e-05 0.31415342516026235 1.17097040728861 6.072528688279393 12.04279607739207 0.0 0.0 478.52250441803227 
0.29110000000000014 0.0259547714092045 0.00010839118599123695 0.31410363105569966 1.1708208224975998 6.071918058023005 12.041585114595103 0.0 0.0 478.5065447341793 
0.30110000000000015 0.026846381557236263 0.0001199403102990717 0.3140521055850766 1.1706660365681705 6.071286195845478 12.040332046012614 0.0 0.0 478.49003012409145 
0.31110000000000015 0.02773799170526802 0.00013228095533569404 0.31399884968197467 1.1705060523048623 6.070633113195415 12.039036894348742 0.0 0.0 478.4729608869945 
0.32110000000000016 0.02862960185329978 0.00014543918507715534 0.3139438643111717 1.170340872605932 6.06995882190399 12.037699683066311 0.0 0.0 478.4553373321125 
0.33110000000000017 0.02952121200133154 0.00015944104164653075 0.313887150468609 1.170170500463253 6.069263334184532 12.036320436386013 0.0 0.0 478.43715977865827 
0.3411000000000002 0.0304128221493633 0.00017431254462227778 0.31382870918135736 1.1699949389622144 6.068546662632116 12.034899179285597 0.0 0.0 478.41842855582195 
0.3511000000000002 0.03130443229739506 0.00019007969034761513 0.3137685415075816 1.1698141912816133 6.067808820223128 12.033435937498998 0.0 0.0 478.39914400275956 
0.3611000000000002 0.032196042445426815 0.00020676845124095286 0.31370664853650465 1.169628260693548 6.067049820314823 12.031930737515461 0.0 0.0 478.3793064685818 
0.3711000000000002 0.033087652593458576 0.000224404775107405 0.31364303138837013 1.1694371505633039 6.06626967664486 12.030383606578644 0.0 0.0 478.3589163123418 
0.3811000000000002 0.03397926274149034 0.00024301458445141533 0.3135776912144039 1.1692408643492402 6.065468403330844 12.028794572685669 0.0 0.0 478.3379739030233 
0.3911000000000002 0.0348708728895221 0.00026262377579052717 0.31351062919677486 1.1690394056026707 6.064646014869836 12.027163664586178 0.0 0.0 478.3164796195272 
0.40110000000000023 0.035762483037553854 0.0002832582189703282 0.3134418465485546 1.1688327779677428 6.063802526137854 12.02549091178134 0.0 0.0 478.2944338506593 
0.41110000000000024 0.036654093185585615 0.0003049437564806006 0.3133713445136756 1.168620985181312 6.062937952389374 12.023776344522853 0.0 0.0 478.2718369951169 
