P M R nu
1e-07 6.106979655776252e-05 0.4074640223580832 0 
6.960464417934418e-07 0.0011033560600051718 1.0679275415772236 0 
1.2920928835868835e-06 0.002746012804366469 1.4455452946988845 0 
1.8881393253803254e-06 0.004774048800115061 1.7361697528397144 0 
2.484185767173767e-06 0.0070917686825554835 1.9787236365098988 0 
3.080232208967209e-06 0.009639704955555462 2.1894238376431217 0 
3.676278650760651e-06 0.012375916839358464 2.37691619177677 0 
4.272325092554092e-06 0.015268704086922661 2.54647475264632 0 
4.868371534347534e-06 0.018293038089056975 2.7016070748860628 0 
5.4644179761409765e-06 0.021428559168313058 2.8447914066507978 0 
6.060464417934418e-06 0.024658344679787395 2.9778590933398292 0 
6.656510859727859e-06 0.027968099046211652 3.1022111297675847 0 
7.252557301521301e-06 0.031345593536678124 3.2189492292344255 0 
7.848603743314743e-06 0.034800443734108 3.3296145825315393 0 
8.444650185108185e-06 0.03834159277478176 3.4354093189772787 0 
9.040696626901626e-06 0.041958524278577485 3.536709408226076 0 
9.636743068695068e-06 0.045642735232241875 3.6338657109177093 0 
1.023278951048851e-05 0.049386929606521114 3.7271941875889913 0 
1.082883595228195e-05 0.053184695279340284 3.8169770777824095 0 
1.1424882394075393e-05 0.05703032322995412 3.903466399401277 0 
1.2020928835868835e-05 0.060918667977643996 3.986887099258124 0 
1.2616975277662277e-05 0.06484508163635752 4.0674411943637905 0 
1.3213021719455719e-05 0.0688053240362988 4.14531011030254 0 
1.3809068161249161e-05 0.07279552007587925 4.220657636847457 0 
1.4405114603042603e-05 0.07681212232835669 4.293632342719556 0 
1.5001161044836045e-05 0.08085186056710333 4.364369055874748 0 
1.5597207486629488e-05 0.08491171953598131 4.43299073754198 0 
1.6193253928422928e-05 0.08898891147452664 4.49960982813964 0 
1.678930037021637e-05 0.09308086086567363 4.564329641725565 0 
1.7981393253803253e-05 0.10129962806741957 4.688443670719346 0 
1.9173486137390137e-05 0.10955084989970383 4.806008664868314 0 
2.036557902097702e-05 0.11782239701862382 4.917642142044211 0 
2.1557671904563905e-05 0.1261421729092397 5.0243854631246 0 
2.2749764788150786e-05 0.1345079617769754 5.126748255390522 0 
2.394185767173767e-05 0.14290592119398812 5.225009888699842 0 
2.5133950555324555e-05 0.15132443432497245 5.319429426822193 0 
2.6326043438911436e-05 0.1597534818930917 5.410245136693626 0 
2.751813632249832e-05 0.168184272156019 5.497674542908957 0 
2.8710229206085204e-05 0.1766090659272473 5.581917274964423 0 
2.990232208967209e-05 0.185021006182059 5.663156312774344 0 
3.109441497325897e-05 0.1934139779726907 5.741559154642182 0 
3.2286507856845854e-05 0.20178255247725516 5.817280503344417 0 
3.3478600740432734e-05 0.21012287216530712 5.890471336008652 0 
3.467069362401962e-05 0.21844922228626013 5.961427159847555 0 
3.58627865076065e-05 0.22676299652551693 6.030309430054955 0 
3.7054879391193384e-05 0.23505905731751767 6.097206976866185 0 
3.824697227478027e-05 0.24333296294788576 6.16220402296111 0 
3.943906515836716e-05 0.2515808071709867 6.225380488921008 0 
4.063115804195404e-05 0.2597990999976004 6.286811629382629 0 
4.301534380912781e-05 0.2761349377284661 6.404720033743172 0 
4.539952957630157e-05 0.2923192147822761 6.516453922527541 0 
4.778371534347534e-05 0.30833964574385825 6.6225154842476845 0 
5.016790111064911e-05 0.32422180205800194 6.723588141132475 0 
5.255208687782287e-05 0.3399583948703685 6.820061030315018 0 
5.493627264499664e-05 0.3555360429338824 6.91222810470038 0 
5.7320458412170406e-05 0.3709440922375194 7.000359311954484 0 
5.9704644179344174e-05 0.386173972610608 7.084701818189243 0 
6.208882994651794e-05 0.40122260128468873 7.165503850753093 0 
6.44730157136917e-05 0.41610695745099574 7.243097282686342 0 
6.685720148086547e-05 0.4308242311537429 7.317678587291081 0 
6.924138724803924e-05 0.44536897993835256 7.389407325948719 0 
7.1625573015213e-05 0.45973700022520275 7.458432781075253 0 
7.400975878238677e-05 0.473925039890357 7.524892729037441 0 
7.639394454956054e-05 0.48793182311967886 7.588922217295253 0 
8.116231608390808e-05 0.5154371828058085 7.7103591420964515 0 
8.593068761825561e-05 0.5422621420066993 7.8236839571996075 0 
9.069905915260314e-05 0.5683985229621641 7.929609279288252 0 
9.546743068695067e-05 0.5938667702462846 8.028856057263503 0 
0.00010023580222129821 0.6186891493501647 8.122060993108132 0 
0.00010500417375564574 0.6428681602957529 8.20969920492287 0 
0.00010977254528999327 0.6664170292426654 8.292223325401837 0 
0.00011454091682434081 0.6893631623908628 8.370086109041372 0 
0.00011930928835868835 0.7117156021886769 8.443627274093355 0 
0.00012407765989303588 0.7334848411728422 8.513151410235228 0 
0.0001288460314273834 0.7546948760439046 8.578977226668341 0 
0.00013361440296173093 0.7753605827458546 8.641365661586926 0 
0.000143151146030426 0.815107891698973 8.75671341856076 0 
0.00015268788909912108 0.8528562089644065 8.860868047141054 0 
0.00016222463216781615 0.8887131669793952 8.955177190699715 0 
0.00017176137523651123 0.9227961534199124 9.040813810617642 0 
0.00018129811830520627 0.9552036717792788 9.118738835357417 0 
0.00019083486137390135 0.98603848120607 9.189800305119892 0 
0.00020037160444259642 1.0153892406970895 9.254707429746697 0 
0.00020990834751129147 1.0433452654073474 9.314091050252557 0 
0.00022898183364868162 1.0953863190154158 9.418374828507098 0 
0.00024805531978607176 1.1427476112260573 9.50624225121091 0 
0.0002671288059234619 1.185940780206646 9.580491815106127 0 
0.000286202292060852 1.225412549437432 9.643339269743908 0 
0.00030527577819824215 1.2615534572441658 9.696564351478354 0 
0.0003434227504730224 1.3251685907507522 9.779660673194805 0 
0.0003815697227478027 1.3790529051182163 9.838531522779617 0 
0.0004578636672973633 1.4642977412684053 9.906135180675927 0 
0.0006104515563964844 1.5747381082800764 9.927860644127641 0 
0.0007630394454956054 1.638088877135829 9.879146358447146 0 
0.0009156273345947265 1.6750853582269551 9.802174908135543 0 
0.0010682152236938477 1.6963273071338516 9.714568038669984 0 
0.0012208031127929687 1.707689681080007 9.624341710087117 0 
0.0013733910018920896 1.7126356491291972 9.53529461468685 0 
0.0015259788909912108 1.7133073357681483 9.449224797181907 0 
0.001678566780090332 1.7110814099036056 9.366930186277347 0 
0.0018311546691894532 1.7068704338593879 9.288693324328875 0 
0.0019837425582885744 1.701294715024105 9.21452727462145 0 
0.002136330447387695 1.6947847427102913 9.144309182285 0 
0.0022889183364868163 1.6876442622103072 9.077844199608228 0 
0.0024415062255859375 1.6800905677475544 9.01491100607857 0 
0.00274668200378418 1.6643293444685399 8.898728857795476 0 
