P M R nu
1e-07 4.7791827786089515e-05 0.3604251032869576 0 
6.960464417934418e-07 0.0008691726987183923 0.9472753302100799 0 
1.2920928835868835e-06 0.002177255573308163 1.2857472819533713 0 
1.8881393253803254e-06 0.0038094701583094846 1.5484130661662183 0 
2.484185767173767e-06 0.005694540567940109 1.7694252762987106 0 
3.080232208967209e-06 0.007788447768157342 1.9629603191619835 0 
3.676278650760651e-06 0.010060169139672418 2.13654828663212 0 
4.272325092554092e-06 0.012486177946482917 2.294765775516783 0 
4.868371534347534e-06 0.01504777615376568 2.4406454675222315 0 
5.4644179761409765e-06 0.01772961288303216 2.57632248486115 0 
6.060464417934418e-06 0.020518782297507095 2.703369166566128 0 
6.656510859727859e-06 0.023404236367085416 2.8229843564491945 0 
7.252557301521301e-06 0.026376382618624412 2.9361077889252067 0 
7.848603743314743e-06 0.02942679727935259 3.043492924600993 0 
8.444650185108185e-06 0.03254801392173662 3.145755333311616 0 
9.040696626901626e-06 0.035733363472244845 3.24340597787464 0 
9.636743068695068e-06 0.03897685031627056 3.3368747942748738 0 
1.023278951048851e-05 0.042273054476736946 3.4265278219088726 0 
1.082883595228195e-05 0.04561705307631776 3.5126799209062454 0 
1.1424882394075393e-05 0.04900536507353881 3.595629080819928 0 
1.2020928835868835e-05 0.05244263773151243 3.6758218456842586 0 
1.2616975277662277e-05 0.055926390516325926 3.753478664766333 0 
1.3213021719455719e-05 0.0594526228302178 3.8287522578927016 0 
1.3809068161249161e-05 0.06301778428266087 3.901783105187044 0 
1.4405114603042603e-05 0.06661865094353832 3.9726995878690388 0 
1.5001161044836045e-05 0.0702522670667328 4.041619044317704 0 
1.5597207486629488e-05 0.07391590392290073 4.108648827822989 0 
1.6193253928422928e-05 0.07760702904221399 4.17388730730755 0 
1.678930037021637e-05 0.08132328581948385 4.237424865902102 0 
1.7981393253803253e-05 0.08882254772195415 4.359723941803424 0 
1.9173486137390137e-05 0.09639772468403918 4.476138905839262 0 
2.036557902097702e-05 0.104034757669426 4.587179407265819 0 
2.1557671904563905e-05 0.11172118950390467 4.693287106884016 0 
2.2749764788150786e-05 0.11944593993290516 4.794847834310168 0 
2.394185767173767e-05 0.12719911384382926 4.892200909681137 0 
2.5133950555324555e-05 0.13497755483065454 4.985716232126737 0 
2.6326043438911436e-05 0.14279026921388402 5.07586018976219 0 
2.751813632249832e-05 0.1506294805725774 5.16284615465901 0 
2.8710229206085204e-05 0.1584873889643395 5.246855902489138 0 
2.990232208967209e-05 0.16635712832926738 5.328057044398956 0 
3.109441497325897e-05 0.1742325609183842 5.406603667639849 0 
3.2286507856845854e-05 0.18210816672928168 5.482637625899071 0 
3.3478600740432734e-05 0.18997896187974123 5.556289748745818 0 
3.467069362401962e-05 0.19784042803093088 5.627680790097977 0 
3.58627865076065e-05 0.20568845680102316 5.696922369891439 0 
3.7054879391193384e-05 0.21351932023139822 5.7641180947801995 0 
3.824697227478027e-05 0.22133000075209533 5.829367312881478 0 
3.943906515836716e-05 0.22912659146979422 5.892836558660459 0 
4.063115804195404e-05 0.23690938595146016 5.9546327748028824 0 
4.301534380912781e-05 0.25242052924800945 6.073471790775251 0 
4.539952957630157e-05 0.26784074170966016 6.186381335649592 0 
4.778371534347534e-05 0.2831515278435726 6.293806377541918 0 
5.016790111064911e-05 0.2983375778157167 6.396145516635693 0 
5.255208687782287e-05 0.31338673763554564 6.493760743981228 0 
5.493627264499664e-05 0.32830822756740946 6.587103412545431 0 
5.7320458412170406e-05 0.3431007533704741 6.6765081054477635 0 
5.9704644179344174e-05 0.35775460430512085 6.762214476237371 0 
6.208882994651794e-05 0.37226189317112235 6.844442659337558 0 
6.44730157136917e-05 0.3866161608149724 6.923394913540249 0 
6.685720148086547e-05 0.40081215844316204 6.999257514354292 0 
6.924138724803924e-05 0.4148556144825857 7.072256161299299 0 
7.1625573015213e-05 0.4287503521101266 7.142587374714621 0 
7.400975878238677e-05 0.4424922811842332 7.210387287839447 0 
7.639394454956054e-05 0.4560782373426052 7.2757828778918405 0 
7.877813031673432e-05 0.4695057442697192 7.338892201235524 0 
8.116231608390808e-05 0.48277295244975255 7.399825688712078 0 
8.593068761825561e-05 0.5088375550891364 7.515646052633824 0 
9.069905915260314e-05 0.5342910806345518 7.624105649777155 0 
9.546743068695067e-05 0.5591283493662268 7.725833166557161 0 
0.00010023580222129821 0.5833533877688847 7.821402340781761 0 
